filename,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
1H6_MESSENGERS.ENGLISH.X.2,4,5,5,6,3,4,4,4,10,9,2,4,2,3,1,4,11,3,1,0,4,7,6,1,2,1,2,12,1,0,15,0,0,4,1,5,1,3,0
1H6_MESSENGERS.FRENCH.1,3,13,28,15,4,10,7,4,19,12,3,5,9,4,2,5,16,10,1,10,22,16,8,2,4,0,6,27,13,3,20,2,1,6,8,6,3,12,0
1H6_MasterGunner,6,11,32,5,14,9,10,4,17,22,8,11,7,5,6,8,26,17,2,8,9,11,34,5,4,0,5,16,25,5,27,3,2,7,13,8,3,8,0
1H6_Mayor,12,12,48,12,6,7,12,3,27,19,19,6,8,14,4,4,24,21,1,18,23,15,36,2,8,0,16,32,30,6,37,0,5,10,9,9,3,13,0
1H6_Mortimer,36,48,172,41,13,72,38,9,122,90,90,53,34,46,23,41,138,66,11,56,75,94,153,27,21,1,36,122,102,6,127,23,6,41,44,53,14,67,0
1H6_OFFICERS.0.1,5,4,15,5,0,0,1,1,12,2,10,2,4,0,3,3,7,4,1,2,6,6,16,2,0,0,6,11,8,0,5,1,0,5,3,4,3,5,0
1H6_Porter,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1H6_Pucelle,121,148,548,107,62,173,141,55,294,251,173,144,112,139,73,113,326,216,27,173,288,208,428,51,75,3,118,319,309,42,402,38,25,133,115,154,62,160,2
1H6_QueenMargaret,16,26,57,14,4,28,14,3,27,17,21,21,16,16,4,16,41,29,2,23,18,33,56,4,6,0,19,40,35,7,53,1,9,14,19,25,10,22,1
1H6_Reignier,30,31,118,28,15,44,24,8,71,36,45,32,29,28,10,32,67,62,6,42,56,45,117,13,15,3,20,80,68,14,91,8,4,34,24,44,7,43,0
1H6_SERVANTS.1,1,0,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,0
1H6_SERVANTS.2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1H6_SERVANTS.3,0,1,4,1,0,1,0,0,2,1,0,1,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,1,1,0,2,0,0,0,1,2,0,1,0
1H6_SERVANTS.GLOUCESTER,1,1,7,2,0,0,1,0,1,4,2,2,1,1,1,0,2,2,0,4,3,2,4,0,2,0,3,3,2,0,7,0,0,2,0,2,1,0,0
1H6_SERVANTS.GLOUCESTER.0.1,2,3,15,4,0,0,2,0,5,6,5,5,1,1,2,0,5,3,0,6,8,2,7,0,4,0,4,8,5,0,13,0,0,7,2,4,3,4,0
1H6_SERVANTS.GLOUCESTER.0.2,3,6,27,8,2,8,8,2,12,8,3,9,3,7,2,2,9,10,2,5,10,6,19,0,5,1,5,14,10,0,19,1,0,6,3,8,3,4,0
1H6_SERVANTS.TALBOT.1,0,0,1,3,0,1,1,0,2,0,1,0,0,0,0,0,2,0,0,0,2,1,2,0,2,0,0,5,1,0,0,0,0,0,0,1,1,1,0
1H6_SERVANTS.WINCHESTER.0.1,1,1,5,2,2,0,2,1,5,2,3,2,3,4,0,0,5,7,0,0,5,0,6,0,1,0,1,3,1,1,4,1,0,1,2,5,0,2,0
1H6_SOLDIERS.ENGLISH.0.1,0,0,2,2,0,2,0,0,4,0,0,0,0,0,0,0,1,2,0,1,2,2,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
1H6_SOLDIERS.ENGLISH.1,0,3,8,3,0,3,4,0,2,4,3,2,3,3,0,3,3,4,0,2,5,4,4,1,3,1,2,4,4,0,7,0,0,2,4,3,1,4,0
1H6_SOLDIERS.ENGLISH.Captain,2,1,6,2,1,2,1,2,3,2,0,3,2,3,0,1,4,3,1,1,8,0,5,0,1,0,0,2,3,0,5,0,0,1,1,4,1,0,0
1H6_SOLDIERS.ENGLISH.SOMERSET.0.1,0,0,2,3,1,0,0,0,1,1,1,2,1,4,0,2,4,3,0,0,2,3,0,0,0,0,0,5,4,0,1,1,0,2,0,2,1,2,0
1H6_SOLDIERS.FRENCH.PUCELLE.0.1,1,3,4,2,1,0,2,0,3,2,1,3,0,1,0,0,1,6,0,3,4,1,5,0,2,0,0,5,4,1,2,0,0,2,1,2,0,2,0
1H6_SOLDIERS.FRENCH.Scout,5,4,15,0,2,1,1,0,6,2,3,2,0,0,2,2,8,5,2,3,6,3,14,1,0,1,4,3,5,1,10,0,0,6,3,2,2,7,0
1H6_SOLDIERS.FRENCH.Sergeant,2,2,12,4,0,2,2,0,2,2,3,2,2,1,1,1,3,3,3,2,6,1,8,0,1,1,3,6,6,0,7,0,0,2,4,1,2,3,0
1H6_Salisbury,5,4,22,6,10,11,7,4,12,10,14,11,5,5,3,8,21,15,1,6,14,12,26,1,1,1,6,19,21,1,32,1,2,6,4,10,7,6,0
1H6_Shepherd,15,14,38,8,12,31,12,1,27,32,16,17,5,12,7,13,24,19,6,10,24,18,38,3,12,0,5,20,21,5,46,1,4,9,10,12,2,13,0
1H6_Somerset,26,36,117,42,18,54,42,8,81,55,60,31,31,32,15,31,103,40,8,39,76,51,111,11,29,0,20,88,78,14,115,6,5,22,25,41,27,42,0
1H6_Suffolk,71,103,363,79,34,101,82,24,187,141,126,113,69,99,37,92,243,169,17,130,177,143,313,44,52,4,70,200,193,28,266,24,20,90,62,108,40,113,0
1H6_Talbot,171,241,847,200,105,324,237,55,522,355,308,231,177,229,91,208,509,315,61,220,399,322,686,71,110,11,146,565,483,66,670,55,36,180,213,221,88,258,2
1H6_Vernon,15,24,61,17,5,24,12,0,27,33,14,17,12,14,5,16,37,21,3,18,30,28,58,3,11,0,13,38,35,5,52,2,2,16,10,15,15,17,0
1H6_WARDERS.1,2,3,3,1,0,1,0,0,3,5,2,2,0,0,0,3,3,3,0,2,2,2,4,0,3,0,1,4,4,0,3,0,0,2,0,5,0,2,0
1H6_WARDERS.2,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,1,3,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0
1H6_WATCHMEN.1,7,1,11,2,0,1,1,1,6,4,4,1,3,0,0,0,1,2,1,5,4,4,10,0,1,0,3,9,6,1,5,1,1,2,0,3,1,2,0
1H6_Warwick,29,42,152,40,15,41,50,21,79,56,50,40,23,20,21,33,111,54,5,45,86,49,104,8,23,1,42,96,94,22,141,19,5,42,25,50,22,39,0
1H6_Watchman,1,0,3,0,0,0,1,0,0,1,3,1,0,0,1,0,2,1,0,2,2,1,2,1,1,0,0,2,0,0,2,0,0,0,0,1,0,1,0
1H6_Woodville,2,6,14,1,1,3,3,1,4,5,3,3,3,2,0,5,7,3,0,4,4,5,14,0,2,1,3,6,5,2,9,0,0,1,5,4,0,4,0
1H6_York,74,120,378,96,46,135,85,21,195,151,142,120,83,94,43,87,232,129,31,108,194,164,299,43,60,6,80,230,232,29,292,31,20,71,81,104,50,128,0
2H4_Archbishop,69,75,330,83,53,74,67,21,188,110,109,90,49,66,31,79,172,134,11,92,131,114,270,33,52,2,60,206,167,22,222,26,19,67,75,85,23,123,3
2H4_BEADLES.0.1,2,10,25,3,2,2,6,2,9,5,6,5,1,3,2,8,14,6,1,7,10,9,13,2,3,0,2,7,3,4,12,2,1,9,9,4,6,4,0
2H4_Bardolph,15,32,84,23,4,28,17,7,62,18,20,28,30,12,17,19,35,21,6,20,33,37,51,9,16,1,11,41,46,4,61,4,6,25,12,24,19,18,0
2H4_Bedford,53,62,223,52,31,58,52,11,131,92,83,65,38,42,24,66,135,82,6,71,105,92,163,20,36,3,49,135,125,28,153,15,15,77,57,61,47,81,0
2H4_Bullcalf,10,12,17,11,1,13,4,3,22,4,10,13,3,12,3,7,17,6,0,11,8,11,25,5,8,0,6,28,14,1,15,1,2,4,2,4,2,12,0
2H4_ChiefJustice,80,94,320,99,26,73,52,10,147,99,106,83,47,63,33,75,179,111,30,99,128,122,238,31,42,6,71,179,170,26,227,23,19,102,57,89,104,70,1
2H4_Chorus,11,20,104,15,6,28,27,6,44,42,25,26,9,22,5,17,47,31,4,18,41,34,67,16,17,3,22,52,46,2,60,7,0,26,20,24,6,33,0
2H4_Clarence,11,11,48,11,4,17,9,4,30,21,11,15,5,14,2,16,30,15,4,16,28,17,38,4,16,1,4,25,18,2,31,6,6,8,6,16,5,16,0
2H4_Colevile,6,11,7,5,0,9,4,0,11,7,3,6,3,4,0,4,8,4,2,1,8,11,11,1,0,0,0,7,5,1,10,2,1,5,3,1,5,4,0
2H4_DRAWERS.1,3,8,15,3,3,6,5,0,11,8,4,5,1,4,2,9,15,6,2,3,8,8,10,2,3,0,2,10,12,1,17,1,0,2,4,6,0,3,0
2H4_DRAWERS.Francis,3,5,10,1,6,5,1,1,9,10,7,2,4,5,0,3,7,4,1,6,3,6,15,0,0,1,1,8,11,0,12,0,2,3,2,4,2,3,0
2H4_DRAWERS.Will,5,2,9,1,1,0,3,0,6,2,0,5,2,1,0,2,5,2,2,1,3,2,11,0,1,0,3,5,4,0,7,1,1,1,2,3,0,2,0
2H4_DRAWERS.X,0,0,2,0,0,0,1,1,2,1,0,1,1,0,0,0,2,1,0,1,1,0,3,0,1,0,1,0,2,0,1,0,1,1,0,2,1,0,0
2H4_Davy,12,25,74,18,10,17,17,2,23,25,24,32,15,12,6,18,34,30,3,18,27,22,64,3,6,0,16,38,63,8,61,2,2,17,20,30,18,18,0
2H4_DollTearsheet,43,65,149,31,25,58,32,17,65,72,54,36,33,33,26,35,70,56,10,60,79,68,111,16,27,4,34,84,77,4,106,14,11,57,33,47,52,37,0
2H4_Epilogue,19,19,82,20,5,35,20,10,48,21,33,20,15,24,8,10,62,42,6,20,36,49,80,5,9,0,20,43,40,5,70,3,7,39,13,33,26,17,1
2H4_Falstaff,285,548,1437,309,131,441,320,77,746,565,479,375,247,293,187,378,930,535,67,405,719,680,1045,128,262,17,237,692,722,144,1082,112,108,351,325,394,196,425,1
2H4_Feeble,3,10,11,4,0,15,8,1,12,3,9,7,5,3,5,4,12,6,0,5,8,10,21,0,8,0,1,11,18,1,17,3,4,4,3,11,2,4,0
2H4_GROOMS.1,1,2,10,3,0,0,1,2,2,2,1,0,2,1,0,0,2,1,0,4,1,4,2,0,0,0,2,7,2,3,1,0,0,1,0,0,0,2,0
2H4_GROOMS.2,0,1,4,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,3,0,3,0,0,0,1,1,0,0,0
2H4_Gloucester,7,9,30,11,1,8,5,4,22,11,11,11,7,7,4,11,18,19,3,6,12,18,27,4,10,0,9,25,18,1,17,4,4,6,5,7,6,14,0
2H4_Harcourt,5,8,23,5,1,3,2,0,8,11,5,6,5,4,3,1,5,4,2,6,8,7,13,1,3,0,4,11,6,2,14,1,0,5,7,2,5,6,0
2H4_Hastings,29,43,130,26,19,21,23,11,63,37,45,35,17,29,10,37,60,48,6,35,61,40,102,7,22,1,33,62,68,15,85,14,4,23,30,29,6,52,1
2H4_HenryIV,119,158,630,113,118,205,139,42,364,330,246,176,110,139,76,160,435,240,26,167,314,263,485,61,90,9,121,316,328,49,462,49,32,123,136,199,42,233,1
2H4_HenryV,153,197,629,150,82,226,150,36,359,295,216,151,106,160,61,134,415,269,34,160,286,288,517,49,116,13,138,373,339,59,509,51,37,174,145,183,94,191,0
2H4_LadyNorthumberland,2,3,12,3,0,4,2,0,6,4,1,1,2,1,2,2,6,2,0,3,8,4,6,0,4,0,1,4,3,0,8,0,0,3,5,4,3,3,0
2H4_LadyPercy,24,29,103,25,6,23,24,4,65,45,45,24,19,20,16,36,61,27,3,29,41,39,87,13,23,1,16,59,51,8,71,8,7,30,34,25,18,34,0
2H4_LordBardolph,42,34,200,55,20,34,26,21,111,70,66,47,35,48,17,48,114,61,10,46,85,66,156,16,29,2,46,95,98,17,130,16,11,41,32,61,16,66,0
2H4_MESSENGERS.1,2,0,14,4,2,4,2,0,6,6,4,2,2,3,2,1,3,4,2,2,3,5,9,0,0,0,1,8,5,0,3,2,1,0,2,1,0,2,0
2H4_MESSENGERS.Gower,6,6,17,5,0,7,1,2,13,4,4,3,3,4,3,6,5,3,1,3,7,6,13,2,1,0,6,16,7,1,12,1,3,2,3,2,1,2,0
2H4_MistressQuickly,77,125,307,94,50,134,80,18,204,122,114,83,66,65,56,89,152,148,7,85,151,163,283,33,80,3,58,201,172,21,251,31,48,105,57,109,65,93,1
2H4_Morton,36,50,180,55,10,39,40,8,122,74,63,39,28,57,13,47,120,54,8,38,85,59,139,18,31,0,39,124,97,15,129,18,11,42,33,49,27,75,0
2H4_Mouldy,5,14,16,6,3,6,5,0,20,3,10,10,4,8,3,11,9,14,1,7,13,10,27,1,6,0,8,13,6,3,18,1,2,11,3,5,6,7,0
2H4_Mowbray,27,43,130,25,20,28,29,7,78,61,45,36,16,32,9,27,72,51,3,20,54,41,106,15,16,1,22,66,65,16,79,13,7,20,36,32,7,37,1
2H4_Northumberland,37,59,235,44,28,79,50,14,147,103,87,51,41,61,24,55,142,87,16,54,90,87,198,31,29,4,40,124,125,14,172,17,12,43,47,57,18,74,1
2H4_OFFICERS.Fang,3,5,11,2,0,5,2,0,1,3,9,5,0,5,0,4,12,3,2,8,3,6,11,0,1,0,0,9,17,0,14,1,0,5,2,6,4,3,0
2H4_OFFICERS.Snare,1,2,5,1,1,0,1,1,0,0,2,1,1,1,0,3,3,3,0,3,2,2,1,0,0,0,0,5,7,0,3,0,0,2,2,1,2,1,0
2H4_Peto,4,7,16,5,0,2,0,0,7,5,6,5,1,5,0,0,7,4,1,8,2,5,14,5,2,0,2,8,8,0,13,1,1,0,3,6,1,5,0
2H4_Pistol,37,37,127,26,13,62,24,8,93,58,47,30,30,39,28,29,73,67,15,41,84,45,125,12,23,5,33,76,81,6,87,14,9,23,28,40,7,49,2
2H4_Poins,31,61,109,24,9,35,37,6,59,50,40,35,19,26,8,35,82,44,5,47,53,51,88,12,29,0,26,57,72,12,104,8,17,33,23,24,22,59,1
2H4_Porter,3,3,5,4,0,1,1,1,2,2,1,3,2,2,1,3,6,2,0,2,4,1,5,0,0,0,1,4,3,1,7,1,0,2,0,3,2,3,0
2H4_SERVANTS.CHIEFJUSTICE.1,5,12,12,9,1,8,2,1,11,6,5,8,3,5,3,5,9,10,4,3,10,8,19,1,2,0,3,13,19,1,13,2,3,9,4,3,10,4,0
2H4_SERVANTS.FALSTAFF.1,12,15,61,18,4,19,10,2,44,15,14,21,7,14,4,22,29,27,1,19,28,31,38,1,11,0,14,40,34,4,40,5,9,14,8,13,13,18,0
2H4_Shadow,0,0,2,0,0,1,0,0,0,1,0,3,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0
2H4_Shallow,121,135,328,83,35,107,84,12,271,100,169,109,78,60,54,103,197,194,46,140,180,166,303,24,70,3,36,186,216,37,251,33,50,97,94,123,86,102,1
2H4_Silence,17,22,75,12,4,21,22,2,41,15,29,11,7,12,9,11,25,39,5,25,36,38,57,5,16,0,8,40,27,9,34,6,7,11,7,20,6,26,0
2H4_Travers,5,11,28,7,1,5,11,2,27,13,10,11,7,4,3,18,22,17,4,7,12,13,19,10,5,1,8,16,20,1,27,0,1,6,4,9,2,11,0
2H4_Wart,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0
2H4_Warwick,22,39,158,44,12,39,33,18,82,65,53,42,26,26,23,44,121,70,15,44,74,70,113,21,26,5,33,97,92,10,118,10,9,42,38,45,24,68,1
2H4_Westmoreland,56,62,237,79,20,47,60,18,139,81,93,68,49,53,29,52,148,74,19,56,105,86,198,22,34,4,53,190,130,21,175,18,16,85,57,32,67,75,1
2H6_Beadle,1,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,3,1,0,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0
2H6_Bevis,14,14,44,8,4,6,5,1,30,22,18,12,17,12,10,14,25,15,3,25,23,13,37,4,13,0,4,23,16,1,22,5,1,6,15,10,3,14,0
2H6_Bolingbroke,11,14,59,6,5,16,16,1,32,17,12,18,12,12,6,15,24,19,2,16,22,18,39,2,7,2,9,25,29,4,41,2,2,13,17,22,8,9,0
