play,character,gender,role,genre
Rom,WATCHMEN.0.3,m,other,tragedy
Rom,WATCHMEN.0.1,m,other,tragedy
1H4,TRAVELERS.CARRIERS.X,m,other,history
2H4,DRAWERS.1,m,other,history
MV,ATTENDANTS.PORTIA.Stephano,m,other,comedy
Tit,TRIBUNES,m,other,tragedy
AWW,Fool,m,other,comedy
Mac,Siward,m,other,tragedy
Tro,MYRMIDONS.0.1,m,other,tragedy
2H4,DRAWERS.X,m,other,history
3H6,WATCHMEN.3,m,other,history
3H6,WATCHMEN.2,m,other,history
3H6,WATCHMEN.1,m,other,history
Mac,WITCHES.2,f,other,tragedy
Mac,WITCHES.3,f,other,tragedy
Mac,WITCHES.1,f,other,tragedy
1H6,SOLDIERS.ENGLISH.SOMERSET.0.1,m,other,history
TNK,COUNTRYMEN.0.4,m,other,comedy
TNK,COUNTRYMEN.0.5,m,other,comedy
MND,Philostrate,m,other,comedy
TNK,COUNTRYMEN.0.1,m,other,comedy
1H4,TRAVELERS.CARRIERS.1,m,other,history
TNK,COUNTRYMEN.0.3,m,other,comedy
WT,Antigonus,m,other,comedy
MV,Solanio,m,other,comedy
LLL,Rosaline,f,other,comedy
Err,Balthasar,m,other,comedy
Cym,GHOSTS.BROTHERS.1,m,other,tragedy
Cym,GHOSTS.BROTHERS.2,m,other,tragedy
3H6,MESSENGERS.X.5,m,other,history
3H6,MESSENGERS.X.2,m,other,history
3H6,MESSENGERS.X.3,m,other,history
3H6,MESSENGERS.X.1,m,other,history
Jn,Peter,m,other,history
H8,Gardiner,m,other,history
2H6,Scales,m,other,history
Ado,ATTENDANTS.0.1,m,other,comedy
Jn,HERALDS.FRENCH,m,other,history
2H6,Dick,m,other,history
LLL,King,m,protag,comedy
MND,FAIRIES.TITANIA.1,m,other,comedy
Per,LORDS.MYTILENE.0.1,m,other,comedy
H8,Cromwell,m,other,history
Tim,FRIENDS.Lucius,m,other,tragedy
Oth,Cassio,m,other,tragedy
Cym,Imogen,f,protag,tragedy
Ham,Horatio,m,other,tragedy
AYL,Hymen,m,other,comedy
Tmp,Ferdinand,m,other,comedy
3H6,LadyBona,f,other,history
H8,SERVANTS.X.1,m,other,history
2H6,Clerk,m,other,history
H5,Bardolph,m,other,history
Rom,Tybalt,m,antag,tragedy
Tim,LADIES,f,other,tragedy
Tit,Titus,m,protag,tragedy
Cor,SERVANTS.1,m,other,tragedy
Cor,SERVANTS.3,m,other,tragedy
Cor,SERVANTS.2,m,other,tragedy
Tim,SERVANTS.TIMON.0.2,m,other,tragedy
Tim,SERVANTS.TIMON.0.3,m,other,tragedy
Tim,SERVANTS.TIMON.0.1,m,other,tragedy
Mac,Donalbain,m,other,tragedy
MV,SERVANTS.1,m,other,comedy
MV,SERVANTS.2,m,other,comedy
H5,Orleans,m,other,history
Tim,Phrynia,f,other,tragedy
Rom,Apothecary,m,other,tragedy
1H4,Poins,m,other,history
Tro,Alexander,m,other,tragedy
R2,Groom,m,other,history
1H6,SERVANTS.2,m,other,history
2H6,Smith,m,other,history
MM,FriarThomas,m,other,comedy
WT,Jailer,m,other,comedy
Tim,Painter,m,other,tragedy
Shr,Katherine,f,other,comedy
Rom,SERVANTS.PARIS.1,m,other,tragedy
AYL,Touchstone,m,other,comedy
Oth,Brabantio,m,other,tragedy
TNK,OTHERS,m,other,comedy
Per,Simonides,m,other,comedy
Cym,Cymbeline,m,other,tragedy
Shr,SERVANTS.PETRUCHIO.0.4,m,other,comedy
Lr,OldMan,m,other,tragedy
H8,Vaux,m,other,history
Tro,Andromache,f,other,tragedy
Lr,SOLDIERS.CAPTAINS.1,m,other,tragedy
Lr,SOLDIERS.CAPTAINS.2,m,other,tragedy
Mac,Seyton,m,other,tragedy
MV,Jessica,f,other,comedy
H5,Salisbury,m,other,history
AYL,SERVANTS.2,m,other,comedy
AYL,SERVANTS.1,m,other,comedy
H5,AMBASSADORS.0.1,m,other,history
Tmp,Sebastian,m,other,comedy
Oth,Bianca,f,other,tragedy
1H4,TRAVELERS.GENTLEMEN,m,other,history
Tit,Publius,m,other,tragedy
Err,DromioOfSyracuse,m,other,comedy
1H6,Exeter,m,other,history
2H4,Gloucester,m,other,history
H8,Norfolk,m,other,history
H5,Katherine,f,other,history
Ham,Polonius,m,other,tragedy
Cor,AEDILES.X.3,m,other,tragedy
Cor,AEDILES.X.2,m,other,tragedy
Ant,Proculeius,m,other,tragedy
Wiv,AnnePage,f,other,comedy
WT,Paulina,f,other,comedy
2H6,PETITIONERS.0.1,m,other,history
2H6,PETITIONERS.0.2,m,other,history
Oth,Lodovico,m,other,tragedy
Ado,Claudio,m,other,comedy
Per,Philemon,m,other,comedy
TGV,Host,m,other,comedy
Lr,Kent,m,other,tragedy
Ado,Dogberry,m,other,comedy
R2,Aumerle,m,other,history
Tim,Fool,m,other,tragedy
Mac,Porter,m,other,tragedy
Oth,Duke,m,other,tragedy
MM,GENTLEMEN.2,m,other,comedy
1H6,MESSENGERS.ENGLISH.X.1,m,other,history
Ham,PLAYERS.Queen,f,other,tragedy
MND,Lysander,m,other,comedy
Shr,SERVANTS.BAPTISTA.1,m,other,comedy
Wiv,Falstaff,m,antag,comedy
MM,Nun,f,other,comedy
MM,FriarPeter,m,other,comedy
Ant,Varrius,m,other,tragedy
3H6,Northumberland,m,other,history
3H6,JohnMortimer,m,other,history
1H4,SirMichael,m,other,history
3H6,Rutland,m,other,history
Cym,Guiderius,m,other,tragedy
TN,OFFICERS.2,m,other,comedy
TN,OFFICERS.1,m,other,comedy
Tit,GOTHS,m,other,tragedy
Tim,SERVANTS.Page,m,other,tragedy
Mac,Gentlewoman,m,other,tragedy
JC,Decius,m,other,tragedy
Lr,Doctor,m,other,tragedy
1H6,WARDERS.2,m,other,history
1H6,WARDERS.1,m,other,history
2H4,ChiefJustice,m,antag,history
Ant,Demetrius,m,other,tragedy
Rom,CITIZENS,m,other,tragedy
Err,Duke,m,other,comedy
Ham,Reynaldo,m,other,tragedy
Ant,Octavia,f,other,tragedy
R2,HenryIV,m,antag,history
Per,Gower,m,other,comedy
TN,Maria,f,other,comedy
1H4,DRAWERS.Francis,m,other,history
Wiv,MasterPage,m,other,comedy
Rom,SERVANTS.CAPULET.0,m,other,tragedy
H5,Grandpre,m,other,history
TNK,QUEENS.3,f,other,comedy
TNK,QUEENS.2,f,other,comedy
TNK,QUEENS.1,f,other,comedy
H8,GENTLEMEN.1,m,other,history
H8,GENTLEMEN.2,m,other,history
H8,GENTLEMEN.3,m,other,history
Jn,Melun,m,other,history
H5,ATTENDANTS.ENGLISH,m,other,history
Per,Lychorida,m,other,comedy
Shr,PLAYERS,m,other,comedy
TGV,Speed,m,other,comedy
H8,GENTLEMEN.X,m,other,history
Ant,CAPTAINS.0.1,m,other,tragedy
R2,AbbotOfWestminster,m,other,history
Shr,Haberdasher,m,other,comedy
JC,SOLDIERS.BRUTUS.Varro,m,other,tragedy
Wiv,BOYS,m,other,comedy
Ham,PLAYERS.King,m,other,tragedy
Mac,SOLDIERS.Captain,m,other,tragedy
R3,Archbishop,m,other,history
H8,Anne,f,other,history
JC,Trebonius,m,other,tragedy
Lr,Edgar,m,other,tragedy
AWW,King,m,other,comedy
3H6,PrinceEdward,m,other,history
2H6,Whitmore,m,other,history
R3,GENTLEMEN.0.1,m,other,history
2H4,Feeble,m,other,history
H5,Nym,m,other,history
Ham,Ophelia,f,other,tragedy
Rom,Nurse,f,other,tragedy
JC,Portia,f,other,tragedy
Rom,SERVANTS.MONTAGUE.Abram,m,other,tragedy
Cor,Lartius,m,other,tragedy
Per,GENTLEMEN.MYTILENE.2,m,other,comedy
Per,GENTLEMEN.MYTILENE.1,m,other,comedy
3H6,Westmorland,m,other,history
AWW,LORDS.DUMAINE.2,m,other,comedy
AWW,LORDS.DUMAINE.1,m,other,comedy
2H4,MESSENGERS.1,m,other,history
Per,Thaliard,m,other,comedy
Tit,Bassianus,m,other,tragedy
Shr,Biondello,m,other,comedy
Wiv,MistressQuickly,f,other,comedy
Mac,Duncan,m,other,tragedy
Tim,LORDS,m,other,tragedy
Per,LORDS.TYRE,m,other,comedy
Ant,Boy,m,other,tragedy
Wiv,MasterFord,m,other,comedy
H5,BishopOfCanterbury,m,other,history
H8,Surveyor,m,other,history
Ant,Antony,m,protag,tragedy
AWW,SOLDIERS,m,other,comedy
Tmp,Ariel,m,other,comedy
Per,SAILORS.1,m,other,comedy
Per,SAILORS.2,m,other,comedy
Cor,YoungMartius,m,other,tragedy
2H6,QueenMargaret,f,other,history
1H6,Somerset,m,other,history
Per,KNIGHTS,m,other,comedy
AYL,Silvius,m,other,comedy
Tit,ATTENDANTS,m,other,tragedy
Tro,Diomedes,m,other,tragedy
Rom,SERVANTS.CAPULET.0.1,m,other,tragedy
Ham,Fortinbras,m,other,tragedy
Rom,SERVANTS.CAPULET.0.3,m,other,tragedy
Rom,SERVANTS.CAPULET.0.2,m,other,tragedy
Tim,SENATORS.X,m,other,tragedy
Oth,Desdemona,f,other,tragedy
Jn,Hubert,m,other,history
Cor,CITIZENS.ROMAN.7,m,other,tragedy
Cor,CITIZENS.ROMAN.6,m,other,tragedy
Cor,CITIZENS.ROMAN.5,m,other,tragedy
Cor,CITIZENS.ROMAN.4,m,other,tragedy
Cor,CITIZENS.ROMAN.3,m,other,tragedy
Cor,CITIZENS.ROMAN.2,m,other,tragedy
Cor,CITIZENS.ROMAN.1,m,other,tragedy
3H6,MESSENGERS.1,m,other,history
TNK,Arcite,m,other,comedy
WT,LADIES.Emilia,m,other,comedy
Cor,CITIZENS.ROMAN.8,m,other,tragedy
R3,MayorOfLondon,m,other,history
R3,Sheriff,m,other,history
Ant,SOLDIERS.CAESAR.X.1,m,other,tragedy
Cor,Adrian,m,other,tragedy
Oth,GENTLEMEN,m,other,tragedy
Wiv,MistressFord,f,other,comedy
H5,MacMorris,m,other,history
1H6,Mortimer,m,other,history
Tim,SENATORS.4,m,other,tragedy
Tim,SENATORS.1,m,other,tragedy
Tim,SENATORS.2,m,other,tragedy
Tim,SENATORS.3,m,other,tragedy
JC,Lepidus,m,other,tragedy
Tit,Tamora,f,other,tragedy
H8,Suffolk,m,other,history
Mac,SERVANTS.X.2,m,other,tragedy
Mac,SERVANTS.X.3,m,other,tragedy
2H6,George,m,other,history
Mac,SERVANTS.X.4,m,other,tragedy
Mac,Lord,m,other,tragedy
Per,Dionyza,f,other,comedy
JC,Ligarius,m,other,tragedy
1H6,OFFICERS.0.1,m,other,history
Tmp,Trinculo,m,other,comedy
H8,Page,m,other,history
JC,SOLDIERS.BRUTUS.Dardanus,m,other,tragedy
Tit,YoungLucius,m,other,tragedy
Ham,ATTENDANTS.1,m,other,tragedy
Ham,ATTENDANTS.2,m,other,tragedy
MM,Angelo,m,antag,comedy
R3,LadyAnne,f,other,history
Ham,Gravedigger,m,other,tragedy
2H4,Warwick,m,other,history
1H4,TRAVELERS.CARRIERS,m,other,history
Per,SAILORS.TYRE.1,m,other,comedy
Ant,Ambassador,m,other,tragedy
WT,Florizell,m,other,comedy
AYL,Jaques,m,other,comedy
Tmp,SPIRITS.Iris,f,other,comedy
Tmp,Shipmaster,m,other,comedy
Jn,HERALDS.ENGLISH,m,other,history
Cor,Gentlewoman,f,other,tragedy
Mac,OldMan,m,other,tragedy
2H6,Iden,m,other,history
LLL,Boy,m,other,comedy
Ham,Doctor,m,other,tragedy
H8,Abergavenny,m,other,history
Per,Diana,f,other,comedy
R2,RichardII,m,protag,history
Cor,SENATORS.VOLSCIAN,m,other,tragedy
AYL,Adam,m,other,comedy
JC,SERVANTS.OCTAVIUS.1,m,other,tragedy
1H4,HenryIV,m,other,history
R3,RichardIII,m,protag,history
H5,Gower,m,other,history
Tim,SENATORS.0.1,m,other,tragedy
AWW,Servant,m,other,comedy
AWW,SOLDIERS.Interpreter,m,other,comedy
Jn,EXECUTIONERS.0.1,m,other,history
Tro,Nestor,m,other,tragedy
JC,COMMONERS.Carpenter,m,other,tragedy
MV,Messenger,m,other,comedy
Tmp,Miranda,f,other,comedy
TNK,Emilia,f,other,comedy
Ado,Sexton,m,other,comedy
Lr,Cordelia,f,other,tragedy
H8,Capuchius,m,other,history
1H4,Bardolph,m,other,history
1H4,Bedford,m,other,history
3H6,Oxford,m,other,history
Err,OFFICERS.X,m,other,comedy
Ham,Guildenstern,m,other,tragedy
1H4,Chamberlain,m,other,history
H8,Chancellor,m,other,history
MND,Theseus,m,other,comedy
MV,Bassanio,m,other,comedy
MND,FAIRIES.TITANIA,m,other,comedy
3H6,SOLDIERS.YORK,m,other,history
JC,Calphurnia,f,other,tragedy
1H4,Northumberland,m,other,history
AWW,Steward,m,other,comedy
Cor,Nicanor,m,other,tragedy
Rom,SERVANTS.MONTAGUE.Balthasar,m,other,tragedy
TN,Feste,m,other,comedy
Tro,Helenus,f,other,tragedy
WT,LADIES.0.1,f,other,comedy
WT,LADIES.0.2,f,other,comedy
Tit,Aaron,m,antag,tragedy
Ham,PLAYERS.Prologue,m,other,tragedy
Cor,Valeria,f,other,tragedy
AWW,Lafew,m,other,comedy
AYL,LORDS.SENIOR,m,other,comedy
2H6,MURDERERS.0.2,m,other,history
2H6,MURDERERS.0.1,m,other,history
2H6,MESSENGERS.X.2,m,other,history
MM,Isabella,f,other,comedy
2H4,LordBardolph,m,other,history
Err,Egeon,m,other,comedy
AWW,Parolles,m,other,comedy
Rom,Montague,m,other,tragedy
Cor,CONSPIRATORS.0.1,m,other,tragedy
Cor,CONSPIRATORS.0.2,m,other,tragedy
Cor,CONSPIRATORS.0.3,m,other,tragedy
JC,Lucius,m,other,tragedy
MND,Demetrius,m,other,comedy
Tim,MESSENGERS.X.3,m,other,tragedy
Tim,MESSENGERS.X.2,m,other,tragedy
Tim,MESSENGERS.X.1,m,other,tragedy
2H6,EdwardIV,m,other,history
Per,Cleon,m,other,comedy
Tim,STRANGERS.2,m,other,tragedy
H5,SOLDIERS.FRENCH.LeFer,m,other,history
Shr,Lucentio,m,other,comedy
Tro,SOLDIERS,m,other,tragedy
1H6,SOLDIERS.FRENCH.Sergeant,m,other,history
Tit,Demetrius,m,other,tragedy
Tim,SENATORS.0.2,m,other,tragedy
Tim,SENATORS.0.3,m,other,tragedy
2H4,Travers,m,other,history
1H6,Lawyer,m,other,history
Rom,Paris,m,other,tragedy
2H6,MESSENGERS.X.1,m,other,history
2H6,MESSENGERS.X.3,m,other,history
R3,EdwardV,m,other,history
Ham,Voltemand,m,other,tragedy
R3,BishopOfEly,m,other,history
Tro,Aeneas,m,other,tragedy
2H6,FOLLOWERS.CADE,m,other,history
JC,PLEBEIANS,m,other,tragedy
2H6,Stafford,m,other,history
Err,Pinch,m,other,comedy
Tro,Ulysses,m,other,tragedy
Oth,MUSICIANS.0.1,m,other,tragedy
H5,York,m,other,history
1H4,SERVANTS.HOTSPUR.1,m,other,history
AWW,Mariana,f,other,comedy
R3,Scrivener,m,other,history
Tit,Messenger,m,other,tragedy
Mac,LadyMacbeth,f,other,tragedy
Tim,SERVANTS.LUCULLUS.1,m,other,tragedy
MM,SERVANTS.1,m,other,comedy
2H6,York,m,other,history
Tit,GOTHS.0,m,other,tragedy
Shr,SERVANTS.LORD,m,other,comedy
R3,QueenElizabeth,f,other,history
2H6,Somerset,m,other,history
H5,Governor,m,other,history
TNK,Taborer,m,other,comedy
MV,Antonio,m,other,comedy
Tim,Merchant,m,other,tragedy
Lr,Curan,m,other,tragedy
Mac,MURDERERS.3,m,other,tragedy
Mac,MURDERERS.1,m,other,tragedy
Ado,WATCHMEN.Seacoal,m,other,comedy
JC,Octavius,m,other,tragedy
JC,Cassius,m,other,tragedy
MV,MUSICIANS,m,other,comedy
TN,Malvolio,m,antag,comedy
Cym,Jupiter,m,other,tragedy
1H6,HenryVI,m,protag,history
Ham,SAILORS.0.1,m,other,tragedy
R2,LADIES.0.1,f,other,history
JC,Flavius,m,other,tragedy
Cor,CITIZENS.ANTIUM.1,m,other,tragedy
Wiv,Rugby,m,other,comedy
H8,Denny,m,other,history
AYL,Charles,m,other,comedy
Cor,OFFICERS.2,m,other,tragedy
2H6,Bolingbroke,m,other,history
Cor,OFFICERS.1,m,other,tragedy
Mac,Caithness,m,other,tragedy
Tim,LORDS.0.2,m,other,tragedy
Tim,LORDS.0.3,m,other,tragedy
Tim,LORDS.0.1,m,other,tragedy
1H6,Pucelle,f,other,history
H5,Fluellen,m,other,history
2H6,Clifford,m,other,history
WT,SERVANTS.0,m,other,comedy
Tro,Agamemnon,m,other,tragedy
TN,Sebastian,m,other,comedy
Per,Marshal,m,other,comedy
H8,Buckingham,m,other,history
1H6,Basset,m,other,history
2H4,Mouldy,m,other,history
H5,SOLDIERS.ENGLISH.Court,m,other,history
WT,Archidamus,m,other,comedy
1H6,MESSENGERS.ENGLISH.2,m,other,history
1H6,MESSENGERS.ENGLISH.3,m,other,history
1H6,MESSENGERS.ENGLISH.1,m,other,history
H8,HenryVIII,m,protag,history
WT,Mopsa,f,other,comedy
H5,Montjoy,m,other,history
Mac,SPIRITS.1,m,other,tragedy
Mac,SPIRITS.3,m,other,tragedy
Mac,SPIRITS.2,m,other,tragedy
H8,Sergeant,m,other,history
Err,Angelo,m,other,comedy
R3,Surrey,m,other,history
TNK,Wooer,m,other,comedy
2H4,Bedford,m,other,history
Jn,RobertFaulconbridge,m,other,history
2H6,CITIZENS.LONDON.0.1,m,other,history
Shr,SERVANTS.PETRUCHIO.Joseph,m,other,comedy
H5,Erpingham,m,other,history
Err,AntipholusOfSyracuse,m,protag,comedy
JC,SOLDIERS.BRUTUS.Cato,m,other,tragedy
1H6,WATCHMEN.1,m,other,history
AWW,Duke,m,other,comedy
AWW,ATTENDANTS.KING.0.1,m,other,comedy
AWW,ATTENDANTS.KING.0.2,m,other,comedy
Shr,Bianca,f,other,comedy
R3,Jailer,m,other,history
H8,Keeper,m,other,history
H5,Scroop,m,other,history
H5,Pistol,m,other,history
Wiv,John,m,other,comedy
Wiv,Fenton,m,other,comedy
Ant,SERVANTS.X.1,m,other,tragedy
Ant,SERVANTS.X.2,m,other,tragedy
AWW,Page,m,other,comedy
H5,Exeter,m,other,history
H8,Scribe,m,other,history
MM,Justice,m,other,comedy
Ham,ATTENDANTS,m,other,tragedy
AWW,LORDS.COURT.4,m,other,comedy
MV,Arragon,m,other,comedy
AWW,LORDS.COURT.3,m,other,comedy
AWW,LORDS.COURT.1,m,other,comedy
R2,DuchessOfYork,m,other,history
1H6,JohnTalbot,m,other,history
TNK,Woman,f,other,comedy
Shr,Page,m,other,comedy
R2,Berkeley,m,other,history
LLL,Spring,m,other,comedy
AYL,Oliver,m,other,comedy
1H4,Falstaff,m,other,history
TNK,Schoolmaster,m,other,comedy
Tim,SERVANTS.TIMON.X.2,m,other,tragedy
Tim,SERVANTS.TIMON.X.1,m,other,tragedy
H5,QueenOfFrance,f,other,history
Lr,ATTENDANTS.X.3,m,other,tragedy
Lr,ATTENDANTS.X.1,m,other,tragedy
Lr,ATTENDANTS.X.4,m,other,tragedy
R3,Oxford,m,other,history
R3,Hastings,m,other,history
1H6,MESSENGERS.ENGLISH.X.2,m,other,history
Ado,Verges,m,other,comedy
MM,GENTLEMEN.1,m,other,comedy
2H4,SERVANTS.FALSTAFF.1,m,other,history
3H6,Somerset,m,other,history
1H6,Shepherd,m,other,history
Cym,Belarius,m,other,tragedy
R3,DuchessOfYork,m,other,history
JC,SOLDIERS.BRUTUS.Messala,m,other,tragedy
AYL,LORDS.FREDERICK.0.2,m,other,comedy
