play,character,phoneme,zscore
1H4,HenryV,T,-0.182528902
1H4,HenryV,CH,-0.447724087
1H4,HenryV,R,0.074337074
1H4,HenryV,Z,-1.108947012
1H4,HenryV,UH,-0.214661443
1H4,HenryV,AW,1.455262829
1H4,HenryV,AH,0.493349546
1H4,HenryV,AO,-0.001399065
1H4,HenryV,G,0.369076699
1H4,HenryV,K,-0.087851351
1H4,HenryV,N,-0.022626577
1H4,HenryV,M,-0.437532521
1H4,HenryV,S,0.118243067
1H4,HenryV,AA,0.393575251
1H4,HenryV,IH,-0.36693247
1H4,HenryV,UW,-1.046446052
1H4,HenryV,F,0.454795945
1H4,HenryV,EH,0.356383038
1H4,HenryV,EY,-0.372468438
1H4,HenryV,D,0.15043218
1H4,HenryV,ER,-0.763232257
1H4,HenryV,DH,0.926076953
1H4,HenryV,AY,0.304778647
1H4,HenryV,AE,0.79501847
1H4,HenryV,HH,-0.697957045
1H4,HenryV,JH,0.248080967
1H4,HenryV,L,0.733104776
1H4,HenryV,P,-0.119601527
1H4,HenryV,B,-0.075849007
1H4,HenryV,ZH,-0.512311865
1H4,HenryV,Y,-0.527516409
1H4,HenryV,W,0.035675325
1H4,HenryV,V,0.187917551
1H4,HenryV,IY,-0.309502333
1H4,HenryV,OY,-0.171990496
1H4,Hotspur,OW,-0.179122625
1H4,Hotspur,SH,-0.112165345
1H4,Hotspur,TH,-0.069906278
1H4,Hotspur,NG,0.388739286
1H4,Hotspur,T,0.108916204
1H4,Hotspur,CH,-0.308772927
1H4,Hotspur,R,-0.515963847
1H4,Hotspur,Z,-0.066420157
1H4,Hotspur,UH,0.171899555
1H4,Hotspur,AW,0.168654118
1H4,Hotspur,AH,0.515164871
1H4,Hotspur,AO,-0.243787426
1H4,Hotspur,G,-0.181215169
1H4,Hotspur,K,0.603027929
1H4,Hotspur,N,0.779477491
1H4,Hotspur,M,0.120462741
1H4,Hotspur,S,-0.644481573
1H4,Hotspur,AA,0.488548325
1H4,Hotspur,IH,0.18973128
1H4,Hotspur,UW,-0.66441586
1H4,Hotspur,F,-0.485523147
1H4,Hotspur,EH,0.124928608
1H4,Hotspur,EY,0.001214774
1H4,Hotspur,D,0.502359036
1H4,Hotspur,ER,0.07604881
1H4,Hotspur,DH,-0.233379738
1H4,Hotspur,AY,-0.032197382
1H4,Hotspur,AE,-0.43586136
1H4,Hotspur,HH,0.131419057
1H4,Hotspur,JH,-0.013603054
1H4,Hotspur,L,0.459732216
1H4,Hotspur,P,-0.084242171
1H4,Hotspur,B,-0.500912306
1H4,Hotspur,ZH,-0.199286049
