you,'Y UW', s, UW
or,'AO R', s, AO
me,'M IY', s, IY
and,'AH N D', s, 
madam,'M AE D AH M', s, AE
undress,'ɤ N D r e S', s, 
you,'Y UW', s, UW
and,'AH N D', s, 
to,'T UW', s, UW
bed,'B EH D', s, 
it,'IH T', s, IH
stands,'S T AE N D Z', s, AE
so,'S OW', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
hardly,'HH AA R D L IY', s, AA IY
tarrry,'T AW r ǝ IH', s, IH
so,'S OW', s, 
but,'B AH T', s, 
i,'AY', s, AY
be,'B IY', s, IY
loath,'L OW TH', s, 
to,'T UW', s, UW
fall,'F AA L', s, AA
into,'IH N T UW', s, IH UW
my,'M AY', s, AY
dreams,'D R IY M Z', s, IY
again,'ǝ ɡ EH N', s, 
i,'AY', s, AY
will,'W IH L', s, IH
therefre,'DH EH R F AO R', s, AO
tarrry,'T AW r ǝ IH', s, IH
in,'IH N', s, IH
of,'AH V', s, 
the,'DH AH', s, 
flesh,'F L EH SH', s, 
and,'AH N D', s, 
the,'DH AH', s, 
blood,'B L AH D', s, 
marrry,'M AW r ǝ IH', s, IH
i,'AY', s, AY
will,'W IH L', s, IH
let,'L EH T', s, 
them,'DH EH M', s, 
it,'IH T', s, IH
is,'IH Z', s, IH
not,'N AA T', s, AA
a,'AH', s, 
a,'AH', s, 
or,'AO R', s, AO
a,'AH', s, 
tumbling,'T AH M B AH L IH NG', s, IH
trick,'T R IH K', s, IH
what,'W AH T', s, 
stuff,'S T ɤ F', s, 
well,'W EH L', s, 
see,'S IY', s, IY
madam,'M AE D AH M', s, AE
sit,'S IH T', s, IH
by,'B AY', s, AY
my,'M AY', s, AY
and,'AH N D', s, 
let,'L EH T', s, 
the,'DH AH', s, 
slip,'S L IH P', s, IH
we,'W IY', s, IY
shall,'SH AE L', s, AE
be,'B IY', s, IY
yes,'Y IH S', s, IH
by,'B AY', s, AY
saint,'S EY N T', s, EY
do,'D OW', s, 
i,'AY', s, AY
a,'AH', s, 
good,'G UH D', s, UH
matter,'M AW T ǝ R', s, 
of,'AH V', s, 
it,'IH T', s, IH
a,'AH', s, 
very,'V EH R IY', s, IY
of,'AH V', s, 
work,'W AO R K', s, AO
madam,'M AE D AH M', s, AE
lady,'L EY D IY', s, EY IY
