gentlemen,'JH EH N T AH L M IH N', s, IH
a,'AH', s, 
what,'W AH T', s, 
in,'IH N', s, IH
my,'M AY', s, AY
get,'G EH T', s, 
thee,'DH IY', s, IY
in,'IH N', s, IH
was,'W AA Z', s, AA
gentleman,'JH EH N T AH L M AH N', s, 
thus,'DH ɤ S', s, 
grieved,'G r IY V IH D', s, IY IH
as,'AE Z', s, AE
i,'AY', s, AY
but,'B AH T', s, 
who,'HH UW', s, UW
good,'G UH D', s, UH
sve,'EH V', s, 
you,'Y UW', s, UW
gentlemen,'JH EH N T AH L M IH N', s, IH
i,'AY', s, AY
a,'AH', s, 
youre,'Y UH R', s, UH
and,'AH N D', s, 
he,'HH IY', s, IY
for,'F AO R', s, AO
your,'Y AO R', s, AO
good,'G UH D', s, UH
but,'B AH T', s, 
for,'F AO R', s, AO
my,'M AY', s, AY
katherne,'K AE TH ER IH N', s, AE IH
this,'DH IH S', s, IH
i,'AY', s, AY
she,'SH IY', s, IY
is,'IH Z', s, IH
not,'N AA T', s, AA
for,'F AO R', s, AO
your,'Y AO R', s, AO
turn,'T ɐ R N', s, 
the,'DH AH', s, 
my,'M AY', s, AY
grief,'G R IY F', s, IY
me,'M IY', s, IY
not,'N AA T', s, AA
i,'AY', s, AY
speak,'S P IY K', s, IY
but,'B AH T', s, 
as,'AE Z', s, AE
i,'AY', s, AY
you,'Y UW', s, UW
what,'W AH T', s, 
i,'AY', s, AY
call,'K AO L', s, AO
your,'Y AO R', s, AO
i,'AY', s, AY
him,'HH IH M', s, IH
well,'W EH L', s, 
you,'Y UW', s, UW
for,'F AO R', s, AO
his,'HH IH Z', s, IH
a,'AH', s, 
thanks,'TH AE NG K S', s, AE
good,'G UH D', s, UH
but,'B AH T', s, 
methinks,'M IH TH IH NG K S', s, IH IH
you,'Y UW', s, UW
a,'AH', s, 
i,'AY', s, AY
be,'B IY', s, IY
so,'S OW', s, 
bold,'B OW L D', s, 
to,'T UW', s, UW
the,'DH AH', s, 
of,'AH V', s, 
your,'Y AO R', s, AO
is,'IH Z', s, IH
your,'Y AO R', s, AO
of,'AH V', s, 
i,'AY', s, AY
a,'AH', s, 
mighty,'M ǝ IH T ǝ IH', s, IH IH
man,'M AE N', s, AE
of,'AH V', s, 
pisa,'P IY S AH', s, IY
by,'B AY', s, AY
report,'r IH P AO R T', s, IH AO
i,'AY', s, AY
him,'HH IH M', s, IH
well,'W EH L', s, 
you,'Y UW', s, UW
very,'V EH R IY', s, IY
you,'Y UW', s, UW
the,'DH AH', s, 
and,'AH N D', s, 
you,'Y UW', s, UW
the,'DH AH', s, 
set,'S EH T', s, 
of,'AH V', s, 
books,'B UH K S', s, UH
you,'Y UW', s, UW
shall,'SH AE L', s, AE
go,'G OW', s, 
see,'S IY', s, IY
your,'Y AO R', s, AO
presently,'P R EH Z AH N T L IY', s, IY
within,'W IH DH IH N', s, IH IH
lead,'L EH D', s, 
gentlemen,'JH EH N T AH L M IH N', s, IH
to,'T UW', s, UW
my,'M AY', s, AY
and,'AH N D', s, 
tell,'T EH L', s, 
them,'DH EH M', s, 
both,'B OW TH', s, 
their,'DH EH R', s, 
bid,'B IH D', s, IH
them,'DH EH M', s, 
them,'DH EH M', s, 
well,'W EH L', s, 
we,'W IY', s, IY
will,'W IH L', s, IH
go,'G OW', s, 
a,'AH', s, 
in,'IH N', s, IH
the,'DH AH', s, 
and,'AH N D', s, 
then,'DH EH N', s, 
to,'T UW', s, UW
you,'Y UW', s, UW
and,'AH N D', s, 
so,'S OW', s, 
i,'AY', s, AY
you,'Y UW', s, UW
all,'AA L', s, AA
to,'T UW', s, UW
think,'TH IH NG K', s, IH
after,'AW F T ǝ R', s, 
my,'M AY', s, AY
death,'D EH TH', s, 
the,'DH AH', s, 
of,'AH V', s, 
my,'M AY', s, AY
lands,'L AE N D Z', s, AE
and,'AH N D', s, 
in,'IH N', s, IH
crowns,'K r ǝ UH N Z', s, UH
when,'ʍ e N', s, 
the,'DH AH', s, 
is,'IH Z', s, IH
well,'W EH L', s, 
that,'DH AE T', s, AE
is,'IH Z', s, IH
for,'F AO R', s, AO
that,'DH AE T', s, AE
is,'IH Z', s, IH
all,'AA L', s, AA
in,'IH N', s, IH
all,'AA L', s, AA
well,'W EH L', s, 
thou,'DH AW', s, 
woo,'W UW', s, UW
and,'AH N D', s, 
be,'B IY', s, IY
speed,'S P IY D', s, IY
but,'B AH T', s, 
be,'B IY', s, IY
thou,'DH AW', s, 
for,'F AO R', s, AO
my,'M AY', s, AY
friend,'F R EH N D', s, 
whhy,'ʍ ǝ IH', s, IH
dost,'D AA S T', s, AA
thou,'DH AW', s, 
look,'L UH K', s, UH
so,'S OW', s, 
what,'W AH T', s, 
will,'W IH L', s, IH
my,'M AY', s, AY
a,'AH', s, 
good,'G UH D', s, UH
whhy,'ʍ ǝ IH', s, IH
then,'DH EH N', s, 
thou,'DH AW', s, 
not,'N AA T', s, AA
break,'B R EY K', s, EY
to,'T UW', s, UW
the,'DH AH', s, 
well,'W EH L', s, 
go,'G OW', s, 
with,'W IH DH', s, IH
me,'M IY', s, IY
and,'AH N D', s, 
be,'B IY', s, IY
not,'N AA T', s, AA
so,'S OW', s, 
proceed,'P R AH S IY D', s, IY
in,'IH N', s, IH
with,'W IH DH', s, IH
my,'M AY', s, AY
apt,'AE P T', s, AE
to,'T UW', s, UW
and,'AH N D', s, 
thankful,'TH AE NG K F AH L', s, AE
for,'F AO R', s, AO
good,'G UH D', s, UH
turns,'T ɐ R N Z', s, 
will,'W IH L', s, IH
you,'Y UW', s, UW
go,'G OW', s, 
with,'W IH DH', s, IH
us,'AH S', s, 
or,'AO R', s, AO
shall,'SH AE L', s, AE
i,'AY', s, AY
send,'S EH N D', s, 
my,'M AY', s, AY
to,'T UW', s, UW
you,'Y UW', s, UW
speed,'S P IY D', s, IY
you,'Y UW', s, UW
with,'W IH DH', s, IH
my,'M AY', s, AY
whhy,'ʍ ǝ IH', s, IH
katherne,'K AE TH ER IH N', s, AE IH
in,'IH N', s, IH
your,'Y AO R', s, AO
dumps,'D AH M P S', s, 
i,'AY', s, AY
not,'N AA T', s, AA
what,'W AH T', s, 
to,'T UW', s, UW
but,'B AH T', s, 
me,'M IY', s, IY
your,'Y AO R', s, AO
god,'G AA D', s, AA
send,'S EH N D', s, 
you,'Y UW', s, UW
a,'AH', s, 
faith,'F EY TH', s, EY
gentlemen,'JH EH N T AH L M IH N', s, IH
i,'AY', s, AY
a,'AH', s, 
part,'P AA R T', s, AA
and,'AH N D', s, 
on,'AA N', s, AA
a,'AH', s, 
desperte,'D EH S P R IH T', s, IH
mart,'M AA R T', s, AA
the,'DH AH', s, 
gain,'G EH N', s, 
i,'AY', s, AY
seek,'S IY K', s, IY
is,'IH Z', s, IH
in,'IH N', s, IH
the,'DH AH', s, 
content,'K ǝ N T e N T', s, 
you,'Y UW', s, UW
gentlemen,'JH EH N T AH L M IH N', s, IH
i,'AY', s, AY
will,'W IH L', s, IH
compound,'K AA M P AW N D', s, AA
this,'DH IH S', s, IH
deeds,'D IY D Z', s, IY
must,'M AH S T', s, 
win,'W IH N', s, IH
the,'DH AH', s, 
and,'AH N D', s, 
he,'HH IY', s, IY
of,'AH V', s, 
both,'B OW TH', s, 
that,'DH AE T', s, AE
can,'K AE N', s, AE
my,'M AY', s, AY
greatest,'G r e T ǝ S T', s, 
shall,'SH AE L', s, AE
my,'M AY', s, AY
what,'W AH T', s, 
can,'K AE N', s, AE
you,'Y UW', s, UW
i,'AY', s, AY
must,'M AH S T', s, 
confess,'K AH N F EH S', s, 
your,'Y AO R', s, AO
offer,'ɒ F ǝ R', s, 
is,'IH Z', s, IH
the,'DH AH', s, 
best,'B EH S T', s, 
and,'AH N D', s, 
let,'L EH T', s, 
your,'Y AO R', s, AO
the,'DH AH', s, 
she,'SH IY', s, IY
is,'IH Z', s, IH
your,'Y AO R', s, AO
you,'Y UW', s, UW
must,'M AH S T', s, 
pardon,'P AA R D ǝ N', s, AA
me,'M IY', s, IY
if,'IH F', s, IH
you,'Y UW', s, UW
him,'HH IH M', s, IH
well,'W EH L', s, 
gentlemen,'JH EH N T AH L M IH N', s, IH
i,'AY', s, AY
am,'AE M', s, AE
thus,'DH ɤ S', s, 
on,'AA N', s, AA
you,'Y UW', s, UW
my,'M AY', s, AY
katherne,'K AE TH ER IH N', s, AE IH
is,'IH Z', s, IH
to,'T UW', s, UW
be,'B IY', s, IY
on,'AA N', s, AA
the,'DH AH', s, 
shall,'SH AE L', s, AE
be,'B IY', s, IY
to,'T UW', s, UW
you,'Y UW', s, UW
if,'IH F', s, IH
you,'Y UW', s, UW
this,'DH IH S', s, IH
if,'IH F', s, IH
not,'N AA T', s, AA
to,'T UW', s, UW
and,'AH N D', s, 
so,'S OW', s, 
i,'AY', s, AY
my,'M AY', s, AY
and,'AH N D', s, 
thank,'TH AE NG K', s, AE
you,'Y UW', s, UW
both,'B OW TH', s, 
this,'DH IH S', s, IH
is,'IH Z', s, IH
the,'DH AH', s, 
that,'DH AE T', s, AE
katherne,'K AE TH ER IH N', s, AE IH
and,'AH N D', s, 
be,'B IY', s, IY
and,'AH N D', s, 
yet,'Y EH T', s, 
we,'W IY', s, IY
not,'N AA T', s, AA
of,'AH V', s, 
our,'OW R', s, 
son-in-law,'S ɤ N - IH N - ˌ L AO', s, IH AO
what,'W AH T', s, 
will,'W IH L', s, IH
be,'B IY', s, IY
said,'S EH D', s, 
what,'W AH T', s, 
mockery,'M ɒ K r ǝ IH', s, IH
will,'W IH L', s, IH
it,'IH T', s, IH
be,'B IY', s, IY
to,'T UW', s, UW
want,'W AA N T', s, AA
the,'DH AH', s, 
when,'ʍ e N', s, 
the,'DH AH', s, 
priest,'P R IY S T', s, IY
attends,'AH T EH N D Z', s, 
to,'T UW', s, UW
speak,'S P IY K', s, IY
the,'DH AH', s, 
of,'AH V', s, 
what,'W AH T', s, 
to,'T UW', s, UW
this,'DH IH S', s, IH
of,'AH V', s, 
ours,'OW R Z', s, 
go,'G OW', s, 
i,'AY', s, AY
cannot,'K AE N AA T', s, AE AA
thee,'DH IY', s, IY
to,'T UW', s, UW
weep,'W IY P', s, IY
for,'F AO R', s, AO
an,'AE N', s, AE
a,'AH', s, 
very,'V EH R IY', s, IY
saint,'S EY N T', s, EY
a,'AH', s, 
of,'AH V', s, 
humor,'HH Y UW M ER', s, UW
is,'IH Z', s, IH
it,'IH T', s, IH
and,'AH N D', s, 
old,'OW L D', s, 
too,'T UW', s, UW
that,'DH AE T', s, AE
be,'B IY', s, IY
is,'IH Z', s, IH
he,'HH IY', s, IY
what,'W AH T', s, 
then,'DH EH N', s, 
when,'ʍ e N', s, 
will,'W IH L', s, IH
he,'HH IY', s, IY
be,'B IY', s, IY
who,'HH UW', s, UW
with,'W IH DH', s, IH
him,'HH IH M', s, IH
i,'AY', s, AY
am,'AE M', s, AE
glad,'G L AE D', s, AE
he,'HH IY', s, IY
thou,'DH AW', s, 
not,'N AA T', s, AA
he,'HH IY', s, IY
that,'DH AE T', s, AE
whhy,'ʍ ǝ IH', s, IH
all,'AA L', s, AA
you,'Y UW', s, UW
and,'AH N D', s, 
yet,'Y EH T', s, 
you,'Y UW', s, UW
not,'N AA T', s, AA
whhy,'ʍ ǝ IH', s, IH
you,'Y UW', s, UW
this,'DH IH S', s, IH
is,'IH Z', s, IH
your,'Y AO R', s, AO
wre,'W ER', s, 
we,'W IY', s, IY
sad,'S AE D', s, AE
you,'Y UW', s, UW
not,'N AA T', s, AA
that,'DH AE T', s, AE
you,'Y UW', s, UW
so,'S OW', s, 
doff,'D AO F', s, AO
this,'DH IH S', s, IH
habit,'HH AE B AH T', s, AE
to,'T UW', s, UW
your,'Y AO R', s, AO
an,'AE N', s, AE
to,'T UW', s, UW
our,'OW R', s, 
but,'B AH T', s, 
thus,'DH ɤ S', s, 
i,'AY', s, AY
trust,'T r ɤ S T', s, 
you,'Y UW', s, UW
will,'W IH L', s, IH
not,'N AA T', s, AA
marrry,'M AW r ǝ IH', s, IH
after,'AW F T ǝ R', s, 
him,'HH IH M', s, IH
and,'AH N D', s, 
see,'S IY', s, IY
the,'DH AH', s, 
event,'IH V EH N T', s, IH
of,'AH V', s, 
this,'DH IH S', s, IH
is,'IH Z', s, IH
you,'Y UW', s, UW
will,'W IH L', s, IH
let,'L EH T', s, 
them,'DH EH M', s, 
go,'G OW', s, 
a,'AH', s, 
of,'AH V', s, 
ones,'W AH N Z', s, 
and,'AH N D', s, 
friends,'F R EH N D Z', s, 
and,'AH N D', s, 
wants,'W AA N T S', s, AA
for,'F AO R', s, AO
to,'T UW', s, UW
suppply,'S ǝ P L ǝ IH', s, IH
the,'DH AH', s, 
at,'AE T', s, AE
the,'DH AH', s, 
you,'Y UW', s, UW
wants,'W AA N T S', s, AA
no,'N OW', s, 
junkets,'JH AH NG K IH T S', s, IH
at,'AE T', s, AE
the,'DH AH', s, 
feast,'F e S T', s, 
you,'Y UW', s, UW
shall,'SH AE L', s, AE
suppply,'S ǝ P L ǝ IH', s, IH
the,'DH AH', s, 
and,'AH N D', s, 
let,'L EH T', s, 
room,'R UW M', s, UW
she,'SH IY', s, IY
shall,'SH AE L', s, AE
gentlemen,'JH EH N T AH L M IH N', s, IH
go,'G OW', s, 
pardon,'P AA R D ǝ N', s, AA
me,'M IY', s, IY
in,'IH N', s, IH
what,'W AH T', s, 
i,'AY', s, AY
to,'T UW', s, UW
your,'Y AO R', s, AO
and,'AH N D', s, 
your,'Y AO R', s, AO
shortness,'SH AO R T N ǝ S', s, AO
me,'M IY', s, IY
well,'W EH L', s, 
true,'T R UW', s, UW
it,'IH T', s, IH
is,'IH Z', s, IH
your,'Y AO R', s, AO
son,'S AO ̃', s, AO
doth,'D AO TH', s, AO
my,'M AY', s, AY
and,'AH N D', s, 
she,'SH IY', s, IY
him,'HH IH M', s, IH
or,'AO R', s, AO
both,'B OW TH', s, 
their,'DH EH R', s, 
affections,'AH F EH K SH AH N Z', s, 
and,'AH N D', s, 
therefre,'DH EH R F AO R', s, AO
if,'IH F', s, IH
you,'Y UW', s, UW
no,'N OW', s, 
than,'DH AE N', s, AE
this,'DH IH S', s, IH
that,'DH AE T', s, AE
a,'AH', s, 
you,'Y UW', s, UW
will,'W IH L', s, IH
deal,'D EH L', s, 
with,'W IH DH', s, IH
him,'HH IH M', s, IH
and,'AH N D', s, 
pass,'P AE S', s, AE
my,'M AY', s, AY
a,'AH', s, 
the,'DH AH', s, 
is,'IH Z', s, IH
and,'AH N D', s, 
all,'AA L', s, AA
is,'IH Z', s, IH
your,'Y AO R', s, AO
son,'S AO ̃', s, AO
shall,'SH AE L', s, AE
my,'M AY', s, AY
with,'W IH DH', s, IH
consent,'K AH N S EH N T', s, 
not,'N AA T', s, AA
in,'IH N', s, IH
my,'M AY', s, AY
for,'F AO R', s, AO
you,'Y UW', s, UW
ears,'IY R Z', s, IY
and,'AH N D', s, 
i,'AY', s, AY
besides,'B IH S ə IH D Z', s, IH IH
old,'OW L D', s, 
is,'IH Z', s, IH
still,'S T IH L', s, IH
and,'AH N D', s, 
we,'W IY', s, IY
be,'B IY', s, IY
it,'IH T', s, IH
me,'M IY', s, IY
hie,'ǝ IH', s, IH
you,'Y UW', s, UW
hme,'OW M', s, 
and,'AH N D', s, 
bid,'B IH D', s, IH
ready,'R EH D IY', s, IY
and,'AH N D', s, 
if,'IH F', s, IH
you,'Y UW', s, UW
will,'W IH L', s, IH
tell,'T EH L', s, 
what,'W AH T', s, 
hath,'HH AE TH', s, AE
is,'IH Z', s, IH
in,'IH N', s, IH
and,'AH N D', s, 
to,'T UW', s, UW
be,'B IY', s, IY
i,'AY', s, AY
you,'Y UW', s, UW
what,'W AH T', s, 
is,'IH Z', s, IH
the,'DH AH', s, 
man,'M AE N', s, AE
lunatic,'L UW N AH T IH K', s, UW IH
you,'Y UW', s, UW
you,'Y UW', s, UW
what,'W AH T', s, 
do,'D OW', s, 
you,'Y UW', s, UW
think,'TH IH NG K', s, IH
is,'IH Z', s, IH
his,'HH IH Z', s, IH
not,'N AA T', s, AA
i,'AY', s, AY
he,'HH IY', s, IY
shall,'SH AE L', s, AE
go,'G OW', s, 
to,'T UW', s, UW
prison,'P R IH Z AH N', s, IH
with,'W IH DH', s, IH
the,'DH AH', s, 
dotard,'D OW T ǝ R D', s, 
to,'T UW', s, UW
the,'DH AH', s, 
jail,'JH EY L', s, EY
with,'W IH DH', s, IH
him,'HH IH M', s, IH
hast,'HH AE S T', s, AE
thou,'DH AW', s, 
offended,'AH F EH N D AH D', s, 
is,'IH Z', s, IH
whhy,'ʍ ǝ IH', s, IH
tell,'T EH L', s, 
me,'M IY', s, IY
is,'IH Z', s, IH
not,'N AA T', s, AA
this,'DH IH S', s, IH
my,'M AY', s, AY
but,'B AH T', s, 
do,'D OW', s, 
you,'Y UW', s, UW
you,'Y UW', s, UW
my,'M AY', s, AY
my,'M AY', s, AY
goodwill,'G UH D W IH L', s, UH IH
and,'AH N D', s, 
i,'AY', s, AY
to,'T UW', s, UW
the,'DH AH', s, 
depth,'D EH P TH', s, 
of,'AH V', s, 
this,'DH IH S', s, IH
affords,'ǝ F AO R D Z', s, AO
this,'DH IH S', s, IH
kindness,'K AY N D N AH S', s, AY
son,'S AO ̃', s, AO
o,'OW', s, 
o,'OW', s, 
you,'Y UW', s, UW
in,'IH N', s, IH
good,'G UH D', s, UH
sadness,'S AE D N AH S', s, AE
son,'S AO ̃', s, AO
i,'AY', s, AY
think,'TH IH NG K', s, IH
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
the,'DH AH', s, 
of,'AH V', s, 
all,'AA L', s, AA
son,'S AO ̃', s, AO
be,'B IY', s, IY
your,'Y AO R', s, AO
by,'B AY', s, AY
my,'M AY', s, AY
fair,'F EH R', s, 
befall,'B IH F AO L', s, IH AO
thee,'DH IY', s, IY
good,'G UH D', s, UH
the,'DH AH', s, 
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
won,'W ɤ N', s, 
and,'AH N D', s, 
i,'AY', s, AY
will,'W IH L', s, IH
add,'AE D', s, AE
unto,'AH N T UW', s, UW
their,'DH EH R', s, 
losses,'L AO S AH Z', s, AO
crowns,'K r ǝ UH N Z', s, UH
another,'ǝ N ɤ DH ǝ R', s, 
to,'T UW', s, UW
another,'ǝ N ɤ DH ǝ R', s, 
for,'F AO R', s, AO
she,'SH IY', s, IY
is,'IH Z', s, IH
as,'AE Z', s, AE
she,'SH IY', s, IY
had,'HH AE D', s, AE
never,'N e V ǝ R', s, 
been,'B IH N', s, IH
