i,'AY', s, AY
to,'T UW', s, UW
me,'M IY', s, IY
wait,'W EH T', s, 
at,'AE T', s, AE
door,'D AO R', s, AO
a,'AH', s, 
grooms,'G R UW M Z', s, UW
and,'AH N D', s, 
but,'B AH T', s, 
their,'DH EH R', s, 
must,'M AH S T', s, 
be,'B IY', s, IY
and,'AH N D', s, 
i,'AY', s, AY
attend,'AH T EH N D', s, 
with,'W IH DH', s, IH
my,'M AY', s, AY
good,'G UH D', s, UH
lords,'L AO R D Z', s, AO
in,'IH N', s, IH
all,'AA L', s, AA
the,'DH AH', s, 
progress,'P r OW G r e S', s, 
both,'B OW TH', s, 
of,'AH V', s, 
my,'M AY', s, AY
and,'AH N D', s, 
i,'AY', s, AY
and,'AH N D', s, 
with,'W IH DH', s, IH
no,'N OW', s, 
study,'S T AH D IY', s, IY
that,'DH AE T', s, AE
my,'M AY', s, AY
teaching,'T IY T SH IH N', s, IY IH
and,'AH N D', s, 
the,'DH AH', s, 
of,'AH V', s, 
my,'M AY', s, AY
go,'G OW', s, 
and,'AH N D', s, 
safely,'S EH F L ǝ IH', s, IH
and,'AH N D', s, 
the,'DH AH', s, 
end,'EH N D', s, 
was,'W AA Z', s, AA
to,'T UW', s, UW
do,'D OW', s, 
well,'W EH L', s, 
nor,'N AO R', s, AO
is,'IH Z', s, IH
i,'AY', s, AY
speak,'S P IY K', s, IY
it,'IH T', s, IH
with,'W IH DH', s, IH
a,'AH', s, 
heart,'HH AA R T', s, AA
my,'M AY', s, AY
lords,'L AO R D Z', s, AO
a,'AH', s, 
man,'M AE N', s, AE
that,'DH AE T', s, AE
stirs,'S T ɐ R Z', s, 
against,'AH G EH N S T', s, 
both,'B OW TH', s, 
in,'IH N', s, IH
his,'HH IH Z', s, IH
and,'AH N D', s, 
his,'HH IH Z', s, IH
of,'AH V', s, 
a,'AH', s, 
public,'P ɤ B L IH K', s, IH
than,'DH AE N', s, AE
i,'AY', s, AY
do,'D OW', s, 
heaven,'HH EH V AH N', s, 
the,'DH AH', s, 
never,'N e V ǝ R', s, 
a,'AH', s, 
heart,'HH AA R T', s, AA
with,'W IH DH', s, IH
less,'L EH S', s, 
in,'IH N', s, IH
it,'IH T', s, IH
men,'M EH N', s, 
that,'DH AE T', s, AE
and,'AH N D', s, 
the,'DH AH', s, 
best,'B EH S T', s, 
i,'AY', s, AY
do,'D OW', s, 
beseech,'B IY S IY CH', s, IY IY
your,'Y AO R', s, AO
that,'DH AE T', s, AE
in,'IH N', s, IH
this,'DH IH S', s, IH
of,'AH V', s, 
my,'M AY', s, AY
accusers,'AH K Y UW Z ER Z', s, UW
be,'B IY', s, IY
what,'W AH T', s, 
will,'W IH L', s, IH
stand,'S T AE N D', s, AE
forth,'F AO R TH', s, AO
to,'T UW', s, UW
and,'AH N D', s, 
freely,'F R IY L IY', s, IY IY
uge,'ER JH', s, 
against,'AH G EH N S T', s, 
me,'M IY', s, IY
my,'M AY', s, AY
good,'G UH D', s, UH
lord,'L AO R D', s, AO
of,'AH V', s, 
i,'AY', s, AY
thank,'TH AE NG K', s, AE
you,'Y UW', s, UW
you,'Y UW', s, UW
my,'M AY', s, AY
good,'G UH D', s, UH
friend,'F R EH N D', s, 
if,'IH F', s, IH
your,'Y AO R', s, AO
will,'W IH L', s, IH
pass,'P AE S', s, AE
i,'AY', s, AY
shall,'SH AE L', s, AE
both,'B OW TH', s, 
your,'Y AO R', s, AO
juge,'JH AH JH', s, 
and,'AH N D', s, 
you,'Y UW', s, UW
so,'S OW', s, 
i,'AY', s, AY
see,'S IY', s, IY
your,'Y AO R', s, AO
end,'EH N D', s, 
my,'M AY', s, AY
undoing,'ɤ N D UW IH N', s, UW IH
and,'AH N D', s, 
lord,'L AO R D', s, AO
a,'AH', s, 
better,'B e T ə R', s, 
than,'DH AE N', s, AE
ambition,'AE M B IH SH AH N', s, AE IH
win,'W IH N', s, IH
souls,'S OW L Z', s, 
with,'W IH DH', s, IH
modesty,'M AA D AH S T IY', s, AA IY
again,'ǝ ɡ EH N', s, 
cast,'K AW S T', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
shall,'SH AE L', s, AE
clear,'K L IY R', s, IY
myself,'M AY S EH L F', s, AY
all,'AA L', s, AA
the,'DH AH', s, 
you,'Y UW', s, UW
can,'K AE N', s, AE
upon,'AH P AA N', s, AA
my,'M AY', s, AY
i,'AY', s, AY
as,'AE Z', s, AE
doubt,'D ǝ UH T', s, UH
as,'AE Z', s, AE
you,'Y UW', s, UW
do,'D OW', s, 
in,'IH N', s, IH
doing,'D UW IH N', s, UW IH
i,'AY', s, AY
but,'B AH T', s, 
reverece,'r e V r ǝ N S', s, 
to,'T UW', s, UW
your,'Y AO R', s, AO
me,'M IY', s, IY
modest,'M AA D AH S T', s, AA
is,'IH Z', s, IH
no,'N OW', s, 
of,'AH V', s, 
but,'B AH T', s, 
i,'AY', s, AY
must,'M AH S T', s, 
needs,'N IY D Z', s, IY
to,'T UW', s, UW
my,'M AY', s, AY
lords,'L AO R D Z', s, AO
for,'F AO R', s, AO
me,'M IY', s, IY
must,'M AH S T', s, 
i,'AY', s, AY
go,'G OW', s, 
a,'AH', s, 
good,'G UH D', s, UH
my,'M AY', s, AY
lords,'L AO R D Z', s, AO
i,'AY', s, AY
a,'AH', s, 
yet,'Y EH T', s, 
to,'T UW', s, UW
look,'L UH K', s, UH
my,'M AY', s, AY
lords,'L AO R D Z', s, AO
by,'B AY', s, AY
of,'AH V', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
my,'M AY', s, AY
out,'AW T', s, 
of,'AH V', s, 
the,'DH AH', s, 
grips,'G R IH P S', s, IH
of,'AH V', s, 
men,'M EH N', s, 
and,'AH N D', s, 
it,'IH T', s, IH
to,'T UW', s, UW
a,'AH', s, 
most,'M OW S T', s, 
juge,'JH AH JH', s, 
the,'DH AH', s, 
my,'M AY', s, AY
master,'M AW S T ǝ R', s, 
the,'DH AH', s, 
greatest,'G r e T ǝ S T', s, 
monarch,'M AA N AA R K', s, AA AA
in,'IH N', s, IH
an,'AE N', s, AE
i,'AY', s, AY
it,'IH T', s, IH
that,'DH AE T', s, AE
am,'AE M', s, AE
a,'AH', s, 
poor,'P UH R', s, UH
and,'AH N D', s, 
subject,'S AH B JH EH K T', s, 
to,'T UW', s, UW
you,'Y UW', s, UW
and,'AH N D', s, 
let,'L EH T', s, 
heaven,'HH EH V AH N', s, 
witness,'W IH T N AH S', s, IH
dear,'D IY R', s, IY
i,'AY', s, AY
this,'DH IH S', s, IH
and,'AH N D', s, 
to,'T UW', s, UW
your,'Y AO R', s, AO
and,'AH N D', s, 
the,'DH AH', s, 
good,'G UH D', s, UH
my,'M AY', s, AY
partners,'P AA R T N ǝ R Z', s, AA
and,'AH N D', s, 
myself,'M AY S EH L F', s, AY
thus,'DH ɤ S', s, 
all,'AA L', s, AA
comfort,'K ɤ M F ǝ R T', s, 
in,'IH N', s, IH
this,'DH IH S', s, IH
most,'M OW S T', s, 
lady,'L EY D IY', s, EY IY
heaven,'HH EH V AH N', s, 
laid,'L EH D', s, 
up,'AH P', s, 
to,'T UW', s, UW
parents,'P EH R AH N T S', s, 
fall,'F AA L', s, AA
upon,'AH P AA N', s, AA
you,'Y UW', s, UW
amen,'EY M EH N', s, EY
let,'L EH T', s, 
me,'M IY', s, IY
speak,'S P IY K', s, IY
for,'F AO R', s, AO
heaven,'HH EH V AH N', s, 
bids,'B IH D Z', s, IH
me,'M IY', s, IY
and,'AH N D', s, 
the,'DH AH', s, 
i,'AY', s, AY
let,'L EH T', s, 
think,'TH IH NG K', s, IH
for,'F AO R', s, AO
truth,'T R UW TH', s, UW
this,'DH IH S', s, IH
still,'S T IH L', s, IH
in,'IH N', s, IH
yet,'Y EH T', s, 
promises,'P R AA M AH S AH Z', s, AA
upon,'AH P AA N', s, AA
this,'DH IH S', s, IH
land,'L AE N D', s, AE
a,'AH', s, 
shall,'SH AE L', s, AE
to,'T UW', s, UW
she,'SH IY', s, IY
shall,'SH AE L', s, AE
be,'B IY', s, IY
but,'B AH T', s, 
few,'F Y UW', s, UW
can,'K AE N', s, AE
behold,'B IH HH OW L D', s, IH
that,'DH AE T', s, AE
goodness,'G UH D N AH S', s, UH
a,'AH', s, 
pattern,'P AW T ǝ R N', s, 
to,'T UW', s, UW
all,'AA L', s, AA
princes,'P R IH N S AH Z', s, IH
with,'W IH DH', s, IH
and,'AH N D', s, 
all,'AA L', s, AA
that,'DH AE T', s, AE
shall,'SH AE L', s, AE
saba,'S AA B ǝ', s, AA
was,'W AA Z', s, AA
never,'N e V ǝ R', s, 
of,'AH V', s, 
wisdom,'W IH Z D AH M', s, IH
and,'AH N D', s, 
fair,'F EH R', s, 
than,'DH AE N', s, AE
this,'DH IH S', s, IH
soul,'S OW L', s, 
shall,'SH AE L', s, AE
be,'B IY', s, IY
all,'AA L', s, AA
princely,'P r IH N S L ǝ IH', s, IH IH
graces,'G R EY S IH Z', s, EY IH
that,'DH AE T', s, AE
mold,'M OW L D', s, 
up,'AH P', s, 
a,'AH', s, 
mighty,'M ǝ IH T ǝ IH', s, IH IH
as,'AE Z', s, AE
this,'DH IH S', s, IH
is,'IH Z', s, IH
with,'W IH DH', s, IH
all,'AA L', s, AA
the,'DH AH', s, 
that,'DH AE T', s, AE
attend,'AH T EH N D', s, 
the,'DH AH', s, 
good,'G UH D', s, UH
shall,'SH AE L', s, AE
still,'S T IH L', s, IH
be,'B IY', s, IY
doubled,'D AH B AH L D', s, 
on,'AA N', s, AA
truth,'T R UW TH', s, UW
shall,'SH AE L', s, AE
nuse,'N ER S', s, 
holy,'HH OW L IY', s, IY
and,'AH N D', s, 
still,'S T IH L', s, IH
she,'SH IY', s, IY
shall,'SH AE L', s, AE
be,'B IY', s, IY
and,'AH N D', s, 
shall,'SH AE L', s, AE
bless,'B L EH S', s, 
foes,'F OW Z', s, 
a,'AH', s, 
field,'F IY L D', s, IY
of,'AH V', s, 
beaten,'B IY T ə N', s, IY
corn,'K AO R N', s, AO
and,'AH N D', s, 
their,'DH EH R', s, 
heads,'HH EH D Z', s, 
with,'W IH DH', s, IH
good,'G UH D', s, UH
with,'W IH DH', s, IH
in,'IH N', s, IH
every,'e V r ǝ IH', s, IH
man,'M AE N', s, AE
shall,'SH AE L', s, AE
eat,'IY T', s, IY
in,'IH N', s, IH
safety,'S EH F T ǝ IH', s, IH
under,'ɤ N D ǝ R', s, 
his,'HH IH Z', s, IH
what,'W AH T', s, 
he,'HH IY', s, IY
plants,'P L AW N T S', s, 
and,'AH N D', s, 
the,'DH AH', s, 
merrry,'M e r ǝ IH', s, IH
of,'AH V', s, 
to,'T UW', s, UW
all,'AA L', s, AA
his,'HH IH Z', s, IH
god,'G AA D', s, AA
shall,'SH AE L', s, AE
be,'B IY', s, IY
and,'AH N D', s, 
from,'F R AH M', s, 
shall,'SH AE L', s, AE
read,'r e D', s, 
the,'DH AH', s, 
of,'AH V', s, 
and,'AH N D', s, 
by,'B AY', s, AY
claim,'K L EH M', s, 
their,'DH EH R', s, 
greatness,'G r e T N ǝ S', s, 
not,'N AA T', s, AA
by,'B AY', s, AY
blood,'B L AH D', s, 
nor,'N AO R', s, AO
shall,'SH AE L', s, AE
this,'DH IH S', s, IH
sleep,'S L IY P', s, IY
with,'W IH DH', s, IH
but,'B AH T', s, 
as,'AE Z', s, AE
when,'ʍ e N', s, 
the,'DH AH', s, 
bird,'B ɐ R D', s, 
of,'AH V', s, 
wonder,'W ɤ N D ǝ R', s, 
the,'DH AH', s, 
maiden,'M EY D AH N', s, EY
phoenix,'F IY N IH K S', s, IY IH
ashes,'AE SH AH Z', s, AE
another,'ǝ N ɤ DH ǝ R', s, 
as,'AE Z', s, AE
great,'G r e T', s, 
in,'IH N', s, IH
as,'AE Z', s, AE
so,'S OW', s, 
shall,'SH AE L', s, AE
she,'SH IY', s, IY
to,'T UW', s, UW
when,'ʍ e N', s, 
heaven,'HH EH V AH N', s, 
shall,'SH AE L', s, AE
call,'K AO L', s, AO
from,'F R AH M', s, 
this,'DH IH S', s, IH
of,'AH V', s, 
darkness,'D AA R K N AH S', s, AA
who,'HH UW', s, UW
from,'F R AH M', s, 
the,'DH AH', s, 
sacred,'S EY K R AH D', s, EY
ashes,'AE SH AH Z', s, AE
of,'AH V', s, 
shall,'SH AE L', s, AE
as,'AE Z', s, AE
great,'G r e T', s, 
in,'IH N', s, IH
as,'AE Z', s, AE
she,'SH IY', s, IY
was,'W AA Z', s, AA
and,'AH N D', s, 
so,'S OW', s, 
stand,'S T AE N D', s, AE
fixed,'F IH K S T', s, IH
truth,'T R UW TH', s, UW
terror,'T e r ǝ R', s, 
that,'DH AE T', s, AE
wre,'W ER', s, 
the,'DH AH', s, 
to,'T UW', s, UW
this,'DH IH S', s, IH
infant,'IH N F AH N T', s, IH
shall,'SH AE L', s, AE
then,'DH EH N', s, 
be,'B IY', s, IY
his,'HH IH Z', s, IH
and,'AH N D', s, 
a,'AH', s, 
to,'T UW', s, UW
him,'HH IH M', s, IH
the,'DH AH', s, 
sun,'S AH N', s, 
of,'AH V', s, 
heaven,'HH EH V AH N', s, 
shall,'SH AE L', s, AE
his,'HH IH Z', s, IH
and,'AH N D', s, 
the,'DH AH', s, 
greatness,'G r e T N ǝ S', s, 
of,'AH V', s, 
his,'HH IH Z', s, IH
shall,'SH AE L', s, AE
be,'B IY', s, IY
and,'AH N D', s, 
nations,'N EY SH AH N Z', s, EY
he,'HH IY', s, IY
shall,'SH AE L', s, AE
flourish,'F L ɤ r IH SH', s, IH
and,'AH N D', s, 
a,'AH', s, 
mountain,'M AW N T AH N', s, 
reach,'R IY CH', s, IY
his,'HH IH Z', s, IH
branches,'B R AE N CH AH Z', s, AE
to,'T UW', s, UW
all,'AA L', s, AA
the,'DH AH', s, 
plains,'P L EY N Z', s, EY
him,'HH IH M', s, IH
our,'OW R', s, 
children,'CH IH L D R AH N', s, IH
shall,'SH AE L', s, AE
see,'S IY', s, IY
this,'DH IH S', s, IH
and,'AH N D', s, 
bless,'B L EH S', s, 
heaven,'HH EH V AH N', s, 
she,'SH IY', s, IY
shall,'SH AE L', s, AE
be,'B IY', s, IY
to,'T UW', s, UW
the,'DH AH', s, 
happiness,'HH AE P IY N AH S', s, AE IY
of,'AH V', s, 
england,'IH NG G L AH N D', s, IH
an,'AE N', s, AE
princess,'P R IH N S EH S', s, IH
shall,'SH AE L', s, AE
see,'S IY', s, IY
and,'AH N D', s, 
yet,'Y EH T', s, 
no,'N OW', s, 
a,'AH', s, 
deed,'D IY D', s, IY
to,'T UW', s, UW
crown,'K r ǝ UH N', s, UH
it,'IH T', s, IH
i,'AY', s, AY
had,'HH AE D', s, AE
no,'N OW', s, 
but,'B AH T', s, 
she,'SH IY', s, IY
must,'M AH S T', s, 
she,'SH IY', s, IY
must,'M AH S T', s, 
the,'DH AH', s, 
saints,'S EY N T S', s, EY
must,'M AH S T', s, 
yet,'Y EH T', s, 
a,'AH', s, 
a,'AH', s, 
most,'M OW S T', s, 
unspotted,'ɤ N S P ɒ T IH D', s, IH
lily,'L IH L IY', s, IH IY
shall,'SH AE L', s, AE
she,'SH IY', s, IY
pass,'P AE S', s, AE
to,'T UW', s, UW
and,'AH N D', s, 
all,'AA L', s, AA
the,'DH AH', s, 
shall,'SH AE L', s, AE
mourn,'M AO R N', s, AO
