princes,'P R IH N S AH Z', s, IH
thou,'DH AW', s, 
of,'AH V', s, 
us,'AH S', s, 
trojan,'T R OW JH AH N', s, 
demand,'D IH M AW N D', s, IH
let,'L EH T', s, 
bear,'B EH R', s, 
him,'HH IH M', s, IH
and,'AH N D', s, 
us,'AH S', s, 
shall,'SH AE L', s, AE
what,'W AH T', s, 
he,'HH IY', s, IY
of,'AH V', s, 
us,'AH S', s, 
good,'G UH D', s, UH
you,'Y UW', s, UW
fairly,'F EH R L IY', s, IY
for,'F AO R', s, AO
this,'DH IH S', s, IH
withal,'W IH DH AA L', s, IH AA
if,'IH F', s, IH
will,'W IH L', s, IH
be,'B IY', s, IY
in,'IH N', s, IH
his,'HH IH Z', s, IH
is,'IH Z', s, IH
ready,'R EH D IY', s, IY
your,'Y AO R', s, AO
and,'AH N D', s, 
put,'P UH T', s, UH
on,'AA N', s, AA
a,'AH', s, 
form,'F AO R M', s, AO
of,'AH V', s, 
as,'AE Z', s, AE
we,'W IY', s, IY
pass,'P AE S', s, AE
so,'S OW', s, 
do,'D OW', s, 
each,'IY CH', s, IY
lord,'L AO R D', s, AO
and,'AH N D', s, 
either,'EH DH ǝ R', s, 
greet,'G R IY T', s, IY
him,'HH IH M', s, IH
not,'N AA T', s, AA
or,'AO R', s, AO
shall,'SH AE L', s, AE
him,'HH IH M', s, IH
than,'DH AE N', s, AE
if,'IH F', s, IH
not,'N AA T', s, AA
on,'AA N', s, AA
i,'AY', s, AY
will,'W IH L', s, IH
lead,'L EH D', s, 
the,'DH AH', s, 
what,'W AH T', s, 
achilles,'AH K IH L IY Z', s, IH IY
he,'HH IY', s, IY
with,'W IH DH', s, IH
us,'AH S', s, 
the,'DH AH', s, 
better,'B e T ə R', s, 
art,'AA R T', s, AA
thou,'DH AW', s, 
in,'IH N', s, IH
appointment,'AH P OY N T M AH N T', s, 
fresh,'F R EH SH', s, 
and,'AH N D', s, 
fair,'F EH R', s, 
with,'W IH DH', s, IH
with,'W IH DH', s, IH
trumpet,'T R AH M P AH T', s, 
a,'AH', s, 
to,'T UW', s, UW
troy,'T r ǝ IH', s, IH
thou,'DH AW', s, 
dreadful,'D R EH D F AH L', s, 
that,'DH AE T', s, AE
the,'DH AH', s, 
air,'EH R', s, 
the,'DH AH', s, 
of,'AH V', s, 
the,'DH AH', s, 
great,'G r e T', s, 
combatant,'K AH M B AE T AH N T', s, AE
and,'AH N D', s, 
him,'HH IH M', s, IH
is,'IH Z', s, IH
not,'N AA T', s, AA
with,'W IH DH', s, IH
is,'IH Z', s, IH
this,'DH IH S', s, IH
the,'DH AH', s, 
lady,'L EY D IY', s, EY IY
most,'M OW S T', s, 
dearly,'D IH R L IY', s, IH IY
to,'T UW', s, UW
the,'DH AH', s, 
greeks,'G R IY K S', s, IY
sweet,'S W IY T', s, IY
lady,'L EY D IY', s, EY IY
the,'DH AH', s, 
trumpet,'T R AH M P AH T', s, 
the,'DH AH', s, 
troop,'T R UW P', s, UW
it,'IH T', s, IH
is,'IH Z', s, IH
stand,'S T AE N D', s, AE
by,'B AY', s, AY
our,'OW R', s, 
as,'AE Z', s, AE
you,'Y UW', s, UW
and,'AH N D', s, 
lord,'L AO R D', s, AO
consent,'K AH N S EH N T', s, 
upon,'AH P AA N', s, AA
the,'DH AH', s, 
order,'AO R D ǝ R', s, AO
of,'AH V', s, 
their,'DH EH R', s, 
so,'S OW', s, 
be,'B IY', s, IY
it,'IH T', s, IH
either,'EH DH ǝ R', s, 
to,'T UW', s, UW
the,'DH AH', s, 
or,'AO R', s, AO
a,'AH', s, 
breath,'B R EH TH', s, 
the,'DH AH', s, 
combatants,'K AH M B AE T AH N T S', s, AE
being,'B IY IH NG', s, IY IH
kin,'K IH N', s, IH
stints,'S T IH N T S', s, IH
their,'DH EH R', s, 
their,'DH EH R', s, 
begin,'B IH G IH N', s, IH IH
what,'W AH T', s, 
trojan,'T R OW JH AH N', s, 
is,'IH Z', s, IH
that,'DH AE T', s, AE
that,'DH AE T', s, AE
looks,'L UH K S', s, UH
so,'S OW', s, 
heavy,'e V ǝ IH', s, IH
in,'IH N', s, IH
action,'AE K SH AH N', s, AE
his,'HH IH Z', s, IH
well,'W EH L', s, 
all,'AA L', s, AA
arms,'AA R M Z', s, AA
as,'AE Z', s, AE
as,'AE Z', s, AE
to,'T UW', s, UW
that,'DH AE T', s, AE
be,'B IY', s, IY
rid,'R IH D', s, IH
of,'AH V', s, 
an,'AE N', s, AE
enemy,'EH N AH M IY', s, IY
but,'B AH T', s, 
no,'N OW', s, 
clear,'K L IY R', s, IY
past,'P AW S T', s, 
and,'AH N D', s, 
to,'T UW', s, UW
is,'IH Z', s, IH
with,'W IH DH', s, IH
husks,'HH AH S K S', s, 
and,'AH N D', s, 
of,'AH V', s, 
but,'B AH T', s, 
in,'IH N', s, IH
this,'DH IH S', s, IH
moment,'M OW M AH N T', s, 
faith,'F EY TH', s, EY
and,'AH N D', s, 
troth,'T R OW TH', s, 
from,'F R AH M', s, 
all,'AA L', s, AA
bids,'B IH D Z', s, IH
thee,'DH IY', s, IY
with,'W IH DH', s, IH
most,'M OW S T', s, 
integrity,'IH N T EH G R AH T IY', s, IH IY
from,'F R AH M', s, 
heart,'HH AA R T', s, AA
of,'AH V', s, 
very,'V EH R IY', s, IY
heart,'HH AA R T', s, AA
great,'G r e T', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
of,'AH V', s, 
troy,'T r ǝ IH', s, IH
no,'N OW', s, 
less,'L EH S', s, 
to,'T UW', s, UW
you,'Y UW', s, UW
all,'AA L', s, AA
you,'Y UW', s, UW
peers,'P IY R Z', s, IY
of,'AH V', s, 
go,'G OW', s, 
to,'T UW', s, UW
my,'M AY', s, AY
tent,'T EH N T', s, 
in,'IH N', s, IH
the,'DH AH', s, 
full,'F UH L', s, UH
we,'W IY', s, IY
as,'AE Z', s, AE
and,'AH N D', s, 
your,'Y AO R', s, AO
shall,'SH AE L', s, AE
him,'HH IH M', s, IH
beat,'B IY T', s, IY
the,'DH AH', s, 
let,'L EH T', s, 
the,'DH AH', s, 
trumpets,'T R AH M P AH T S', s, 
that,'DH AE T', s, AE
this,'DH IH S', s, IH
great,'G r e T', s, 
his,'HH IH Z', s, IH
we,'W IY', s, IY
go,'G OW', s, 
we,'W IY', s, IY
go,'G OW', s, 
so,'S OW', s, 
fair,'F EH R', s, 
of,'AH V', s, 
troy,'T r ǝ IH', s, IH
i,'AY', s, AY
bid,'B IH D', s, IH
good,'G UH D', s, UH
commands,'K ǝ M AW N D Z', s, 
the,'DH AH', s, 
guard,'G AA R D', s, AA
to,'T UW', s, UW
tend,'T EH N D', s, 
on,'AA N', s, AA
you,'Y UW', s, UW
good,'G UH D', s, UH
the,'DH AH', s, 
hath,'HH AE TH', s, AE
beat,'B IY T', s, IY
down,'D ǝ UH N', s, UH
menon,'M e N ǝ N', s, 
hath,'HH AE TH', s, AE
and,'AH N D', s, 
stands,'S T AE N D Z', s, AE
his,'HH IH Z', s, IH
beam,'B IY M', s, IY
upon,'AH P AA N', s, AA
the,'DH AH', s, 
of,'AH V', s, 
the,'DH AH', s, 
and,'AH N D', s, 
is,'IH Z', s, IH
slain,'S L EH N', s, 
and,'AH N D', s, 
deadly,'D EH D L IY', s, IY
patroclus,'P ǝ T r ɒ K L ǝ S', s, 
or,'AO R', s, AO
slain,'S L EH N', s, 
and,'AH N D', s, 
and,'AH N D', s, 
the,'DH AH', s, 
dreadful,'D R EH D F AH L', s, 
appals,'ǝ P AA L Z', s, AA
our,'OW R', s, 
hate,'AW S T', s, 
we,'W IY', s, IY
to,'T UW', s, UW
or,'AO R', s, AO
we,'W IY', s, IY
perish,'P EH R IH SH', s, IH
all,'AA L', s, AA
what,'W AH T', s, 
is,'IH Z', s, IH
this,'DH IH S', s, IH
let,'L EH T', s, 
be,'B IY', s, IY
sent,'S EH N T', s, 
to,'T UW', s, UW
achilles,'AH K IH L IY Z', s, IH IY
see,'S IY', s, IY
us,'AH S', s, 
at,'AE T', s, AE
our,'OW R', s, 
tent,'T EH N T', s, 
if,'IH F', s, IH
in,'IH N', s, IH
his,'HH IH Z', s, IH
death,'D EH TH', s, 
the,'DH AH', s, 
gods,'G AA D Z', s, AA
us,'AH S', s, 
befriended,'B IH F R EH N D IH D', s, IH IH
great,'G r e T', s, 
troy,'T r ǝ IH', s, IH
is,'IH Z', s, IH
ours,'OW R Z', s, 
and,'AH N D', s, 
our,'OW R', s, 
sharp,'SH AA R P', s, AA
wars,'W AO R Z', s, AO
ended,'EH N D AH D', s, 
