hath,'HH AE TH', s, AE
lords,'L AO R D Z', s, AO
then,'DH EH N', s, 
let,'L EH T', s, 
your,'Y AO R', s, AO
will,'W IH L', s, IH
attend,'AH T EH N D', s, 
on,'AA N', s, AA
their,'DH EH R', s, 
accords,'ǝ K AO R D Z', s, AO
not,'N AA T', s, AA
this,'DH IH S', s, IH
but,'B AH T', s, 
troubles,'T r ɤ B ǝ L Z', s, 
of,'AH V', s, 
the,'DH AH', s, 
bed,'B EH D', s, 
i,'AY', s, AY
to,'T UW', s, UW
till,'T IH L', s, IH
he,'HH IY', s, IY
hme,'OW M', s, 
again,'ǝ ɡ EH N', s, 
i,'AY', s, AY
forbear,'F ǝ R B EH R', s, 
well,'W EH L', s, 
i,'AY', s, AY
will,'W IH L', s, IH
marrry,'M AW r ǝ IH', s, IH
but,'B AH T', s, 
to,'T UW', s, UW
your,'Y AO R', s, AO
man,'M AE N', s, AE
is,'IH Z', s, IH
your,'Y AO R', s, AO
he,'HH IY', s, IY
so,'S OW', s, 
thou,'DH AW', s, 
not,'N AA T', s, AA
feel,'F IY L', s, IY
his,'HH IH Z', s, IH
quoth,'K ɒ TH', s, 
who,'HH UW', s, UW
in,'IH N', s, IH
your,'Y AO R', s, AO
beat,'B IY T', s, IY
it,'IH T', s, IH
fond,'F AA N D', s, AA
fools,'F UW L Z', s, UW
seve,'S ER V', s, 
mad,'M AE D', s, AE
the,'DH AH', s, 
is,'IH Z', s, IH
with,'W IH DH', s, IH
you,'Y UW', s, UW
when,'ʍ e N', s, 
wre,'W ER', s, 
you,'Y UW', s, UW
wont,'W OW N T', s, 
to,'T UW', s, UW
my,'M AY', s, AY
thus,'DH ɤ S', s, 
she,'SH IY', s, IY
sent,'S EH N T', s, 
for,'F AO R', s, AO
you,'Y UW', s, UW
by,'B AY', s, AY
hme,'OW M', s, 
to,'T UW', s, UW
go,'G OW', s, 
bid,'B IH D', s, IH
the,'DH AH', s, 
spread,'S P R EH D', s, 
for,'F AO R', s, AO
whhy,'ʍ ǝ IH', s, IH
thou,'DH AW', s, 
to,'T UW', s, UW
and,'AH N D', s, 
not,'N AA T', s, AA
snail,'S N EY L', s, EY
thou,'DH AW', s, 
slug,'S L AH G', s, 
thou,'DH AW', s, 
sot,'S AO T', s, AO
if,'IH F', s, IH
thou,'DH AW', s, 
art,'AA R T', s, AA
to,'T UW', s, UW
to,'T UW', s, UW
an,'AE N', s, AE
ass,'AE S', s, AE
antipholus,'AW N T IH F ǝ ˌ L ɤ S', s, IH
we,'W IY', s, IY
too,'T UW', s, UW
and,'AH N D', s, 
it,'IH T', s, IH
be,'B IY', s, IY
that,'DH AE T', s, AE
you,'Y UW', s, UW
forgot,'F ǝ R G ɒ T', s, 
a,'AH', s, 
shall,'SH AE L', s, AE
antipholus,'AW N T IH F ǝ ˌ L ɤ S', s, IH
even,'IY V IH N', s, IY IH
in,'IH N', s, IH
the,'DH AH', s, 
of,'AH V', s, 
rot,'R AA T', s, AA
shall,'SH AE L', s, AE
in,'IH N', s, IH
so,'S OW', s, 
if,'IH F', s, IH
you,'Y UW', s, UW
did,'D IH D', s, IH
wed,'W EH D', s, 
my,'M AY', s, AY
for,'F AO R', s, AO
wealth,'W EH L TH', s, 
then,'DH EH N', s, 
for,'F AO R', s, AO
with,'W IH DH', s, IH
kindness,'K AY N D N AH S', s, AY
or,'AO R', s, AO
if,'IH F', s, IH
you,'Y UW', s, UW
elsewhre,'e L S ʍ EH R', s, 
do,'D OW', s, 
it,'IH T', s, IH
by,'B AY', s, AY
stealth,'S T EH L TH', s, 
your,'Y AO R', s, AO
with,'W IH DH', s, IH
of,'AH V', s, 
blindness,'B L AY N D N AH S', s, AY
let,'L EH T', s, 
not,'N AA T', s, AA
my,'M AY', s, AY
read,'r e D', s, 
it,'IH T', s, IH
in,'IH N', s, IH
your,'Y AO R', s, AO
be,'B IY', s, IY
not,'N AA T', s, AA
look,'L UH K', s, UH
sweet,'S W IY T', s, IY
speak,'S P IY K', s, IY
fair,'F EH R', s, 
apparel,'AH P AE R AH L', s, AE
bear,'B EH R', s, 
a,'AH', s, 
fair,'F EH R', s, 
your,'Y AO R', s, AO
heart,'HH AA R T', s, AA
be,'B IY', s, IY
tainted,'T EH N T IH D', s, IH
teach,'T IY CH', s, IY
sin,'S IH N', s, IH
the,'DH AH', s, 
of,'AH V', s, 
a,'AH', s, 
holy,'HH OW L IY', s, IY
saint,'S EY N T', s, EY
be,'B IY', s, IY
what,'W AH T', s, 
need,'N IY D', s, IY
she,'SH IY', s, IY
be,'B IY', s, IY
acquainted,'AH K W EY N T IH D', s, EY IH
what,'W AH T', s, 
thief,'TH IY F', s, IY
brags,'B R AE G Z', s, AE
of,'AH V', s, 
his,'HH IH Z', s, IH
attaint,'ǝ T EH N T', s, 
to,'T UW', s, UW
with,'W IH DH', s, IH
your,'Y AO R', s, AO
bed,'B EH D', s, 
and,'AH N D', s, 
let,'L EH T', s, 
read,'r e D', s, 
it,'IH T', s, IH
in,'IH N', s, IH
looks,'L UH K S', s, UH
at,'AE T', s, AE
board,'B AO R D', s, AO
hath,'HH AE TH', s, AE
a,'AH', s, 
well,'W EH L', s, 
ill,'IH L', s, IH
deeds,'D IY D Z', s, IY
is,'IH Z', s, IH
doubled,'D AH B AH L D', s, 
with,'W IH DH', s, IH
an,'AE N', s, AE
evil,'e V IH L', s, IH
alas,'AH L AE S', s, AE
poor,'P UH R', s, UH
women,'W IH M AH N', s, IH
us,'AH S', s, 
but,'B AH T', s, 
being,'B IY IH NG', s, IY IH
compact,'K ǝ M P AW K T', s, 
of,'AH V', s, 
credit,'K R EH D AH T', s, 
that,'DH AE T', s, AE
you,'Y UW', s, UW
us,'AH S', s, 
the,'DH AH', s, 
arm,'AA R M', s, AA
us,'AH S', s, 
the,'DH AH', s, 
we,'W IY', s, IY
in,'IH N', s, IH
your,'Y AO R', s, AO
turn,'T ɐ R N', s, 
and,'AH N D', s, 
you,'Y UW', s, UW
us,'AH S', s, 
then,'DH EH N', s, 
get,'G EH T', s, 
you,'Y UW', s, UW
in,'IH N', s, IH
again,'ǝ ɡ EH N', s, 
comfort,'K ɤ M F ǝ R T', s, 
my,'M AY', s, AY
call,'K AO L', s, AO
holy,'HH OW L IY', s, IY
sport,'S P AO R T', s, AO
to,'T UW', s, UW
be,'B IY', s, IY
a,'AH', s, 
vain,'V EY N', s, EY
when,'ʍ e N', s, 
the,'DH AH', s, 
sweet,'S W IY T', s, IY
breath,'B R EH TH', s, 
of,'AH V', s, 
what,'W AH T', s, 
you,'Y UW', s, UW
mad,'M AE D', s, AE
that,'DH AE T', s, AE
you,'Y UW', s, UW
do,'D OW', s, 
reason,'r EH Z ǝ N', s, 
so,'S OW', s, 
it,'IH T', s, IH
is,'IH Z', s, IH
a,'AH', s, 
fault,'F AO L T', s, AO
that,'DH AE T', s, AE
from,'F R AH M', s, 
your,'Y AO R', s, AO
when,'ʍ e N', s, 
you,'Y UW', s, UW
and,'AH N D', s, 
that,'DH AE T', s, AE
will,'W IH L', s, IH
clear,'K L IY R', s, IY
your,'Y AO R', s, AO
whhy,'ʍ ǝ IH', s, IH
call,'K AO L', s, AO
you,'Y UW', s, UW
me,'M IY', s, IY
call,'K AO L', s, AO
my,'M AY', s, AY
so,'S OW', s, 
my,'M AY', s, AY
all,'AA L', s, AA
this,'DH IH S', s, IH
my,'M AY', s, AY
is,'IH Z', s, IH
or,'AO R', s, AO
be,'B IY', s, IY
o,'OW', s, 
soft,'S AA F T', s, AA
you,'Y UW', s, UW
still,'S T IH L', s, IH
my,'M AY', s, AY
to,'T UW', s, UW
get,'G EH T', s, 
goodwill,'G UH D W IH L', s, UH IH
he,'HH IY', s, IY
you,'Y UW', s, UW
had,'HH AE D', s, AE
in,'IH N', s, IH
him,'HH IH M', s, IH
no,'N OW', s, 
then,'DH EH N', s, 
he,'HH IY', s, IY
that,'DH AE T', s, AE
he,'HH IY', s, IY
was,'W AA Z', s, AA
a,'AH', s, 
then,'DH EH N', s, 
pleaded,'P L IY D AH D', s, IY
i,'AY', s, AY
for,'F AO R', s, AO
you,'Y UW', s, UW
that,'DH AE T', s, AE
i,'AY', s, AY
for,'F AO R', s, AO
you,'Y UW', s, UW
he,'HH IY', s, IY
of,'AH V', s, 
me,'M IY', s, IY
with,'W IH DH', s, IH
that,'DH AE T', s, AE
in,'IH N', s, IH
an,'AE N', s, AE
suit,'SH UW T', s, UW
he,'HH IY', s, IY
did,'D IH D', s, IH
my,'M AY', s, AY
then,'DH EH N', s, 
my,'M AY', s, AY
speech,'S P IY CH', s, IY
i,'AY', s, AY
beseech,'B IY S IY CH', s, IY IY
who,'HH UW', s, UW
be,'B IY', s, IY
jealous,'JH EH L AH S', s, 
then,'DH EH N', s, 
of,'AH V', s, 
a,'AH', s, 
no,'N OW', s, 
evil,'e V IH L', s, IH
lost,'L AO S T', s, AO
is,'IH Z', s, IH
when,'ʍ e N', s, 
it,'IH T', s, IH
is,'IH Z', s, IH
hast,'HH AE S T', s, AE
thou,'DH AW', s, 
lost,'L AO S T', s, AO
breath,'B R EH TH', s, 
alas,'AH L AE S', s, AE
and,'AH N D', s, 
sharp,'SH AA R P', s, AA
he,'HH IY', s, IY
looks,'L UH K S', s, UH
and,'AH N D', s, 
i,'AY', s, AY
am,'AE M', s, AE
witness,'W IH T N AH S', s, IH
with,'W IH DH', s, IH
that,'DH AE T', s, AE
she,'SH IY', s, IY
did,'D IH D', s, IH
me,'M IY', s, IY
poor,'P UH R', s, UH
man,'M AE N', s, AE
and,'AH N D', s, 
wan,'W AA N', s, AA
he,'HH IY', s, IY
looks,'L UH K S', s, UH
god,'G AA D', s, AA
poor,'P UH R', s, UH
souls,'S OW L Z', s, 
idly,'AY D L IY', s, AY IY
do,'D OW', s, 
god,'G AA D', s, AA
for,'F AO R', s, AO
again,'ǝ ɡ EH N', s, 
she,'SH IY', s, IY
never,'N e V ǝ R', s, 
him,'HH IH M', s, IH
but,'B AH T', s, 
mildly,'M AY L D L IY', s, AY IY
when,'ʍ e N', s, 
he,'HH IY', s, IY
himself,'HH IH M S EH L F', s, IH
and,'AH N D', s, 
wildly,'W AY L D L IY', s, AY IY
whhy,'ʍ ǝ IH', s, IH
bear,'B EH R', s, 
you,'Y UW', s, UW
rebukes,'R IY B Y UW K S', s, IY UW
and,'AH N D', s, 
not,'N AA T', s, AA
complain,'K ǝ M P L EH N', s, 
unto,'AH N T UW', s, UW
the,'DH AH', s, 
of,'AH V', s, 
this,'DH IH S', s, IH
indignity,'IH N D IH G N AH T IY', s, IH IH IY
to,'T UW', s, UW
the,'DH AH', s, 
he,'HH IY', s, IY
pass,'P AE S', s, AE
the,'DH AH', s, 
abbey,'AW B ǝ IH', s, IH
i,'AY', s, AY
look,'L UH K', s, UH
on,'AA N', s, AA
nor,'N AO R', s, AO
sleep,'S L IY P', s, IY
on,'AA N', s, AA
but,'B AH T', s, 
she,'SH IY', s, IY
to,'T UW', s, UW
your,'Y AO R', s, AO
truth,'T R UW TH', s, UW
