between,'B IH T W IY N', s, IH IY
of,'AH V', s, 
my,'M AY', s, AY
to,'T UW', s, UW
thee,'DH IY', s, IY
against,'AH G EH N S T', s, 
and,'AH N D', s, 
will,'W IH L', s, IH
i,'AY', s, AY
upon,'AH P AA N', s, AA
party,'P AA R T IY', s, AA IY
wear,'W EH R', s, 
this,'DH IH S', s, IH
and,'AH N D', s, 
i,'AY', s, AY
this,'DH IH S', s, IH
to,'T UW', s, UW
this,'DH IH S', s, IH
faction,'F AE K SH AH N', s, AE
in,'IH N', s, IH
the,'DH AH', s, 
garden,'G AA R D ǝ N', s, AA
shall,'SH AE L', s, AE
send,'S EH N D', s, 
between,'B IH T W IY N', s, IH IY
the,'DH AH', s, 
red,'R EH D', s, 
and,'AH N D', s, 
the,'DH AH', s, 
a,'AH', s, 
souls,'S OW L Z', s, 
to,'T UW', s, UW
death,'D EH TH', s, 
and,'AH N D', s, 
deadly,'D EH D L IY', s, IY
my,'M AY', s, AY
lord,'L AO R D', s, AO
it,'IH T', s, IH
wre,'W ER', s, 
your,'Y AO R', s, AO
duty,'D UW T IY', s, UW IY
to,'T UW', s, UW
forbear,'F ǝ R B EH R', s, 
methinks,'M IH TH IH NG K S', s, IH IH
his,'HH IH Z', s, IH
be,'B IY', s, IY
humbler,'HH AH M B AH L ER', s, 
it,'IH T', s, IH
not,'N AA T', s, AA
a,'AH', s, 
so,'S OW', s, 
to,'T UW', s, UW
plead,'P L IY D', s, IY
holy,'HH OW L IY', s, IY
or,'AO R', s, AO
what,'W AH T', s, 
of,'AH V', s, 
that,'DH AE T', s, AE
is,'IH Z', s, IH
not,'N AA T', s, AA
his,'HH IH Z', s, IH
to,'T UW', s, UW
the,'DH AH', s, 
an,'AE N', s, AE
uproar,'ɤ P r AO R', s, AO
i,'AY', s, AY
warrant,'W AA r ǝ N T', s, AA
begun,'B IH G AH N', s, IH
of,'AH V', s, 
the,'DH AH', s, 
men,'M EH N', s, 
yield,'Y IY L D', s, IY
my,'M AY', s, AY
lord,'L AO R D', s, AO
except,'IH K S EH P T', s, IH
you,'Y UW', s, UW
mean,'M IY N', s, IY
with,'W IH DH', s, IH
to,'T UW', s, UW
your,'Y AO R', s, AO
and,'AH N D', s, 
destroy,'D IH S T r ǝ IH', s, IH IH
the,'DH AH', s, 
realm,'R EH L M', s, 
you,'Y UW', s, UW
see,'S IY', s, IY
what,'W AH T', s, 
miscchief,'M IH S CH AH F', s, IH
and,'AH N D', s, 
what,'W AH T', s, 
too,'T UW', s, UW
hath,'HH AE TH', s, AE
been,'B IH N', s, IH
enacted,'EH N AE K T AH D', s, AE
your,'Y AO R', s, AO
then,'DH EH N', s, 
be,'B IY', s, IY
at,'AE T', s, AE
except,'IH K S EH P T', s, IH
you,'Y UW', s, UW
thirst,'TH ɐ R S T', s, 
for,'F AO R', s, AO
blood,'B L AH D', s, 
behold,'B IH HH OW L D', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
of,'AH V', s, 
the,'DH AH', s, 
hath,'HH AE TH', s, AE
moody,'M UW D IY', s, UW IY
as,'AE Z', s, AE
by,'B AY', s, AY
his,'HH IH Z', s, IH
brows,'B r ə UH Z', s, UH
it,'IH T', s, IH
doth,'D AO TH', s, AO
appear,'ǝ P IY R', s, IY
whhy,'ʍ ǝ IH', s, IH
look,'L UH K', s, UH
you,'Y UW', s, UW
still,'S T IH L', s, IH
so,'S OW', s, 
stern,'S T ɐ R N', s, 
and,'AH N D', s, 
sweet,'S W IY T', s, IY
the,'DH AH', s, 
bishop,'B IH SH AH P', s, IH
hath,'HH AE TH', s, AE
a,'AH', s, 
for,'F AO R', s, AO
my,'M AY', s, AY
lord,'L AO R D', s, AO
of,'AH V', s, 
relent,'R IH L EH N T', s, IH
what,'W AH T', s, 
shall,'SH AE L', s, AE
a,'AH', s, 
child,'CH AY L D', s, AY
instruct,'IH N S T R AH K T', s, IH
you,'Y UW', s, UW
what,'W AH T', s, 
to,'T UW', s, UW
do,'D OW', s, 
this,'DH IH S', s, IH
sccroll,'S K R OW L', s, 
most,'M OW S T', s, 
in,'IH N', s, IH
the,'DH AH', s, 
of,'AH V', s, 
we,'W IY', s, IY
do,'D OW', s, 
exhibit,'IH G Z IH B IH T', s, IH IH IH
to,'T UW', s, UW
your,'Y AO R', s, AO
majesty,'M AE JH AH S T IY', s, AE IY
let,'L EH T', s, 
be,'B IY', s, IY
to,'T UW', s, UW
his,'HH IH Z', s, IH
blood,'B L AH D', s, 
so,'S OW', s, 
shall,'SH AE L', s, AE
his,'HH IH Z', s, IH
be,'B IY', s, IY
the,'DH AH', s, 
mighty,'M ǝ IH T ǝ IH', s, IH IH
of,'AH V', s, 
york,'Y AO R K', s, AO
my,'M AY', s, AY
lord,'L AO R D', s, AO
of,'AH V', s, 
york,'Y AO R K', s, AO
i,'AY', s, AY
you,'Y UW', s, UW
the,'DH AH', s, 
did,'D IH D', s, IH
the,'DH AH', s, 
tush,'T UH SH', s, UH
that,'DH AE T', s, AE
was,'W AA Z', s, AA
but,'B AH T', s, 
his,'HH IH Z', s, IH
fancy,'F AE N S IY', s, AE IY
him,'HH IH M', s, IH
not,'N AA T', s, AA
i,'AY', s, AY
sweet,'S W IY T', s, IY
he,'HH IY', s, IY
no,'N OW', s, 
wilt,'W IH L T', s, IH
thou,'DH AW', s, 
and,'AH N D', s, 
you,'Y UW', s, UW
she,'SH IY', s, IY
is,'IH Z', s, IH
a,'AH', s, 
maid,'M EY D', s, EY
for,'F AO R', s, AO
no,'N OW', s, 
let,'L EH T', s, 
be,'B IY', s, IY
barrels,'B AE R AH L Z', s, AE
of,'AH V', s, 
upon,'AH P AA N', s, AA
the,'DH AH', s, 
fatal,'F EY T AH L', s, EY
that,'DH AE T', s, AE
so,'S OW', s, 
be,'B IY', s, IY
the,'DH AH', s, 
greatest,'G r e T ǝ S T', s, 
that,'DH AE T', s, AE
you,'Y UW', s, UW
is,'IH Z', s, IH
all,'AA L', s, AA
your,'Y AO R', s, AO
strict,'S T R IH K T', s, IH
preciseness,'P r IH S ǝ IH S N ǝ S', s, IH IH
to,'T UW', s, UW
this,'DH IH S', s, IH
well,'W EH L', s, 
go,'G OW', s, 
to,'T UW', s, UW
no,'N OW', s, 
must,'M AH S T', s, 
it,'IH T', s, IH
a,'AH', s, 
man,'M AE N', s, AE
most,'M OW S T', s, 
sign,'S ǝ IH N', s, IH
she,'SH IY', s, IY
hath,'HH AE TH', s, AE
been,'B IH N', s, IH
and,'AH N D', s, 
free,'F R IY', s, IY
be,'B IY', s, IY
york,'Y AO R K', s, AO
if,'IH F', s, IH
we,'W IY', s, IY
a,'AH', s, 
it,'IH T', s, IH
shall,'SH AE L', s, AE
be,'B IY', s, IY
with,'W IH DH', s, IH
strict,'S T R IH K T', s, IH
and,'AH N D', s, 
covenants,'K AH V AH N AH N T S', s, 
as,'AE Z', s, AE
shall,'SH AE L', s, AE
the,'DH AH', s, 
gain,'G EH N', s, 
thereby,'DH EH R B ǝ IH', s, IH
thou,'DH AW', s, 
shall,'SH AE L', s, AE
our,'OW R', s, 
condition,'K AH N D IH SH AH N', s, IH
stand,'S T AE N D', s, AE
