mistress,'M IH S T R AH S', s, IH
to,'T UW', s, UW
keep,'K IY P', s, IY
him,'HH IH M', s, IH
deck,'D EH K', s, 
i,'AY', s, AY
will,'W IH L', s, IH
consent,'K AH N S EH N T', s, 
to,'T UW', s, UW
act,'AE K T', s, AE
against,'AH G EH N S T', s, 
him,'HH IH M', s, IH
that,'DH AE T', s, AE
not,'N AA T', s, AA
the,'DH AH', s, 
of,'AH V', s, 
our,'OW R', s, 
o,'OW', s, 
that,'DH AE T', s, AE
my,'M AY', s, AY
this,'DH IH S', s, IH
it,'IH T', s, IH
food,'F UW D', s, UW
to,'T UW', s, UW
his,'HH IH Z', s, IH
you,'Y UW', s, UW
the,'DH AH', s, 
woman,'W UH M AH N', s, UH
sweet,'S W IY T', s, IY
frank,'F R AE NG K', s, AE
whhy,'ʍ ǝ IH', s, IH
art,'AA R T', s, AA
thou,'DH AW', s, 
faith,'F EY TH', s, EY
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
in,'IH N', s, IH
you,'Y UW', s, UW
go,'G OW', s, 
mistress,'M IH S T R AH S', s, IH
trust,'T r ɤ S T', s, 
me,'M IY', s, IY
i,'AY', s, AY
on,'AA N', s, AA
fit,'F IH T', s, IH
it,'IH T', s, IH
what,'W AH T', s, 
what,'W AH T', s, 
robert,'r ɒ B ǝ R T', s, 
i,'AY', s, AY
robert,'r ɒ B ǝ R T', s, 
i,'AY', s, AY
set,'S EH T', s, 
it,'IH T', s, IH
down,'D ǝ UH N', s, UH
marrry,'M AW r ǝ IH', s, IH
as,'AE Z', s, AE
i,'AY', s, AY
told,'T OW L D', s, 
you,'Y UW', s, UW
and,'AH N D', s, 
robert,'r ɒ B ǝ R T', s, 
be,'B IY', s, IY
ready,'R EH D IY', s, IY
by,'B AY', s, AY
in,'IH N', s, IH
the,'DH AH', s, 
and,'AH N D', s, 
when,'ʍ e N', s, 
i,'AY', s, AY
suddenly,'S AH D AH N L IY', s, IY
call,'K AO L', s, AO
you,'Y UW', s, UW
forth,'F AO R TH', s, AO
and,'AH N D', s, 
or,'AO R', s, AO
this,'DH IH S', s, IH
basket,'B AW S K IH T', s, IH
on,'AA N', s, AA
your,'Y AO R', s, AO
that,'DH AE T', s, AE
with,'W IH DH', s, IH
it,'IH T', s, IH
in,'IH N', s, IH
all,'AA L', s, AA
hate,'AW S T', s, 
and,'AH N D', s, 
carrry,'K AW r ǝ IH', s, IH
it,'IH T', s, IH
the,'DH AH', s, 
in,'IH N', s, IH
mead,'M IY D', s, IY
and,'AH N D', s, 
empty,'e M T ǝ IH', s, IH
it,'IH T', s, IH
in,'IH N', s, IH
the,'DH AH', s, 
mudddy,'M ɤ D ǝ IH', s, IH
by,'B AY', s, AY
the,'DH AH', s, 
i,'AY', s, AY
told,'T OW L D', s, 
them,'DH EH M', s, 
over,'OW V ǝ R', s, 
and,'AH N D', s, 
over,'OW V ǝ R', s, 
lack,'L AE K', s, AE
no,'N OW', s, 
and,'AH N D', s, 
when,'ʍ e N', s, 
you,'Y UW', s, UW
my,'M AY', s, AY
what,'W AH T', s, 
with,'W IH DH', s, IH
you,'Y UW', s, UW
do,'D OW', s, 
sogo,'S OW G OW', s, 
tell,'T EH L', s, 
master,'M AW S T ǝ R', s, 
i,'AY', s, AY
am,'AE M', s, AE
mistress,'M IH S T R AH S', s, IH
you,'Y UW', s, UW
your,'Y AO R', s, AO
go,'G OW', s, 
to,'T UW', s, UW
then,'DH EH N', s, 
this,'DH IH S', s, IH
this,'DH IH S', s, IH
teach,'T IY CH', s, IY
him,'HH IH M', s, IH
to,'T UW', s, UW
from,'F R AH M', s, 
o,'OW', s, 
sweet,'S W IY T', s, IY
i,'AY', s, AY
your,'Y AO R', s, AO
lady,'L EY D IY', s, EY IY
alas,'AH L AE S', s, AE
i,'AY', s, AY
be,'B IY', s, IY
a,'AH', s, 
lady,'L EY D IY', s, EY IY
a,'AH', s, 
plain,'P L EH N', s, 
my,'M AY', s, AY
brows,'B r ə UH Z', s, UH
nor,'N AO R', s, AO
that,'DH AE T', s, AE
well,'W EH L', s, 
neither,'N EH DH ǝ R', s, 
me,'M IY', s, IY
no,'N OW', s, 
in,'IH N', s, IH
me,'M IY', s, IY
do,'D OW', s, 
not,'N AA T', s, AA
me,'M IY', s, IY
i,'AY', s, AY
fear,'F IY R', s, IY
you,'Y UW', s, UW
mistress,'M IH S T R AH S', s, IH
well,'W EH L', s, 
heaven,'HH EH V AH N', s, 
i,'AY', s, AY
you,'Y UW', s, UW
and,'AH N D', s, 
you,'Y UW', s, UW
shall,'SH AE L', s, AE
it,'IH T', s, IH
i,'AY', s, AY
must,'M AH S T', s, 
tell,'T EH L', s, 
you,'Y UW', s, UW
so,'S OW', s, 
you,'Y UW', s, UW
do,'D OW', s, 
or,'AO R', s, AO
i,'AY', s, AY
not,'N AA T', s, AA
be,'B IY', s, IY
in,'IH N', s, IH
that,'DH AE T', s, AE
you,'Y UW', s, UW
do,'D OW', s, 
so,'S OW', s, 
a,'AH', s, 
very,'V EH R IY', s, IY
woman,'W UH M AH N', s, UH
the,'DH AH', s, 
matter,'M AW T ǝ R', s, 
the,'DH AH', s, 
matter,'M AW T ǝ R', s, 
good,'G UH D', s, UH
mistress,'M IH S T R AH S', s, IH
what,'W AH T', s, 
of,'AH V', s, 
suspicion,'S AH S P IH SH AH N', s, IH
whhy,'ʍ ǝ IH', s, IH
alas,'AH L AE S', s, AE
the,'DH AH', s, 
matter,'M AW T ǝ R', s, 
not,'N AA T', s, AA
so,'S OW', s, 
i,'AY', s, AY
what,'W AH T', s, 
shall,'SH AE L', s, AE
i,'AY', s, AY
do,'D OW', s, 
is,'IH Z', s, IH
a,'AH', s, 
gentleman,'JH EH N T AH L M AH N', s, 
my,'M AY', s, AY
dear,'D IY R', s, IY
friend,'F R EH N D', s, 
and,'AH N D', s, 
i,'AY', s, AY
fear,'F IY R', s, IY
not,'N AA T', s, AA
so,'S OW', s, 
as,'AE Z', s, AE
his,'HH IH Z', s, IH
peril,'P EH R AH L', s, 
i,'AY', s, AY
had,'HH AE D', s, AE
than,'DH AE N', s, AE
a,'AH', s, 
he,'HH IY', s, IY
wre,'W ER', s, 
out,'AW T', s, 
of,'AH V', s, 
the,'DH AH', s, 
too,'T UW', s, UW
big,'B IH G', s, IH
to,'T UW', s, UW
go,'G OW', s, 
in,'IH N', s, IH
what,'W AH T', s, 
shall,'SH AE L', s, AE
i,'AY', s, AY
do,'D OW', s, 
what,'W AH T', s, 
robert,'r ɒ B ǝ R T', s, 
go,'G OW', s, 
up,'AH P', s, 
the,'DH AH', s, 
look,'L UH K', s, UH
you,'Y UW', s, UW
carrry,'K AW r ǝ IH', s, IH
them,'DH EH M', s, 
to,'T UW', s, UW
the,'DH AH', s, 
laundress,'L AO N D r ǝ S', s, AO
in,'IH N', s, IH
mead,'M IY D', s, IY
whhy,'ʍ ǝ IH', s, IH
what,'W AH T', s, 
you,'Y UW', s, UW
to,'T UW', s, UW
do,'D OW', s, 
bear,'B EH R', s, 
it,'IH T', s, IH
you,'Y UW', s, UW
wre,'W ER', s, 
best,'B EH S T', s, 
with,'W IH DH', s, IH
i,'AY', s, AY
not,'N AA T', s, AA
pleases,'P L IY Z IH Z', s, IY IH
me,'M IY', s, IY
better,'B e T ə R', s, 
that,'DH AE T', s, AE
my,'M AY', s, AY
is,'IH Z', s, IH
or,'AO R', s, AO
i,'AY', s, AY
am,'AE M', s, AE
afraid,'ǝ F r EH D', s, 
he,'HH IY', s, IY
will,'W IH L', s, IH
need,'N IY D', s, IY
of,'AH V', s, 
so,'S OW', s, 
him,'HH IH M', s, IH
into,'IH N T UW', s, IH UW
the,'DH AH', s, 
water,'W AA T ǝ R', s, AA
will,'W IH L', s, IH
do,'D OW', s, 
him,'HH IH M', s, IH
a,'AH', s, 
i,'AY', s, AY
think,'TH IH NG K', s, IH
my,'M AY', s, AY
hath,'HH AE TH', s, AE
suspicion,'S AH S P IH SH AH N', s, IH
of,'AH V', s, 
being,'B IY IH NG', s, IY IH
for,'F AO R', s, AO
i,'AY', s, AY
never,'N e V ǝ R', s, 
him,'HH IH M', s, IH
so,'S OW', s, 
gross,'G r OW S', s, 
in,'IH N', s, IH
his,'HH IH Z', s, IH
till,'T IH L', s, IH
shall,'SH AE L', s, AE
we,'W IY', s, IY
send,'S EH N D', s, 
that,'DH AE T', s, AE
foolish,'F UW L IH SH', s, UW IH
mistress,'M IH S T R AH S', s, IH
to,'T UW', s, UW
him,'HH IH M', s, IH
and,'AH N D', s, 
his,'HH IH Z', s, IH
into,'IH N T UW', s, IH UW
the,'DH AH', s, 
water,'W AA T ǝ R', s, AA
and,'AH N D', s, 
him,'HH IH M', s, IH
another,'ǝ N ɤ DH ǝ R', s, 
to,'T UW', s, UW
him,'HH IH M', s, IH
to,'T UW', s, UW
another,'ǝ N ɤ DH ǝ R', s, 
punishhment,'P ɤ N IH SH ˌ M e N T', s, IH
you,'Y UW', s, UW
me,'M IY', s, IY
well,'W EH L', s, 
master,'M AW S T ǝ R', s, 
ford,'F AO R D', s, AO
do,'D OW', s, 
you,'Y UW', s, UW
heaven,'HH EH V AH N', s, 
you,'Y UW', s, UW
better,'B e T ə R', s, 
than,'DH AE N', s, AE
your,'Y AO R', s, AO
sweet,'S W IY T', s, IY
step,'S T EH P', s, 
into,'IH N T UW', s, IH UW
whhy,'ʍ ǝ IH', s, IH
but,'B AH T', s, 
no,'N OW', s, 
speak,'S P IY K', s, IY
whhy,'ʍ ǝ IH', s, IH
whhy,'ʍ ǝ IH', s, IH
does,'D AH Z', s, 
he,'HH IY', s, IY
of,'AH V', s, 
him,'HH IH M', s, IH
near,'N IY R', s, IY
is,'IH Z', s, IH
he,'HH IY', s, IY
mistress,'M IH S T R AH S', s, IH
i,'AY', s, AY
am,'AE M', s, AE
the,'DH AH', s, 
is,'IH Z', s, IH
he,'HH IY', s, IY
go,'G OW', s, 
i,'AY', s, AY
him,'HH IH M', s, IH
shall,'SH AE L', s, AE
i,'AY', s, AY
put,'P UH T', s, UH
him,'HH IH M', s, IH
into,'IH N T UW', s, IH UW
the,'DH AH', s, 
basket,'B AW S K IH T', s, IH
again,'ǝ ɡ EH N', s, 
to,'T UW', s, UW
their,'DH EH R', s, 
pieces,'P IY S AH Z', s, IY
he,'HH IY', s, IY
will,'W IH L', s, IH
seek,'S IY K', s, IY
on,'AA N', s, AA
my,'M AY', s, AY
neither,'N EH DH ǝ R', s, 
press,'P R EH S', s, 
chest,'CH EH S T', s, 
trunk,'T r ɤ NG K', s, 
well,'W EH L', s, 
vault,'V AO L T', s, AO
but,'B AH T', s, 
he,'HH IY', s, IY
hath,'HH AE TH', s, AE
an,'AE N', s, AE
abstract,'AE B S T R AE K T', s, AE AE
for,'F AO R', s, AO
the,'DH AH', s, 
of,'AH V', s, 
and,'AH N D', s, 
goes,'G OW Z', s, 
to,'T UW', s, UW
them,'DH EH M', s, 
by,'B AY', s, AY
his,'HH IH Z', s, IH
is,'IH Z', s, IH
no,'N OW', s, 
you,'Y UW', s, UW
in,'IH N', s, IH
the,'DH AH', s, 
we,'W IY', s, IY
him,'HH IH M', s, IH
my,'M AY', s, AY
aunt,'AO N T', s, AO
the,'DH AH', s, 
fat,'F AE T', s, AE
woman,'W UH M AH N', s, UH
of,'AH V', s, 
a,'AH', s, 
gown,'G ǝ UH N', s, UH
go,'G OW', s, 
go,'G OW', s, 
sweet,'S W IY T', s, IY
mistress,'M IH S T R AH S', s, IH
and,'AH N D', s, 
i,'AY', s, AY
will,'W IH L', s, IH
look,'L UH K', s, UH
linen,'L IH N AH N', s, IH
for,'F AO R', s, AO
your,'Y AO R', s, AO
i,'AY', s, AY
my,'M AY', s, AY
meet,'M IY T', s, IY
him,'HH IH M', s, IH
in,'IH N', s, IH
this,'DH IH S', s, IH
he,'HH IY', s, IY
cannot,'K AE N AA T', s, AE AA
the,'DH AH', s, 
old,'OW L D', s, 
woman,'W UH M AH N', s, UH
of,'AH V', s, 
he,'HH IY', s, IY
swears,'S W EH R Z', s, 
a,'AH', s, 
forbde,'F ER B EY D', s, EY
my,'M AY', s, AY
and,'AH N D', s, 
hath,'HH AE TH', s, AE
to,'T UW', s, UW
beat,'B IY T', s, IY
but,'B AH T', s, 
is,'IH Z', s, IH
my,'M AY', s, AY
that,'DH AE T', s, AE
for,'F AO R', s, AO
my,'M AY', s, AY
men,'M EH N', s, 
to,'T UW', s, UW
carrry,'K AW r ǝ IH', s, IH
the,'DH AH', s, 
basket,'B AW S K IH T', s, IH
again,'ǝ ɡ EH N', s, 
to,'T UW', s, UW
meet,'M IY T', s, IY
him,'HH IH M', s, IH
at,'AE T', s, AE
the,'DH AH', s, 
door,'D AO R', s, AO
with,'W IH DH', s, IH
it,'IH T', s, IH
as,'AE Z', s, AE
did,'D IH D', s, IH
last,'L AE S T', s, AE
my,'M AY', s, AY
men,'M EH N', s, 
what,'W AH T', s, 
shall,'SH AE L', s, AE
do,'D OW', s, 
with,'W IH DH', s, IH
the,'DH AH', s, 
basket,'B AW S K IH T', s, IH
go,'G OW', s, 
up,'AH P', s, 
linen,'L IH N AH N', s, IH
for,'F AO R', s, AO
him,'HH IH M', s, IH
go,'G OW', s, 
the,'DH AH', s, 
basket,'B AW S K IH T', s, IH
again,'ǝ ɡ EH N', s, 
on,'AA N', s, AA
your,'Y AO R', s, AO
your,'Y AO R', s, AO
master,'M AW S T ǝ R', s, 
is,'IH Z', s, IH
at,'AE T', s, AE
door,'D AO R', s, AO
if,'IH F', s, IH
he,'HH IY', s, IY
bid,'B IH D', s, IH
you,'Y UW', s, UW
set,'S EH T', s, 
it,'IH T', s, IH
down,'D ǝ UH N', s, UH
him,'HH IH M', s, IH
heaven,'HH EH V AH N', s, 
be,'B IY', s, IY
my,'M AY', s, AY
witness,'W IH T N AH S', s, IH
you,'Y UW', s, UW
do,'D OW', s, 
if,'IH F', s, IH
you,'Y UW', s, UW
suspect,'S ǝ S P e K T', s, 
me,'M IY', s, IY
in,'IH N', s, IH
you,'Y UW', s, UW
not,'N AA T', s, AA
let,'L EH T', s, 
the,'DH AH', s, 
whhy,'ʍ ǝ IH', s, IH
man,'M AE N', s, AE
whhy,'ʍ ǝ IH', s, IH
if,'IH F', s, IH
you,'Y UW', s, UW
a,'AH', s, 
man,'M AE N', s, AE
he,'HH IY', s, IY
shall,'SH AE L', s, AE
a,'AH', s, 
death,'D EH TH', s, 
what,'W AH T', s, 
ho,'HH OW', s, 
mistress,'M IH S T R AH S', s, IH
you,'Y UW', s, UW
and,'AH N D', s, 
the,'DH AH', s, 
old,'OW L D', s, 
woman,'W UH M AH N', s, UH
down,'D ǝ UH N', s, UH
my,'M AY', s, AY
will,'W IH L', s, IH
into,'IH N T UW', s, IH UW
the,'DH AH', s, 
whhy,'ʍ ǝ IH', s, IH
it,'IH T', s, IH
is,'IH Z', s, IH
my,'M AY', s, AY
aunt,'AO N T', s, AO
of,'AH V', s, 
good,'G UH D', s, UH
sweet,'S W IY T', s, IY
gentlemen,'JH EH N T AH L M IH N', s, IH
let,'L EH T', s, 
him,'HH IH M', s, IH
not,'N AA T', s, AA
the,'DH AH', s, 
old,'OW L D', s, 
woman,'W UH M AH N', s, UH
he,'HH IY', s, IY
will,'W IH L', s, IH
do,'D OW', s, 
a,'AH', s, 
credit,'K R EH D AH T', s, 
for,'F AO R', s, AO
you,'Y UW', s, UW
by,'B AY', s, AY
mass,'M AW S', s, 
that,'DH AE T', s, AE
he,'HH IY', s, IY
did,'D IH D', s, IH
not,'N AA T', s, AA
he,'HH IY', s, IY
beat,'B IY T', s, IY
him,'HH IH M', s, IH
most,'M OW S T', s, 
what,'W AH T', s, 
think,'TH IH NG K', s, IH
you,'Y UW', s, UW
we,'W IY', s, IY
with,'W IH DH', s, IH
the,'DH AH', s, 
warrant,'W AA r ǝ N T', s, AA
of,'AH V', s, 
womanhood,'W UH M ǝ N ˌ UH D', s, UH UH
and,'AH N D', s, 
the,'DH AH', s, 
witness,'W IH T N AH S', s, IH
of,'AH V', s, 
a,'AH', s, 
good,'G UH D', s, UH
him,'HH IH M', s, IH
with,'W IH DH', s, IH
shall,'SH AE L', s, AE
we,'W IY', s, IY
tell,'T EH L', s, 
our,'OW R', s, 
husbands,'HH AH Z B AH N D Z', s, 
we,'W IY', s, IY
him,'HH IH M', s, IH
warrant,'W AA r ǝ N T', s, AA
him,'HH IH M', s, IH
publicly,'P AH B L IH K L IY', s, IH IY
and,'AH N D', s, 
methinks,'M IH TH IH NG K S', s, IH IH
be,'B IY', s, IY
no,'N OW', s, 
to,'T UW', s, UW
the,'DH AH', s, 
jest,'JH EH S T', s, 
he,'HH IY', s, IY
not,'N AA T', s, AA
be,'B IY', s, IY
publicly,'P AH B L IH K L IY', s, IH IY
but,'B AH T', s, 
him,'HH IH M', s, IH
when,'ʍ e N', s, 
he,'HH IY', s, IY
and,'AH N D', s, 
let,'L EH T', s, 
us,'AH S', s, 
to,'T UW', s, UW
him,'HH IH M', s, IH
marrry,'M AW r ǝ IH', s, IH
this,'DH IH S', s, IH
is,'IH Z', s, IH
our,'OW R', s, 
that,'DH AE T', s, AE
falstaff,'F AO L S T AE F', s, AO AE
at,'AE T', s, AE
that,'DH AE T', s, AE
oak,'OW K', s, 
shall,'SH AE L', s, AE
meet,'M IY T', s, IY
with,'W IH DH', s, IH
us,'AH S', s, 
is,'IH Z', s, IH
nan,'N AE N', s, AE
and,'AH N D', s, 
troop,'T R UW P', s, UW
of,'AH V', s, 
fairies,'F EH R IY Z', s, IY
and,'AH N D', s, 
the,'DH AH', s, 
welsh,'W EH L CH', s, 
devil,'D IH V ǝ L', s, IH
that,'DH AE T', s, AE
cannot,'K AE N AA T', s, AE AA
but,'B AH T', s, 
him,'HH IH M', s, IH
him,'HH IH M', s, IH
the,'DH AH', s, 
on,'AA N', s, AA
to,'T UW', s, UW
the,'DH AH', s, 
oak,'OW K', s, 
to,'T UW', s, UW
the,'DH AH', s, 
oak,'OW K', s, 
art,'AA R T', s, AA
thou,'DH AW', s, 
my,'M AY', s, AY
deer,'D IY R', s, IY
my,'M AY', s, AY
deer,'D IY R', s, IY
mistress,'M IH S T R AH S', s, IH
is,'IH Z', s, IH
with,'W IH DH', s, IH
me,'M IY', s, IY
heaven,'HH EH V AH N', s, 
forgve,'F ER G IH V', s, IH
our,'OW R', s, 
sins,'S IH N Z', s, IH
we,'W IY', s, IY
had,'HH AE D', s, AE
ill,'IH L', s, IH
luck,'L ɤ K', s, 
we,'W IY', s, IY
never,'N e V ǝ R', s, 
meet,'M IY T', s, IY
i,'AY', s, AY
will,'W IH L', s, IH
never,'N e V ǝ R', s, 
you,'Y UW', s, UW
for,'F AO R', s, AO
my,'M AY', s, AY
again,'ǝ ɡ EH N', s, 
but,'B AH T', s, 
i,'AY', s, AY
will,'W IH L', s, IH
you,'Y UW', s, UW
my,'M AY', s, AY
deer,'D IY R', s, IY
