lord,'L AO R D', s, AO
with,'W IH DH', s, IH
whhy,'ʍ ǝ IH', s, IH
rivers,'r IH V ǝ R Z', s, IH
you,'Y UW', s, UW
yet,'Y EH T', s, 
to,'T UW', s, UW
what,'W AH T', s, 
is,'IH Z', s, IH
edward,'e D W ǝ R D', s, 
no,'N OW', s, 
but,'B AH T', s, 
the,'DH AH', s, 
loss,'L AO S', s, AO
of,'AH V', s, 
his,'HH IH Z', s, IH
almost,'AA L M OW S T', s, AA
slain,'S L EH N', s, 
for,'F AO R', s, AO
he,'HH IY', s, IY
is,'IH Z', s, IH
taken,'T EY K AH N', s, EY
either,'EH DH ǝ R', s, 
by,'B AY', s, AY
of,'AH V', s, 
his,'HH IH Z', s, IH
guard,'G AA R D', s, AA
or,'AO R', s, AO
by,'B AY', s, AY
his,'HH IH Z', s, IH
foe,'F OW', s, 
at,'AE T', s, AE
unawares,'ˌ ɤ N ǝ W EH R Z', s, 
and,'AH N D', s, 
as,'AE Z', s, AE
i,'AY', s, AY
to,'T UW', s, UW
is,'IH Z', s, IH
committed,'K AH M IH T AH D', s, IH
to,'T UW', s, UW
the,'DH AH', s, 
bishop,'B IH SH AH P', s, IH
of,'AH V', s, 
york,'Y AO R K', s, AO
fell,'F EH L', s, 
and,'AH N D', s, 
by,'B AY', s, AY
that,'DH AE T', s, AE
our,'OW R', s, 
foe,'F OW', s, 
till,'T IH L', s, IH
then,'DH EH N', s, 
fair,'F EH R', s, 
must,'M AH S T', s, 
and,'AH N D', s, 
i,'AY', s, AY
the,'DH AH', s, 
wean,'W IY N', s, IY
me,'M IY', s, IY
from,'F R AH M', s, 
despair,'D IH S P EH R', s, IH
for,'F AO R', s, AO
of,'AH V', s, 
in,'IH N', s, IH
my,'M AY', s, AY
this,'DH IH S', s, IH
is,'IH Z', s, IH
it,'IH T', s, IH
that,'DH AE T', s, AE
me,'M IY', s, IY
passion,'P AE SH AH N', s, AE
and,'AH N D', s, 
bear,'B EH R', s, 
with,'W IH DH', s, IH
my,'M AY', s, AY
cross,'K R AO S', s, AO
for,'F AO R', s, AO
this,'DH IH S', s, IH
i,'AY', s, AY
in,'IH N', s, IH
a,'AH', s, 
tear,'T IY R', s, IY
and,'AH N D', s, 
stop,'S T AA P', s, AA
the,'DH AH', s, 
rising,'r ǝ IH Z IH N', s, IH IH
of,'AH V', s, 
lest,'L EH S T', s, 
with,'W IH DH', s, IH
my,'M AY', s, AY
or,'AO R', s, AO
tears,'T EH R Z', s, 
i,'AY', s, AY
blast,'B L AW S T', s, 
or,'AO R', s, AO
drown,'D r ǝ UH N', s, UH
fruit,'F R UW T', s, UW
true,'T R UW', s, UW
to,'T UW', s, UW
english,'IH NG G L IH SH', s, IH IH
crown,'K r ǝ UH N', s, UH
i,'AY', s, AY
am,'AE M', s, AE
that,'DH AE T', s, AE
he,'HH IY', s, IY
towards,'T AH W AO R D Z', s, AO
london,'L AH N D AH N', s, 
to,'T UW', s, UW
set,'S EH T', s, 
the,'DH AH', s, 
crown,'K r ǝ UH N', s, UH
on,'AA N', s, AA
guess,'G EH S', s, 
thou,'DH AW', s, 
the,'DH AH', s, 
rest,'R EH S T', s, 
friends,'F R EH N D Z', s, 
must,'M AH S T', s, 
down,'D ǝ UH N', s, UH
but,'B AH T', s, 
to,'T UW', s, UW
prevent,'P R IH V EH N T', s, IH
the,'DH AH', s, 
for,'F AO R', s, AO
trust,'T r ɤ S T', s, 
not,'N AA T', s, AA
him,'HH IH M', s, IH
that,'DH AE T', s, AE
hath,'HH AE TH', s, AE
broken,'B R OW K AH N', s, 
faith,'F EY TH', s, EY
unto,'AH N T UW', s, UW
the,'DH AH', s, 
to,'T UW', s, UW
sve,'EH V', s, 
at,'AE T', s, AE
least,'L IY S T', s, IY
the,'DH AH', s, 
of,'AH V', s, 
shall,'SH AE L', s, AE
i,'AY', s, AY
rest,'R EH S T', s, 
from,'F R AH M', s, 
and,'AH N D', s, 
fraud,'F R AO D', s, AO
therefre,'DH EH R F AO R', s, AO
let,'L EH T', s, 
us,'AH S', s, 
we,'W IY', s, IY
if,'IH F', s, IH
us,'AH S', s, 
we,'W IY', s, IY
to,'T UW', s, UW
