my,'M AY', s, AY
is,'IH Z', s, IH
cannot,'K AE N AA T', s, AE AA
be,'B IY', s, IY
but,'B AH T', s, 
who,'HH UW', s, UW
tell,'T EH L', s, 
so,'S OW', s, 
if,'IH F', s, IH
i,'AY', s, AY
speak,'S P IY K', s, IY
she,'SH IY', s, IY
mock,'M AA K', s, AA
me,'M IY', s, IY
into,'IH N T UW', s, IH UW
air,'EH R', s, 
o,'OW', s, 
she,'SH IY', s, IY
me,'M IY', s, IY
out,'AW T', s, 
of,'AH V', s, 
myself,'M AY S EH L F', s, AY
press,'P R EH S', s, 
me,'M IY', s, IY
to,'T UW', s, UW
death,'D EH TH', s, 
with,'W IH DH', s, IH
wit,'W IH T', s, IH
therefre,'DH EH R F AO R', s, AO
let,'L EH T', s, 
benedick,'B EH N AH D IH K', s, IH
in,'IH N', s, IH
it,'IH T', s, IH
wre,'W ER', s, 
a,'AH', s, 
better,'B e T ə R', s, 
death,'D EH TH', s, 
than,'DH AE N', s, AE
with,'W IH DH', s, IH
is,'IH Z', s, IH
as,'AE Z', s, AE
bad,'B AE D', s, AE
as,'AE Z', s, AE
with,'W IH DH', s, IH
no,'N OW', s, 
i,'AY', s, AY
will,'W IH L', s, IH
go,'G OW', s, 
to,'T UW', s, UW
benedick,'B EH N AH D IH K', s, IH
and,'AH N D', s, 
him,'HH IH M', s, IH
to,'T UW', s, UW
against,'AH G EH N S T', s, 
his,'HH IH Z', s, IH
passion,'P AE SH AH N', s, AE
and,'AH N D', s, 
slanders,'S L AO N D ǝ R Z', s, AO
to,'T UW', s, UW
stain,'S T EH N', s, 
my,'M AY', s, AY
cousin,'K AH Z AH N', s, 
with,'W IH DH', s, IH
doth,'D AO TH', s, AO
not,'N AA T', s, AA
an,'AE N', s, AE
ill,'IH L', s, IH
liking,'L ǝ IH K IH N', s, IH IH
he,'HH IY', s, IY
is,'IH Z', s, IH
the,'DH AH', s, 
only,'OW N L IY', s, IY
man,'M AE N', s, AE
of,'AH V', s, 
excepted,'IH K S EH P T IH D', s, IH IH
my,'M AY', s, AY
dear,'D IY R', s, IY
indeed,'IH N D IY D', s, IH IY
he,'HH IY', s, IY
hath,'HH AE TH', s, AE
an,'AE N', s, AE
good,'G UH D', s, UH
whhy,'ʍ ǝ IH', s, IH
every,'e V r ǝ IH', s, IH
go,'G OW', s, 
in,'IH N', s, IH
thee,'DH IY', s, IY
attires,'ǝ T ǝ IH R Z', s, IH
and,'AH N D', s, 
is,'IH Z', s, IH
the,'DH AH', s, 
best,'B EH S T', s, 
to,'T UW', s, UW
me,'M IY', s, IY
if,'IH F', s, IH
it,'IH T', s, IH
so,'S OW', s, 
then,'DH EH N', s, 
goes,'G OW Z', s, 
by,'B AY', s, AY
with,'W IH DH', s, IH
with,'W IH DH', s, IH
traps,'T R AE P S', s, AE
good,'G UH D', s, UH
my,'M AY', s, AY
cousin,'K AH Z AH N', s, 
and,'AH N D', s, 
to,'T UW', s, UW
and,'AH N D', s, 
bid,'B IH D', s, IH
no,'N OW', s, 
thee,'DH IY', s, IY
good,'G UH D', s, UH
meg,'M EH G', s, 
wear,'W EH R', s, 
this,'DH IH S', s, IH
my,'M AY', s, AY
a,'AH', s, 
fool,'F UH L', s, UH
and,'AH N D', s, 
thou,'DH AW', s, 
art,'AA R T', s, AA
another,'ǝ N ɤ DH ǝ R', s, 
wear,'W EH R', s, 
but,'B AH T', s, 
this,'DH IH S', s, IH
o,'OW', s, 
that,'DH AE T', s, AE
exceeds,'IH K S IY D Z', s, IH IY
god,'G AA D', s, AA
me,'M IY', s, IY
to,'T UW', s, UW
wear,'W EH R', s, 
it,'IH T', s, IH
for,'F AO R', s, AO
my,'M AY', s, AY
heart,'HH AA R T', s, AA
is,'IH Z', s, IH
heavy,'e V ǝ IH', s, IH
upon,'AH P AA N', s, AA
thee,'DH IY', s, IY
art,'AA R T', s, AA
not,'N AA T', s, AA
good,'G UH D', s, UH
coz,'K AA Z', s, AA
whhy,'ʍ ǝ IH', s, IH
do,'D OW', s, 
you,'Y UW', s, UW
speak,'S P IY K', s, IY
in,'IH N', s, IH
the,'DH AH', s, 
sick,'S IH K', s, IH
the,'DH AH', s, 
sent,'S EH N T', s, 
me,'M IY', s, IY
an,'AE N', s, AE
thou,'DH AW', s, 
with,'W IH DH', s, IH
a,'AH', s, 
to,'T UW', s, UW
dress,'D R EH S', s, 
me,'M IY', s, IY
good,'G UH D', s, UH
coz,'K AA Z', s, AA
good,'G UH D', s, UH
meg,'M EH G', s, 
good,'G UH D', s, UH
i,'AY', s, AY
do,'D OW', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
and,'AH N D', s, 
i,'AY', s, AY
to,'T UW', s, UW
you,'Y UW', s, UW
is,'IH Z', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
well,'W EH L', s, 
that,'DH AE T', s, AE
he,'HH IY', s, IY
doth,'D AO TH', s, AO
speak,'S P IY K', s, IY
so,'S OW', s, 
true,'T R UW', s, UW
o,'OW', s, 
god,'G AA D', s, AA
o,'OW', s, 
god,'G AA D', s, AA
defend,'D IH F EH N D', s, IH
me,'M IY', s, IY
am,'AE M', s, AE
i,'AY', s, AY
beset,'B IH S EH T', s, IH
what,'W AH T', s, 
of,'AH V', s, 
call,'K AO L', s, AO
you,'Y UW', s, UW
this,'DH IH S', s, IH
is,'IH Z', s, IH
it,'IH T', s, IH
not,'N AA T', s, AA
hero,'HH IH R OW', s, IH
who,'HH UW', s, UW
can,'K AE N', s, AE
blot,'B L AA T', s, AA
that,'DH AE T', s, AE
with,'W IH DH', s, IH
i,'AY', s, AY
with,'W IH DH', s, IH
no,'N OW', s, 
man,'M AE N', s, AE
at,'AE T', s, AE
that,'DH AE T', s, AE
my,'M AY', s, AY
lord,'L AO R D', s, AO
that,'DH AE T', s, AE
do,'D OW', s, 
me,'M IY', s, IY
i,'AY', s, AY
if,'IH F', s, IH
i,'AY', s, AY
of,'AH V', s, 
man,'M AE N', s, AE
than,'DH AE N', s, AE
that,'DH AE T', s, AE
maiden,'M EY D AH N', s, EY
modesty,'M AA D AH S T IY', s, AA IY
doth,'D AO TH', s, AO
warrant,'W AA r ǝ N T', s, AA
let,'L EH T', s, 
all,'AA L', s, AA
my,'M AY', s, AY
sins,'S IH N Z', s, IH
lack,'L AE K', s, AE
my,'M AY', s, AY
you,'Y UW', s, UW
that,'DH AE T', s, AE
man,'M AE N', s, AE
with,'W IH DH', s, IH
me,'M IY', s, IY
at,'AE T', s, AE
unmeet,'ɤ N M IY T', s, IY
or,'AO R', s, AO
that,'DH AE T', s, AE
i,'AY', s, AY
the,'DH AH', s, 
of,'AH V', s, 
with,'W IH DH', s, IH
creatre,'K R IY CH ER', s, IY
me,'M IY', s, IY
me,'M IY', s, IY
me,'M IY', s, IY
to,'T UW', s, UW
death,'D EH TH', s, 
and,'AH N D', s, 
when,'ʍ e N', s, 
i,'AY', s, AY
i,'AY', s, AY
was,'W AA Z', s, AA
your,'Y AO R', s, AO
and,'AH N D', s, 
when,'ʍ e N', s, 
you,'Y UW', s, UW
you,'Y UW', s, UW
wre,'W ER', s, 
my,'M AY', s, AY
hero,'HH IH R OW', s, IH
died,'D AY D', s, AY
defiled,'D IH F ǝ IH L D', s, IH IH
but,'B AH T', s, 
i,'AY', s, AY
do,'D OW', s, 
and,'AH N D', s, 
as,'AE Z', s, AE
i,'AY', s, AY
i,'AY', s, AY
am,'AE M', s, AE
a,'AH', s, 
maid,'M EY D', s, EY
and,'AH N D', s, 
another,'ǝ N ɤ DH ǝ R', s, 
writ,'R IH T', s, IH
in,'IH N', s, IH
my,'M AY', s, AY
from,'F R AH M', s, 
pocket,'P AA K AH T', s, AA
affection,'AH F EH K SH AH N', s, 
unto,'AH N T UW', s, UW
benedick,'B EH N AH D IH K', s, IH
