promises,'P R AA M AH S AH Z',s,'AA'
in,'IH N',s,'IH'
this,'DH IH S',s,'IH'
with,'W IH DH',s,'IH'
all,'AA L',s,'AA'
my,'M AY',s,'AY'
heart,'HH AA R T',s,'AA'
sit,'S IH T',s,'IH'
and,'AH N D',s,''
by,'B AY',s,'AY'
that,'DH AE T',s,'AE'
will,'W IH L',s,'IH'
our,'OW R',s,''
book,'B UH K',s,'UH'
i,'AY',s,'AY'
think,'TH IH NG K',s,'IH'
be,'B IY',s,'IY'
with,'W IH DH',s,'IH'
all,'AA L',s,'AA'
my,'M AY',s,'AY'
heart,'HH AA R T',s,'AA'
