in,'IH N', s, IH
thus,'DH ɤ S', s, 
did,'D IH D', s, IH
i,'AY', s, AY
it,'IH T', s, IH
what,'W AH T', s, 
our,'OW R', s, 
doth,'D AO TH', s, AO
from,'F R AH M', s, 
us,'AH S', s, 
we,'W IY', s, IY
wish,'W IH SH', s, IH
it,'IH T', s, IH
ours,'OW R Z', s, 
again,'ǝ ɡ EH N', s, 
the,'DH AH', s, 
present,'P r IH Z e N T', s, IH
pleasre,'P L EH ZH ER', s, 
by,'B AY', s, AY
does,'D AH Z', s, 
the,'DH AH', s, 
of,'AH V', s, 
itself,'IH T S EH L F', s, IH
good,'G UH D', s, UH
being,'B IY IH NG', s, IY IH
the,'DH AH', s, 
pluck,'P L ɤ K', s, 
back,'B AE K', s, AE
that,'DH AE T', s, AE
on,'AA N', s, AA
i,'AY', s, AY
must,'M AH S T', s, 
from,'F R AH M', s, 
this,'DH IH S', s, IH
break,'B R EY K', s, EY
off,'AO F', s, AO
ten,'T EH N', s, 
harms,'HH AA R M Z', s, AA
than,'DH AE N', s, AE
the,'DH AH', s, 
i,'AY', s, AY
my,'M AY', s, AY
idleness,'ǝ IH D L N ǝ S', s, IH
doth,'D AO TH', s, AO
i,'AY', s, AY
must,'M AH S T', s, 
with,'W IH DH', s, IH
hate,'AW S T', s, 
from,'F R AH M', s, 
i,'AY', s, AY
must,'M AH S T', s, 
be,'B IY', s, IY
she,'SH IY', s, IY
is,'IH Z', s, IH
past,'P AW S T', s, 
i,'AY', s, AY
had,'HH AE D', s, AE
never,'N e V ǝ R', s, 
seen,'S IY N', s, IY
is,'IH Z', s, IH
dead,'D EH D', s, 
is,'IH Z', s, IH
dead,'D EH D', s, 
dead,'D EH D', s, 
the,'DH AH', s, 
she,'SH IY', s, IY
hath,'HH AE TH', s, AE
in,'IH N', s, IH
the,'DH AH', s, 
cannot,'K AE N AA T', s, AE AA
my,'M AY', s, AY
no,'N OW', s, 
let,'L EH T', s, 
our,'OW R', s, 
what,'W AH T', s, 
we,'W IY', s, IY
i,'AY', s, AY
shall,'SH AE L', s, AE
break,'B R EY K', s, EY
the,'DH AH', s, 
of,'AH V', s, 
our,'OW R', s, 
to,'T UW', s, UW
the,'DH AH', s, 
and,'AH N D', s, 
get,'G EH T', s, 
to,'T UW', s, UW
part,'P AA R T', s, AA
for,'F AO R', s, AO
not,'N AA T', s, AA
the,'DH AH', s, 
death,'D EH TH', s, 
of,'AH V', s, 
with,'W IH DH', s, IH
do,'D OW', s, 
strongly,'S T r ɒ NG L ǝ IH', s, IH
speak,'S P IY K', s, IY
to,'T UW', s, UW
us,'AH S', s, 
but,'B AH T', s, 
the,'DH AH', s, 
too,'T UW', s, UW
of,'AH V', s, 
our,'OW R', s, 
contriving,'K ǝ N T r ǝ IH V IH N', s, IH IH
friends,'F R EH N D Z', s, 
in,'IH N', s, IH
us,'AH S', s, 
at,'AE T', s, AE
hme,'OW M', s, 
hath,'HH AE TH', s, AE
given,'G IH V AH N', s, IH
the,'DH AH', s, 
to,'T UW', s, UW
and,'AH N D', s, 
commands,'K ǝ M AW N D Z', s, 
the,'DH AH', s, 
of,'AH V', s, 
the,'DH AH', s, 
sea,'S IY', s, IY
our,'OW R', s, 
slippery,'S L IH P r ǝ IH', s, IH IH
is,'IH Z', s, IH
never,'N e V ǝ R', s, 
to,'T UW', s, UW
the,'DH AH', s, 
till,'T IH L', s, IH
his,'HH IH Z', s, IH
deserts,'D IH Z ɐ R T S', s, IH
past,'P AW S T', s, 
begin,'B IH G IH N', s, IH IH
to,'T UW', s, UW
the,'DH AH', s, 
great,'G r e T', s, 
and,'AH N D', s, 
all,'AA L', s, AA
his,'HH IH Z', s, IH
upon,'AH P AA N', s, AA
his,'HH IH Z', s, IH
son,'S AO ̃', s, AO
in,'IH N', s, IH
and,'AH N D', s, 
than,'DH AE N', s, AE
both,'B OW TH', s, 
in,'IH N', s, IH
blood,'B L AH D', s, 
and,'AH N D', s, 
up,'AH P', s, 
for,'F AO R', s, AO
the,'DH AH', s, 
main,'M EH N', s, 
going,'G OW IH N', s, IH
on,'AA N', s, AA
the,'DH AH', s, 
is,'IH Z', s, IH
the,'DH AH', s, 
hair,'HH EH R', s, 
hath,'HH AE TH', s, AE
yet,'Y EH T', s, 
but,'B AH T', s, 
and,'AH N D', s, 
not,'N AA T', s, AA
a,'AH', s, 
our,'OW R', s, 
pleasre,'P L EH ZH ER', s, 
to,'T UW', s, UW
is,'IH Z', s, IH
under,'ɤ N D ǝ R', s, 
us,'AH S', s, 
requires,'R IY K W AY ER Z', s, IY AY
our,'OW R', s, 
from,'F R AH M', s, 
i,'AY', s, AY
am,'AE M', s, AE
to,'T UW', s, UW
to,'T UW', s, UW
my,'M AY', s, AY
my,'M AY', s, AY
dearest,'D IY R ǝ S T', s, IY
the,'DH AH', s, 
matter,'M AW T ǝ R', s, 
the,'DH AH', s, 
gods,'G AA D Z', s, AA
best,'B EH S T', s, 
most,'M OW S T', s, 
sweet,'S W IY T', s, IY
lady,'L EY D IY', s, EY IY
me,'M IY', s, IY
the,'DH AH', s, 
necessity,'N AH S EH S AH T IY', s, IY
of,'AH V', s, 
commands,'K ǝ M AW N D Z', s, 
our,'OW R', s, 
services,'S ɐ R V IH S IH Z', s, IH IH
but,'B AH T', s, 
my,'M AY', s, AY
full,'F UH L', s, UH
heart,'HH AA R T', s, AA
remains,'r IH M EH N Z', s, IH
in,'IH N', s, IH
with,'W IH DH', s, IH
you,'Y UW', s, UW
our,'OW R', s, 
with,'W IH DH', s, IH
civil,'S IH V AH L', s, IH
his,'HH IH Z', s, IH
appproaches,'ǝ P r OW T SH IH Z', s, IH
to,'T UW', s, UW
the,'DH AH', s, 
port,'P AO R T', s, AO
of,'AH V', s, 
of,'AH V', s, 
domestic,'D AH M EH S T IH K', s, IH
breed,'B R IY D', s, IY
faction,'F AE K SH AH N', s, AE
the,'DH AH', s, 
to,'T UW', s, UW
strength,'S T R EH NG K TH', s, 
to,'T UW', s, UW
the,'DH AH', s, 
rich,'R IH CH', s, IH
in,'IH N', s, IH
his,'HH IH Z', s, IH
creeps,'K R IY P S', s, IY
into,'IH N T UW', s, IH UW
the,'DH AH', s, 
hearts,'HH AA R T S', s, AA
of,'AH V', s, 
as,'AE Z', s, AE
not,'N AA T', s, AA
upon,'AH P AA N', s, AA
the,'DH AH', s, 
present,'P r IH Z e N T', s, IH
and,'AH N D', s, 
sick,'S IH K', s, IH
of,'AH V', s, 
rest,'R EH S T', s, 
by,'B AY', s, AY
desperte,'D EH S P R IH T', s, IH
my,'M AY', s, AY
and,'AH N D', s, 
that,'DH AE T', s, AE
most,'M OW S T', s, 
with,'W IH DH', s, IH
you,'Y UW', s, UW
my,'M AY', s, AY
going,'G OW IH N', s, IH
is,'IH Z', s, IH
death,'D EH TH', s, 
dead,'D EH D', s, 
my,'M AY', s, AY
look,'L UH K', s, UH
and,'AH N D', s, 
at,'AE T', s, AE
read,'r e D', s, 
the,'DH AH', s, 
she,'SH IY', s, IY
at,'AE T', s, AE
the,'DH AH', s, 
last,'L AE S T', s, AE
best,'B EH S T', s, 
see,'S IY', s, IY
when,'ʍ e N', s, 
and,'AH N D', s, 
she,'SH IY', s, IY
died,'D AY D', s, AY
no,'N OW', s, 
but,'B AH T', s, 
be,'B IY', s, IY
to,'T UW', s, UW
the,'DH AH', s, 
purposes,'P ɐ R P ǝ S IH Z', s, IH
i,'AY', s, AY
bear,'B EH R', s, 
or,'AO R', s, AO
as,'AE Z', s, AE
you,'Y UW', s, UW
shall,'SH AE L', s, AE
by,'B AY', s, AY
the,'DH AH', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
go,'G OW', s, 
from,'F R AH M', s, 
servant,'S ɐ R V ǝ N T', s, 
or,'AO R', s, AO
war,'W AO R', s, AO
as,'AE Z', s, AE
thou,'DH AW', s, 
affects,'ǝ F e K · S', s, 
my,'M AY', s, AY
precious,'P R EH SH AH S', s, 
forbear,'F ǝ R B EH R', s, 
and,'AH N D', s, 
true,'T R UW', s, UW
to,'T UW', s, UW
his,'HH IH Z', s, IH
stands,'S T AE N D Z', s, AE
an,'AE N', s, AE
honorale,'AA N ER AH B AH L', s, AA
my,'M AY', s, AY
blood,'B L AH D', s, 
no,'N OW', s, 
by,'B AY', s, AY
my,'M AY', s, AY
you,'Y UW', s, UW
lady,'L EY D IY', s, EY IY
but,'B AH T', s, 
that,'DH AE T', s, AE
your,'Y AO R', s, AO
idleness,'ǝ IH D L N ǝ S', s, IH
your,'Y AO R', s, AO
subject,'S AH B JH EH K T', s, 
i,'AY', s, AY
you,'Y UW', s, UW
for,'F AO R', s, AO
idleness,'ǝ IH D L N ǝ S', s, IH
itself,'IH T S EH L F', s, IH
let,'L EH T', s, 
us,'AH S', s, 
go,'G OW', s, 
our,'OW R', s, 
so,'S OW', s, 
and,'AH N D', s, 
that,'DH AE T', s, AE
thou,'DH AW', s, 
residing,'r IH S ǝ IH D IH N', s, IH IH IH
goes,'G OW Z', s, 
yet,'Y EH T', s, 
with,'W IH DH', s, IH
me,'M IY', s, IY
and,'AH N D', s, 
i,'AY', s, AY
remain,'r IH M EH N', s, IH
with,'W IH DH', s, IH
thee,'DH IY', s, IY
if,'IH F', s, IH
we,'W IY', s, IY
well,'W EH L', s, 
to,'T UW', s, UW
spoken,'S P IY K ǝ N', s, IY
well,'W EH L', s, 
wre,'W ER', s, 
we,'W IY', s, IY
our,'OW R', s, 
and,'AH N D', s, 
to,'T UW', s, UW
i,'AY', s, AY
do,'D OW', s, 
thus,'DH ɤ S', s, 
thank,'TH AE NG K', s, AE
you,'Y UW', s, UW
sit,'S IH T', s, IH
i,'AY', s, AY
you,'Y UW', s, UW
ill,'IH L', s, IH
not,'N AA T', s, AA
so,'S OW', s, 
or,'AO R', s, AO
being,'B IY IH NG', s, IY IH
you,'Y UW', s, UW
not,'N AA T', s, AA
my,'M AY', s, AY
being,'B IY IH NG', s, IY IH
in,'IH N', s, IH
egypt,'IY JH AH P T', s, IY
what,'W AH T', s, 
was,'W AA Z', s, AA
to,'T UW', s, UW
you,'Y UW', s, UW
intend,'IH N T EH N D', s, IH
you,'Y UW', s, UW
you,'Y UW', s, UW
do,'D OW', s, 
your,'Y AO R', s, AO
my,'M AY', s, AY
never,'N e V ǝ R', s, 
did,'D IH D', s, IH
uge,'ER JH', s, 
me,'M IY', s, IY
in,'IH N', s, IH
his,'HH IH Z', s, IH
act,'AE K T', s, AE
i,'AY', s, AY
did,'D IH D', s, IH
it,'IH T', s, IH
and,'AH N D', s, 
my,'M AY', s, AY
from,'F R AH M', s, 
true,'T R UW', s, UW
reports,'r IH P AO R T S', s, IH AO
that,'DH AE T', s, AE
their,'DH EH R', s, 
with,'W IH DH', s, IH
you,'Y UW', s, UW
did,'D IH D', s, IH
he,'HH IY', s, IY
not,'N AA T', s, AA
disccredit,'D IH S K R EH D AH T', s, IH
my,'M AY', s, AY
with,'W IH DH', s, IH
yours,'Y UH R Z', s, UH
and,'AH N D', s, 
the,'DH AH', s, 
wars,'W AO R Z', s, AO
against,'AH G EH N S T', s, 
my,'M AY', s, AY
stomach,'S T AH M AH K', s, 
your,'Y AO R', s, AO
of,'AH V', s, 
this,'DH IH S', s, IH
my,'M AY', s, AY
did,'D IH D', s, IH
you,'Y UW', s, UW
if,'IH F', s, IH
a,'AH', s, 
as,'AE Z', s, AE
matter,'M AW T ǝ R', s, 
you,'Y UW', s, UW
to,'T UW', s, UW
it,'IH T', s, IH
with,'W IH DH', s, IH
it,'IH T', s, IH
must,'M AH S T', s, 
not,'N AA T', s, AA
be,'B IY', s, IY
with,'W IH DH', s, IH
this,'DH IH S', s, IH
not,'N AA T', s, AA
so,'S OW', s, 
not,'N AA T', s, AA
so,'S OW', s, 
i,'AY', s, AY
you,'Y UW', s, UW
not,'N AA T', s, AA
am,'AE M', s, AE
certain,'S ɐ R T ǝ N', s, 
on,'AA N', s, AA
very,'V EH R IY', s, IY
necessity,'N AH S EH S AH T IY', s, IY
of,'AH V', s, 
this,'DH IH S', s, IH
that,'DH AE T', s, AE
i,'AY', s, AY
your,'Y AO R', s, AO
partner,'P AA R T N ǝ R', s, AA
in,'IH N', s, IH
the,'DH AH', s, 
he,'HH IY', s, IY
not,'N AA T', s, AA
with,'W IH DH', s, IH
attend,'AH T EH N D', s, 
wars,'W AO R Z', s, AO
fronted,'F R AH N T IH D', s, IH
as,'AE Z', s, AE
for,'F AO R', s, AO
my,'M AY', s, AY
i,'AY', s, AY
you,'Y UW', s, UW
had,'HH AE D', s, AE
spirit,'S P IH R AH T', s, IH
in,'IH N', s, IH
another,'ǝ N ɤ DH ǝ R', s, 
the,'DH AH', s, 
is,'IH Z', s, IH
yours,'Y UH R Z', s, UH
with,'W IH DH', s, IH
a,'AH', s, 
you,'Y UW', s, UW
but,'B AH T', s, 
not,'N AA T', s, AA
a,'AH', s, 
so,'S OW', s, 
out,'AW T', s, 
of,'AH V', s, 
not,'N AA T', s, AA
wanted,'W AA N T IH D', s, AA IH
of,'AH V', s, 
grant,'G r AO N T', s, AO
did,'D IH D', s, IH
you,'Y UW', s, UW
too,'T UW', s, UW
for,'F AO R', s, AO
that,'DH AE T', s, AE
you,'Y UW', s, UW
must,'M AH S T', s, 
but,'B AH T', s, 
i,'AY', s, AY
not,'N AA T', s, AA
it,'IH T', s, IH
he,'HH IY', s, IY
fell,'F EH L', s, 
upon,'AH P AA N', s, AA
me,'M IY', s, IY
admitted,'AH D M IH T AH D', s, IH
then,'DH EH N', s, 
i,'AY', s, AY
had,'HH AE D', s, AE
feasted,'F e S T IH D', s, IH
and,'AH N D', s, 
did,'D IH D', s, IH
want,'W AA N T', s, AA
of,'AH V', s, 
what,'W AH T', s, 
i,'AY', s, AY
was,'W AA Z', s, AA
but,'B AH T', s, 
i,'AY', s, AY
told,'T OW L D', s, 
him,'HH IH M', s, IH
of,'AH V', s, 
myself,'M AY S EH L F', s, AY
was,'W AA Z', s, AA
as,'AE Z', s, AE
as,'AE Z', s, AE
to,'T UW', s, UW
him,'HH IH M', s, IH
pardon,'P AA R D ǝ N', s, AA
let,'L EH T', s, 
this,'DH IH S', s, IH
be,'B IY', s, IY
of,'AH V', s, 
our,'OW R', s, 
if,'IH F', s, IH
we,'W IY', s, IY
contend,'K AH N T EH N D', s, 
out,'AW T', s, 
of,'AH V', s, 
our,'OW R', s, 
him,'HH IH M', s, IH
no,'N OW', s, 
lepidus,'L e P IH D ǝ S', s, IH
let,'L EH T', s, 
him,'HH IH M', s, IH
speak,'S P IY K', s, IY
the,'DH AH', s, 
is,'IH Z', s, IH
sacred,'S EY K R AH D', s, EY
he,'HH IY', s, IY
on,'AA N', s, AA
that,'DH AE T', s, AE
i,'AY', s, AY
on,'AA N', s, AA
the,'DH AH', s, 
of,'AH V', s, 
my,'M AY', s, AY
oath,'OW TH', s, 
neglected,'N AH G L EH K T AH D', s, 
and,'AH N D', s, 
then,'DH EH N', s, 
when,'ʍ e N', s, 
poisoned,'P ǝ IH Z ǝ N D', s, IH
had,'HH AE D', s, AE
me,'M IY', s, IY
up,'AH P', s, 
from,'F R AH M', s, 
as,'AE Z', s, AE
as,'AE Z', s, AE
i,'AY', s, AY
the,'DH AH', s, 
to,'T UW', s, UW
you,'Y UW', s, UW
but,'B AH T', s, 
shall,'SH AE L', s, AE
not,'N AA T', s, AA
poor,'P UH R', s, UH
my,'M AY', s, AY
greatness,'G r e T N ǝ S', s, 
nor,'N AO R', s, AO
my,'M AY', s, AY
work,'W AO R K', s, AO
it,'IH T', s, IH
truth,'T R UW TH', s, UW
is,'IH Z', s, IH
that,'DH AE T', s, AE
to,'T UW', s, UW
me,'M IY', s, IY
out,'AW T', s, 
of,'AH V', s, 
egypt,'IY JH AH P T', s, IY
wars,'W AO R Z', s, AO
for,'F AO R', s, AO
myself,'M AY S EH L F', s, AY
the,'DH AH', s, 
ignorant,'IH G N ǝ r ǝ N T', s, IH
do,'D OW', s, 
so,'S OW', s, 
far,'F AA R', s, AA
ask,'AW S K', s, 
pardon,'P AA R D ǝ N', s, AA
as,'AE Z', s, AE
befits,'B IH F IH T S', s, IH IH
to,'T UW', s, UW
stoop,'S T UW P', s, UW
in,'IH N', s, IH
a,'AH', s, 
thou,'DH AW', s, 
art,'AA R T', s, AA
a,'AH', s, 
only,'OW N L IY', s, IY
speak,'S P IY K', s, IY
no,'N OW', s, 
you,'Y UW', s, UW
this,'DH IH S', s, IH
therefre,'DH EH R F AO R', s, AO
speak,'S P IY K', s, IY
no,'N OW', s, 
i,'AY', s, AY
am,'AE M', s, AE
not,'N AA T', s, AA
let,'L EH T', s, 
me,'M IY', s, IY
agrippa,'AH G R IH P AH', s, IH
speak,'S P IY K', s, IY
will,'W IH L', s, IH
speak,'S P IY K', s, IY
what,'W AH T', s, 
is,'IH Z', s, IH
in,'IH N', s, IH
agrippa,'AH G R IH P AH', s, IH
if,'IH F', s, IH
i,'AY', s, AY
agrippa,'AH G R IH P AH', s, IH
be,'B IY', s, IY
it,'IH T', s, IH
so,'S OW', s, 
to,'T UW', s, UW
this,'DH IH S', s, IH
good,'G UH D', s, UH
i,'AY', s, AY
never,'N e V ǝ R', s, 
to,'T UW', s, UW
this,'DH IH S', s, IH
good,'G UH D', s, UH
that,'DH AE T', s, AE
so,'S OW', s, 
fairly,'F EH R L IY', s, IY
dream,'D R IY M', s, IY
of,'AH V', s, 
impediment,'IH M P EH D AH M AH N T', s, IH
let,'L EH T', s, 
me,'M IY', s, IY
this,'DH IH S', s, IH
act,'AE K T', s, AE
of,'AH V', s, 
and,'AH N D', s, 
from,'F R AH M', s, 
this,'DH IH S', s, IH
the,'DH AH', s, 
heart,'HH AA R T', s, AA
of,'AH V', s, 
govern,'G ɤ V ǝ R N', s, 
in,'IH N', s, IH
our,'OW R', s, 
and,'AH N D', s, 
our,'OW R', s, 
great,'G r e T', s, 
designs,'D IH Z ǝ IH N Z', s, IH IH
i,'AY', s, AY
did,'D IH D', s, IH
not,'N AA T', s, AA
think,'TH IH NG K', s, IH
to,'T UW', s, UW
my,'M AY', s, AY
for,'F AO R', s, AO
he,'HH IY', s, IY
hath,'HH AE TH', s, AE
laid,'L EH D', s, 
and,'AH N D', s, 
great,'G r e T', s, 
of,'AH V', s, 
upon,'AH P AA N', s, AA
me,'M IY', s, IY
i,'AY', s, AY
must,'M AH S T', s, 
thank,'TH AE NG K', s, AE
him,'HH IH M', s, IH
only,'OW N L IY', s, IY
lest,'L EH S T', s, 
my,'M AY', s, AY
suffer,'S ɤ F ǝ R', s, 
ill,'IH L', s, IH
report,'r IH P AO R T', s, IH AO
at,'AE T', s, AE
of,'AH V', s, 
that,'DH AE T', s, AE
him,'HH IH M', s, IH
he,'HH IY', s, IY
what,'W AH T', s, 
is,'IH Z', s, IH
his,'HH IH Z', s, IH
strength,'S T R EH NG K TH', s, 
by,'B AY', s, AY
land,'L AE N D', s, AE
so,'S OW', s, 
is,'IH Z', s, IH
the,'DH AH', s, 
we,'W IY', s, IY
had,'HH AE D', s, AE
hate,'AW S T', s, 
we,'W IY', s, IY
for,'F AO R', s, AO
it,'IH T', s, IH
yet,'Y EH T', s, 
we,'W IY', s, IY
put,'P UH T', s, UH
in,'IH N', s, IH
arms,'AA R M Z', s, AA
we,'W IY', s, IY
the,'DH AH', s, 
we,'W IY', s, IY
of,'AH V', s, 
let,'L EH T', s, 
us,'AH S', s, 
lepidus,'L e P IH D ǝ S', s, IH
not,'N AA T', s, AA
lack,'L AE K', s, AE
your,'Y AO R', s, AO
company,'K AH M P AH N IY', s, IY
the,'DH AH', s, 
and,'AH N D', s, 
my,'M AY', s, AY
great,'G r e T', s, 
will,'W IH L', s, IH
me,'M IY', s, IY
from,'F R AH M', s, 
your,'Y AO R', s, AO
bosom,'B UH Z AH M', s, UH
read,'r e D', s, 
not,'N AA T', s, AA
my,'M AY', s, AY
blemishes,'B L EH M IH SH IH Z', s, IH IH
in,'IH N', s, IH
the,'DH AH', s, 
report,'r IH P AO R T', s, IH AO
i,'AY', s, AY
not,'N AA T', s, AA
kept,'K EH P T', s, 
my,'M AY', s, AY
but,'B AH T', s, 
that,'DH AE T', s, AE
to,'T UW', s, UW
shall,'SH AE L', s, AE
all,'AA L', s, AA
be,'B IY', s, IY
by,'B AY', s, AY
good,'G UH D', s, UH
dear,'D IY R', s, IY
lady,'L EY D IY', s, EY IY
good,'G UH D', s, UH
you,'Y UW', s, UW
do,'D OW', s, 
wish,'W IH SH', s, IH
in,'IH N', s, IH
egypt,'IY JH AH P T', s, IY
if,'IH F', s, IH
you,'Y UW', s, UW
can,'K AE N', s, AE
your,'Y AO R', s, AO
reason,'r EH Z ǝ N', s, 
to,'T UW', s, UW
me,'M IY', s, IY
shall,'SH AE L', s, AE
or,'AO R', s, AO
speak,'S P IY K', s, IY
this,'DH IH S', s, IH
no,'N OW', s, 
get,'G EH T', s, 
thee,'DH IY', s, IY
to,'T UW', s, UW
i,'AY', s, AY
speak,'S P IY K', s, IY
with,'W IH DH', s, IH
him,'HH IH M', s, IH
he,'HH IY', s, IY
shall,'SH AE L', s, AE
to,'T UW', s, UW
be,'B IY', s, IY
it,'IH T', s, IH
art,'AA R T', s, AA
or,'AO R', s, AO
he,'HH IY', s, IY
hath,'HH AE TH', s, AE
spoken,'S P IY K ǝ N', s, IY
true,'T R UW', s, UW
the,'DH AH', s, 
very,'V EH R IY', s, IY
him,'HH IH M', s, IH
and,'AH N D', s, 
in,'IH N', s, IH
our,'OW R', s, 
sports,'S P AO R T S', s, AO
my,'M AY', s, AY
better,'B e T ə R', s, 
faints,'F EH N T S', s, 
under,'ɤ N D ǝ R', s, 
his,'HH IH Z', s, IH
if,'IH F', s, IH
we,'W IY', s, IY
lots,'L AA T S', s, AA
he,'HH IY', s, IY
speeds,'S P IY D Z', s, IY
his,'HH IH Z', s, IH
do,'D OW', s, 
win,'W IH N', s, IH
the,'DH AH', s, 
still,'S T IH L', s, IH
of,'AH V', s, 
when,'ʍ e N', s, 
it,'IH T', s, IH
is,'IH Z', s, IH
all,'AA L', s, AA
to,'T UW', s, UW
