mistress,'M IH S T R AH S',s,'IH'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
the,'DH AH',s,''
that,'DH AE T',s,'AE'
i,'AY',s,'AY'
of,'AH V',s,''
ribs,'R IH B Z',s,'IH'
was,'W AA Z',s,'AA'
sport,'S P AO R T',s,'AO'
for,'F AO R',s,'AO'
ladies,'L EY D IY Z',s,'EY IY'
i,'AY',s,'AY'
not,'N AA T',s,'AA'
for,'F AO R',s,'AO'
my,'M AY',s,'AY'
spirits,'S P IH R AH T S',s,'IH'
if,'IH F',s,'IH'
my,'M AY',s,'AY'
legs,'L EH G Z',s,''
wre,'W ER',s,''
not,'N AA T',s,'AA'
for,'F AO R',s,'AO'
my,'M AY',s,'AY'
part,'P AA R T',s,'AA'
i,'AY',s,'AY'
had,'HH AE D',s,'AE'
bear,'B EH R',s,''
with,'W IH DH',s,'IH'
you,'Y UW',s,'UW'
than,'DH AE N',s,'AE'
bear,'B EH R',s,''
you,'Y UW',s,'UW'
yet,'Y EH T',s,''
i,'AY',s,'AY'
bear,'B EH R',s,''
no,'N OW',s,''
cross,'K R AO S',s,'AO'
if,'IH F',s,'IH'
i,'AY',s,'AY'
did,'D IH D',s,'IH'
bear,'B EH R',s,''
you,'Y UW',s,'UW'
for,'F AO R',s,'AO'
i,'AY',s,'AY'
think,'TH IH NG K',s,'IH'
you,'Y UW',s,'UW'
no,'N OW',s,''
in,'IH N',s,'IH'
your,'Y AO R',s,'AO'
am,'AE M',s,'AE'
i,'AY',s,'AY'
in,'IH N',s,'IH'
arden,'AA R D ǝ N',s,'AA'
the,'DH AH',s,''
fool,'F UH L',s,'UH'
i,'AY',s,'AY'
when,'ʍ e N',s,''
i,'AY',s,'AY'
was,'W AA Z',s,'AA'
at,'AE T',s,'AE'
hme,'OW M',s,''
i,'AY',s,'AY'
was,'W AA Z',s,'AA'
in,'IH N',s,'IH'
a,'AH',s,''
better,'B e T ə R',s,''
but,'B AH T',s,''
must,'M AH S T',s,''
be,'B IY',s,'IY'
content,'K ǝ N T e N T',s,''
and,'AH N D',s,''
i,'AY',s,'AY'
i,'AY',s,'AY'
when,'ʍ e N',s,''
i,'AY',s,'AY'
was,'W AA Z',s,'AA'
in,'IH N',s,'IH'
i,'AY',s,'AY'
my,'M AY',s,'AY'
upon,'AH P AA N',s,'AA'
a,'AH',s,''
and,'AH N D',s,''
bid,'B IH D',s,'IH'
him,'HH IH M',s,'IH'
that,'DH AE T',s,'AE'
for,'F AO R',s,'AO'
to,'T UW',s,'UW'
and,'AH N D',s,''
i,'AY',s,'AY'
the,'DH AH',s,''
of,'AH V',s,''
and,'AH N D',s,''
the,'DH AH',s,''
that,'DH AE T',s,'AE'
prettty,'P r IH T ǝ IH',s,'IH IH'
had,'HH AE D',s,'AE'
and,'AH N D',s,''
i,'AY',s,'AY'
the,'DH AH',s,''
wooing,'W UW IH N',s,'UW IH'
of,'AH V',s,''
a,'AH',s,''
instead,'IH N S T EH D',s,'IH'
of,'AH V',s,''
from,'F R AH M',s,''
whom,'HH UW M',s,'UW'
i,'AY',s,'AY'
took,'T UH K',s,'UH'
and,'AH N D',s,''
them,'DH EH M',s,''
again,'ǝ ɡ EH N',s,''
said,'S EH D',s,''
with,'W IH DH',s,'IH'
tears,'T EH R Z',s,''
wear,'W EH R',s,''
for,'F AO R',s,'AO'
my,'M AY',s,'AY'
we,'W IY',s,'IY'
that,'DH AE T',s,'AE'
true,'T R UW',s,'UW'
run,'r ɤ N',s,''
into,'IH N T UW',s,'IH UW'
capers,'K EH P ǝ R Z',s,''
but,'B AH T',s,''
as,'AE Z',s,'AE'
all,'AA L',s,'AA'
is,'IH Z',s,'IH'
mortal,'M AO R T AA L',s,'AO AA'
in,'IH N',s,'IH'
natre,'N EY CH ER',s,'EY'
so,'S OW',s,''
is,'IH Z',s,'IH'
all,'AA L',s,'AA'
natre,'N EY CH ER',s,'EY'
in,'IH N',s,'IH'
mortal,'M AO R T AA L',s,'AO AA'
in,'IH N',s,'IH'
follly,'F ɒ L ǝ IH',s,'IH'
i,'AY',s,'AY'
shall,'SH AE L',s,'AE'
be,'B IY',s,'IY'
of,'AH V',s,''
wit,'W IH T',s,'IH'
till,'T IH L',s,'IH'
i,'AY',s,'AY'
break,'B R EY K',s,'EY'
my,'M AY',s,'AY'
against,'AH G EH N S T',s,''
it,'IH T',s,'IH'
and,'AH N D',s,''
but,'B AH T',s,''
it,'IH T',s,'IH'
with,'W IH DH',s,'IH'
me,'M IY',s,'IY'
you,'Y UW',s,'UW'
clown,'K L ǝ UH N',s,'UH'
your,'Y AO R',s,'AO'
betters,'B e T ə R Z',s,''
in,'IH N',s,'IH'
respect,'R IH S P EH K T',s,'IH'
of,'AH V',s,''
itself,'IH T S EH L F',s,'IH'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
a,'AH',s,''
good,'G UH D',s,'UH'
but,'B AH T',s,''
in,'IH N',s,'IH'
respect,'R IH S P EH K T',s,'IH'
that,'DH AE T',s,'AE'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
a,'AH',s,''
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
in,'IH N',s,'IH'
respect,'R IH S P EH K T',s,'IH'
that,'DH AE T',s,'AE'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
i,'AY',s,'AY'
it,'IH T',s,'IH'
very,'V EH R IY',s,'IY'
well,'W EH L',s,''
but,'B AH T',s,''
in,'IH N',s,'IH'
respect,'R IH S P EH K T',s,'IH'
that,'DH AE T',s,'AE'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
a,'AH',s,''
very,'V EH R IY',s,'IY'
in,'IH N',s,'IH'
respect,'R IH S P EH K T',s,'IH'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
in,'IH N',s,'IH'
the,'DH AH',s,''
fields,'F IY L D Z',s,'IY'
it,'IH T',s,'IH'
me,'M IY',s,'IY'
well,'W EH L',s,''
but,'B AH T',s,''
in,'IH N',s,'IH'
respect,'R IH S P EH K T',s,'IH'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
not,'N AA T',s,'AA'
in,'IH N',s,'IH'
the,'DH AH',s,''
court,'K AO R T',s,'AO'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
as,'AE Z',s,'AE'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
a,'AH',s,''
look,'L UH K',s,'UH'
you,'Y UW',s,'UW'
it,'IH T',s,'IH'
fits,'F IH T S',s,'IH'
my,'M AY',s,'AY'
humor,'HH Y UW M ER',s,'UW'
well,'W EH L',s,''
but,'B AH T',s,''
as,'AE Z',s,'AE'
is,'IH Z',s,'IH'
no,'N OW',s,''
in,'IH N',s,'IH'
it,'IH T',s,'IH'
it,'IH T',s,'IH'
goes,'G OW Z',s,''
against,'AH G EH N S T',s,''
my,'M AY',s,'AY'
stomach,'S T AH M AH K',s,''
hast,'HH AE S T',s,'AE'
in,'IH N',s,'IH'
thee,'DH IY',s,'IY'
a,'AH',s,''
is,'IH Z',s,'IH'
a,'AH',s,''
in,'IH N',s,'IH'
court,'K AO R T',s,'AO'
then,'DH EH N',s,''
thou,'DH AW',s,''
art,'AA R T',s,'AA'
thou,'DH AW',s,''
art,'AA R T',s,'AA'
an,'AE N',s,'AE'
egg,'EH G',s,''
all,'AA L',s,'AA'
on,'AA N',s,'AA'
whhy,'ʍ ǝ IH',s,'IH'
if,'IH F',s,'IH'
thou,'DH AW',s,''
never,'N e V ǝ R',s,''
at,'AE T',s,'AE'
court,'K AO R T',s,'AO'
thou,'DH AW',s,''
never,'N e V ǝ R',s,''
good,'G UH D',s,'UH'
if,'IH F',s,'IH'
thou,'DH AW',s,''
never,'N e V ǝ R',s,''
good,'G UH D',s,'UH'
then,'DH EH N',s,''
must,'M AH S T',s,''
be,'B IY',s,'IY'
wicked,'W IH K AH D',s,'IH'
and,'AH N D',s,''
wickedness,'W IH K AH D N AH S',s,'IH'
is,'IH Z',s,'IH'
sin,'S IH N',s,'IH'
and,'AH N D',s,''
sin,'S IH N',s,'IH'
is,'IH Z',s,'IH'
thou,'DH AW',s,''
art,'AA R T',s,'AA'
in,'IH N',s,'IH'
a,'AH',s,''
briefly,'B R IY F L IY',s,'IY IY'
whhy,'ʍ ǝ IH',s,'IH'
do,'D OW',s,''
not,'N AA T',s,'AA'
your,'Y AO R',s,'AO'
sweat,'S W EH T',s,''
and,'AH N D',s,''
is,'IH Z',s,'IH'
not,'N AA T',s,'AA'
the,'DH AH',s,''
of,'AH V',s,''
a,'AH',s,''
mutton,'M AH T AH N',s,''
as,'AE Z',s,'AE'
as,'AE Z',s,'AE'
the,'DH AH',s,''
sweat,'S W EH T',s,''
of,'AH V',s,''
a,'AH',s,''
man,'M AE N',s,'AE'
a,'AH',s,''
better,'B e T ə R',s,''
i,'AY',s,'AY'
your,'Y AO R',s,'AO'
lips,'L IH P S',s,'IH'
will,'W IH L',s,'IH'
feel,'F IY L',s,'IY'
them,'DH EH M',s,''
the,'DH AH',s,''
sooner,'S UW N ǝ R',s,'UW'
again,'ǝ ɡ EH N',s,''
a,'AH',s,''
most,'M OW S T',s,''
man,'M AE N',s,'AE'
thou,'DH AW',s,''
meat,'M IY T',s,'IY'
in,'IH N',s,'IH'
respect,'R IH S P EH K T',s,'IH'
of,'AH V',s,''
a,'AH',s,''
good,'G UH D',s,'UH'
of,'AH V',s,''
flesh,'F L EH SH',s,''
indeed,'IH N D IY D',s,'IH IY'
of,'AH V',s,''
the,'DH AH',s,''
and,'AH N D',s,''
perpend,'P ǝ R P e N D',s,''
civet,'S IH V AH T',s,'IH'
is,'IH Z',s,'IH'
of,'AH V',s,''
a,'AH',s,''
than,'DH AE N',s,'AE'
tar,'T AA R',s,'AA'
the,'DH AH',s,''
very,'V EH R IY',s,'IY'
of,'AH V',s,''
a,'AH',s,''
cat,'K AE T',s,'AE'
mend,'M EH N D',s,''
the,'DH AH',s,''
wilt,'W IH L T',s,'IH'
thou,'DH AW',s,''
rest,'R EH S T',s,''
god,'G AA D',s,'AA'
thee,'DH IY',s,'IY'
man,'M AE N',s,'AE'
god,'G AA D',s,'AA'
incision,'IH N S IH ZH AH N',s,'IH IH'
in,'IH N',s,'IH'
thee,'DH IY',s,'IY'
thou,'DH AW',s,''
art,'AA R T',s,'AA'
that,'DH AE T',s,'AE'
is,'IH Z',s,'IH'
another,'ǝ N ɤ DH ǝ R',s,''
sin,'S IH N',s,'IH'
in,'IH N',s,'IH'
you,'Y UW',s,'UW'
to,'T UW',s,'UW'
the,'DH AH',s,''
and,'AH N D',s,''
the,'DH AH',s,''
rams,'R AE M Z',s,'AE'
and,'AH N D',s,''
to,'T UW',s,'UW'
offer,'ɒ F ǝ R',s,''
to,'T UW',s,'UW'
get,'G EH T',s,''
your,'Y AO R',s,'AO'
by,'B AY',s,'AY'
the,'DH AH',s,''
of,'AH V',s,''
to,'T UW',s,'UW'
be,'B IY',s,'IY'
to,'T UW',s,'UW'
a,'AH',s,''
and,'AH N D',s,''
to,'T UW',s,'UW'
a,'AH',s,''
of,'AH V',s,''
a,'AH',s,''
to,'T UW',s,'UW'
a,'AH',s,''
crooked-pated,'K r UH K IH D - P EH T IH D',s,'UH IH IH'
old,'OW L D',s,''
ram,'R AE M',s,'AE'
out,'AW T',s,''
of,'AH V',s,''
all,'AA L',s,'AA'
if,'IH F',s,'IH'
thou,'DH AW',s,''
not,'N AA T',s,'AA'
for,'F AO R',s,'AO'
this,'DH IH S',s,'IH'
the,'DH AH',s,''
devil,'D IH V ǝ L',s,'IH'
himself,'HH IH M S EH L F',s,'IH'
will,'W IH L',s,'IH'
no,'N OW',s,''
i,'AY',s,'AY'
cannot,'K AE N AA T',s,'AE AA'
see,'S IY',s,'IY'
thou,'DH AW',s,''
rhme,'R AY M',s,'AY'
you,'Y UW',s,'UW'
so,'S OW',s,''
years,'Y IH R Z',s,'IH'
and,'AH N D',s,''
suppers,'S ɤ P ǝ R Z',s,''
and,'AH N D',s,''
excepted,'IH K S EH P T IH D',s,'IH IH'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
the,'DH AH',s,''
rank,'R AE NG K',s,'AE'
to,'T UW',s,'UW'
market,'M AA R K IH T',s,'AA IH'
for,'F AO R',s,'AO'
a,'AH',s,''
if,'IH F',s,'IH'
a,'AH',s,''
do,'D OW',s,''
lack,'L AE K',s,'AE'
a,'AH',s,''
hind,'ǝ IH N D',s,'IH'
let,'L EH T',s,''
him,'HH IH M',s,'IH'
seek,'S IY K',s,'IY'
out,'AW T',s,''
if,'IH F',s,'IH'
the,'DH AH',s,''
cat,'K AE T',s,'AE'
will,'W IH L',s,'IH'
after,'AW F T ǝ R',s,''
so,'S OW',s,''
be,'B IY',s,'IY'
will,'W IH L',s,'IH'
garments,'G AA R M AH N T S',s,'AA'
must,'M AH S T',s,''
be,'B IY',s,'IY'
so,'S OW',s,''
must,'M AH S T',s,''
slender,'S L e N D ǝ R',s,''
that,'DH AE T',s,'AE'
reap,'R IY P',s,'IY'
must,'M AH S T',s,''
sheaf,'SH IY F',s,'IY'
and,'AH N D',s,''
bind,'B AY N D',s,'AY'
then,'DH EH N',s,''
to,'T UW',s,'UW'
cart,'K AA R T',s,'AA'
with,'W IH DH',s,'IH'
sweetest,'S W IY T AH S T',s,'IY'
nut,'N AH T',s,''
hath,'HH AE TH',s,'AE'
rind,'R AY N D',s,'AY'
a,'AH',s,''
nut,'N AH T',s,''
is,'IH Z',s,'IH'
he,'HH IY',s,'IY'
that,'DH AE T',s,'AE'
sweetest,'S W IY T AH S T',s,'IY'
will,'W IH L',s,'IH'
must,'M AH S T',s,''
prick,'P R IH K',s,'IH'
and,'AH N D',s,''
this,'DH IH S',s,'IH'
is,'IH Z',s,'IH'
the,'DH AH',s,''
very,'V EH R IY',s,'IY'
gallop,'G AE L AH P',s,'AE'
of,'AH V',s,''
verses,'V ɐ R S IH Z',s,'IH'
whhy,'ʍ ǝ IH',s,'IH'
do,'D OW',s,''
you,'Y UW',s,'UW'
infect,'IH N F EH K T',s,'IH'
with,'W IH DH',s,'IH'
them,'DH EH M',s,''
the,'DH AH',s,''
tree,'T R IY',s,'IY'
yields,'Y IY L D Z',s,'IY'
bad,'B AE D',s,'AE'
fruit,'F R UW T',s,'UW'
you,'Y UW',s,'UW'
said,'S EH D',s,''
but,'B AH T',s,''
or,'AO R',s,'AO'
no,'N OW',s,''
let,'L EH T',s,''
the,'DH AH',s,''
forest,'F AO R AH S T',s,'AO'
juge,'JH AH JH',s,''
let,'L EH T',s,''
us,'AH S',s,''
an,'AE N',s,'AE'
honorale,'AA N ER AH B AH L',s,'AA'
retreat,'r IH T r EH T',s,'IH'
not,'N AA T',s,'AA'
with,'W IH DH',s,'IH'
bag,'B AE G',s,'AE'
and,'AH N D',s,''
yet,'Y EH T',s,''
with,'W IH DH',s,'IH'
sccrip,'S K R IH P',s,'IH'
and,'AH N D',s,''
good,'G UH D',s,'UH'
i,'AY',s,'AY'
will,'W IH L',s,'IH'
up,'AH P',s,''
your,'Y AO R',s,'AO'
goats,'G OW T S',s,''
and,'AH N D',s,''
am,'AE M',s,'AE'
i,'AY',s,'AY'
the,'DH AH',s,''
man,'M AE N',s,'AE'
yet,'Y EH T',s,''
doth,'D AO TH',s,'AO'
my,'M AY',s,'AY'
featre,'F IY CH ER',s,'IY'
content,'K ǝ N T e N T',s,''
you,'Y UW',s,'UW'
i,'AY',s,'AY'
am,'AE M',s,'AE'
with,'W IH DH',s,'IH'
thee,'DH IY',s,'IY'
and,'AH N D',s,''
goats,'G OW T S',s,''
as,'AE Z',s,'AE'
the,'DH AH',s,''
most,'M OW S T',s,''
was,'W AA Z',s,'AA'
the,'DH AH',s,''
when,'ʍ e N',s,''
a,'AH',s,''
verses,'V ɐ R S IH Z',s,'IH'
cannot,'K AE N AA T',s,'AE AA'
be,'B IY',s,'IY'
nor,'N AO R',s,'AO'
a,'AH',s,''
good,'G UH D',s,'UH'
wit,'W IH T',s,'IH'
seconded,'S EH K AH N D IH D',s,'IH'
with,'W IH DH',s,'IH'
the,'DH AH',s,''
child,'CH AY L D',s,'AY'
understanding,'ˌ ɤ N D ǝ R S T AW N D IH N',s,'IH'
it,'IH T',s,'IH'
a,'AH',s,''
man,'M AE N',s,'AE'
dead,'D EH D',s,''
than,'DH AE N',s,'AE'
a,'AH',s,''
great,'G r e T',s,''
in,'IH N',s,'IH'
a,'AH',s,''
room,'R UW M',s,'UW'
i,'AY',s,'AY'
the,'DH AH',s,''
gods,'G AA D Z',s,'AA'
had,'HH AE D',s,'AE'
thee,'DH IY',s,'IY'
no,'N OW',s,''
for,'F AO R',s,'AO'
the,'DH AH',s,''
is,'IH Z',s,'IH'
the,'DH AH',s,''
most,'M OW S T',s,''
and,'AH N D',s,''
given,'G IH V AH N',s,'IH'
to,'T UW',s,'UW'
and,'AH N D',s,''
what,'W AH T',s,''
swear,'S W EH R',s,''
in,'IH N',s,'IH'
be,'B IY',s,'IY'
said,'S EH D',s,''
as,'AE Z',s,'AE'
do,'D OW',s,''
i,'AY',s,'AY'
do,'D OW',s,''
for,'F AO R',s,'AO'
thou,'DH AW',s,''
to,'T UW',s,'UW'
me,'M IY',s,'IY'
thou,'DH AW',s,''
art,'AA R T',s,'AA'
if,'IH F',s,'IH'
thou,'DH AW',s,''
a,'AH',s,''
i,'AY',s,'AY'
thou,'DH AW',s,''
no,'N OW',s,''
unless,'ɤ N L e S',s,''
thou,'DH AW',s,''
for,'F AO R',s,'AO'
coupled,'K AH P AH L D',s,''
to,'T UW',s,'UW'
is,'IH Z',s,'IH'
to,'T UW',s,'UW'
a,'AH',s,''
to,'T UW',s,'UW'
sugar,'SH UH G ǝ R',s,'UH'
and,'AH N D',s,''
to,'T UW',s,'UW'
cast,'K AW S T',s,''
upon,'AH P AA N',s,'AA'
a,'AH',s,''
slut,'S L AH T',s,''
wre,'W ER',s,''
to,'T UW',s,'UW'
put,'P UH T',s,'UH'
good,'G UH D',s,'UH'
meat,'M IY T',s,'IY'
into,'IH N T UW',s,'IH UW'
an,'AE N',s,'AE'
unclean,'AH N K L IY N',s,'IY'
dish,'D IH SH',s,'IH'
well,'W EH L',s,''
praised,'P r EH Z IH D',s,'IH'
be,'B IY',s,'IY'
the,'DH AH',s,''
gods,'G AA D Z',s,'AA'
for,'F AO R',s,'AO'
foulness,'F AW L N AH S',s,''
but,'B AH T',s,''
be,'B IY',s,'IY'
it,'IH T',s,'IH'
as,'AE Z',s,'AE'
it,'IH T',s,'IH'
be,'B IY',s,'IY'
i,'AY',s,'AY'
will,'W IH L',s,'IH'
marrry,'M AW r ǝ IH',s,'IH'
thee,'DH IY',s,'IY'
and,'AH N D',s,''
to,'T UW',s,'UW'
that,'DH AE T',s,'AE'
end,'EH N D',s,''
i,'AY',s,'AY'
been,'B IH N',s,'IH'
with,'W IH DH',s,'IH'
the,'DH AH',s,''
vicar,'V IH K ǝ R',s,'IH'
of,'AH V',s,''
the,'DH AH',s,''
who,'HH UW',s,'UW'
hath,'HH AE TH',s,'AE'
to,'T UW',s,'UW'
meet,'M IY T',s,'IY'
me,'M IY',s,'IY'
in,'IH N',s,'IH'
this,'DH IH S',s,'IH'
of,'AH V',s,''
the,'DH AH',s,''
forest,'F AO R AH S T',s,'AO'
and,'AH N D',s,''
to,'T UW',s,'UW'
us,'AH S',s,''
amen,'EY M EH N',s,'EY'
a,'AH',s,''
man,'M AE N',s,'AE'
if,'IH F',s,'IH'
he,'HH IY',s,'IY'
wre,'W ER',s,''
of,'AH V',s,''
a,'AH',s,''
fearful,'F IH R F AH L',s,'IH'
heart,'HH AA R T',s,'AA'
stagger,'S T AW G ǝ R',s,''
in,'IH N',s,'IH'
this,'DH IH S',s,'IH'
for,'F AO R',s,'AO'
we,'W IY',s,'IY'
no,'N OW',s,''
but,'B AH T',s,''
the,'DH AH',s,''
wood,'W UH D',s,'UH'
no,'N OW',s,''
but,'B AH T',s,''
but,'B AH T',s,''
what,'W AH T',s,''
as,'AE Z',s,'AE'
horns,'HH AO R N Z',s,'AO'
necessary,'N EH S AH S EH R IY',s,'IY'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
said,'S EH D',s,''
a,'AH',s,''
man,'M AE N',s,'AE'
no,'N OW',s,''
end,'EH N D',s,''
of,'AH V',s,''
his,'HH IH Z',s,'IH'
goods,'G UH D Z',s,'UH'
a,'AH',s,''
man,'M AE N',s,'AE'
good,'G UH D',s,'UH'
horns,'HH AO R N Z',s,'AO'
and,'AH N D',s,''
no,'N OW',s,''
end,'EH N D',s,''
of,'AH V',s,''
them,'DH EH M',s,''
well,'W EH L',s,''
that,'DH AE T',s,'AE'
is,'IH Z',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
his,'HH IH Z',s,'IH'
of,'AH V',s,''
his,'HH IH Z',s,'IH'
horns,'HH AO R N Z',s,'AO'
even,'IY V IH N',s,'IY IH'
so,'S OW',s,''
poor,'P UH R',s,'UH'
men,'M EH N',s,''
no,'N OW',s,''
no,'N OW',s,''
the,'DH AH',s,''
noblest,'N OW B L IH S T',s,'IH'
deer,'D IY R',s,'IY'
hath,'HH AE TH',s,'AE'
them,'DH EH M',s,''
as,'AE Z',s,'AE'
as,'AE Z',s,'AE'
the,'DH AH',s,''
is,'IH Z',s,'IH'
the,'DH AH',s,''
man,'M AE N',s,'AE'
therefre,'DH EH R F AO R',s,'AO'
blessed,'B L e S IH D',s,'IH'
no,'N OW',s,''
as,'AE Z',s,'AE'
a,'AH',s,''
is,'IH Z',s,'IH'
than,'DH AE N',s,'AE'
a,'AH',s,''
so,'S OW',s,''
is,'IH Z',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
a,'AH',s,''
man,'M AE N',s,'AE'
honorale,'AA N ER AH B AH L',s,'AA'
than,'DH AE N',s,'AE'
the,'DH AH',s,''
brow,'B r ə UH',s,'UH'
of,'AH V',s,''
a,'AH',s,''
and,'AH N D',s,''
by,'B AY',s,'AY'
is,'IH Z',s,'IH'
better,'B e T ə R',s,''
than,'DH AE N',s,'AE'
no,'N OW',s,''
skill,'S K IH L',s,'IH'
by,'B AY',s,'AY'
so,'S OW',s,''
is,'IH Z',s,'IH'
a,'AH',s,''
horn,'HH AO R N',s,'AO'
precious,'P R EH SH AH S',s,''
than,'DH AE N',s,'AE'
to,'T UW',s,'UW'
want,'W AA N T',s,'AA'
you,'Y UW',s,'UW'
well,'W EH L',s,''
met,'M EH T',s,''
will,'W IH L',s,'IH'
you,'Y UW',s,'UW'
us,'AH S',s,''
under,'ɤ N D ǝ R',s,''
this,'DH IH S',s,'IH'
tree,'T R IY',s,'IY'
or,'AO R',s,'AO'
shall,'SH AE L',s,'AE'
we,'W IY',s,'IY'
go,'G OW',s,''
with,'W IH DH',s,'IH'
you,'Y UW',s,'UW'
to,'T UW',s,'UW'
your,'Y AO R',s,'AO'
chapel,'CH AE P AH L',s,'AE'
i,'AY',s,'AY'
will,'W IH L',s,'IH'
not,'N AA T',s,'AA'
on,'AA N',s,'AA'
gift,'G IH F T',s,'IH'
of,'AH V',s,''
man,'M AE N',s,'AE'
good,'G UH D',s,'UH'
even,'IY V IH N',s,'IY IH'
good,'G UH D',s,'UH'
do,'D OW',s,''
you,'Y UW',s,'UW'
you,'Y UW',s,'UW'
very,'V EH R IY',s,'IY'
well,'W EH L',s,''
met,'M EH T',s,''
god,'G AA D',s,'AA'
you,'Y UW',s,'UW'
for,'F AO R',s,'AO'
your,'Y AO R',s,'AO'
last,'L AE S T',s,'AE'
company,'K AH M P AH N IY',s,'IY'
i,'AY',s,'AY'
am,'AE M',s,'AE'
very,'V EH R IY',s,'IY'
glad,'G L AE D',s,'AE'
