faith,'F EY TH', s, EY
you,'Y UW', s, UW
to,'T UW', s, UW
your,'Y AO R', s, AO
end,'EH N D', s, 
you,'Y UW', s, UW
from,'F R AH M', s, 
the,'DH AH', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
i,'AY', s, AY
must,'M AH S T', s, 
to,'T UW', s, UW
him,'HH IH M', s, IH
too,'T UW', s, UW
he,'HH IY', s, IY
go,'G OW', s, 
to,'T UW', s, UW
bed,'B EH D', s, 
my,'M AY', s, AY
my,'M AY', s, AY
lord,'L AO R D', s, AO
i,'AY', s, AY
you,'Y UW', s, UW
and,'AH N D', s, 
commend,'K AH M EH N D', s, 
a,'AH', s, 
secret,'S IY K R AH T', s, IY
to,'T UW', s, UW
your,'Y AO R', s, AO
ear,'IY R', s, IY
than,'DH AE N', s, AE
this,'DH IH S', s, IH
work,'W AO R K', s, AO
the,'DH AH', s, 
queen's,'K W IY N Z', s, IY
in,'IH N', s, IH
in,'IH N', s, IH
great,'G r e T', s, 
with,'W IH DH', s, IH
the,'DH AH', s, 
end,'EH N D', s, 
methinks,'M IH TH IH NG K S', s, IH IH
i,'AY', s, AY
the,'DH AH', s, 
amen,'EY M EH N', s, EY
and,'AH N D', s, 
yet,'Y EH T', s, 
my,'M AY', s, AY
a,'AH', s, 
good,'G UH D', s, UH
creatre,'K R IY CH ER', s, IY
and,'AH N D', s, 
sweet,'S W IY T', s, IY
lady,'L EY D IY', s, EY IY
does,'D AH Z', s, 
our,'OW R', s, 
better,'B e T ə R', s, 
wishes,'W IH SH IH Z', s, IH IH
you,'Y UW', s, UW
speak,'S P IY K', s, IY
of,'AH V', s, 
the,'DH AH', s, 
most,'M OW S T', s, 
as,'AE Z', s, AE
for,'F AO R', s, AO
cromwell,'K R AA M W AH L', s, AA
besides,'B IH S ə IH D Z', s, IH IH
that,'DH AE T', s, AE
of,'AH V', s, 
the,'DH AH', s, 
is,'IH Z', s, IH
master,'M AW S T ǝ R', s, 
and,'AH N D', s, 
the,'DH AH', s, 
secretary,'S EH K R AH T EH R IY', s, IY
stands,'S T AE N D Z', s, AE
in,'IH N', s, IH
the,'DH AH', s, 
gap,'G AE P', s, AE
and,'AH N D', s, 
of,'AH V', s, 
with,'W IH DH', s, IH
the,'DH AH', s, 
will,'W IH L', s, IH
load,'L OW D', s, 
him,'HH IH M', s, IH
is,'IH Z', s, IH
the,'DH AH', s, 
and,'AH N D', s, 
and,'AH N D', s, 
who,'HH UW', s, UW
speak,'S P IY K', s, IY
against,'AH G EH N S T', s, 
him,'HH IH M', s, IH
good,'G UH D', s, UH
my,'M AY', s, AY
lord,'L AO R D', s, AO
i,'AY', s, AY
rest,'R EH S T', s, 
your,'Y AO R', s, AO
servant,'S ɐ R V ǝ N T', s, 
i,'AY', s, AY
not,'N AA T', s, AA
deliver,'D IH L IH V ǝ R', s, IH IH
to,'T UW', s, UW
what,'W AH T', s, 
you,'Y UW', s, UW
commanded,'K ǝ M AW N D IH D', s, IH
me,'M IY', s, IY
but,'B AH T', s, 
by,'B AY', s, AY
woman,'W UH M AH N', s, UH
i,'AY', s, AY
sent,'S EH N T', s, 
your,'Y AO R', s, AO
who,'HH UW', s, UW
returned,'r IH T ɐ R N IH D', s, IH IH
thanks,'TH AE NG K S', s, AE
in,'IH N', s, IH
the,'DH AH', s, 
and,'AH N D', s, 
desired,'D IH Z ǝ IH R D', s, IH IH
your,'Y AO R', s, AO
most,'M OW S T', s, 
to,'T UW', s, UW
for,'F AO R', s, AO
so,'S OW', s, 
said,'S EH D', s, 
woman,'W UH M AH N', s, UH
and,'AH N D', s, 
that,'DH AE T', s, AE
almost,'AA L M OW S T', s, AA
each,'IY CH', s, IY
a,'AH', s, 
death,'D EH TH', s, 
this,'DH IH S', s, IH
is,'IH Z', s, IH
that,'DH AE T', s, AE
the,'DH AH', s, 
bishop,'B IH SH AH P', s, IH
i,'AY', s, AY
am,'AE M', s, AE
back,'B AE K', s, AE
what,'W AH T', s, 
mean,'M IY N', s, IY
you,'Y UW', s, UW
