each,'IY CH', s, IY
best,'B EH S T', s, 
blood,'B L AH D', s, 
in,'IH N', s, IH
his,'HH IH Z', s, IH
bosom,'B UH Z AH M', s, UH
in,'IH N', s, IH
hate,'AW S T', s, 
whereof,'ʍ EH R ɒ V', s, 
most,'M OW S T', s, 
i,'AY', s, AY
your,'Y AO R', s, AO
to,'T UW', s, UW
our,'OW R', s, 
myself,'M AY S EH L F', s, AY
i,'AY', s, AY
dread,'D R EH D', s, 
at,'AE T', s, AE
foot,'F UH T', s, UH
my,'M AY', s, AY
thou,'DH AW', s, 
shalt,'SH AE L T', s, AE
command,'K ǝ M AW N D', s, 
but,'B AH T', s, 
not,'N AA T', s, AA
my,'M AY', s, AY
the,'DH AH', s, 
my,'M AY', s, AY
duty,'D UW T IY', s, UW IY
but,'B AH T', s, 
my,'M AY', s, AY
fair,'F EH R', s, 
of,'AH V', s, 
death,'D EH TH', s, 
that,'DH AE T', s, AE
upon,'AH P AA N', s, AA
my,'M AY', s, AY
to,'T UW', s, UW
dark,'D AA R K', s, AA
thou,'DH AW', s, 
shalt,'SH AE L T', s, AE
not,'N AA T', s, AA
i,'AY', s, AY
am,'AE M', s, AE
and,'AH N D', s, 
to,'T UW', s, UW
the,'DH AH', s, 
soul,'S OW L', s, 
with,'W IH DH', s, IH
spear,'S P IY R', s, IY
the,'DH AH', s, 
no,'N OW', s, 
can,'K AE N', s, AE
but,'B AH T', s, 
his,'HH IH Z', s, IH
this,'DH IH S', s, IH
yea,'Y EH', s, 
but,'B AH T', s, 
not,'N AA T', s, AA
his,'HH IH Z', s, IH
spots,'S P AA T S', s, AA
but,'B AH T', s, 
my,'M AY', s, AY
and,'AH N D', s, 
i,'AY', s, AY
resign,'r IH S ǝ IH N', s, IH IH
my,'M AY', s, AY
my,'M AY', s, AY
dear,'D IY R', s, IY
dear,'D IY R', s, IY
lord,'L AO R D', s, AO
the,'DH AH', s, 
mortal,'M AO R T AA L', s, AO AA
afford,'ǝ F AO R D', s, AO
is,'IH Z', s, IH
spotless,'S P AA T L AH S', s, AA
that,'DH AE T', s, AE
men,'M EH N', s, 
but,'B AH T', s, 
gilded,'G IH L D IH D', s, IH IH
loam,'L OW M', s, 
or,'AO R', s, AO
painted,'P EH N T IH D', s, IH
a,'AH', s, 
in,'IH N', s, IH
a,'AH', s, 
chest,'CH EH S T', s, 
is,'IH Z', s, IH
a,'AH', s, 
bold,'B OW L D', s, 
spirit,'S P IH R AH T', s, IH
in,'IH N', s, IH
a,'AH', s, 
loyal,'L ǝ IH ǝ L', s, IH
breast,'B R EH S T', s, 
is,'IH Z', s, IH
my,'M AY', s, AY
both,'B OW TH', s, 
in,'IH N', s, IH
from,'F R AH M', s, 
me,'M IY', s, IY
and,'AH N D', s, 
my,'M AY', s, AY
is,'IH Z', s, IH
then,'DH EH N', s, 
dear,'D IY R', s, IY
my,'M AY', s, AY
let,'L EH T', s, 
me,'M IY', s, IY
in,'IH N', s, IH
that,'DH AE T', s, AE
i,'AY', s, AY
and,'AH N D', s, 
for,'F AO R', s, AO
that,'DH AE T', s, AE
will,'W IH L', s, IH
i,'AY', s, AY
my,'M AY', s, AY
is,'IH Z', s, IH
thomas,'T AA M AH S', s, AA
of,'AH V', s, 
who,'HH UW', s, UW
by,'B AY', s, AY
my,'M AY', s, AY
oath,'OW TH', s, 
god,'G AA D', s, AA
defend,'D IH F EH N D', s, IH
a,'AH', s, 
both,'B OW TH', s, 
to,'T UW', s, UW
defend,'D IH F EH N D', s, IH
my,'M AY', s, AY
and,'AH N D', s, 
truth,'T R UW TH', s, UW
to,'T UW', s, UW
god,'G AA D', s, AA
my,'M AY', s, AY
and,'AH N D', s, 
my,'M AY', s, AY
succeeding,'S AH K S IY D IH NG', s, IY IH
against,'AH G EH N S T', s, 
the,'DH AH', s, 
of,'AH V', s, 
that,'DH AE T', s, AE
appeals,'AH P IY L Z', s, IY
me,'M IY', s, IY
and,'AH N D', s, 
by,'B AY', s, AY
the,'DH AH', s, 
of,'AH V', s, 
god,'G AA D', s, AA
and,'AH N D', s, 
this,'DH IH S', s, IH
arm,'AA R M', s, AA
to,'T UW', s, UW
him,'HH IH M', s, IH
in,'IH N', s, IH
of,'AH V', s, 
myself,'M AY S EH L F', s, AY
a,'AH', s, 
to,'T UW', s, UW
my,'M AY', s, AY
god,'G AA D', s, AA
my,'M AY', s, AY
and,'AH N D', s, 
me,'M IY', s, IY
and,'AH N D', s, 
as,'AE Z', s, AE
i,'AY', s, AY
defend,'D IH F EH N D', s, IH
me,'M IY', s, IY
heaven,'HH EH V AH N', s, 
god,'G AA D', s, AA
or,'AO R', s, AO
cast,'K AW S T', s, 
my,'M AY', s, AY
lot,'L AA T', s, AA
or,'AO R', s, AO
true,'T R UW', s, UW
to,'T UW', s, UW
thhrne,'TH r OW N', s, 
a,'AH', s, 
loyal,'L ǝ IH ǝ L', s, IH
and,'AH N D', s, 
gentleman,'JH EH N T AH L M AH N', s, 
never,'N e V ǝ R', s, 
did,'D IH D', s, IH
with,'W IH DH', s, IH
a,'AH', s, 
heart,'HH AA R T', s, AA
cast,'K AW S T', s, 
off,'AO F', s, AO
his,'HH IH Z', s, IH
of,'AH V', s, 
and,'AH N D', s, 
his,'HH IH Z', s, IH
golden,'G OW L D ǝ N', s, 
uncontrolled,'ˌ ɤ N K ǝ N T r OW L D', s, 
than,'DH AE N', s, AE
my,'M AY', s, AY
soul,'S OW L', s, 
doth,'D AO TH', s, AO
this,'DH IH S', s, IH
feast,'F e S T', s, 
of,'AH V', s, 
with,'W IH DH', s, IH
most,'M OW S T', s, 
mighty,'M ǝ IH T ǝ IH', s, IH IH
and,'AH N D', s, 
my,'M AY', s, AY
peers,'P IY R Z', s, IY
from,'F R AH M', s, 
my,'M AY', s, AY
the,'DH AH', s, 
wish,'W IH SH', s, IH
of,'AH V', s, 
years,'Y IH R Z', s, IH
as,'AE Z', s, AE
and,'AH N D', s, 
as,'AE Z', s, AE
as,'AE Z', s, AE
to,'T UW', s, UW
jest,'JH EH S T', s, 
go,'G OW', s, 
i,'AY', s, AY
to,'T UW', s, UW
truth,'T R UW TH', s, UW
hath,'HH AE TH', s, AE
a,'AH', s, 
breast,'B R EH S T', s, 
a,'AH', s, 
heavy,'e V ǝ IH', s, IH
my,'M AY', s, AY
most,'M OW S T', s, 
and,'AH N D', s, 
all,'AA L', s, AA
unlooked-for,'ɤ N L UH K T - ˌ F AO R', s, UH AO
from,'F R AH M', s, 
your,'Y AO R', s, AO
a,'AH', s, 
dearer,'D IY r ǝ R', s, IY
merit,'M EH R AH T', s, 
not,'N AA T', s, AA
so,'S OW', s, 
deep,'D IY P', s, IY
a,'AH', s, 
maim,'M EY M', s, EY
as,'AE Z', s, AE
to,'T UW', s, UW
be,'B IY', s, IY
cast,'K AW S T', s, 
forth,'F AO R TH', s, AO
in,'IH N', s, IH
the,'DH AH', s, 
common,'K AA M AH N', s, AA
air,'EH R', s, 
i,'AY', s, AY
at,'AE T', s, AE
your,'Y AO R', s, AO
the,'DH AH', s, 
i,'AY', s, AY
forty,'F AO R T IY', s, AO IY
years,'Y IH R Z', s, IH
my,'M AY', s, AY
english,'IH NG G L IH SH', s, IH IH
i,'AY', s, AY
must,'M AH S T', s, 
forgo,'F AO R G OW', s, AO
and,'AH N D', s, 
my,'M AY', s, AY
is,'IH Z', s, IH
to,'T UW', s, UW
me,'M IY', s, IY
no,'N OW', s, 
than,'DH AE N', s, AE
an,'AE N', s, AE
or,'AO R', s, AO
a,'AH', s, 
or,'AO R', s, AO
a,'AH', s, 
instrument,'IH N S T r ǝ ˌ M e N', s, IH
up,'AH P', s, 
or,'AO R', s, AO
being,'B IY IH NG', s, IY IH
open,'OW P ǝ N', s, 
put,'P UH T', s, UH
into,'IH N T UW', s, IH UW
his,'HH IH Z', s, IH
that,'DH AE T', s, AE
no,'N OW', s, 
to,'T UW', s, UW
the,'DH AH', s, 
harmony,'HH AA R M AH N IY', s, AA IY
within,'W IH DH IH N', s, IH IH
my,'M AY', s, AY
you,'Y UW', s, UW
my,'M AY', s, AY
with,'W IH DH', s, IH
my,'M AY', s, AY
teeth,'T IY TH', s, IY
and,'AH N D', s, 
lips,'L IH P S', s, IH
and,'AH N D', s, 
dull,'D ɤ L', s, 
barren,'B AE R AH N', s, AE
ignorace,'IH G N ER AH N S', s, IH
is,'IH Z', s, IH
my,'M AY', s, AY
to,'T UW', s, UW
attend,'AH T EH N D', s, 
on,'AA N', s, AA
me,'M IY', s, IY
i,'AY', s, AY
am,'AE M', s, AE
too,'T UW', s, UW
old,'OW L D', s, 
to,'T UW', s, UW
upon,'AH P AA N', s, AA
a,'AH', s, 
nuse,'N ER S', s, 
too,'T UW', s, UW
far,'F AA R', s, AA
in,'IH N', s, IH
years,'Y IH R Z', s, IH
to,'T UW', s, UW
be,'B IY', s, IY
a,'AH', s, 
what,'W AH T', s, 
is,'IH Z', s, IH
then,'DH EH N', s, 
but,'B AH T', s, 
death,'D EH TH', s, 
robs,'R AA B Z', s, AA
my,'M AY', s, AY
from,'F R AH M', s, 
breath,'B R EH TH', s, 
then,'DH EH N', s, 
thus,'DH ɤ S', s, 
i,'AY', s, AY
turn,'T ɐ R N', s, 
me,'M IY', s, IY
from,'F R AH M', s, 
my,'M AY', s, AY
to,'T UW', s, UW
dwell,'D W EH L', s, 
in,'IH N', s, IH
of,'AH V', s, 
endless,'EH N D L AH S', s, 
and,'AH N D', s, 
i,'AY', s, AY
to,'T UW', s, UW
keep,'K IY P', s, IY
all,'AA L', s, AA
this,'DH IH S', s, IH
no,'N OW', s, 
if,'IH F', s, IH
i,'AY', s, AY
wre,'W ER', s, 
my,'M AY', s, AY
be,'B IY', s, IY
blotted,'B L AA T AH D', s, AA
from,'F R AH M', s, 
the,'DH AH', s, 
book,'B UH K', s, UH
of,'AH V', s, 
and,'AH N D', s, 
i,'AY', s, AY
from,'F R AH M', s, 
heaven,'HH EH V AH N', s, 
as,'AE Z', s, AE
from,'F R AH M', s, 
but,'B AH T', s, 
what,'W AH T', s, 
thou,'DH AW', s, 
art,'AA R T', s, AA
god,'G AA D', s, AA
thou,'DH AW', s, 
and,'AH N D', s, 
i,'AY', s, AY
do,'D OW', s, 
and,'AH N D', s, 
all,'AA L', s, AA
too,'T UW', s, UW
soon,'S UW N', s, UW
i,'AY', s, AY
fear,'F IY R', s, IY
the,'DH AH', s, 
shall,'SH AE L', s, AE
rue,'R UW', s, UW
my,'M AY', s, AY
no,'N OW', s, 
can,'K AE N', s, AE
i,'AY', s, AY
sve,'EH V', s, 
back,'B AE K', s, AE
to,'T UW', s, UW
england,'IH NG G L AH N D', s, IH
all,'AA L', s, AA
the,'DH AH', s, 
my,'M AY', s, AY
