i,'AY', s, AY
till,'T IH L', s, IH
i,'AY', s, AY
it,'IH T', s, IH
you,'Y UW', s, UW
as,'AE Z', s, AE
he,'HH IY', s, IY
bids,'B IH D Z', s, IH
us,'AH S', s, 
he,'HH IY', s, IY
was,'W AA Z', s, AA
to,'T UW', s, UW
do,'D OW', s, 
us,'AH S', s, 
good,'G UH D', s, UH
i,'AY', s, AY
am,'AE M', s, AE
past,'P AW S T', s, 
children,'CH IH L D R AH N', s, IH
but,'B AH T', s, 
sons,'S AH N Z', s, 
and,'AH N D', s, 
will,'W IH L', s, IH
be,'B IY', s, IY
all,'AA L', s, AA
gentlemen,'JH EH N T AH L M IH N', s, IH
born,'B AO R N', s, AO
and,'AH N D', s, 
so,'S OW', s, 
i,'AY', s, AY
we,'W IY', s, IY
son,'S AO ̃', s, AO
to,'T UW', s, UW
shed,'SH EH D', s, 
prithee,'P r e DH IY', s, IY
son,'S AO ̃', s, AO
do,'D OW', s, 
for,'F AO R', s, AO
we,'W IY', s, IY
must,'M AH S T', s, 
be,'B IY', s, IY
we,'W IY', s, IY
gentlemen,'JH EH N T AH L M IH N', s, IH
you,'Y UW', s, UW
it,'IH T', s, IH
but,'B AH T', s, 
not,'N AA T', s, AA
swear,'S W EH R', s, 
it,'IH T', s, IH
if,'IH F', s, IH
it,'IH T', s, IH
be,'B IY', s, IY
son,'S AO ̃', s, AO
