speak,'S P IY K', s, IY
did,'D IH D', s, IH
usurp,'Y UW S ER P', s, UW
the,'DH AH', s, 
then,'DH EH N', s, 
seeing,'S IY IH N', s, IY IH
he,'HH IY', s, IY
that,'DH AE T', s, AE
you,'Y UW', s, UW
to,'T UW', s, UW
your,'Y AO R', s, AO
oath,'OW TH', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
is,'IH Z', s, IH
vain,'V EY N', s, EY
and,'AH N D', s, 
frivolous,'F R IH V AH L AH S', s, IH
therefre,'DH EH R F AO R', s, AO
to,'T UW', s, UW
arms,'AA R M Z', s, AA
and,'AH N D', s, 
do,'D OW', s, 
but,'B AH T', s, 
think,'TH IH NG K', s, IH
sweet,'S W IY T', s, IY
a,'AH', s, 
it,'IH T', s, IH
is,'IH Z', s, IH
to,'T UW', s, UW
wear,'W EH R', s, 
a,'AH', s, 
crown,'K r ǝ UH N', s, UH
within,'W IH DH IH N', s, IH IH
is,'IH Z', s, IH
elysium,'ǝ L IH Z IH UH', s, IH IH UH
and,'AH N D', s, 
all,'AA L', s, AA
that,'DH AE T', s, AE
of,'AH V', s, 
bliss,'B L IH S', s, IH
and,'AH N D', s, 
whhy,'ʍ ǝ IH', s, IH
do,'D OW', s, 
we,'W IY', s, IY
linger,'L IH NG G ǝ R', s, IH
thus,'DH ɤ S', s, 
i,'AY', s, AY
cannot,'K AE N AA T', s, AE AA
rest,'R EH S T', s, 
until,'AH N T IH L', s, IH
the,'DH AH', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
wear,'W EH R', s, 
be,'B IY', s, IY
dyed,'D ǝ IH D', s, IH
even,'IY V IH N', s, IY IH
in,'IH N', s, IH
the,'DH AH', s, 
blood,'B L AH D', s, 
of,'AH V', s, 
heart,'HH AA R T', s, AA
with,'W IH DH', s, IH
for,'F AO R', s, AO
a,'AH', s, 
need,'N IY D', s, IY
a,'AH', s, 
what,'W AH T', s, 
we,'W IY', s, IY
fear,'F IY R', s, IY
i,'AY', s, AY
cannot,'K AE N AA T', s, AE AA
until,'AH N T IH L', s, IH
i,'AY', s, AY
be,'B IY', s, IY
our,'OW R', s, 
is,'IH Z', s, IH
i,'AY', s, AY
him,'HH IH M', s, IH
in,'IH N', s, IH
the,'DH AH', s, 
and,'AH N D', s, 
him,'HH IH M', s, IH
he,'HH IY', s, IY
singled,'S IH NG G AH L D', s, IH
forth,'F AO R TH', s, AO
he,'HH IY', s, IY
him,'HH IH M', s, IH
in,'IH N', s, IH
the,'DH AH', s, 
thickest,'TH IH K IH S T', s, IH IH
troop,'T R UW P', s, UW
as,'AE Z', s, AE
doth,'D AO TH', s, AO
a,'AH', s, 
in,'IH N', s, IH
a,'AH', s, 
of,'AH V', s, 
neat,'N IY T', s, IY
or,'AO R', s, AO
as,'AE Z', s, AE
a,'AH', s, 
bear,'B EH R', s, 
with,'W IH DH', s, IH
dogs,'D AA G Z', s, AA
who,'HH UW', s, UW
a,'AH', s, 
few,'F Y UW', s, UW
and,'AH N D', s, 
them,'DH EH M', s, 
the,'DH AH', s, 
rest,'R EH S T', s, 
stand,'S T AE N D', s, AE
all,'AA L', s, AA
aloof,'AH L UW F', s, UW
and,'AH N D', s, 
bark,'B AA R K', s, AA
at,'AE T', s, AE
him,'HH IH M', s, IH
so,'S OW', s, 
our,'OW R', s, 
with,'W IH DH', s, IH
his,'HH IH Z', s, IH
enemies,'EH N AH M IY Z', s, IY
so,'S OW', s, 
fled,'F L EH D', s, 
his,'HH IH Z', s, IH
enemies,'EH N AH M IY Z', s, IY
my,'M AY', s, AY
methinks,'M IH TH IH NG K S', s, IH IH
to,'T UW', s, UW
be,'B IY', s, IY
his,'HH IH Z', s, IH
son,'S AO ̃', s, AO
see,'S IY', s, IY
the,'DH AH', s, 
golden,'G OW L D ǝ N', s, 
and,'AH N D', s, 
of,'AH V', s, 
the,'DH AH', s, 
sun,'S AH N', s, 
well,'W EH L', s, 
it,'IH T', s, IH
the,'DH AH', s, 
of,'AH V', s, 
youth,'Y UW TH', s, UW
a,'AH', s, 
to,'T UW', s, UW
his,'HH IH Z', s, IH
suns,'S AH N Z', s, 
each,'IY CH', s, IY
a,'AH', s, 
sun,'S AH N', s, 
not,'N AA T', s, AA
with,'W IH DH', s, IH
the,'DH AH', s, 
clouds,'K L AW D Z', s, 
but,'B AH T', s, 
in,'IH N', s, IH
a,'AH', s, 
sky,'S K AY', s, AY
see,'S IY', s, IY
see,'S IY', s, IY
join,'JH OY N', s, 
and,'AH N D', s, 
seem,'S IY M', s, IY
to,'T UW', s, UW
kiss,'K IH S', s, IH
as,'AE Z', s, AE
if,'IH F', s, IH
vowed,'V ǝ UH IH D', s, UH IH
but,'B AH T', s, 
lamp,'L AE M P', s, AE
sun,'S AH N', s, 
in,'IH N', s, IH
this,'DH IH S', s, IH
the,'DH AH', s, 
heaven,'HH EH V AH N', s, 
event,'IH V EH N T', s, IH
bear,'B EH R', s, 
by,'B AY', s, AY
your,'Y AO R', s, AO
i,'AY', s, AY
speak,'S P IY K', s, IY
it,'IH T', s, IH
you,'Y UW', s, UW
the,'DH AH', s, 
breeder,'B r IY D ə R', s, IY
better,'B e T ə R', s, 
than,'DH AE N', s, AE
the,'DH AH', s, 
but,'B AH T', s, 
what,'W AH T', s, 
art,'AA R T', s, AA
thou,'DH AW', s, 
heavy,'e V ǝ IH', s, IH
looks,'L UH K S', s, UH
dreadful,'D R EH D F AH L', s, 
story,'S T AO R IY', s, AO IY
on,'AA N', s, AA
he,'HH IY', s, IY
died,'D AY D', s, AY
for,'F AO R', s, AO
i,'AY', s, AY
will,'W IH L', s, IH
it,'IH T', s, IH
all,'AA L', s, AA
i,'AY', s, AY
cannot,'K AE N AA T', s, AE AA
weep,'W IY P', s, IY
for,'F AO R', s, AO
all,'AA L', s, AA
my,'M AY', s, AY
moistre,'M OY S CH ER', s, 
to,'T UW', s, UW
my,'M AY', s, AY
heart,'HH AA R T', s, AA
nor,'N AO R', s, AO
can,'K AE N', s, AE
my,'M AY', s, AY
unload,'ɤ N L OW D', s, 
my,'M AY', s, AY
great,'G r e T', s, 
burden,'B ɐ R DH ə N', s, 
for,'F AO R', s, AO
that,'DH AE T', s, AE
i,'AY', s, AY
speak,'S P IY K', s, IY
withal,'W IH DH AA L', s, IH AA
is,'IH Z', s, IH
coals,'K OW L Z', s, 
that,'DH AE T', s, AE
all,'AA L', s, AA
my,'M AY', s, AY
breast,'B R EH S T', s, 
and,'AH N D', s, 
me,'M IY', s, IY
up,'AH P', s, 
with,'W IH DH', s, IH
that,'DH AE T', s, AE
tears,'T EH R Z', s, 
to,'T UW', s, UW
weep,'W IY P', s, IY
is,'IH Z', s, IH
to,'T UW', s, UW
less,'L EH S', s, 
the,'DH AH', s, 
depth,'D EH P TH', s, 
of,'AH V', s, 
grief,'G R IY F', s, IY
tears,'T EH R Z', s, 
then,'DH EH N', s, 
for,'F AO R', s, AO
and,'AH N D', s, 
for,'F AO R', s, AO
me,'M IY', s, IY
i,'AY', s, AY
bear,'B EH R', s, 
death,'D EH TH', s, 
or,'AO R', s, AO
by,'B AY', s, AY
it,'IH T', s, IH
if,'IH F', s, IH
thou,'DH AW', s, 
be,'B IY', s, IY
that,'DH AE T', s, AE
princely,'P r IH N S L ǝ IH', s, IH IH
bird,'B ɐ R D', s, 
descent,'D IH S EH N T', s, IH
by,'B AY', s, AY
the,'DH AH', s, 
sun,'S AH N', s, 
for,'F AO R', s, AO
chair,'CH EH R', s, 
and,'AH N D', s, 
dukedom,'D Y UW K D ǝ M', s, UW
thhrne,'TH r OW N', s, 
and,'AH N D', s, 
either,'EH DH ǝ R', s, 
that,'DH AE T', s, AE
is,'IH Z', s, IH
or,'AO R', s, AO
thou,'DH AW', s, 
not,'N AA T', s, AA
his,'HH IH Z', s, IH
great,'G r e T', s, 
lord,'L AO R D', s, AO
of,'AH V', s, 
if,'IH F', s, IH
we,'W IY', s, IY
recount,'R IH K AW N T', s, IH
our,'OW R', s, 
and,'AH N D', s, 
at,'AE T', s, AE
each,'IY CH', s, IY
deliverace,'D IH L IH V ER AH N S', s, IH IH
stab,'S T AE B', s, AE
in,'IH N', s, IH
our,'OW R', s, 
flesh,'F L EH SH', s, 
till,'T IH L', s, IH
all,'AA L', s, AA
wre,'W ER', s, 
told,'T OW L D', s, 
the,'DH AH', s, 
add,'AE D', s, AE
than,'DH AE N', s, AE
the,'DH AH', s, 
wounds,'W UW N D Z', s, UW
o,'OW', s, 
lord,'L AO R D', s, AO
the,'DH AH', s, 
of,'AH V', s, 
york,'Y AO R K', s, AO
is,'IH Z', s, IH
slain,'S L EH N', s, 
when,'ʍ e N', s, 
fled,'F L EH D', s, 
oft,'AO F T', s, AO
i,'AY', s, AY
his,'HH IH Z', s, IH
praises,'P r EH Z IH Z', s, IH
in,'IH N', s, IH
but,'B AH T', s, 
till,'T IH L', s, IH
his,'HH IH Z', s, IH
of,'AH V', s, 
i,'AY', s, AY
it,'IH T', s, IH
well,'W EH L', s, 
lord,'L AO R D', s, AO
me,'M IY', s, IY
not,'N AA T', s, AA
i,'AY', s, AY
bear,'B EH R', s, 
me,'M IY', s, IY
speak,'S P IY K', s, IY
but,'B AH T', s, 
in,'IH N', s, IH
this,'DH IH S', s, IH
to,'T UW', s, UW
be,'B IY', s, IY
shall,'SH AE L', s, AE
we,'W IY', s, IY
go,'G OW', s, 
our,'OW R', s, 
coats,'K OW T S', s, 
of,'AH V', s, 
steel,'S T IY L', s, IY
and,'AH N D', s, 
wrap,'R AE P', s, AE
our,'OW R', s, 
bodies,'B AA D IY Z', s, AA IY
in,'IH N', s, IH
black,'B L AE K', s, AE
gowns,'G ǝ UH N Z', s, UH
our,'OW R', s, 
with,'W IH DH', s, IH
our,'OW R', s, 
beads,'B IY D Z', s, IY
or,'AO R', s, AO
shall,'SH AE L', s, AE
we,'W IY', s, IY
on,'AA N', s, AA
the,'DH AH', s, 
of,'AH V', s, 
our,'OW R', s, 
foes,'F OW Z', s, 
tell,'T EH L', s, 
our,'OW R', s, 
with,'W IH DH', s, IH
arms,'AA R M Z', s, AA
if,'IH F', s, IH
for,'F AO R', s, AO
the,'DH AH', s, 
last,'L AE S T', s, AE
and,'AH N D', s, 
to,'T UW', s, UW
it,'IH T', s, IH
lords,'L AO R D Z', s, AO
methinks,'M IH TH IH NG K S', s, IH IH
i,'AY', s, AY
great,'G r e T', s, 
speak,'S P IY K', s, IY
he,'HH IY', s, IY
to,'T UW', s, UW
see,'S IY', s, IY
a,'AH', s, 
that,'DH AE T', s, AE
cries,'K R AY Z', s, AY
if,'IH F', s, IH
bid,'B IH D', s, IH
him,'HH IH M', s, IH
then,'DH EH N', s, 
wre,'W ER', s, 
heart,'HH AA R T', s, AA
as,'AE Z', s, AE
as,'AE Z', s, AE
steel,'S T IY L', s, IY
as,'AE Z', s, AE
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
it,'IH T', s, IH
by,'B AY', s, AY
deeds,'D IY D Z', s, IY
i,'AY', s, AY
to,'T UW', s, UW
it,'IH T', s, IH
or,'AO R', s, AO
to,'T UW', s, UW
thee,'DH IY', s, IY
you,'Y UW', s, UW
o,'OW', s, 
i,'AY', s, AY
cannot,'K AE N AA T', s, AE AA
speak,'S P IY K', s, IY
you,'Y UW', s, UW
that,'DH AE T', s, AE
rutland,'r ɤ T L ǝ N D', s, 
was,'W AA Z', s, AA
it,'IH T', s, IH
not,'N AA T', s, AA
for,'F AO R', s, AO
lords,'L AO R D Z', s, AO
signal,'S IH G N AA L', s, IH AA
to,'T UW', s, UW
the,'DH AH', s, 
i,'AY', s, AY
thee,'DH IY', s, IY
break,'B R EY K', s, EY
off,'AO F', s, AO
the,'DH AH', s, 
parley,'P AA R L ǝ IH', s, AA IH
for,'F AO R', s, AO
i,'AY', s, AY
can,'K AE N', s, AE
refrain,'r IH F r EH N', s, IH
the,'DH AH', s, 
of,'AH V', s, 
my,'M AY', s, AY
heart,'HH AA R T', s, AA
upon,'AH P AA N', s, AA
that,'DH AE T', s, AE
that,'DH AE T', s, AE
a,'AH', s, 
dastard,'D AW S T ǝ R D', s, 
and,'AH N D', s, 
a,'AH', s, 
as,'AE Z', s, AE
thou,'DH AW', s, 
kill,'K IH L', s, IH
our,'OW R', s, 
tender,'T e N D ǝ R', s, 
rutland,'r ɤ T L ǝ N D', s, 
but,'B AH T', s, 
sunset,'S AH N S EH T', s, 
thee,'DH IY', s, IY
the,'DH AH', s, 
deed,'D IY D', s, IY
then,'DH EH N', s, 
by,'B AY', s, AY
him,'HH IH M', s, IH
that,'DH AE T', s, AE
us,'AH S', s, 
all,'AA L', s, AA
i,'AY', s, AY
am,'AE M', s, AE
that,'DH AE T', s, AE
manhood,'M AE N HH UH D', s, AE UH
upon,'AH P AA N', s, AA
his,'HH IH Z', s, IH
whoever,'UW e V ǝ R', s, UW
got,'G AA T', s, AA
thee,'DH IY', s, IY
stands,'S T AE N D Z', s, AE
for,'F AO R', s, AO
well,'W EH L', s, 
i,'AY', s, AY
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
of,'AH V', s, 
naples,'N EY P AH L Z', s, EY
hid,'HH IH D', s, IH
with,'W IH DH', s, IH
english,'IH NG G L IH SH', s, IH IH
gilt,'G IH L T', s, IH
bears,'B EH R Z', s, 
the,'DH AH', s, 
of,'AH V', s, 
a,'AH', s, 
as,'AE Z', s, AE
if,'IH F', s, IH
a,'AH', s, 
channel,'CH AE N AH L', s, AE
be,'B IY', s, IY
the,'DH AH', s, 
sea,'S IY', s, IY
thou,'DH AW', s, 
not,'N AA T', s, AA
thou,'DH AW', s, 
art,'AA R T', s, AA
to,'T UW', s, UW
let,'L EH T', s, 
detect,'D IH T EH K T', s, IH
heart,'HH AA R T', s, AA
whhy,'ʍ ǝ IH', s, IH
hast,'HH AE S T', s, AE
thou,'DH AW', s, 
blood,'B L AH D', s, 
the,'DH AH', s, 
hath,'HH AE TH', s, AE
drunk,'D R AH NG K', s, 
with,'W IH DH', s, IH
the,'DH AH', s, 
of,'AH V', s, 
and,'AH N D', s, 
in,'IH N', s, IH
the,'DH AH', s, 
very,'V EH R IY', s, IY
of,'AH V', s, 
death,'D EH TH', s, 
he,'HH IY', s, IY
to,'T UW', s, UW
a,'AH', s, 
dismal,'D IH Z M AA L', s, IH AA
from,'F R AH M', s, 
far,'F AA R', s, AA
my,'M AY', s, AY
death,'D EH TH', s, 
so,'S OW', s, 
the,'DH AH', s, 
bellly,'B e L ə IH', s, IH
of,'AH V', s, 
their,'DH EH R', s, 
steeds,'S T IY D Z', s, IY
that,'DH AE T', s, AE
their,'DH EH R', s, 
in,'IH N', s, IH
his,'HH IH Z', s, IH
blood,'B L AH D', s, 
the,'DH AH', s, 
gentleman,'JH EH N T AH L M AH N', s, 
up,'AH P', s, 
the,'DH AH', s, 
me,'M IY', s, IY
let,'L EH T', s, 
me,'M IY', s, IY
thee,'DH IY', s, IY
in,'IH N', s, IH
my,'M AY', s, AY
arms,'AA R M Z', s, AA
i,'AY', s, AY
that,'DH AE T', s, AE
did,'D IH D', s, IH
never,'N e V ǝ R', s, 
weep,'W IY P', s, IY
melt,'M EH L T', s, 
with,'W IH DH', s, IH
woe,'W OW', s, 
that,'DH AE T', s, AE
cut,'K ɤ T', s, 
off,'AO F', s, AO
our,'OW R', s, 
so,'S OW', s, 
i,'AY', s, AY
singled,'S IH NG G AH L D', s, IH
thee,'DH IY', s, IY
this,'DH IH S', s, IH
arm,'AA R M', s, AA
is,'IH Z', s, IH
for,'F AO R', s, AO
the,'DH AH', s, 
of,'AH V', s, 
york,'Y AO R K', s, AO
and,'AH N D', s, 
this,'DH IH S', s, IH
for,'F AO R', s, AO
rutland,'r ɤ T L ǝ N D', s, 
both,'B OW TH', s, 
to,'T UW', s, UW
thou,'DH AW', s, 
with,'W IH DH', s, IH
a,'AH', s, 
brazen,'B r EH Z ə N', s, 
wall,'W AO L', s, AO
out,'AW T', s, 
for,'F AO R', s, AO
i,'AY', s, AY
myself,'M AY S EH L F', s, AY
will,'W IH L', s, IH
this,'DH IH S', s, IH
wolf,'W UH L F', s, UH
to,'T UW', s, UW
death,'D EH TH', s, 
soul,'S OW L', s, 
is,'IH Z', s, IH
that,'DH AE T', s, AE
heavy,'e V ǝ IH', s, IH
a,'AH', s, 
deadly,'D EH D L IY', s, IY
groan,'G r OW N', s, 
and,'AH N D', s, 
that,'DH AE T', s, AE
doom,'D ɤ M', s, 
of,'AH V', s, 
for,'F AO R', s, AO
who,'HH UW', s, UW
not,'N AA T', s, AA
contented,'K AH N T EH N T AH D', s, 
that,'DH AE T', s, AE
he,'HH IY', s, IY
the,'DH AH', s, 
branch,'B r AW N SH', s, 
in,'IH N', s, IH
rutland,'r ɤ T L ǝ N D', s, 
when,'ʍ e N', s, 
his,'HH IH Z', s, IH
put,'P UH T', s, UH
forth,'F AO R TH', s, AO
but,'B AH T', s, 
set,'S EH T', s, 
his,'HH IH Z', s, IH
knfe,'N AY F', s, AY
unto,'AH N T UW', s, UW
the,'DH AH', s, 
root,'R UW T', s, UW
from,'F R AH M', s, 
that,'DH AE T', s, AE
tender,'T e N D ǝ R', s, 
did,'D IH D', s, IH
i,'AY', s, AY
mean,'M IY N', s, IY
our,'OW R', s, 
princely,'P r IH N S L ǝ IH', s, IH IH
of,'AH V', s, 
york,'Y AO R K', s, AO
o,'OW', s, 
he,'HH IY', s, IY
so,'S OW', s, 
he,'HH IY', s, IY
doth,'D AO TH', s, AO
but,'B AH T', s, 
his,'HH IH Z', s, IH
to,'T UW', s, UW
he,'HH IY', s, IY
taunts,'T AO N T S', s, AO
in,'IH N', s, IH
the,'DH AH', s, 
of,'AH V', s, 
death,'D EH TH', s, 
he,'HH IY', s, IY
our,'OW R', s, 
ask,'AW S K', s, 
and,'AH N D', s, 
obtain,'ǝ B T EH N', s, 
no,'N OW', s, 
thou,'DH AW', s, 
york,'Y AO R K', s, AO
and,'AH N D', s, 
i,'AY', s, AY
am,'AE M', s, AE
son,'S AO ̃', s, AO
to,'T UW', s, UW
york,'Y AO R K', s, AO
what,'W AH T', s, 
not,'N AA T', s, AA
an,'AE N', s, AE
oath,'OW TH', s, 
then,'DH EH N', s, 
the,'DH AH', s, 
goes,'G OW Z', s, 
when,'ʍ e N', s, 
cannot,'K AE N AA T', s, AE AA
his,'HH IH Z', s, IH
friends,'F R EH N D Z', s, 
an,'AE N', s, AE
oath,'OW TH', s, 
i,'AY', s, AY
by,'B AY', s, AY
that,'DH AE T', s, AE
dead,'D EH D', s, 
and,'AH N D', s, 
by,'B AY', s, AY
my,'M AY', s, AY
soul,'S OW L', s, 
if,'IH F', s, IH
this,'DH IH S', s, IH
buy,'B ə IH', s, IH
but,'B AH T', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
in,'IH N', s, IH
all,'AA L', s, AA
rail,'r EH L', s, 
at,'AE T', s, AE
him,'HH IH M', s, IH
this,'DH IH S', s, IH
chop,'CH AA P', s, AA
it,'IH T', s, IH
off,'AO F', s, AO
and,'AH N D', s, 
with,'W IH DH', s, IH
the,'DH AH', s, 
blood,'B L AH D', s, 
the,'DH AH', s, 
villain,'V IH L AH N', s, IH
thirst,'TH ɐ R S T', s, 
york,'Y AO R K', s, AO
and,'AH N D', s, 
rutland,'r ɤ T L ǝ N D', s, 
not,'N AA T', s, AA
let,'L EH T', s, 
me,'M IY', s, IY
be,'B IY', s, IY
of,'AH V', s, 
of,'AH V', s, 
for,'F AO R', s, AO
dukedom,'D Y UW K D ǝ M', s, UW
is,'IH Z', s, IH
too,'T UW', s, UW
your,'Y AO R', s, AO
shall,'SH AE L', s, AE
do,'D OW', s, 
well,'W EH L', s, 
to,'T UW', s, UW
grant,'G r AO N T', s, AO
suit,'SH UW T', s, UW
it,'IH T', s, IH
wre,'W ER', s, 
to,'T UW', s, UW
it,'IH T', s, IH
yea,'Y EH', s, 
is,'IH Z', s, IH
it,'IH T', s, IH
so,'S OW', s, 
i,'AY', s, AY
see,'S IY', s, IY
the,'DH AH', s, 
lady,'L EY D IY', s, EY IY
hath,'HH AE TH', s, AE
a,'AH', s, 
to,'T UW', s, UW
grant,'G r AO N T', s, AO
the,'DH AH', s, 
will,'W IH L', s, IH
grant,'G r AO N T', s, AO
suit,'SH UW T', s, UW
then,'DH EH N', s, 
warrant,'W AA r ǝ N T', s, AA
you,'Y UW', s, UW
all,'AA L', s, AA
your,'Y AO R', s, AO
lands,'L AE N D Z', s, AE
an,'AE N', s, AE
if,'IH F', s, IH
what,'W AH T', s, 
pleases,'P L IY Z IH Z', s, IY IH
him,'HH IH M', s, IH
shall,'SH AE L', s, AE
pleasre,'P L EH ZH ER', s, 
you,'Y UW', s, UW
or,'AO R', s, AO
good,'G UH D', s, UH
faith,'F EY TH', s, EY
a,'AH', s, 
god,'G AA D', s, AA
forbid,'F ǝ R B IH D', s, IH
that,'DH AE T', s, AE
for,'F AO R', s, AO
vantages,'V AE N T IH JH IH Z', s, AE IH IH
then,'DH EH N', s, 
whip,'ʍ IH P', s, IH
me,'M IY', s, IY
you,'Y UW', s, UW
shall,'SH AE L', s, AE
four,'F AO R', s, AO
if,'IH F', s, IH
be,'B IY', s, IY
by,'B AY', s, AY
him,'HH IH M', s, IH
good,'G UH D', s, UH
you,'Y UW', s, UW
for,'F AO R', s, AO
you,'Y UW', s, UW
will,'W IH L', s, IH
till,'T IH L', s, IH
youth,'Y UW TH', s, UW
and,'AH N D', s, 
you,'Y UW', s, UW
to,'T UW', s, UW
the,'DH AH', s, 
crutch,'K r ɤ T SH', s, 
he,'HH IY', s, IY
plies,'P L AY Z', s, AY
and,'AH N D', s, 
rain,'r EH N', s, 
wears,'W EH R Z', s, 
the,'DH AH', s, 
the,'DH AH', s, 
is,'IH Z', s, IH
she,'SH IY', s, IY
seals,'S IY L Z', s, IY
it,'IH T', s, IH
with,'W IH DH', s, IH
a,'AH', s, 
the,'DH AH', s, 
him,'HH IH M', s, IH
not,'N AA T', s, AA
she,'SH IY', s, IY
brows,'B r ə UH Z', s, UH
the,'DH AH', s, 
ghostly,'G OW S T L ǝ IH', s, IH
hath,'HH AE TH', s, AE
his,'HH IH Z', s, IH
the,'DH AH', s, 
it,'IH T', s, IH
not,'N AA T', s, AA
for,'F AO R', s, AO
she,'SH IY', s, IY
looks,'L UH K S', s, UH
very,'V EH R IY', s, IY
sad,'S AE D', s, AE
that,'DH AE T', s, AE
be,'B IY', s, IY
ten,'T EH N', s, 
wonder,'W ɤ N D ǝ R', s, 
at,'AE T', s, AE
the,'DH AH', s, 
least,'L IY S T', s, IY
by,'B AY', s, AY
so,'S OW', s, 
is,'IH Z', s, IH
the,'DH AH', s, 
wonder,'W ɤ N D ǝ R', s, 
in,'IH N', s, IH
edward,'e D W ǝ R D', s, 
will,'W IH L', s, IH
women,'W IH M AH N', s, IH
he,'HH IY', s, IY
wre,'W ER', s, 
and,'AH N D', s, 
all,'AA L', s, AA
that,'DH AE T', s, AE
from,'F R AH M', s, 
his,'HH IH Z', s, IH
no,'N OW', s, 
branch,'B r AW N SH', s, 
to,'T UW', s, UW
cross,'K R AO S', s, AO
me,'M IY', s, IY
from,'F R AH M', s, 
the,'DH AH', s, 
golden,'G OW L D ǝ N', s, 
i,'AY', s, AY
look,'L UH K', s, UH
for,'F AO R', s, AO
and,'AH N D', s, 
yet,'Y EH T', s, 
between,'B IH T W IY N', s, IH IY
my,'M AY', s, AY
and,'AH N D', s, 
me,'M IY', s, IY
the,'DH AH', s, 
lustful,'L ɤ S T F UH L', s, UH
is,'IH Z', s, IH
henry,'HH EH N R IY', s, IY
and,'AH N D', s, 
his,'HH IH Z', s, IH
son,'S AO ̃', s, AO
edward,'e D W ǝ R D', s, 
and,'AH N D', s, 
all,'AA L', s, AA
the,'DH AH', s, 
unlooked-for,'ɤ N L UH K T - ˌ F AO R', s, UH AO
of,'AH V', s, 
their,'DH EH R', s, 
bodies,'B AA D IY Z', s, AA IY
to,'T UW', s, UW
their,'DH EH R', s, 
rooms,'R UW M Z', s, UW
i,'AY', s, AY
can,'K AE N', s, AE
myself,'M AY S EH L F', s, AY
a,'AH', s, 
cold,'K OW L D', s, 
premeditation,'P R IY M EH D AH T EY SH AH N', s, IY EY
for,'F AO R', s, AO
my,'M AY', s, AY
whhy,'ʍ ǝ IH', s, IH
then,'DH EH N', s, 
i,'AY', s, AY
do,'D OW', s, 
but,'B AH T', s, 
dream,'D R IY M', s, IY
on,'AA N', s, AA
that,'DH AE T', s, AE
stands,'S T AE N D Z', s, AE
upon,'AH P AA N', s, AA
a,'AH', s, 
promontory,'P r ɒ M ǝ N T r ǝ IH', s, IH
and,'AH N D', s, 
a,'AH', s, 
he,'HH IY', s, IY
tread,'T R EH D', s, 
his,'HH IH Z', s, IH
foot,'F UH T', s, UH
wre,'W ER', s, 
with,'W IH DH', s, IH
his,'HH IH Z', s, IH
and,'AH N D', s, 
the,'DH AH', s, 
sea,'S IY', s, IY
that,'DH AE T', s, AE
sunders,'S ɤ N D ǝ R Z', s, 
him,'HH IH M', s, IH
from,'F R AH M', s, 
it,'IH T', s, IH
to,'T UW', s, UW
his,'HH IH Z', s, IH
so,'S OW', s, 
do,'D OW', s, 
i,'AY', s, AY
wish,'W IH SH', s, IH
the,'DH AH', s, 
crown,'K r ǝ UH N', s, UH
being,'B IY IH NG', s, IY IH
