indeed,'IH N D IY D', s, IH IY
poor,'P UH R', s, UH
and,'AH N D', s, 
broken,'B R OW K AH N', s, 
thus,'DH ɤ S', s, 
most,'M OW S T', s, 
he,'HH IY', s, IY
pierceth,'P EH R S ǝ TH', s, 
the,'DH AH', s, 
body,'B AA D IY', s, AA IY
of,'AH V', s, 
country,'K AH N T R IY', s, IY
court,'K AO R T', s, AO
yea,'Y EH', s, 
and,'AH N D', s, 
of,'AH V', s, 
this,'DH IH S', s, IH
our,'OW R', s, 
that,'DH AE T', s, AE
we,'W IY', s, IY
tyrants,'T AY R AH N T S', s, AY
and,'AH N D', s, 
to,'T UW', s, UW
the,'DH AH', s, 
animals,'AE N AH M AH L Z', s, AE
and,'AH N D', s, 
to,'T UW', s, UW
kill,'K IH L', s, IH
them,'DH EH M', s, 
up,'AH P', s, 
in,'IH N', s, IH
their,'DH EH R', s, 
and,'AH N D', s, 
you,'Y UW', s, UW
to,'T UW', s, UW
him,'HH IH M', s, IH
who,'HH UW', s, UW
doth,'D AO TH', s, AO
ambition,'AE M B IH SH AH N', s, AE IH
shun,'SH ɤ N', s, 
and,'AH N D', s, 
to,'T UW', s, UW
sun,'S AH N', s, 
the,'DH AH', s, 
food,'F UW D', s, UW
he,'HH IY', s, IY
eats,'IY T S', s, IY
and,'AH N D', s, 
with,'W IH DH', s, IH
what,'W AH T', s, 
he,'HH IY', s, IY
gets,'G EH T S', s, 
shall,'SH AE L', s, AE
he,'HH IY', s, IY
see,'S IY', s, IY
no,'N OW', s, 
enemy,'EH N AH M IY', s, IY
but,'B AH T', s, 
and,'AH N D', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
he,'HH IY', s, IY
is,'IH Z', s, IH
but,'B AH T', s, 
even,'IY V IH N', s, IY IH
was,'W AA Z', s, AA
he,'HH IY', s, IY
merrry,'M e r ǝ IH', s, IH
of,'AH V', s, 
a,'AH', s, 
he,'HH IY', s, IY
my,'M AY', s, AY
by,'B AY', s, AY
his,'HH IH Z', s, IH
appproach,'ǝ P r OW T SH', s, 
it,'IH T', s, IH
was,'W AA Z', s, AA
i,'AY', s, AY
