abstain / ~s | ǝbˈstɛ:nz
march / ~eth / ~ing / ~ed | mɑ:ɹtʃ / ˈmɑ:ɹtʃ·ǝθ / -ɪn, -ɪŋ / mɑ:ɹtʃt
marsh | mɑ:ɹʃ
measles | =
medlar / ~s | ˈmedlǝɹ / -z
mindless | ˈmǝɪnlǝs, -ndl-
misbe·come / ~d / ~came | ˌmɪsbɪˈkɤm / -d / ˌmɪsbɪˈkɛ:m
mistaking / ~s | mɪsˈtɛ:kɪn, -ɪŋ / -z
modicum / ~s | =
monstrously | m ˈmɒnstrǝsˌlǝɪ
moult | mo:lt
mountain-squire | ˈmǝʊntɪn-ˌskwǝɪɹ
mutter / ~ed | ˈmɤtǝɹ / m ˈmɤtǝˌrɪd
neglect / ~est / ~ing / ~ed | = / nɪˈglekst, -ktst / nɪˈglektɪn, -ɪŋ / =
never-surfeited | ˈnevǝɹ-ˈsɐ:ɹfɪtɪd
Nile | nǝɪl
non-regardance | ˌnɒnrɪˈgɑ:ɹdǝns
notebook | ˈno:tbʊk
Ophelia | =
origin | =
oublier / oubli·e / ~é | uˈbli / ubliˈje
overgreedy | ˈo:vǝɹˈgri:dǝɪ
parle | pɑ:ɹl
peace-parted | m ˌpi:s-ˈpɑ:ɹtɪd, ˌpɛ:s-
pepper / ~ed | ˈpepǝɹd
praetor / ~’s / ~s | ˈpretǝɹz
prejudicate / ~s | m pri:ˈdʒu:dɪˌkɛ:ts
press / ~es | =
progenitor / ~s | prǝˈdʒenɪˌtɔ:ɹz
prorogue / ~d | pro:ˈro:g / m pro:ˈro:gɪd
Prosper [name] | ˈprɒspǝɹ
punish / ~es / ~ed | ˈpɤnɪʃ / -ɪz / m ˈpɤnɪʃt, -ʃed
purged | m ˈpɐ:ɹdʒɪd
purr | pɐ:ɹ
rankness | =
Ratolorum [malap for rotulorum] | ˈratǝˌlɔ:rʊm
raw-boned | ˈrɔ:-ˌbo:nd
raze / ~th / ~d | rɛ:z / ˈrɛ:zǝɵ / rɛ:zd
reconcile / ~s / ~ed | ˈrekǝnˌsǝɪl / -z / -d
rehearse / ~d | rɪˈɐ:ɹs, -ˈhɐ:- / -t
reproachful | rɪˈpro:tʃfʊl
reproof | rɪˈprɤf, -ru:f
reverend / ~est | ˈrevrǝnd, -vǝr- / -z, -nz
revolted | rɪˈvɒltɪd, -ˈvo:-
rhetoric | ˈretrɪk, -tǝr-
Richmond / ~’s / ~s | =
roar | rɔ:ɹ
sandy-bottomed | ˈsandǝɪ-ˌbɒtǝmd
sauce / ~d | =
scope | sko:p
scourge / ~d | skɐ:ɹdʒ / -d
self-misused | =
sentinel / ~s | m ˈsentɪˌnel / m -z, -ɪnǝlz
serpent-like | ˈsɐ:ɹpǝnt-ˌlǝɪk
severe / ~st | sɪˈvi:ɹ, -vɛ:ɹ / -ǝst
severed | ˈsɛ:vǝɹd
shield / ~s | =
sin / ~’s / ~s | =
small | smɑ:l
snare / ~s / ~d | snɛ:ɹ / -z / -d
spray / ~s | sprɛ: / -z
squandring | ˈskwɑndrɪn, -ɪŋ, -wɒ-
stroke / ~s | stro:k / -s
subscription | sǝbˈskrɪpsɪǝn
succeeding | sǝkˈsi:dɪn, -ɪŋ
surg·o / ~ere | ˈsu:rdʒere
tardiness | m ˈtɑ:ɹdɪˌnes
Tours | tu:ɹ
transform / ~ed | transˈfɔ:ɹm / m -d, -ɪd
treason / ~’s / ~s | ˈtrɛ:zǝn / -z
trespass | =
trick / ~ed | =
Tunis | ˈtju:nɪs
Ulysses | ju:ˈlɪsi:z
unborn | ɤnˈbɔ:ɹn
unguem | ˈʊŋgwem
unmade | ˈɤnmɛ:d
unreprievable | m ˈɤnrɪˈpri:vǝˌbɤl
unsolicited | m ˈɤnsǝˈlɪsɪˌtɪd, -stɪd
unspeak | ɤnˈspi:k, -pɛ:k, -pek
venemous | m ˈvenǝˌmɤs, -nǝm-, -nmǝs
via | ˈvi:a
village / ~s | =
vivant | viˈvɑ̃
vixen | =
voiding | ˈvǝɪdɪn, -ɪŋ
warp / ~ed | wɑ:ɹp / -t
Washford | ˈwɑʃfǝɹd
welcome / ~st | = / m ˈwelkǝˌmest
well-deserving | ˈwel-dɪˈzɐ:ɹvɪn, -ɪŋ
wholesome / ~st | ˈo:lsǝm, -ˈho:- / -st
wilful | =
Winchester | ˈwɪntʃestǝɹ
wip·e / ~es / ~ing / ~ed | wǝɪp / -s / -ɪn, -ɪŋ / m -t, -ɪd
wiser | ˈwǝɪzǝɹ
word / ~’s / ~s / ~s’ | wɔ:ɹd, Evans MW 1.1.236 ɔ:ɹt / wɔ:ɹdz, Evans MW 1.1.114 wɔ:ɹts
working-house | ˈwɔ:ɹkɪn-ˌǝʊs, -ɪŋ-, -ˌhǝʊs-
worth·y / ~ied | ˈwɔ:ɹðǝɪd
abod·e / ~ed / ~ing | ǝˈbo:dɪd / -ɪn, -ɪŋ
accessible | =
adorn / ~s / ~ed | ǝˈdɔ:ɹn / -z / m -d, -nɪd
age / ~’s / ~s | ɛ:dʒ / ˈɛ:dʒɪz
- vais | vɛ
ancestry | m ˈansǝsˌtrǝɪ, ˈɔ:n-
apothecary, abbr pothecary | m ǝˈpɒtǝˌkrǝɪ, -tkrǝɪ, abbr ˈpɒtǝˌkrǝɪ
appal / ~s | ǝˈpɑ:l, -ˈpɔ:l / -z
arch | ɑ:ɹtʃ
Arde | ɑ:ɹd
Ariadne | ˌarɪˈadni:
array | ǝˈrɛ:
Athenian | m ǝˈti:nɪǝn, -ɪˌan
barefoot | ˈbɛ:ɹˌfʊt
beer-barrel | ˈbi:ɹ-ˌbarəl, ˈbɛ:ɹ-
bell / ~s | =
blood·y / ~ier / ~iest | ˈblɤdəɪ, Fluellen H5 5.1.40 ˈplɤdəɪ / -əɹ / -əst
bounteously | m ˈbəʊntɪəsˌləɪ [3 sylls]
braid | brɛ:d
brat / ~s | =
broil / ~s / ~ing / ~ed | brəɪlz / ˈbrəɪlɪn, -ɪŋ / brəɪld
busily | m ˈbɪzɪˌləɪ
butcher·y / ~ies | m ˈbʊtʃəˌrəɪ, -tʃrəɪ / -əˌrəɪz
Caesarian | sɪˈzarɪǝn
captain / ~’s / ~s | = / ˈkaptɪnz, Jamy H5 3.2.99 ˈkaptenz
cardinal / ~’s / ~s | m ˈkɑ:ɹdɪˌnɑl, -ɪn-, -dn- / -z
cedar / ~s | ˈsi:dǝɹ / -z
centre | ˈsentǝɹ
chapless | =
Charolois | ˌʃarǝˈlwɛ
chastely | ˈtʃastlǝɪ
chevalier | ʃǝvalˈje
chiefest | =
competent | m ˈkɒmpǝˌtent
compris·e / ~ing ~d | kǝmˈprǝɪz·ɪn, -ɪŋ / -d
conjuration / ~s | ˌkɒndʒǝˈrɛ:sɪǝn / -z
consigned | ˈkɒnsǝɪnd
corruptly | kǝˈrɤptlǝɪ
cousin-german / ~s | ˌkɤzǝn-ˈdʒɐ:ɹmǝn, ˌkʊz- / -z
coy | kǝɪ
          d, abbr for penny / pence | ˈpenǝɪ / pens
damn / ~est / ~s / ~ed | = / -st / =
dam·sel / ~osel / ~osella | damˈzel / ˌdamǝˈzel / ˌdamǝˈzelǝ
- de, abbr d’ | dǝ, abbr d
derogate | m ˈderǝgǝt / m ˈderǝˌgɛ:t
dibble | =
disclose / ~s / ~d | dɪsˈklo:z / -ɪz / -d
discoverer / ~s | dɪsˈkɤvrǝɹz, -vǝr-
dog-days | ˈdɒg-ˌdɛ:z
dolphin-chamber | ˈdɒlfɪn-ˌtʃambǝɹ
dragonish | =
ducat / ~s | ˈdɤkǝt / -s
due | dju:
Eastcheap | ˈestʃi:p
elected | =
enginer | ˈendʒɪnǝɹ
entered | ˈentǝɹd
epicure / ~s | ˈepɪkju:ɹ / -z
erroneous | eˈro:nɪǝs
espial / ~s | m ɪˈspǝɪǝlz
expressing | ɪkˈspresɪn, -ɪŋ, ek-
fable / ~s | ˈfabǝl / -z
false / ~r | fɑls / ˈfɑlsǝɹ
fever / ~s | ˈfɛ:vǝɹ, ˈfevǝɹ / -z
fig’s-end | =
fist / ~ing | ˈfɪstɪn, -ɪŋ
fool | fʊl, =
forage | =
foregoer / ~s | ˌfɔ:ɹˈgo:ǝɹz
fore-spurrer | ˌfɔ:ɹ-ˈspɐ:ɹǝɹ
fretful | =
friendliness | ˈfrenlǝɪnǝs, -dl-
gentle / ~s | =
glory | ˈglɔ:rǝɪ
godfather / ~s | ˈgɒdfaðǝɹ / -z
gorge | gɔ:ɹdʒ
governor / ~s | m ˈgɤvǝɹˌnɔ:ɹ, ˈgɤvnǝɹ / -ǝɹˌnɔ:ɹz
Gratiano / ~’s | m ˌgratsɪˈɑ:no:, -ˈsjɑ:- / -z
green-eyed | ˈgri:n-ˌǝɪd
hard-handed | m ˌɑ:ɹd-ˈandɪd, ˌhɑ:-, -ˈha-
headpiece / ~s | ˈedpi:s, = / -ɪz
Herefordshire | m ˈɐ:ɹfǝɹdˌʃǝɪɹ, ˈhɐ:-
Hydra / ~’s | ˈǝɪdrǝ, ˈhǝɪ- / -z
ill-starred | ˈɪl-ˌstɑ:ɹd
immortalized | m ɪˈmɔ:ɹtǝˌlǝɪzd
imposition / ~s | m ˌɪmpǝˈzɪsɪǝn, -sɪˌɒn / -sɪǝnz
instruction / ~s | m ɪnˈstrɤksɪǝn, -sɪˌɒn / -z
jest / ~’s / ~s | =
knell | =, knel
la [music] | =
là | la
laver / lavée | laˈve
Leonato / ~’s | lɪǝˈnɑ:to: / -z
lifter | ˈlɪftǝɹ
light-winged | ˈlǝɪt-ˌwɪŋd
lukewarm | ˈlu:kwɑ:ɹm
lurking | ˈlɐ:ɹkɪn, -ɪŋ
made-up | ˈmɛ:d-ˌɤp
Maid Marian | ˌmɛ:d ˈmarɪǝn
malt | mɔ:t, mɔ:lt
many | ˈmanǝɪ
marquess | ˈmɑ:ɹkɪs, -kw-
marriage-vow / ~s | ˈmarɪdʒ-ˌvǝʊ, -ɪɑ:dʒ- / -z
martlet | ˈmɑ:ɹlǝt, -ɹtl-
massacre / ~s | ˈmasakǝɹ / -z
mean / ~s | =
meanwhile | ˈmi:nˌʍǝɪl
measure / ~s | ˈmezǝɹ / -z
message / ~s | =
mind / ~s / ~ing / ~ed | mǝɪnd / -z / ˈmǝɪndɪn, -ɪŋ / -ed
month / ~’s / ~s | mɤnθ / -s
mous·e / ~ing / ~ed | ˈmǝʊzɪn, -ɪŋ / mǝʊzd
moy / ~s [Pistol misunderstanding of moi, H5 4.4.13ff] | mǝɪ / -z
narrowly | m ˈnarǝˌlǝɪ, -ro:-
neighing | ˈnɛ:ɪn, -ɪŋ
new-appearing | ˈnju:-ǝˈpi:rɪn, -ɪŋ
new-devised | ˈnju:-dɪˌvǝɪzd
new-risen | ˈnju:-ˈrɪzǝn
- noster | ˈnɒstǝɹ
O / ~s | o: / o:z
obscurity | m ǝbˈskju:rɪˌtǝɪ
offer / ~est / ~s / ~ing / ~ed | ˈɒfǝɹ / -st, ˈɒfrǝst / -z / -ɪn, -ɪŋ, -fr- / ˈɒfǝɹd, Fluellen H5 4.7.3 ˈɒfǝɹt
oily | ˈǝɪlǝɪ
outwork | ˈǝʊtwɔ:ɹk
overpassed, abbr o’er | ˌo:ɹˈpast
pale-hearted | m ˌpɛ:l-ˈɑ:ɹtɪd, -ˈhɑ:-
paritor / ~s | ˈparɪtǝɹz
partaker / ~s | pɑ:ɹˈtɛ:kǝɹ / -z
peck / ~ed | =
permissiue | pǝɹˈmɪsɪv
plaster | ˈplastǝɹ
pleasance | ˈplezǝns, -esǝ-
poem | ˈpo:ɪm
pour | pu:ɹ
prince / ~’s / ~s / ~s’ | =
purpled | ˈpɐ:ɹpǝld
push / ~es / ~ed | =
questioning | ˈkwestɪǝnɪn, -ɪŋ
rat / ~s | =
ratifier / ~s | ˈratɪˌfǝɪɹz
record / ~s / ~ed | rɪˈkɔ:ɹd / -z / -ɪd
rein / ~ed | rɛ:n / -d
remit | =
replenished | m rɪˈplenɪʃt, -ˌʃɪd
rub / ~s / ~bing / ~bed | rɤb / -z / ˈrɤbɪn, -ɪŋ / rɤbd
scab / ~s | =
scurrility | skǝˈrɪlɪtǝɪ
securely | sɪˈkju:ɹlǝɪ
sedition | sɪˈdɪsɪǝn
self-assumption | ˈself-ǝˈsɤmpsɪǝn
shrill-shrieking | m ˌʃrɪl-ˈʃri:kɪn, -ɪŋ
sink | =
Sneak [name] / ~’s | =
sneak-cup | ˈsni:k-ˌkɤp
something | m ˈsɤmθɪŋ, sɤmˈθɪŋ
span-counter | ˈspan-ˌkǝʊntǝɹ
stage / ~s | stɛ:dʒ / ˈstɛ:dʒɪz
stalling | ˈstɑ:lɪn, -ɪŋ
steed / ~’s / ~s | =
style | stǝɪl
successful | =
sufferance / ~s | m ˈsɤfrǝns, -fǝr-, -fǝˌrans / -frǝnˌsɪz
sworn | swɔ:ɹn
table / ~d | ˈtɛ:bǝld
tale / ~s | tɛ:l / -z
text | =
thinking / ~s | ˈɵɪŋkɪn, -ɪŋ / -z
thunderstroke | ˈɵɤndǝɹˌstro:k
tickle-brain | ˈtɪkǝl-ˌbrɛ:n
tidings | ˈtǝɪdɪnz, -ɪŋz
tithe-pig / ~’s | ˈtǝɪð-ˌpɪgz
