Epidamium     ˌePIHˈDAWMIHǝM
great-uncle    ˌGreT-ˈɤNGKǝL
grisly     ˈGrIHZLǝIH
handwriting     ˈAWNDˌrǝIHTIHN
happy    ˈAWPǝIH
harbourage     ˈAA:RBǝˌrIHDZH
hardiness    ˈAA:RDIHˌNeS
haste     AWST
heartless     ˈAA:RTLǝS
heavier    ˈeVǝIHǝR
hominem    ˈHHɒM -IHNeM
honey-heavy     ˈɤNǝIH-ˌeVǝIH
horseback-breaker     ˈAO:RSBAWK-ˌBrEH::KǝR
housekeeper    ˈǝUHSˌKIY:PǝR
hungerly    ˈɤNGGǝRˌLǝIH
indent     =
ingot     =
innkeeper     ˈIHN-ˌKIY:PǝR
innocent    ˈIHNǝˌSeNT
kingdom     =
kneaded     =
knits    =S
landed     =
lapwing     =
lash     =
late-walking     ˈLEH::T-ˌWAO:KIHN
leaping     ˈLIY:PIHN
leapt     LIY:PT
lender    ˈLeNDǝR
lodge     =
louring    LǝUHRIHN
lying    ˈLǝIHIHN
man-child     ˈMAWN-ˌTSHǝIHLD
maps     = 
matters    ˈMAWTǝRZ
mazzard     ˈMAWZǝRD
memorable    ˈMeMǝrǝBǝL
mess     =
mis-shapen     MIHSˈSHEH::PǝN
mislike     MIHSˈLǝIHK
monstrous    ˈMɒNSTrǝ
most     MOW:ST
mounts    MǝUHNTS
notify     ˈNOW:TIHFǝIH
off-capped     = 
olive    ˈɒLIHV
outlook    ˈǝUHTˌLUHK
over-rested     ˌOW:RˈreSTIHD
overlooked    ˈOW:VǝRˈLUHKT
overpeer    ˈOW:VǝRˈPIY:R
parted     ˈPAA:RTIHD
pestering    ˈPeSTrIHN
pew-fellow     ˈPYUW:-ˌFeLǝ
pierces     ˈPEH::RS·IHZ 
pilled     = 
poverty    ˈPɒVǝRˌTǝIH
prince     =
prizes    PrǝIHZIHZ
proudlier    ˈPrǝUHDLǝIHǝR
questant     ˈKWeSTǝNT
ranking     ˈrAWNGKIHN
reasons    ˈrEH::ZǝNZ
recall    rIHˈKAA:L
reeking     ˈrIY:KIHN
repeats    rIHˈPIY:TS
reports    rIHˈPAO:RTS
resids    rIHˈSǝIHDZ
resolveth    rIHˈSɒLVǝTH
rhyming     ˈrǝIHMIHN
rowel     ˈrOW:ǝL
sapling     ˈSAWPLIHN
scatters    ˈSKAWTǝRZ
scores    SKAO:RZ
screened     = 
seam     =
semblable     SAÃˈBLAWBLǝ
sense     =
setter-up     ˈSeTǝR-ˈɤP
since     =
sinew     =
slaughter-house     ˈSLAO:TǝR-ˌǝUHS
sluttery     ˈSLɤTrǝIH
smooths     = 
sorcerers    ˈSAO:RSǝrǝRZ
stalk     STAO:K
steeples     = 
stings     = 
straight    EH::
straightway    ˈSTrEH::TWEH::
stream     =
strikest    ǝIHKST
syllables     = 
temple     =
tender-hearted     ˈTeNDǝR-ˌAA:RTIHD
tendering     ˈTeNDrIHN
thick     = 
thickens     = 
thrasonical     THrǝˈSɒNIHKAAL
thrice-nobler     ˌTHrǝIHS-ˈNOW:BLǝR
thrusting    THrɤSTIHN
topsie-turvy     ˈTɒPSǝIH-ˈTɐ:RVǝIH
trained    TrEH::ND
unaneled     ˌɤNǝˈNeLD
undeck     ɤNˈDeK
unfool     ɤNˈFUHL
unhappy     ɤNˈAWPǝIH
unshaked    ɤNˈSHEH::KT
unsured     ɤNˈSHUW:RD
vaulted     ˈVAO:TIHD
velvet     =
verb     Vɐ:RB
verify    ˈVerIHFǝIH
view     =
wait    WEH::T
watch    WAATSH
waving     ˈWEH::VIHN
wearily     ˈWIY:rIHLǝIH
well-labouring     ˈWeL-ˈLEH::BrIHN
whereupon     ˈʍEH::RǝˈPɒN
widest     ˈWǝIHDST
winnowed    ˈWIHNǝD
woebegone     ˈWOW:BIHˌGɒN
