play	character	numlines
Oth	Roderigo	9045
Oth	Sailor	267
Oth	SENATORS.0.1	2025
Oth	SENATORS.0.2	489
Oth	SENATORS	54
Per	Antiochus	5325
Per	Bawd	8841
Per	Bolt	6983
Per	Cerimon	7959
Per	CITIZENS.TARSUS	117
Per	Cleon	9157
Per	Daughter	146
Per	Diana	759
Per	Dionyza	7103
Per	FISHERMEN.1	3219
Per	FISHERMEN.2	2235
Per	FISHERMEN.3	1571
Per	GENTLEMEN.EPHESUS.1	1039
Per	GENTLEMEN.EPHESUS.2	971
Per	GENTLEMEN.MYTILENE.1	391
Per	GENTLEMEN.MYTILENE.2	310
Per	GENTLEMEN.TYRE.0.1	31
Per	Gower	21984
Per	Helicanus	9619
Per	KNIGHTS.0.1	508
Per	KNIGHTS.0.2	285
Per	KNIGHTS.0.3	283
Per	KNIGHTS	196
Per	Leonine	1518
Per	LORDS.MYTILENE.0.1	145
Per	LORDS.PENTAPOLIS.0.1	505
Per	LORDS.PENTAPOLIS.0.2	164
Per	LORDS.PENTAPOLIS.0.3	185
Per	LORDS.TARSUS.1	495
Per	LORDS.TYRE.0.1	1456
Per	LORDS.TYRE.0.2	777
Per	LORDS.TYRE.0.3	122
Per	LORDS.TYRE.Escanes	77
Per	LORDS.TYRE	26
Per	Lychorida	776
Per	Lysimachus	7639
Per	Marina	13359
Per	Marshal	54
Per	MESSENGERS.ANTIOCH.1	54
Per	Pander	2285
Per	Pericles	48318
Per	Philemon	41
Per	PIRATES.0.1	79
Per	PIRATES.0.2	36
Per	PIRATES.0.3	92
Per	SAILORS.1	729
Per	SAILORS.2	367
Per	SAILORS.MYTILENE.1	119
Per	SAILORS.TYRE.1	411
Per	SERVANTS.CERIMON.0.1	334
Per	Simonides	12336
Per	SUPPLIANTS.1	159
Per	Thaisa	5755
Per	Thaliard	2148
R2	AbbotOfWestminster	789
R2	Aumerle	7360
R2	Bagot	1869
R2	Berkeley	741
R2	BishopOfCarlisle	5625
R2	Bushy	3147
R2	DuchessOfGloucester	4980
R2	DuchessOfYork	7692
R2	Exton	1870
R2	Fitzwater	2170
R2	Gardener	4531
R2	Gaunt	16707
R2	Green	2797
R2	Groom	1019
R2	HenryIV	34583
R2	HERALDS.1	556
R2	HERALDS.2	599
R2	Hotspur	3842
R2	Jailer	417
R2	LADIES.0.1	300
R2	LordMarshal	2214
R2	LORDS.1	413
R2	Mowbray	11560
R2	Northumberland	12412
R2	Queen	9612
R2	RichardII	64857
R2	Ross	1935
R2	Salisbury	1729
R2	Scroop	3206
R2	SERVANTS.EXTON.0.1	75
R2	SERVANTS.GARDENER.1	796
R2	SERVANTS.YORK.1	416
R2	Surrey	798
R2	WelshCaptain	1352
R2	Willoughby	1114
R2	York	24587
R3	Archbishop	837
R3	ATTENDANTS.0.1	434
R3	ATTENDANTS.RICHMOND.0.1	162
R3	ATTENDANTS.RICHMOND	45
R3	BishopOfEly	531
R3	BISHOPS	14
R3	Blunt	729
R3	Brakenbury	2549
R3	Buckingham	32805
R3	Cardinal	827
R3	Catesby	4852
R3	CITIZENS.1	691
R3	CITIZENS.2	1121
R3	CITIZENS.3	2528
R3	CITIZENS	14
R3	Clarence	14461
R3	ClarencesBoy	1938
R3	ClarencesDaughter	614
R3	Dorset	1437
R3	DuchessOfYork	11793
R3	EdwardIV	5676
R3	EdwardV	4498
R3	GENTLEMEN.0.1	147
R3	Grey	1513
R3	Hastings	12281
R3	HenryVI	621
R3	HenryVII	12367
R3	Herbert	99
R3	Jailer	673
R3	LadyAnne	13300
R3	Lovell	269
R3	MayorOfLondon	1269
R3	MESSENGERS.1	386
R3	MESSENGERS.2	259
R3	MESSENGERS.3	570
R3	MESSENGERS.4	922
R3	MESSENGERS.X.1	692
R3	MESSENGERS.X.2	1244
R3	MESSENGERS.X.3	72
R3	MURDERERS.1	4676
R3	MURDERERS.2	4701
R3	Norfolk	767
R3	Oxford	178
R3	PrinceEdward	501
R3	Pursuivant	209
R3	QueenElizabeth	23257
R3	QueenMargaret	18852
R3	Ratcliffe	2411
R3	RichardIII	96022
R3	Rivers	4591
R3	Scrivener	1255
R3	Sheriff	100
R3	SirChristopher	630
R3	SirJohn	146
R3	Stanley	9292
R3	Surrey	96
R3	Tyrrel	2894
R3	Vaughan	457
R3	York	4153
Rom	Apothecary	580
Rom	Benvolio	12670
Rom	Capulet	22099
Rom	Chorus	2476
Rom	CITIZENS.0.1	444
Rom	CITIZENS	167
Rom	Cousin	184
Rom	FriarJohn	1115
Rom	FriarLawrence	29580
Rom	Juliet	44432
Rom	LadyCapulet	9431
Rom	LadyMontague	271
Rom	Mercutio	21567
Rom	Montague	3454
Rom	MUSICIANS.0.1	643
Rom	MUSICIANS.0.2	389
Rom	MUSICIANS.0.3	61
Rom	Nurse	21995
Rom	Paris	5799
Rom	Petruchio	30
Rom	PrinceEscalus	6257
Rom	Romeo	49638
Rom	SERVANTS.CAPULET.0.1	1235
Rom	SERVANTS.CAPULET.0.2	392
Rom	SERVANTS.CAPULET.0.3	214
Rom	SERVANTS.CAPULET.0	32
Rom	SERVANTS.CAPULET.Gregory	1416
Rom	SERVANTS.CAPULET.Peter	2477
Rom	SERVANTS.CAPULET.Sampson	2498
Rom	SERVANTS.CAPULET.X.1	1491
Rom	SERVANTS.CAPULET.X.2	412
Rom	SERVANTS.MONTAGUE.Abram	222
Rom	SERVANTS.MONTAGUE.Balthasar	2499
Rom	SERVANTS.PARIS.1	819
Rom	Tybalt	2842
Rom	WATCHMEN.0.1	1435
Rom	WATCHMEN.0.2	93
Rom	WATCHMEN.0.3	244
Shr	Baptista	13224
Shr	Bianca	5446
Shr	Biondello	8417
Shr	Curtis	1632
Shr	Gremio	13818
Shr	Grumio	14801
Shr	Haberdasher	93
Shr	Hortensio	16341
Shr	Hostess	248
Shr	HUNTSMEN.0.1	400
Shr	HUNTSMEN.0.2	296
Shr	HUNTSMEN.0.3	378
Shr	Katherine	18124
Shr	Lord	11871
Shr	Lucentio	13902
Shr	Merchant	3959
Shr	Messenger	735
Shr	Page	1369
Shr	Petruchio	47380
Shr	PLAYERS.0.1	293
Shr	PLAYERS.0.2	135
Shr	PLAYERS	44
Shr	SERVANTS.BAPTISTA.1	271
Shr	SERVANTS.LORD.0.1	1446
Shr	SERVANTS.LORD.0.2	1034
Shr	SERVANTS.LORD.0.3	1027
Shr	SERVANTS.LORD	14
Shr	SERVANTS.PETRUCHIO.0.4	6
Shr	SERVANTS.PETRUCHIO.Joseph	59
Shr	SERVANTS.PETRUCHIO.Nathaniel	265
Shr	SERVANTS.PETRUCHIO.Nicholas	63
Shr	SERVANTS.PETRUCHIO.Peter	127
Shr	SERVANTS.PETRUCHIO.Phillip	66
Shr	Sly	5141
Shr	Tailor	1153
Shr	Tranio	23827
Shr	Vincentio	3577
Shr	Widow	794
TGV	Antonio	2868
TGV	Duke	16727
TGV	Eglamour	2038
TGV	Host	1629
TGV	Julia	25387
TGV	Lance	18969
TGV	Lucetta	5795
TGV	OUTLAWS.1	1698
TGV	OUTLAWS.2	1164
TGV	OUTLAWS.3	2181
TGV	Pantino	3422
TGV	Proteus	36052
TGV	SERVANTS.1	102
TGV	Speed	15373
TGV	Sylvia	12208
TGV	Thurio	3864
TGV	Valentine	30353
Tim	Alcibiades	12807
Tim	Apemantus	17649
Tim	ATTENDANTS.TIMON.0.1	61
Tim	BANDITS.1	1177
Tim	BANDITS.2	542
Tim	BANDITS.3	645
Tim	Cupid	517
Tim	Flavius	16199
Tim	Fool	1997
Tim	FRIENDS.0.1	1779
Tim	FRIENDS.0.2	1761
Tim	FRIENDS.0.3	538
Tim	FRIENDS.0.4	189
Tim	FRIENDS.0	65
Tim	FRIENDS.Lucius	3793
Tim	FRIENDS.Lucullus	2877
Tim	FRIENDS.Sempronius	2152
Tim	FRIENDS.Ventidius	726
Tim	Jeweler	780
Tim	LADIES.0.1	147
Tim	LADIES	58
Tim	LORDS.0.1	1335
Tim	LORDS.0.2	1253
Tim	LORDS.0.3	239
Tim	LORDS	42
Tim	Merchant	626
Tim	MESSENGERS.X.1	528
Tim	MESSENGERS.X.2	112
Tim	MESSENGERS.X.3	836
Tim	OldMan	2283
Tim	Painter	5323
Tim	Phrynia	358
Tim	Poet	8496
Tim	SENATORS.0.1	2508
Tim	SENATORS.0.2	836
Tim	SENATORS.0.3	10
Tim	SENATORS.1	4227
Tim	SENATORS.2	3792
Tim	SENATORS.3	202
Tim	SENATORS.4	106
Tim	SENATORS.X	2922
Tim	SERVANTS.Caphis	1535
Tim	SERVANTS.Hortensius	748
Tim	SERVANTS.ISIDORE.1	684
Tim	SERVANTS.LUCIUS.1	2043
Tim	SERVANTS.LUCULLUS.1	218
Tim	SERVANTS.Page	377
Tim	SERVANTS.Philotus	334
Tim	SERVANTS.TIMON.0.1	460
Tim	SERVANTS.TIMON.0.2	652
Tim	SERVANTS.TIMON.0.3	511
Tim	SERVANTS.TIMON.1	172
Tim	SERVANTS.TIMON.2	247
Tim	SERVANTS.TIMON.3	292
Tim	SERVANTS.TIMON.Flaminius	2392
Tim	SERVANTS.TIMON.Lucilius	359
Tim	SERVANTS.TIMON.Servilius	1439
Tim	SERVANTS.TIMON.X.1	356
Tim	SERVANTS.TIMON.X.2	1679
Tim	SERVANTS.Titus	888
Tim	SERVANTS.VARRO.1	1291
Tim	SERVANTS.VARRO.2	443
Tim	SOLDIERS.1	1351
Tim	STRANGERS.1	2566
Tim	STRANGERS.2	517
Tim	STRANGERS.3	53
Tim	Timandra	482
Tim	Timon	67600
Tit	Aaron	29782
Tit	Aemilius	1437
Tit	ATTENDANTS	167
Tit	Bassianus	5099
Tit	Captain	477
Tit	Chiron	4203
Tit	CountryFellow	1672
Tit	Demetrius	7486
Tit	GOTHS.0.1	803
Tit	GOTHS.0.2	1814
Tit	GOTHS.0	401
Tit	GOTHS	81
Tit	Lavinia	4935
Tit	Lucius	15288
Tit	Marcus	26840
Tit	Martius	2849
Tit	Messenger	619
Tit	Mutius	282
Tit	Nurse	1500
Tit	Publius	1232
Tit	Quintus	2296
Tit	Saturninus	17160
Tit	Tamora	21219
Tit	Titus	60432
Tit	TRIBUNES.0.1	607
Tit	TRIBUNES	372
Tit	YoungLucius	3460
Tmp	Adrian	819
Tmp	Alonso	7905
Tmp	Antonio	10503
Tmp	Ariel	13572
Tmp	Boatswain	3507
Tmp	Caliban	13665
Tmp	Ferdinand	10750
Tmp	Francisco	868
Tmp	Gonzalo	12771
Tmp	Miranda	10419
Tmp	Prospero	51052
Tmp	SAILORS	84
Tmp	Sebastian	7401
Tmp	Shipmaster	156
Tmp	SPIRITS.Ceres	1714
Tmp	SPIRITS.Iris	3141
Tmp	SPIRITS.Juno	477
Tmp	Stephano	12803
Tmp	Trinculo	8200
TN	AndrewAguecheek	11595
TN	Antonio	8762
TN	ATTENDANTS.OLIVIA.1	228
TN	ATTENDANTS.ORSINO.Curio	421
TN	ATTENDANTS.ORSINO.Valentine	1119
TN	Captain	2581
TN	Fabian	9279
TN	Feste	24888
TN	Malvolio	23516
TN	Maria	12810
TN	OFFICERS.1	1038
TN	OFFICERS.2	200
TN	Olivia	24220
TN	Orsino	17128
TN	Priest	687
TN	Sebastian	10786
TN	TobyBelch	27589
TN	Viola	27120
TNK	Arcite	38651
TNK	ATTENDANTS.1	192
TNK	Boy	1244
TNK	Brother	593
TNK	COUNTRYMEN.0.1	1066
TNK	COUNTRYMEN.0.2	2347
TNK	COUNTRYMEN.0.3	1639
TNK	COUNTRYMEN.0.4	1023
TNK	COUNTRYMEN.0.5	18
TNK	COUNTRYWOMEN.0.1	40
TNK	Daughter	27096
TNK	Doctor	7044
TNK	Emilia	28746
TNK	Epilogue	1651
TNK	FRIENDS.1	1532
TNK	FRIENDS.2	1558
TNK	Herald	680
TNK	Hippolyta	7386
TNK	Jailer	7677
TNK	KNIGHTS.PALAMON.0.1	487
TNK	KNIGHTS.PALAMON.0.2	290
TNK	KNIGHTS.PALAMON.0.3	127
TNK	KNIGHTS.PALAMON	43
TNK	MESSENGERS.X.1	3559
TNK	MESSENGERS.X.2	201
TNK	MESSENGERS.X.3	71
TNK	OTHERS	134
TNK	Palamon	44353
TNK	Pirithous	9346
TNK	Prologue	2905
TNK	QUEENS.1	5462
TNK	QUEENS.2	3626
TNK	QUEENS.3	3496
TNK	Schoolmaster	7743
TNK	Servant	692
TNK	Taborer	66
TNK	Theseus	25092
TNK	Valerius	868
TNK	Woman	741
TNK	Wooer	7842
Tro	Achilles	14004
Tro	Aeneas	11588
Tro	Agamemnon	15378
Tro	Ajax	5216
Tro	Alexander	2919
Tro	Andromache	1338
Tro	Antenor	54
Tro	ATTENDANTS.GREEK	29
Tro	Bastard	160
Tro	Boy	163
Tro	Calchas	2565
Tro	Cassandra	2867
Tro	Cressida	21778
Tro	Deiphobus	165
Tro	Diomedes	7354
Tro	Hector	16369
Tro	Helen	1834
Tro	Helenus	409
Tro	Menelaus	890
Tro	MYRMIDONS.0.1	101
Tro	Nestor	12581
Tro	Pandarus	31282
Tro	Paris	7759
Tro	Patroclus	4325
Tro	Priam	1580
Tro	Prologue	2355
Tro	SERVANTS.DIOMEDES.1	34
Tro	SERVANTS.PARIS.1	1296
Tro	SERVANTS.TROILUS.1	94
Tro	SOLDIERS.TROJAN	54
Tro	SOLDIERS	91
Tro	Thersites	23498
Tro	Troilus	41832
Tro	Ulysses	39743
Wiv	AnnePage	1952
Wiv	Bardolph	1827
Wiv	BOYS	687
Wiv	DoctorCaius	7170
Wiv	Falstaff	38110
Wiv	Fenton	8191
Wiv	Host	8806
Wiv	HughEvans	18986
Wiv	John	112
Wiv	MasterFord	26957
Wiv	MasterPage	11699
Wiv	MistressFord	13659
Wiv	MistressPage	26808
Wiv	MistressQuickly	23113
Wiv	Nym	2438
Wiv	Pistol	4820
Wiv	Robert	164
Wiv	Robin	1175
Wiv	Rugby	541
Wiv	Shallow	9659
Wiv	Simple	3409
Wiv	Slender	11891
Wiv	WilliamPage	250
WT	Antigonus	8375
WT	Archidamus	1956
WT	ATTENDANTS.0.1	2770
WT	ATTENDANTS.1	2491
WT	ATTENDANTS.2	1394
WT	ATTENDANTS.3	6617
WT	ATTENDANTS	199
WT	ATTENDANTS.X	1871
WT	Autolycus	25032
WT	Camillo	23053
WT	Chorus	2761
WT	Cleomenes	1510
WT	Dion	2051
WT	Dorcas	678
WT	Florizell	15214
WT	Hermione	16591
WT	Jailer	822
WT	LADIES.0.1	518
WT	LADIES.0.2	224
WT	LADIES.Emilia	1637
WT	Leontes	51427
WT	Mamillius	1393
WT	Mopsa	1396
WT	OFFICERS.0.1	2174
WT	Paulina	25288
WT	Perdita	9503
WT	Polixenes	21531
WT	Sailor	828
WT	SERVANTS.0	151
WT	SERVANTS.SHEPHERD.1	3186
WT	SERVANTS.X.1	492
WT	SERVANTS.X.2	324
WT	SERVANTS.X.3	1194
WT	Shepherd	10596
WT	ShepherdsSon	16168
