filename,bilabilal,linguaalveolar,linguadental,labiodental,linguavelar,glottal,linguapalatal
H8_Lovell,13.86,49.34,6.99,6.1,8.87,3.11,11.76
H8_Crier,8.48,38.99,8.48,5.09,30.51,1.7,6.78
TN_Sebastian,17.24,49.44,7.11,6.79,5.01,2.59,11.85
WT_Shepherd,17.66,49.37,6.46,5.08,7.29,4.58,9.6
TNK_Prologue,16.26,54.5,5.36,6.31,4.21,3.64,9.76
Cym_Cloten,15.71,49.94,6.97,6.83,6.23,3.94,10.41
Ham_Guildenstern,19.63,47.73,4.56,7.54,4.71,2.67,13.19
Tro_Menelaus,17.95,39.11,5.13,7.7,9.62,4.49,16.03
H5_Alice,22.06,64.22,0.0,4.42,3.93,0.5,4.91
AWW_Lafew,14.76,49.28,7.2,6.88,6.75,4.31,10.86
Tim_SERVANTS.Page,13.34,60.0,11.67,1.67,6.67,1.67,5.0
H5_Cambridge,14.22,54.98,3.8,7.11,5.69,1.43,12.8
3H6_Rivers,24.14,44.83,6.04,5.18,7.76,0.87,11.21
Tim_LORDS.0.3,26.32,42.11,2.64,7.9,2.64,2.64,15.79
Wiv_Host,17.15,47.84,6.84,4.74,7.82,5.85,9.79
Lr_SOLDIERS.CAPTAINS.2,25.0,62.5,0.0,0.0,0.0,0.0,12.5
H5_Rambures,12.86,49.29,7.15,4.29,6.43,5.0,15.0
JC_Caesar,15.6,52.51,6.73,5.63,5.44,3.58,10.54
Ant_MESSENGERS.X.4,33.34,33.34,16.67,0.0,16.67,0.0,0.0
Mac_Ross,15.85,51.45,6.92,5.94,6.65,3.27,9.97
TN_OFFICERS.1,13.49,48.88,8.99,5.62,5.62,6.18,11.24
MND_FAIRIES.TITANIA.Cobweb,31.25,31.25,0.0,0.0,12.5,6.25,18.75
Err_Pinch,14.7,54.03,6.64,5.22,4.74,4.27,10.43
MV_Shylock,16.22,49.99,6.48,6.37,6.35,3.66,10.98
AWW_LORDS.COURT.3,5.27,52.64,5.27,10.53,10.53,5.27,10.53
MM_Pompey,15.75,47.63,5.28,7.1,6.62,4.07,13.59
AYL_SERVANTS.1,16.71,47.31,6.95,4.89,10.8,4.12,9.26
Ham_Gertrude,15.84,50.3,6.7,5.1,7.2,4.7,10.19
2H4_Archbishop,14.66,50.93,6.12,6.34,7.02,3.56,11.42
R2_Northumberland,15.7,48.9,6.52,5.72,6.83,4.53,11.84
Ham_PLAYERS.0.1,21.74,30.44,8.7,8.7,0.0,8.7,21.74
2H6_Salisbury,15.45,48.58,6.71,7.25,7.39,3.53,11.12
1H6_JAILERS.0.1,20.97,51.62,3.23,3.23,6.46,3.23,11.3
Mac_ATTENDANTS,10.26,56.42,5.13,2.57,15.39,2.57,7.7
Ant_Enobarbus,15.39,50.2,6.56,6.73,6.45,4.09,10.61
Per_Bolt,18.4,45.38,5.86,6.28,7.18,4.71,12.22
LLL_King,16.0,49.6,6.94,6.52,5.35,3.17,12.46
Tim_LADIES.0.1,14.82,48.15,7.41,7.41,11.12,0.0,11.12
H8_Chancellor,15.78,49.52,5.34,6.32,5.59,1.95,15.54
AYL_DukeFrederick,15.15,51.28,8.91,5.43,5.53,3.89,9.83
Ant_Mardian,15.6,56.4,6.0,4.4,5.6,2.8,9.2
Wiv_HughEvans,15.05,52.34,4.43,6.16,5.68,3.65,12.72
H8_Chamberlain,14.58,48.13,6.22,6.83,7.71,4.04,12.53
Shr_SERVANTS.PETRUCHIO.Phillip,0.0,30.0,0.0,0.0,0.0,40.0,30.0
3H6_SOLDIERS.MONTGOMERY,9.1,36.37,18.19,18.19,9.1,0.0,9.1
MND_Starveling,17.94,49.66,11.73,5.52,4.83,4.14,6.21
MM_Abhorson,14.58,42.92,6.08,7.7,10.13,3.65,14.98
Mac_Gentlewoman,13.71,51.61,4.09,6.13,6.71,7.88,9.92
Jn_Blanche,18.1,48.25,10.22,5.7,5.2,3.36,9.22
2H6_Horner,16.46,49.06,5.7,7.92,7.92,4.12,8.87
MND_Hippolyta,14.05,53.1,7.24,6.2,7.03,3.31,9.1
Err_AntipholusOfSyracuse,15.91,51.36,7.25,6.11,5.69,2.71,11.0
Ant_GUARDS.0.2,9.1,59.1,4.55,9.1,0.0,9.1,9.1
Tro_Deiphobus,6.9,58.63,6.9,3.45,10.35,3.45,10.35
H5_Chorus,13.97,49.53,7.48,6.65,7.93,3.66,10.81
R2_Aumerle,17.08,49.32,6.36,6.05,5.75,3.53,11.95
TGV_Lucetta,17.15,49.76,5.59,5.69,7.28,2.8,11.77
Ant_ATTENDANTS.ANTONY,20.0,60.0,0.0,20.0,0.0,0.0,0.0
Per_LORDS.MYTILENE.0.1,33.34,50.0,0.0,8.34,0.0,8.34,0.0
LLL_Maria,16.51,51.24,6.84,5.7,5.13,3.42,11.2
Tim_Poet,13.68,52.91,5.36,8.39,5.75,4.91,9.04
H8_Page,0.0,42.86,14.29,0.0,14.29,14.29,14.29
Rom_SERVANTS.MONTAGUE.Balthasar,15.65,56.47,5.67,5.22,3.41,4.54,9.08
Ant_Boy,17.81,38.36,10.96,4.11,16.44,1.37,10.96
Per_PIRATES.0.3,16.67,55.56,0.0,5.56,5.56,11.12,5.56
TNK_MESSENGERS.X.1,14.87,52.17,4.03,5.58,6.66,6.97,9.76
R3_CITIZENS.2,13.64,51.02,5.06,8.59,4.55,5.06,12.13
1H6_SERVANTS.GLOUCESTER.0.1,14.64,51.22,7.32,3.66,9.76,0.0,13.42
R3_Tyrrel,16.48,50.2,9.2,5.56,4.99,2.3,11.31
2H6_MESSENGERS.1,11.4,55.45,4.67,5.7,7.26,4.67,10.89
2H6_Thump,18.85,43.77,6.67,6.96,8.41,4.35,11.02
Cor_CONSPIRATORS,10.53,42.11,0.0,5.27,26.32,10.53,5.27
Per_SAILORS.TYRE.1,13.89,44.45,2.78,6.95,6.95,6.95,18.06
Mac_SERVANTS.X.2,20.0,40.0,20.0,0.0,6.67,0.0,13.34
Per_SERVANTS.CERIMON.0.1,9.62,59.62,5.77,7.7,1.93,1.93,13.47
Mac_MURDERERS.1,15.68,57.5,7.32,3.14,4.19,3.49,8.72
Cym_SOLDIERS.BRITON.0.2,14.78,38.64,6.82,9.1,9.1,10.23,11.37
Lr_Kent,14.38,50.43,6.18,6.3,7.31,3.38,12.05
Cym_Queen,14.69,49.58,6.56,6.34,7.86,3.84,11.16
Shr_SERVANTS.PETRUCHIO.Joseph,10.0,30.0,0.0,0.0,0.0,30.0,30.0
Ant_MESSENGERS.X.5,8.34,66.67,8.34,8.34,8.34,0.0,0.0
Oth_Iago,15.37,50.37,5.86,6.51,6.39,4.31,11.23
Tim_FRIENDS.Sempronius,14.66,51.16,5.66,7.2,4.38,6.95,10.03
Cor_SOLDIERS.ROMAN,17.65,70.59,0.0,0.0,0.0,5.89,5.89
H8_Sands,17.28,47.51,4.99,7.15,8.14,3.33,11.63
1H4_Bardolph,16.9,53.36,5.1,5.64,4.56,1.08,13.41
H8_SERVANTS.PORTER.1,18.63,50.84,5.71,5.21,5.88,4.03,9.74
2H4_Poins,15.6,50.4,6.56,5.54,7.58,3.96,10.4
Tit_YoungLucius,20.78,44.9,5.7,8.05,5.87,2.69,12.07
AYL_Hymen,12.16,46.53,7.99,5.21,6.25,7.64,14.24
AWW_LORDS.DUMAINE.1,15.92,48.78,5.48,7.04,7.04,5.62,10.16
MND_FAIRIES.TITANIA,22.65,54.72,3.78,3.78,5.67,1.89,7.55
Ado_Antonio,20.0,60.0,0.0,4.0,4.0,4.0,8.0
Wiv_MasterFord,17.39,49.26,5.63,6.73,6.04,4.26,10.73
Ant_SOLDIERS.ANTONY,3.45,62.07,3.45,0.0,6.9,10.35,13.8
Oth_Desdemona,17.17,49.22,5.11,6.96,5.65,4.68,11.25
Err_OFFICERS.X,16.99,47.8,4.41,3.78,6.29,9.44,11.33
Lr_Burgundy,13.05,51.45,5.08,5.08,6.53,4.35,14.5
Mac_MURDERERS.3,15.86,48.79,6.1,2.44,7.32,8.54,10.98
R3_MURDERERS.2,16.99,51.68,5.63,6.23,6.58,4.43,8.5
Tim_Phrynia,20.59,44.12,8.83,5.89,10.3,1.48,8.83
R3_Dorset,15.77,49.62,5.77,6.16,7.31,3.47,11.93
1H4_Gadshill,14.5,47.45,8.57,5.61,10.38,3.46,10.05
1H6_Somerset,15.16,51.09,6.01,5.62,6.4,3.06,12.7
JC_Brutus,15.75,50.82,6.47,6.36,6.17,3.57,10.9
MM_Claudio,16.44,51.92,6.87,6.6,5.93,3.1,9.16
Ado_WATCHMEN.Seacoal,14.84,54.55,6.7,5.75,4.79,6.23,7.18
3H6_LadyBona,16.44,43.16,5.48,3.43,8.22,6.17,17.13
2H6_EdwardIV,23.08,46.16,7.7,23.08,0.0,0.0,0.0
Ham_PLAYERS.Prologue,13.16,39.48,0.0,5.27,10.53,5.27,26.32
H8_Suffolk,15.18,47.83,5.67,5.91,8.78,5.09,11.57
Ham_Barnardo,14.97,47.62,7.03,4.99,10.89,4.09,10.44
MV_OldGobbo,17.97,48.51,5.39,4.6,4.8,5.0,13.78
Per_Marina,19.4,48.45,6.33,5.94,6.5,3.04,10.39
Wiv_DoctorCaius,16.97,45.04,1.7,5.77,11.12,5.09,14.34
3H6_Huntsman,19.36,45.17,12.91,3.23,6.46,3.23,9.68
TNK_KNIGHTS.PALAMON.0.3,18.19,45.46,0.0,9.1,13.64,9.1,4.55
Wiv_Slender,16.96,48.75,5.06,5.4,8.25,4.5,11.1
Tro_Aeneas,14.08,48.25,6.49,5.87,7.6,5.39,12.35
Oth_MESSENGERS.X.1,14.29,42.86,9.29,7.15,6.43,2.15,17.86
Cor_TRIBUNES.Brutus,17.18,48.83,6.09,5.08,6.61,5.73,10.51
Rom_WATCHMEN.0.3,20.0,42.23,8.89,6.67,6.67,6.67,8.89
AYL_OliverMartext,14.76,45.91,6.56,11.48,6.56,1.64,13.12
2H6_PETITIONERS,25.0,50.0,0.0,0.0,25.0,0.0,0.0
AYL_SecondBrother,15.62,47.59,8.18,5.58,7.07,5.58,10.41
Rom_Benvolio,16.88,49.37,7.06,5.07,6.66,4.24,10.76
Cym_JAILERS.1,16.6,46.75,6.23,6.23,7.34,2.91,13.97
MV_ATTENDANTS.PORTIA.Balthazar,23.53,47.06,5.89,5.89,11.77,0.0,5.89
Tim_ATTENDANTS.TIMON.0.1,9.1,54.55,0.0,0.0,0.0,9.1,27.28
R3_Ratcliffe,17.52,49.08,6.23,5.3,5.77,3.0,13.14
Ham_Hamlet,15.9,49.83,6.82,6.51,7.13,3.4,10.44
JC_SOLDIERS.BRUTUS.Lucilius,14.37,50.27,6.92,6.12,6.12,3.46,12.77
Cor_Coriolanus,16.64,48.96,7.46,6.34,5.91,3.22,11.51
Wiv_Nym,16.31,44.53,8.03,6.33,5.11,6.33,13.39
R2_LORDS.1,13.44,52.24,13.44,5.98,4.48,0.0,10.45
Tim_BANDITS.1,15.03,55.4,7.05,7.99,3.29,3.76,7.52
Cor_SOLDIERS.VOLSCIAN.Lieutenant,12.32,45.66,6.53,4.35,7.25,5.8,18.12
Mac_SOLDIERS.Captain,16.39,49.17,5.78,6.15,8.76,3.36,10.43
Tim_FRIENDS.0.4,10.82,62.17,0.0,5.41,10.82,8.11,2.71
LLL_Boy,15.58,48.81,7.17,6.29,6.18,3.17,12.83
R3_Cardinal,18.92,40.55,3.38,8.79,10.14,4.73,13.52
JC_Poet,17.35,51.03,6.13,5.11,3.07,1.03,16.33
TGV_Duke,14.64,49.63,7.27,7.75,6.59,3.89,10.27
AWW_ATTENDANTS.KING.0.1,16.93,52.31,1.54,4.62,6.16,1.54,16.93
2H6_YoungClifford,13.17,53.3,7.36,8.58,3.83,2.91,10.88
Tmp_Boatswain,15.67,47.67,5.5,6.67,8.17,4.0,12.34
R3_DuchessOfYork,16.31,50.24,8.42,5.22,6.55,3.59,9.71
3H6_Clifford,13.24,48.96,9.48,6.93,6.18,4.42,10.83
Rom_SERVANTS.CAPULET.X.1,15.06,47.88,7.34,3.87,6.18,5.41,14.29
2H6_George,11.43,42.86,4.29,14.29,22.86,1.43,2.86
MND_Theseus,15.28,49.73,7.03,6.74,6.97,2.89,11.4
Tim_SERVANTS.TIMON.0.2,18.11,45.69,4.32,9.49,8.63,5.18,8.63
Ant_CAPTAINS.0.1,14.9,51.07,6.39,2.13,12.77,0.0,12.77
3H6_MESSENGERS.X.2,12.36,50.58,7.76,6.61,8.63,4.6,9.49
Ham_AMBASSADORS,9.64,51.81,6.03,7.23,9.64,4.82,10.85
H8_GENTLEMEN.3,17.88,47.72,7.16,6.05,7.9,2.96,10.36
Tro_Patroclus,15.65,50.0,6.67,4.24,7.31,3.08,13.08
MV_Gratiano,15.11,49.49,7.45,6.68,6.84,3.48,10.98
Tro_SOLDIERS,0.0,68.75,0.0,0.0,25.0,6.25,0.0
Tro_Achilles,16.26,50.55,6.85,5.67,7.26,3.92,9.54
H8_SECRETARIES.0.1,13.34,40.0,0.0,0.0,6.67,6.67,33.34
AWW_Duke,16.1,47.13,7.28,7.67,3.84,3.45,14.56
2H4_Northumberland,14.46,51.64,7.42,6.68,6.74,3.4,9.7
Per_SUPPLIANTS.1,11.54,65.39,3.85,3.85,0.0,3.85,11.54
LLL_Berowne,15.27,51.04,6.53,6.96,6.59,3.02,10.63
Tmp_Stephano,16.57,48.04,7.17,6.21,7.62,4.16,10.27
2H6_NEIGHBORS.1,11.43,42.86,0.0,8.58,11.43,5.72,20.0
Cor_CITIZENS.ROMAN.8,16.99,62.27,3.78,1.89,9.44,0.0,5.67
MV_Bassanio,16.15,49.47,6.88,7.48,5.99,2.78,11.3
Oth_Duke,14.97,50.47,6.71,6.61,5.68,2.69,12.9
3H6_MESSENGERS.Post,15.63,47.71,5.42,5.21,5.84,5.0,15.21
Ant_Lepidus,17.44,52.81,4.27,5.25,5.0,2.57,12.69
Ant_Octavia,19.28,48.4,4.72,4.29,6.0,2.79,14.57
TN_Maria,15.91,47.49,5.72,6.22,7.87,5.54,11.29
Cor_SENATORS.ROMAN,28.21,53.85,0.0,0.0,7.7,5.13,5.13
AYL_Dennis,10.72,46.43,3.58,0.0,7.15,7.15,25.0
Oth_OFFICERS,10.82,56.76,5.41,5.41,5.41,0.0,16.22
Shr_SERVANTS.PETRUCHIO.Peter,5.27,31.58,0.0,0.0,5.27,36.85,21.06
H8_Usher,30.0,30.0,0.0,0.0,20.0,0.0,20.0
Mac_Duncan,15.92,51.64,6.43,5.91,5.59,5.8,8.75
Oth_Clown,14.61,51.99,5.7,4.21,4.96,4.46,14.11
Per_LORDS.TARSUS.1,17.98,44.95,6.75,8.99,7.87,1.13,12.36
Cor_SENATORS.VOLSCIAN,8.34,50.0,8.34,8.34,8.34,0.0,16.67
Shr_HUNTSMEN.0.3,18.04,49.19,4.92,1.64,8.2,6.56,11.48
Tim_STRANGERS.1,16.96,51.29,3.44,6.66,4.3,6.87,10.52
Wiv_WilliamPage,13.64,50.0,4.55,6.82,11.37,4.55,9.1
1H6_SOLDIERS.ENGLISH.Captain,11.63,62.8,4.66,9.31,2.33,2.33,6.98
Tim_SENATORS.0.1,11.56,54.0,3.78,7.12,8.0,4.0,11.56
Wiv_John,11.12,50.0,5.56,16.67,5.56,5.56,5.56
JC_Messenger,17.65,54.91,5.89,1.97,7.85,1.97,9.81
Oth_Montano,14.38,55.3,6.54,6.15,4.97,3.8,8.89
Per_SAILORS.2,16.13,50.0,8.07,4.84,6.46,3.23,11.3
2H6_MESSENGERS.X.2,14.07,57.82,7.82,4.69,1.57,3.13,10.94
Rom_Romeo,15.46,51.37,7.8,6.76,5.98,3.34,9.33
2H4_Travers,17.02,50.63,5.4,3.32,8.3,7.47,7.89
JC_SOLDIERS.BRUTUS.0.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1H6_SERVANTS.2,20.0,80.0,0.0,0.0,0.0,0.0,0.0
2H4_GROOMS.1,19.45,33.34,5.56,2.78,11.12,0.0,27.78
H5_Gloucester,25.0,43.19,9.1,0.0,6.82,6.82,9.1
Tmp_SPIRITS.Ceres,15.39,49.68,7.06,6.09,7.7,4.49,9.62
AYL_DukeSenior,14.69,51.7,6.83,6.95,6.03,3.32,10.52
2H4_Bedford,15.63,47.67,6.59,6.09,7.08,4.06,12.92
Lr_Herald,17.47,51.59,6.35,5.56,4.77,3.18,11.12
2H4_DRAWERS.Will,18.34,58.34,5.0,5.0,1.67,3.34,8.34
2H6_HERALDS.X.1,13.96,53.49,6.98,4.66,4.66,4.66,11.63
AYL_LORDS.SENIOR.0.2,16.32,43.98,8.52,3.55,9.22,9.93,8.52
Wiv_MistressFord,18.19,48.31,6.21,4.88,6.47,5.7,10.27
Cor_SOLDIERS.ROMAN.Lieutenant,0.0,42.86,0.0,14.29,14.29,0.0,28.58
R2_LordMarshal,10.54,54.42,7.6,6.13,7.36,3.93,10.05
Tim_STRANGERS.3,0.0,70.0,0.0,0.0,10.0,0.0,20.0
Tim_SERVANTS.TIMON.Servilius,15.9,53.88,2.33,6.21,4.66,6.21,10.86
R3_SirChristopher,22.23,53.0,5.99,4.28,5.13,0.86,8.55
3H6_KingLewis,16.78,48.53,7.06,6.11,7.82,1.82,11.92
Mac_Doctor2,15.96,49.06,4.64,5.49,6.52,4.81,13.56
Oth_Gratiano,16.5,50.85,6.07,6.07,4.38,5.73,10.44
1H4_LadyPercy,13.76,52.49,7.78,6.76,5.23,3.44,10.58
Tit_Bassianus,14.54,51.84,5.89,6.78,5.0,3.78,12.21
2H6_CITIZENS.LONDON.0.1,12.99,44.16,12.99,9.1,5.2,1.3,14.29
TNK_Brother,18.45,43.69,7.77,4.86,6.8,2.92,15.54
Rom_SERVANTS.CAPULET.Sampson,22.17,44.59,8.38,7.64,5.92,1.48,9.86
Per_LORDS.TYRE.Escanes,6.25,56.25,0.0,12.5,0.0,0.0,25.0
R2_WelshCaptain,12.3,52.87,7.79,6.97,6.97,1.64,11.48
Rom_WATCHMEN.0.1,13.8,55.56,8.05,3.84,4.99,3.45,10.35
Tim_Cupid,13.83,56.39,11.71,6.39,3.2,2.13,6.39
Tim_Merchant,19.1,50.91,5.46,3.64,9.1,3.64,8.19
R2_BishopOfCarlisle,12.2,52.73,5.45,6.48,8.45,2.82,11.92
2H4_Gloucester,16.25,48.75,6.25,5.0,5.84,4.59,13.34
Jn_Pembroke,13.98,51.43,8.21,6.34,5.77,4.23,10.08
Tro_Cressida,16.09,48.45,5.6,6.98,8.25,3.74,10.92
JC_Pindarus,14.22,48.04,4.91,10.3,2.95,5.4,14.22
JC_PLEBEIANS,19.34,55.25,3.87,4.42,3.32,4.98,8.84
WT_Dorcas,21.24,38.06,12.39,2.66,7.97,4.43,13.28
1H4_Worcester,14.08,52.71,5.21,6.75,6.75,3.22,11.32
R3_Grey,15.17,45.49,5.06,4.34,13.36,4.7,11.92
Ant_Octavius,15.48,50.7,5.89,6.37,6.57,3.75,11.27
Cor_MESSENGERS.X.2,14.29,46.43,10.72,10.72,3.58,7.15,7.15
Cor_CITIZENS.ROMAN.0.2,16.28,48.94,6.42,4.04,7.72,4.64,12.0
Cym_ATTENDANTS.0.2,16.91,49.76,4.84,4.84,4.84,2.9,15.95
JC_SOLDIERS.BRUTUS.Strato,15.39,40.39,4.81,11.54,6.74,6.74,14.43
Cor_CITIZENS.ROMAN.3,18.44,48.16,5.42,6.23,6.8,4.84,10.14
TNK_Woman,25.0,48.44,3.13,4.69,7.04,2.35,9.38
Mac_OldMan,12.59,55.63,8.61,7.95,6.63,2.65,5.97
MV_Morocco,13.85,50.2,7.33,6.73,7.13,4.13,10.66
Ant_WATCHMEN.2,20.84,43.75,6.25,4.17,12.5,6.25,6.25
TN_Priest,17.06,48.07,3.88,9.31,8.53,3.11,10.08
TN_AndrewAguecheek,15.84,49.23,5.4,6.81,7.22,5.25,10.29
Per_Pander,17.91,45.27,7.68,5.89,6.65,3.33,13.3
Cym_Cymbeline,16.74,48.28,7.3,6.23,6.04,4.38,11.08
H5_Governor,8.58,54.29,5.72,7.62,8.58,2.86,12.39
Shr_Tranio,15.92,50.6,5.77,6.11,6.28,3.52,11.85
H8_Buckingham,16.72,48.95,5.44,7.08,7.64,4.24,9.96
Tim_LORDS.0.1,19.84,47.26,4.22,7.18,5.49,4.65,11.4
TN_OFFICERS.2,14.29,50.0,7.15,3.58,14.29,0.0,10.72
Ham_Fortinbras,15.16,50.0,6.39,6.39,7.19,5.06,9.85
H5_HERALDS.1,11.77,47.06,11.77,11.77,0.0,5.89,11.77
Per_LORDS.PENTAPOLIS.0.3,9.38,71.88,6.25,0.0,3.13,3.13,6.25
Shr_SERVANTS.PETRUCHIO.0.4,0,0,0,0,0,0,0
Tmp_Miranda,17.29,47.93,6.74,7.13,6.18,3.15,11.62
Per_PIRATES.0.1,7.7,76.93,0.0,7.7,0.0,7.7,0.0
JC_Cassius,16.06,50.82,6.4,6.52,5.58,3.19,11.46
Tro_Helenus,16.91,39.44,9.86,7.05,2.82,4.23,19.72
TNK_OTHERS,28.01,44.0,16.0,0.0,0.0,0.0,12.0
R2_Fitzwater,13.01,53.39,10.57,6.51,4.61,2.72,9.22
Oth_GENTLEMEN,14.29,71.43,0.0,0.0,14.29,0.0,0.0
Tro_SERVANTS.PARIS.1,13.84,52.68,6.7,5.36,3.13,4.47,13.84
1H6_SERVANTS.WINCHESTER.0.1,17.78,53.34,6.67,13.34,0.0,0.0,8.89
Cor_MESSENGERS.TRIBUNES.1,13.91,51.13,6.28,7.18,6.28,3.59,11.66
Jn_HERALDS.FRENCH,12.26,50.5,6.38,5.4,11.77,3.44,10.3
MV_Salarino,14.89,52.15,7.57,5.93,5.77,4.14,9.59
Ant_GUARDS.Dercetus,16.5,56.5,8.08,4.57,2.81,6.32,5.27
2H6_York,14.05,50.18,6.51,6.51,7.92,3.98,10.89
1H6_MESSENGERS.ENGLISH.3,12.93,52.66,6.4,5.31,6.81,5.04,10.89
Shr_PLAYERS.0.1,14.01,50.0,6.0,4.0,12.0,2.0,12.0
Oth_GENTLEMEN.3,15.42,46.7,7.49,7.49,7.05,3.53,12.34
Tit_GOTHS,25.0,50.0,8.34,0.0,0.0,16.67,0.0
Tro_MYRMIDONS.0.1,14.29,57.15,9.53,0.0,4.77,0.0,14.29
Wiv_Simple,19.79,51.6,6.19,4.78,5.31,4.95,7.43
Cor_AEDILES,50.0,50.0,0.0,0.0,0.0,0.0,0.0
TNK_Pirithous,13.22,50.92,5.81,6.29,6.41,5.99,11.39
Ant_Varrius,13.34,53.34,5.0,10.0,5.0,1.67,11.67
Shr_HUNTSMEN.0.2,25.0,53.58,5.36,0.0,1.79,7.15,7.15
Ham_FOLLOWERS.LAERTES,38.47,53.85,0.0,0.0,7.7,0.0,0.0
Ant_SERVANTS.0.1,17.92,50.0,6.72,3.74,5.23,5.23,11.2
Shr_Sly,18.2,47.95,4.92,7.21,7.79,2.06,11.9
JC_Marullus,16.02,50.87,5.42,4.12,5.2,3.47,14.94
LLL_Holofernes,14.38,52.07,6.62,6.79,6.71,3.0,10.46
AYL_Silvius,15.31,49.8,6.71,9.65,5.46,3.04,10.07
Cor_CITIZENS.ROMAN.6,15.19,63.3,3.8,2.54,8.87,2.54,3.8
Tro_Bastard,10.35,58.63,6.9,13.8,6.9,0.0,3.45
TNK_FRIENDS.2,15.31,49.12,5.34,4.63,6.05,5.34,14.24
Cym_GHOSTS.Mother,19.33,47.06,5.05,5.05,10.93,5.05,7.57
TNK_COUNTRYWOMEN.0.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Mac_SPIRITS.2,29.83,33.34,8.78,7.02,8.78,1.76,10.53
Mac_MESSENGERS.1,18.67,42.67,6.67,5.34,9.34,8.0,9.34
JC_Portia,17.31,48.61,5.36,5.06,7.04,3.96,12.69
H5_KingOfFrance,14.67,51.02,5.82,6.83,7.17,3.05,11.49
Jn_Bastard,15.05,50.82,6.93,6.5,6.56,3.67,10.51
H8_Sergeant,12.97,48.15,7.41,11.12,9.26,3.71,7.41
LLL_Winter,14.77,57.15,7.62,1.43,9.05,2.39,7.62
R3_SirJohn,25.0,50.0,0.0,0.0,4.17,0.0,20.84
Cor_SENATORS.ROMAN.0.1,17.13,48.26,6.63,5.35,7.37,3.87,11.42
Mac_LadyMacduff,16.32,51.24,7.78,7.97,2.85,6.08,7.78
1H6_Boy,17.31,40.39,7.7,13.47,3.85,1.93,15.39
Ham_Voltemand,13.12,52.19,4.09,7.88,6.71,3.5,12.54
