filename,stop,affricate,fricative,liquid,glide,nasal
2H4_Mowbray,27.69,1.17,33.65,14.02,4.56,18.93
2H4_Northumberland,30.09,1.86,30.7,13.22,4.64,19.52
2H4_OFFICERS.Fang,24.76,1.99,34.66,11.89,9.91,16.84
2H4_OFFICERS.Snare,20.0,2.86,40.0,20.0,8.58,8.58
2H4_Peto,30.31,1.02,27.28,10.11,7.08,24.25
2H4_Pistol,29.89,2.25,29.89,15.63,4.59,17.78
2H4_Poins,31.76,1.25,32.32,12.43,5.2,17.07
2H4_Porter,28.58,2.05,30.62,16.33,10.21,12.25
2H4_SERVANTS.CHIEFJUSTICE.1,23.34,3.34,30.67,15.34,8.67,18.67
2H4_SERVANTS.FALSTAFF.1,31.34,0.72,28.71,16.27,6.23,16.75
2H4_Shadow,0.0,0.0,60.0,10.0,0.0,30.0
2H4_Shallow,30.88,2.15,27.55,13.52,7.72,18.21
2H4_Silence,30.16,1.52,24.52,16.49,5.64,21.7
2H4_Travers,34.44,2.49,29.47,11.62,4.57,17.43
2H4_Wart,0.0,0.0,60.0,20.0,20.0,0.0
2H4_Warwick,28.61,2.84,30.42,14.7,5.93,17.53
2H4_Westmoreland,29.48,2.14,28.1,16.99,5.7,17.62
2H6_Beadle,15.39,0.0,15.39,23.08,30.77,15.39
2H6_Bevis,30.77,1.29,31.74,14.75,4.17,17.31
2H6_Bolingbroke,32.97,0.83,28.85,12.92,8.25,16.21
2H6_Buckingham,29.93,1.19,28.49,17.67,5.33,17.42
2H6_CITIZENS,16.67,0.0,25.0,25.0,5.56,27.78
2H6_CITIZENS.LONDON.0.1,23.38,1.3,31.17,23.38,3.9,16.89
2H6_CITIZENS.STALBANS.0.1,18.87,0.0,37.74,18.87,1.89,22.65
2H6_Cade,29.51,1.08,29.58,14.83,4.64,20.39
2H6_CardinalBeaufort,32.2,1.53,27.73,15.55,5.39,17.63
2H6_Clerk,33.34,0.0,20.0,13.34,6.67,26.67
2H6_Clifford,30.84,0.93,30.72,14.9,5.55,17.1
2H6_Dick,28.07,1.35,31.1,16.14,6.39,16.98
2H6_DuchessOfGloucester,30.44,1.43,27.81,14.73,5.61,20.0
2H6_EdwardIV,15.39,0.0,46.16,15.39,15.39,7.7
2H6_FOLLOWERS.CADE,29.93,0.79,33.08,15.75,7.88,12.6
2H6_FOLLOWERS.CADE.0,30.83,0.76,32.34,15.79,7.52,12.79
2H6_GENTLEMEN.1,28.45,0.87,28.45,19.83,5.18,17.25
2H6_GENTLEMEN.2,33.34,0.0,22.23,22.23,5.56,16.67
2H6_George,40.0,0.0,27.15,15.72,5.72,11.43
2H6_Gloucester,29.21,1.68,28.98,15.29,5.1,19.78
2H6_HERALDS.X.1,25.59,2.33,34.89,13.96,2.33,20.94
2H6_HenryVI,30.13,1.42,30.07,15.0,5.26,18.15
2H6_Holland,27.51,1.95,31.95,15.0,6.12,17.5
2H6_Horner,28.8,1.9,29.75,12.03,5.7,21.84
2H6_Hume,30.48,2.05,29.25,16.77,5.53,15.96
2H6_Iden,29.93,1.56,30.57,13.99,4.93,19.05
2H6_Jourdain,32.61,0.0,36.96,13.05,0.0,17.4
2H6_Lieutenant,27.33,1.44,32.35,17.0,4.2,17.71
2H6_MESSENGERS.1,30.06,1.56,30.06,19.18,1.56,17.62
2H6_MESSENGERS.2,30.87,4.94,28.4,20.99,3.71,11.12
2H6_MESSENGERS.Post,32.97,1.1,25.28,23.08,1.1,16.49
2H6_MESSENGERS.X.1,41.18,0.0,17.65,17.65,5.89,17.65
2H6_MESSENGERS.X.2,26.57,1.57,35.94,17.19,3.13,15.63
2H6_MESSENGERS.X.3,29.71,1.0,27.73,16.84,2.98,21.79
2H6_MURDERERS.0.1,37.71,1.64,24.6,18.04,1.64,16.4
2H6_MURDERERS.0.2,37.5,0.0,25.0,4.17,12.5,20.84
2H6_Master,22.23,0.0,27.78,27.78,5.56,16.67
2H6_Mate,17.65,5.89,35.3,17.65,11.77,11.77
2H6_MayorOfStAlbans,31.04,3.45,31.04,24.14,6.9,3.45
2H6_Michael,25.0,0.81,33.88,21.78,7.26,11.3
2H6_NEIGHBORS.1,31.43,0.0,20.0,17.15,8.58,22.86
2H6_NEIGHBORS.2,33.34,0.0,33.34,16.67,0.0,16.67
2H6_NEIGHBORS.3,41.94,0.0,12.91,19.36,3.23,22.59
2H6_PETITIONERS,50.0,0.0,12.5,12.5,0.0,25.0
2H6_PETITIONERS.0.1,31.52,0.61,20.0,18.79,5.46,23.64
2H6_PETITIONERS.0.2,39.03,0.0,26.83,17.08,0.0,17.08
2H6_PRENTICES.1,50.0,0.0,16.67,16.67,0.0,16.67
2H6_PRENTICES.2,40.0,0.0,28.01,16.0,0.0,16.0
2H6_QueenMargaret,30.19,1.2,30.21,14.71,5.32,18.4
2H6_RichardIII,27.67,1.27,34.27,15.99,6.1,14.73
2H6_SERVANTS.GLOUCESTER.0.1,22.23,0.0,29.63,29.63,7.41,11.12
2H6_SOLDIERS.1,75.0,25.0,0.0,0.0,0.0,0.0
2H6_Salisbury,30.63,1.43,28.53,15.86,5.29,18.3
2H6_Sawyer,20.64,1.59,34.93,15.88,11.12,15.88
2H6_Saye,29.13,1.73,31.25,15.3,5.46,17.16
2H6_Scales,28.8,1.6,28.01,16.0,8.8,16.8
2H6_Sheriff,28.58,1.59,26.99,11.12,3.18,28.58
2H6_Simpcox,34.35,1.02,21.55,14.48,5.06,23.57
2H6_SimpcoxWife,29.42,0.0,30.4,16.67,5.89,17.65
2H6_Smith,32.38,1.29,32.38,14.43,5.45,14.11
2H6_Somerset,29.61,1.25,29.11,19.16,4.48,16.42
2H6_Spirit,33.86,0.0,30.71,14.18,4.73,16.54
2H6_Stafford,28.58,1.23,31.43,16.74,6.13,15.92
2H6_Stanley,33.34,3.61,23.43,14.42,8.11,17.12
2H6_Suffolk,30.99,1.41,29.97,14.96,5.11,17.6
2H6_Thump,29.86,0.29,28.99,15.95,4.06,20.87
2H6_Vaux,32.39,1.71,37.5,9.1,1.14,18.19
2H6_Warwick,31.32,1.08,32.02,14.4,4.76,16.45
2H6_Whitmore,31.6,1.05,27.78,17.02,7.3,15.28
2H6_WilliamStafford,31.58,2.11,26.32,17.9,10.53,11.58
2H6_York,29.68,1.5,30.26,16.2,4.44,17.94
2H6_YoungClifford,27.11,1.38,31.86,17.0,4.6,18.08
3H6_ALDERMEN,18.19,0.0,36.37,27.28,9.1,9.1
3H6_ATTENDANTS.EDWARD.1,32.44,0.0,18.92,27.03,8.11,13.52
3H6_Clarence,26.99,1.9,30.67,15.98,7.53,16.96
3H6_Clifford,27.46,1.86,34.28,15.05,4.84,16.54
3H6_EdwardIV,29.44,1.55,29.7,14.64,7.1,17.61
3H6_Exeter,27.55,0.76,33.21,17.36,4.91,16.23
3H6_Father,25.0,1.0,37.25,15.25,4.75,16.75
3H6_GAMEKEEPERS.1,28.41,1.52,30.69,15.54,8.34,15.54
3H6_GAMEKEEPERS.2,29.52,1.33,26.0,12.78,9.7,20.71
3H6_Hastings,27.33,0.85,29.86,14.93,7.05,20.0
3H6_HenryVI,29.11,1.22,29.44,15.3,5.93,19.03
3H6_Huntsman,29.04,0.0,32.26,16.13,6.46,16.13
3H6_JohnMortimer,23.53,0.0,29.42,17.65,5.89,23.53
3H6_KingLewis,29.18,0.96,29.27,15.92,8.49,16.21
3H6_LadyBona,30.14,1.37,24.66,19.18,8.22,16.44
3H6_Lieutenant,24.49,8.17,24.49,20.41,2.05,20.41
3H6_MESSENGERS.1,23.08,7.7,23.08,15.39,0.0,30.77
3H6_MESSENGERS.2,44.45,0.0,33.34,11.12,11.12,0.0
3H6_MESSENGERS.Post,26.67,1.46,30.0,17.3,6.67,17.92
3H6_MESSENGERS.X.1,22.98,1.36,27.03,21.63,9.46,17.57
3H6_MESSENGERS.X.2,30.46,0.29,31.9,13.8,6.9,16.67
3H6_MESSENGERS.X.3,31.38,0.0,29.42,9.81,9.81,19.61
3H6_MESSENGERS.X.4,28.73,1.07,24.47,15.96,5.32,24.47
3H6_MESSENGERS.X.5,36.37,0.0,24.25,30.31,6.07,3.04
3H6_MayorOfYork,22.36,1.18,31.77,20.0,8.24,16.48
3H6_Montague,29.44,1.62,29.44,14.12,4.44,20.97
3H6_Montgomery,33.19,2.7,21.53,15.25,9.42,17.94
3H6_Norfolk,19.57,4.35,39.14,17.4,6.53,13.05
3H6_Northumberland,31.34,1.34,31.78,11.78,6.0,17.78
3H6_Oxford,26.38,2.66,31.69,16.29,6.73,16.29
3H6_PrinceEdward,30.06,1.91,30.94,15.99,6.6,14.52
3H6_QueenElizabeth,29.28,1.27,28.35,16.84,6.1,18.19
3H6_QueenMargaret,30.08,1.59,30.15,15.87,6.3,16.05
3H6_RichardIII,30.0,1.32,30.3,15.71,6.07,16.62
3H6_Rivers,25.0,2.59,27.59,12.07,11.21,21.56
3H6_Rutland,30.15,1.5,31.05,15.23,4.18,17.92
3H6_SOLDIERS.MONTGOMERY,18.19,0.0,36.37,27.28,9.1,9.1
3H6_SOLDIERS.YORK,18.19,0.0,36.37,27.28,9.1,9.1
3H6_SOLDIERS.YORK.0.1,30.0,0.0,30.0,20.0,4.0,16.0
3H6_Somerset,30.86,1.28,28.14,17.06,7.26,15.43
3H6_Somerville,22.99,0.0,35.64,17.25,6.9,17.25
3H6_Son,26.22,0.29,35.05,12.54,4.85,21.09
3H6_Tutor,38.0,2.0,20.0,14.01,2.0,24.0
3H6_WATCHMEN.1,29.27,2.44,34.96,13.01,3.26,17.08
3H6_WATCHMEN.2,32.19,1.15,26.44,17.25,5.75,17.25
3H6_WATCHMEN.3,35.92,2.12,28.88,7.75,7.75,17.61
3H6_Warwick,29.46,1.44,29.65,16.04,5.5,17.94
3H6_Westmorland,29.48,0.58,32.95,16.19,2.32,18.5
3H6_York,29.33,1.42,29.67,15.28,6.21,18.12
AWW_ATTENDANTS.KING.0.1,33.85,3.08,23.08,20.0,4.62,15.39
AWW_ATTENDANTS.KING.0.2,28.85,1.93,28.85,21.16,7.7,11.54
AWW_Bertram,29.35,1.4,29.72,13.77,6.43,19.37
AWW_Countess,27.91,2.07,31.36,13.49,6.71,18.5
AWW_Diana,26.85,1.87,28.94,14.36,7.4,20.61
AWW_Duke,23.76,2.3,33.34,18.78,4.22,17.63
AWW_Epilogue,33.67,1.99,25.75,12.88,10.9,14.86
AWW_Fool,27.82,1.53,30.76,14.5,5.75,19.69
AWW_GENTLEMEN.1,29.27,4.88,30.9,7.32,6.51,21.14
AWW_GENTLEMEN.2,28.38,1.36,29.73,11.49,6.09,22.98
AWW_GENTLEMEN.3,25.41,0.82,34.43,14.35,5.74,19.27
AWW_Helen,28.55,1.6,30.34,14.06,6.47,19.02
AWW_King,28.79,1.45,32.4,13.42,6.0,17.97
AWW_LORDS.COURT.1,38.47,0.0,19.24,7.7,7.7,26.93
AWW_LORDS.COURT.2,33.34,0.0,25.93,7.41,11.12,22.23
AWW_LORDS.COURT.3,31.58,0.0,26.32,5.27,10.53,26.32
AWW_LORDS.COURT.4,27.59,0.0,27.59,6.9,10.35,27.59
AWW_LORDS.DUMAINE.1,28.99,1.42,30.79,13.41,6.28,19.13
AWW_LORDS.DUMAINE.2,27.49,1.18,33.24,13.84,5.69,18.6
AWW_Lafew,29.25,1.24,31.55,13.65,6.14,18.2
AWW_Mariana,25.85,2.16,38.16,11.39,4.62,17.85
AWW_Page,15.39,0.0,23.08,30.77,15.39,15.39
AWW_Parolles,29.61,1.9,29.16,14.66,5.8,18.9
AWW_SOLDIERS,64.71,0.0,0.0,35.3,0.0,0.0
AWW_SOLDIERS.0.1,51.86,0.0,7.41,29.63,7.41,3.71
AWW_SOLDIERS.Interpreter,29.69,1.3,30.8,13.18,9.1,15.96
AWW_Servant,24.2,0.0,41.94,12.91,1.62,19.36
AWW_Steward,29.54,1.59,30.98,11.96,6.35,19.6
AWW_Widow,28.06,1.56,30.94,15.23,7.32,16.91
AYL_Adam,27.98,1.47,29.23,14.2,8.56,18.59
AYL_Audrey,30.96,1.99,28.58,10.72,8.34,19.45
AYL_Celia,28.11,1.69,31.89,14.07,7.12,17.16
AYL_Charles,28.95,0.56,31.03,16.49,5.13,17.87
AYL_Corin,31.59,0.96,29.68,14.41,6.3,17.09
AYL_Dennis,28.58,0.0,35.72,17.86,14.29,3.58
AYL_DukeFrederick,28.77,1.34,32.45,12.29,5.53,19.66
AYL_DukeSenior,28.83,1.73,30.74,14.26,6.77,17.71
AYL_Hymen,24.66,1.39,34.73,11.81,8.34,19.1
AYL_Jaques,27.05,1.66,30.27,14.46,6.28,20.31
AYL_LORDS.FREDERICK.0.1,29.83,1.76,36.85,10.53,0.0,21.06
AYL_LORDS.FREDERICK.0.2,25.18,2.16,30.94,19.43,5.76,16.55
AYL_LORDS.FREDERICK.LeBeau,28.54,2.06,33.06,15.51,5.9,14.96
AYL_LORDS.SENIOR,27.03,0.0,39.19,8.11,5.41,20.28
AYL_LORDS.SENIOR.0.1,30.19,2.51,31.44,13.5,4.32,18.09
AYL_LORDS.SENIOR.0.2,26.96,0.0,34.76,10.64,6.39,21.28
AYL_LORDS.SENIOR.Amiens,28.13,1.29,31.99,13.61,6.07,18.94
AYL_Oliver,29.36,1.53,29.58,14.5,6.54,18.53
AYL_OliverMartext,19.68,1.64,29.51,21.32,1.64,26.23
AYL_Orlando,29.12,2.0,29.14,14.71,6.65,18.42
AYL_Phoebe,30.97,1.0,30.05,13.08,5.8,19.13
AYL_Rosalind,27.8,1.49,29.44,14.57,7.81,18.92
AYL_SERVANTS.1,29.57,0.52,27.25,15.69,6.43,20.57
AYL_SERVANTS.2,28.99,0.29,29.57,15.08,5.51,20.58
AYL_SecondBrother,31.23,1.49,31.23,14.87,5.21,15.99
AYL_Silvius,31.14,0.84,32.92,12.9,4.51,17.72
AYL_Touchstone,30.71,1.14,29.41,14.35,6.42,17.99
AYL_William,33.34,1.97,33.34,9.81,11.77,9.81
Ado_ATTENDANTS.0.1,33.34,0.0,16.67,33.34,0.0,16.67
Ado_Antonio,48.0,0.0,8.0,8.0,12.0,24.0
Ado_Balthasar,25.54,0.0,30.47,10.16,7.7,26.16
Ado_Beatrice,29.65,1.21,28.21,14.02,6.93,20.0
Ado_Benedick,29.66,1.4,28.95,14.23,6.74,19.06
Ado_Borachio,29.95,1.73,28.75,13.88,5.12,20.61
Ado_Boy,14.29,0.0,28.58,42.86,0.0,14.29
Ado_Claudio,28.4,1.52,31.07,13.95,6.77,18.32
Ado_Conrade,26.8,0.48,31.11,13.64,10.53,17.47
Ado_Dogberry,30.43,1.89,27.87,13.49,7.0,19.35
Ado_DonJohn,29.91,1.37,28.04,13.78,7.33,19.61
Ado_DonPedro,30.01,1.52,30.49,13.89,7.42,16.7
Ado_FriarFrancis,28.99,1.69,29.15,15.62,5.93,18.66
Ado_Hero,31.52,1.18,28.95,13.61,6.2,18.58
Ado_Leonato,29.31,1.54,30.05,14.16,6.21,18.76
Ado_LeonatosBrother,30.66,1.21,27.18,13.26,7.23,20.49
Ado_MESSENGERS.DONPEDRO.1,29.42,2.95,14.71,20.59,5.89,26.48
Ado_MESSENGERS.LEONATO.1,29.32,2.96,30.3,14.04,4.44,18.97
Ado_MUSICIANS,27.84,2.07,34.03,14.44,6.19,15.47
Ado_Margaret,29.69,1.11,27.69,14.95,7.13,19.46
Ado_Sexton,27.71,1.74,29.44,13.86,7.36,19.92
Ado_Ursula,30.43,2.37,25.41,15.96,7.54,18.32
Ado_Verges,30.07,1.54,30.68,11.35,5.22,21.17
Ado_WATCHMEN.1,24.76,2.98,28.22,15.35,5.95,22.78
Ado_WATCHMEN.2,24.4,2.44,26.83,17.08,14.64,14.64
Ado_WATCHMEN.Seacoal,26.32,3.83,32.54,13.88,6.23,17.23
Ant_ATTENDANTS.ANTONY,20.0,0.0,20.0,20.0,20.0,20.0
Ant_ATTENDANTS.CAESAR,6.67,0.0,46.67,20.0,20.0,6.67
Ant_Agrippa,33.55,2.44,28.81,15.11,6.02,14.09
Ant_Alexas,29.39,1.98,31.36,14.33,6.42,16.55
Ant_Ambassador,25.84,2.4,39.24,13.88,2.4,16.27
Ant_Antony,30.04,1.59,30.46,14.25,6.03,17.67
Ant_Boy,38.36,0.0,26.03,16.44,5.48,13.7
Ant_CAPTAINS,42.43,3.04,12.13,24.25,6.07,12.13
Ant_CAPTAINS.0.1,34.05,4.26,14.9,25.54,4.26,17.03
Ant_Canidius,25.17,2.59,33.55,15.17,6.13,17.42
Ant_Charmian,27.23,2.56,28.55,13.21,6.61,21.87
Ant_Cleopatra,29.52,1.66,29.84,14.22,5.15,19.63
Ant_Countryman,29.54,0.7,31.4,11.63,7.91,18.84
Ant_Demetrius,29.42,0.0,39.71,14.71,4.42,11.77
Ant_Diomedes,33.87,1.2,27.5,13.15,7.18,17.14
Ant_Dolabella,27.33,1.83,30.42,13.67,7.84,18.95
Ant_Egyptian,24.4,1.22,39.03,9.76,4.88,20.74
Ant_Enobarbus,29.06,1.45,31.98,13.59,6.52,17.44
Ant_Eros,27.96,1.38,31.74,15.96,4.64,18.36
Ant_GUARDS,26.67,0.0,46.67,6.67,6.67,13.34
Ant_GUARDS.0.1,26.32,0.0,29.83,15.79,14.04,14.04
Ant_GUARDS.0.2,22.73,0.0,45.46,13.64,4.55,13.64
Ant_GUARDS.0.3,20.0,0.0,35.0,10.0,10.0,25.0
Ant_GUARDS.CAESAR.0.1,27.53,2.25,37.08,12.36,3.94,16.86
Ant_GUARDS.CAESAR.0.2,22.23,0.0,38.89,22.23,0.0,16.67
Ant_GUARDS.CAESAR.1,20.0,0.0,35.0,22.5,7.5,15.0
Ant_GUARDS.Dercetus,32.99,1.76,36.5,10.18,5.27,13.34
Ant_Gallus,21.06,0.0,42.11,18.43,10.53,7.9
Ant_Iras,31.07,1.95,27.84,15.86,3.89,19.42
Ant_LADIES,25.0,0.0,75.0,0.0,0.0,0.0
Ant_Lepidus,31.1,2.32,27.81,15.37,6.96,16.47
Ant_MESSENGERS.ANTONY.1,28.15,0.6,36.53,13.78,4.2,16.77
Ant_MESSENGERS.ANTONY.2,12.5,0.0,31.25,18.75,12.5,25.0
