filename,voiced,voiceless
1H4_Archbishop,0.6431372549020.356862745098
2H4_BEADLES.0.1,0.6692307692310.330769230769
2H4_Bardolph,0.6642335766420.335766423358
2H4_Bedford,0.6555965559660.344403444034
2H4_Bullcalf,0.650.35
2H4_ChiefJustice,0.6436567164180.356343283582
2H4_Chorus,0.6747967479670.325203252033
2H4_Clarence,0.6656626506020.334337349398
2H4_Colevile,0.7352941176470.264705882353
2H4_DRAWERS.1,0.61718750.3828125
2H4_DRAWERS.Francis,0.6213592233010.378640776699
2H4_DRAWERS.Will,0.6833333333330.316666666667
2H4_DRAWERS.X,0.6470588235290.352941176471
2H4_Davy,0.6108949416340.389105058366
2H4_DollTearsheet,0.6582733812950.341726618705
2H4_Epilogue,0.6677631578950.332236842105
2H4_Falstaff,0.652917505030.34708249497
2H4_Feeble,0.6490066225170.350993377483
2H4_GROOMS.1,0.5833333333330.416666666667
2H4_GROOMS.2,0.50.5
2H4_Gloucester,0.6791666666670.320833333333
2H4_Harcourt,0.6935483870970.306451612903
2H4_Hastings,0.6179906542060.382009345794
2H4_HenryIV,0.6630386494890.336961350511
2H4_HenryV,0.6560399045760.343960095424
2H4_LadyNorthumberland,0.7391304347830.260869565217
2H4_LadyPercy,0.6742627345840.325737265416
2H4_LordBardolph,0.6376252891290.362374710871
2H4_MESSENGERS.1,0.7384615384620.261538461538
2H4_MESSENGERS.Gower,0.6379310344830.362068965517
2H4_MistressQuickly,0.6728778467910.327122153209
2H4_Morton,0.6590563165910.340943683409
2H4_Mouldy,0.6536312849160.346368715084
2H4_Mowbray,0.6717289719630.328271028037
2H4_Northumberland,0.6590487955530.340951204447
2H4_OFFICERS.Fang,0.5148514851490.485148514851
2H4_OFFICERS.Snare,0.4857142857140.514285714286
2H4_Peto,0.6262626262630.373737373737
2H4_Pistol,0.6699218750.330078125
2H4_Poins,0.6203389830510.379661016949
2H4_Porter,0.5714285714290.428571428571
2H4_SERVANTS.CHIEFJUSTICE.1,0.6533333333330.346666666667
2H4_SERVANTS.FALSTAFF.1,0.6315789473680.368421052632
2H4_Shadow,0.60.4
2H4_Shallow,0.6720827178730.327917282127
2H4_Silence,0.7093275488070.290672451193
2H4_Travers,0.6390041493780.360995850622
2H4_Wart,0.40.6
2H4_Warwick,0.6606529209620.339347079038
2H4_Westmoreland,0.6683937823830.331606217617
2H6_Beadle,0.7692307692310.230769230769
2H6_Bevis,0.6794871794870.320512820513
2H6_Bolingbroke,0.6456043956040.354395604396
2H6_Buckingham,0.655959425190.34404057481
2H6_CITIZENS,0.7777777777780.222222222222
2H6_CITIZENS.LONDON.0.1,0.7662337662340.233766233766
2H6_CITIZENS.STALBANS.0.1,0.6226415094340.377358490566
2H6_Cade,0.6745198463510.325480153649
2H6_CardinalBeaufort,0.6523867809060.347613219094
2H6_Clerk,0.6666666666670.333333333333
2H6_Clifford,0.6351039260970.364896073903
2H6_Dick,0.6823529411760.317647058824
2H6_DuchessOfGloucester,0.6648351648350.335164835165
2H6_EdwardIV,0.7692307692310.230769230769
2H6_FOLLOWERS.CADE,0.6850393700790.314960629921
2H6_FOLLOWERS.CADE.0,0.6842105263160.315789473684
2H6_GENTLEMEN.1,0.6551724137930.344827586207
2H6_GENTLEMEN.2,0.5555555555560.444444444444
2H6_George,0.6142857142860.385714285714
2H6_Gloucester,0.6602192134110.339780786589
2H6_HERALDS.X.1,0.5813953488370.418604651163
2H6_HenryVI,0.6475824398140.352417560186
2H6_Holland,0.6666666666670.333333333333
2H6_Horner,0.6392405063290.360759493671
2H6_Hume,0.6523517382410.347648261759
2H6_Iden,0.6632124352330.336787564767
2H6_Jourdain,0.5217391304350.478260869565
2H6_Lieutenant,0.680655066530.31934493347
2H6_MESSENGERS.1,0.6683937823830.331606217617
2H6_MESSENGERS.2,0.6172839506170.382716049383
2H6_MESSENGERS.Post,0.7362637362640.263736263736
2H6_MESSENGERS.X.1,0.6470588235290.352941176471
2H6_MESSENGERS.X.2,0.6406250.359375
2H6_MESSENGERS.X.3,0.6831683168320.316831683168
2H6_MURDERERS.0.1,0.7049180327870.295081967213
2H6_MURDERERS.0.2,0.5833333333330.416666666667
2H6_Master,0.7777777777780.222222222222
2H6_Mate,0.7647058823530.235294117647
2H6_MayorOfStAlbans,0.6206896551720.379310344828
2H6_Michael,0.7096774193550.290322580645
2H6_NEIGHBORS.1,0.6571428571430.342857142857
2H6_NEIGHBORS.2,0.6666666666670.333333333333
2H6_NEIGHBORS.3,0.8064516129030.193548387097
2H6_PETITIONERS,0.6250.375
2H6_PETITIONERS.0.1,0.7090909090910.290909090909
2H6_PETITIONERS.0.2,0.5609756097560.439024390244
2H6_PRENTICES.1,0.6111111111110.388888888889
2H6_PRENTICES.2,0.560.44
2H6_QueenMargaret,0.661601642710.33839835729
2H6_RichardIII,0.5939086294420.406091370558
2H6_SERVANTS.GLOUCESTER.0.1,0.629629629630.37037037037
2H6_SOLDIERS.1,0.50.5
2H6_Salisbury,0.6551490514910.344850948509
2H6_Sawyer,0.682539682540.31746031746
2H6_Saye,0.6462765957450.353723404255
2H6_Scales,0.6640.336
2H6_Sheriff,0.6507936507940.349206349206
2H6_Simpcox,0.6767676767680.323232323232
2H6_SimpcoxWife,0.6176470588240.382352941176
2H6_Smith,0.6025641025640.397435897436
2H6_Somerset,0.6492537313430.350746268657
2H6_Spirit,0.6456692913390.354330708661
2H6_Stafford,0.693877551020.30612244898
2H6_Stanley,0.6756756756760.324324324324
2H6_Suffolk,0.6514951627090.348504837291
2H6_Thump,0.643478260870.35652173913
2H6_Vaux,0.5397727272730.460227272727
2H6_Warwick,0.664958061510.33504193849
2H6_Whitmore,0.6527777777780.347222222222
2H6_WilliamStafford,0.7157894736840.284210526316
2H6_York,0.6536990856190.346300914381
2H6_YoungClifford,0.6753445635530.324655436447
3H6_ALDERMEN,0.8181818181820.181818181818
3H6_ATTENDANTS.EDWARD.1,0.6756756756760.324324324324
3H6_Clarence,0.6505507955940.349449204406
3H6_Clifford,0.6507199256850.349280074315
3H6_EdwardIV,0.6660909614280.333909038572
3H6_Exeter,0.6226415094340.377358490566
3H6_Father,0.66750.3325
3H6_GAMEKEEPERS.1,0.6515151515150.348484848485
3H6_GAMEKEEPERS.2,0.6475770925110.352422907489
3H6_Hastings,0.6760563380280.323943661972
3H6_HenryVI,0.6639704589410.336029541059
3H6_Huntsman,0.7741935483870.225806451613
3H6_JohnMortimer,0.6470588235290.352941176471
3H6_KingLewis,0.6615824594850.338417540515
3H6_LadyBona,0.6849315068490.315068493151
3H6_Lieutenant,0.693877551020.30612244898
3H6_MESSENGERS.1,0.6923076923080.307692307692
3H6_MESSENGERS.2,0.5555555555560.444444444444
3H6_MESSENGERS.Post,0.693750.30625
3H6_MESSENGERS.X.1,0.770270270270.22972972973
3H6_MESSENGERS.X.2,0.6522988505750.347701149425
3H6_MESSENGERS.X.3,0.6666666666670.333333333333
3H6_MESSENGERS.X.4,0.7553191489360.244680851064
3H6_MESSENGERS.X.5,0.696969696970.30303030303
3H6_MayorOfYork,0.7058823529410.294117647059
3H6_Montague,0.6774193548390.322580645161
3H6_Montgomery,0.6367713004480.363228699552
3H6_Norfolk,0.6304347826090.369565217391
3H6_Northumberland,0.6044444444440.395555555556
3H6_Oxford,0.6707964601770.329203539823
3H6_PrinceEdward,0.6246334310850.375366568915
3H6_QueenElizabeth,0.6615905245350.338409475465
3H6_QueenMargaret,0.6541722445340.345827755466
3H6_RichardIII,0.6555876685930.344412331407
3H6_Rivers,0.6896551724140.310344827586
3H6_Rutland,0.647761194030.35223880597
3H6_SOLDIERS.MONTGOMERY,0.8181818181820.181818181818
3H6_SOLDIERS.YORK,0.8181818181820.181818181818
3H6_SOLDIERS.YORK.0.1,0.820.18
3H6_Somerset,0.6352087114340.364791288566
3H6_Somerville,0.6321839080460.367816091954
3H6_Son,0.6695156695160.330484330484
3H6_Tutor,0.70.3
3H6_WATCHMEN.1,0.5609756097560.439024390244
3H6_WATCHMEN.2,0.6666666666670.333333333333
3H6_WATCHMEN.3,0.5915492957750.408450704225
3H6_Warwick,0.6513838412080.348616158792
3H6_Westmorland,0.6820809248550.317919075145
3H6_York,0.6667911841610.333208815839
AWW_ATTENDANTS.KING.0.1,0.6923076923080.307692307692
AWW_ATTENDANTS.KING.0.2,0.5576923076920.442307692308
AWW_Bertram,0.6405263157890.359473684211
AWW_Countess,0.6400198609730.359980139027
AWW_Diana,0.6821917808220.317808219178
AWW_Duke,0.6398467432950.360153256705
AWW_Epilogue,0.6633663366340.336633663366
AWW_Fool,0.6727775856110.327222414389
AWW_GENTLEMEN.1,0.6666666666670.333333333333
AWW_GENTLEMEN.2,0.6756756756760.324324324324
AWW_GENTLEMEN.3,0.6311475409840.368852459016
AWW_Helen,0.6443893185470.355610681453
AWW_King,0.6276002971770.372399702823
AWW_LORDS.COURT.1,0.6538461538460.346153846154
AWW_LORDS.COURT.2,0.629629629630.37037037037
AWW_LORDS.COURT.3,0.6315789473680.368421052632
AWW_LORDS.COURT.4,0.5862068965520.413793103448
AWW_LORDS.DUMAINE.1,0.6322001888570.367799811143
AWW_LORDS.DUMAINE.2,0.6139592340950.386040765905
AWW_Lafew,0.6566131025960.343386897404
AWW_Mariana,0.6584615384620.341538461538
AWW_Page,0.7692307692310.230769230769
AWW_Parolles,0.6548893647390.345110635261
AWW_SOLDIERS,0.6470588235290.352941176471
AWW_SOLDIERS.0.1,0.5925925925930.407407407407
AWW_SOLDIERS.Interpreter,0.6215213358070.378478664193
AWW_Servant,0.5322580645160.467741935484
AWW_Steward,0.6282420749280.371757925072
AWW_Widow,0.6306954436450.369304556355
AYL_Adam,0.663883089770.33611691023
AYL_Audrey,0.7063492063490.293650793651
AYL_Celia,0.6455147808360.354485219164
AYL_Charles,0.6911357340720.308864265928
AYL_Corin,0.6488549618320.351145038168
AYL_Dennis,0.5714285714290.428571428571
AYL_DukeFrederick,0.6458546571140.354145342886
AYL_DukeSenior,0.6594960049170.340503995083
AYL_Hymen,0.6631944444440.336805555556
AYL_Jaques,0.6741194486980.325880551302
AYL_LORDS.FREDERICK.0.1,0.6842105263160.315789473684
AYL_LORDS.FREDERICK.0.2,0.6690647482010.330935251799
AYL_LORDS.FREDERICK.LeBeau,0.6474622770920.352537722908
AYL_LORDS.SENIOR,0.5945945945950.405405405405
AYL_LORDS.SENIOR.0.1,0.6369958275380.363004172462
AYL_LORDS.SENIOR.0.2,0.638297872340.36170212766
AYL_LORDS.SENIOR.Amiens,0.6378676470590.362132352941
AYL_Oliver,0.6577181208050.342281879195
AYL_OliverMartext,0.7540983606560.245901639344
AYL_Orlando,0.6651397159870.334860284013
AYL_Phoebe,0.6399006622520.360099337748
AYL_Rosalind,0.6678359154240.332164084576
AYL_SERVANTS.1,0.6915167095120.308483290488
AYL_SERVANTS.2,0.6985507246380.301449275362
AYL_SecondBrother,0.643122676580.35687732342
AYL_Silvius,0.6394129979040.360587002096
AYL_Touchstone,0.6577056778680.342294322132
AYL_William,0.5490196078430.450980392157
Ado_ATTENDANTS.0.1,0.8333333333330.166666666667
Ado_Antonio,0.520.48
Ado_Balthasar,0.6923076923080.307692307692
Ado_Beatrice,0.6637991164850.336200883515
Ado_Benedick,0.6564026646930.343597335307
Ado_Borachio,0.6562336984870.343766301513
Ado_Boy,0.7142857142860.285714285714
Ado_Claudio,0.6434735706580.356526429342
Ado_Conrade,0.6483253588520.351674641148
Ado_Dogberry,0.6556620518280.344337948172
Ado_DonJohn,0.6445409429280.355459057072
Ado_DonPedro,0.6355037395510.364496260449
Ado_FriarFrancis,0.6461168935150.353883106485
Ado_Hero,0.6620189626320.337981037368
Ado_Leonato,0.6502150317430.349784968257
Ado_LeonatosBrother,0.6546184738960.345381526104
Ado_MESSENGERS.DONPEDRO.1,0.8235294117650.176470588235
Ado_MESSENGERS.LEONATO.1,0.6847290640390.315270935961
Ado_MUSICIANS,0.7216494845360.278350515464
Ado_Margaret,0.6559679037110.344032096289
Ado_Sexton,0.6839826839830.316017316017
Ado_Ursula,0.6750369276220.324963072378
Ado_Verges,0.6349693251530.365030674847
Ado_WATCHMEN.1,0.7425742574260.257425742574
Ado_WATCHMEN.2,0.6341463414630.365853658537
Ado_WATCHMEN.Seacoal,0.5933014354070.406698564593
Ant_ATTENDANTS.ANTONY,0.60.4
Ant_ATTENDANTS.CAESAR,0.7333333333330.266666666667
Ant_Agrippa,0.6261203585150.373879641485
Ant_Alexas,0.609876543210.39012345679
Ant_Ambassador,0.6124401913880.387559808612
Ant_Antony,0.6364294767340.363570523266
Ant_Boy,0.7123287671230.287671232877
Ant_CAPTAINS,0.7575757575760.242424242424
Ant_CAPTAINS.0.1,0.8085106382980.191489361702
Ant_Canidius,0.6612903225810.338709677419
Ant_Charmian,0.6468646864690.353135313531
Ant_Cleopatra,0.6541405706330.345859429367
Ant_Countryman,0.7046511627910.295348837209
Ant_Demetrius,0.5588235294120.441176470588
Ant_Diomedes,0.6055776892430.394422310757
Ant_Dolabella,0.6612021857920.338797814208
Ant_Egyptian,0.5731707317070.426829268293
Ant_Enobarbus,0.6326096211150.367390378885
Ant_Eros,0.6449399656950.355060034305
Ant_GUARDS,0.5333333333330.466666666667
Ant_GUARDS.0.1,0.6491228070180.350877192982
Ant_GUARDS.0.2,0.5909090909090.409090909091
Ant_GUARDS.0.3,0.650.35
Ant_GUARDS.CAESAR.0.1,0.646067415730.35393258427
Ant_GUARDS.CAESAR.0.2,0.6666666666670.333333333333
Ant_GUARDS.CAESAR.1,0.7750.225
Ant_GUARDS.Dercetus,0.6140350877190.385964912281
Ant_Gallus,0.6578947368420.342105263158
Ant_Iras,0.6763754045310.323624595469
Ant_LADIES,0.250.75
Ant_Lepidus,0.6170731707320.382926829268
Ant_MESSENGERS.ANTONY.1,0.6107784431140.389221556886
Ant_MESSENGERS.ANTONY.2,0.68750.3125
Ant_MESSENGERS.ANTONY.3,0.6410256410260.358974358974
Ant_MESSENGERS.CAESAR.1,0.6355140186920.364485981308
Ant_MESSENGERS.CAESAR.2,0.6515151515150.348484848485
Ant_MESSENGERS.X.1,0.9230769230770.0769230769231
Ant_MESSENGERS.X.2,0.7002341920370.299765807963
Ant_MESSENGERS.X.3,0.6842105263160.315789473684
Ant_MESSENGERS.X.4,0.6666666666670.333333333333
Ant_MESSENGERS.X.5,0.6666666666670.333333333333
Ant_Maecenas,0.6146435452790.385356454721
Ant_Mardian,0.6960.304
Ant_Menas,0.649582836710.35041716329
Ant_Octavia,0.6937901498930.306209850107
Ant_Octavius,0.633202567760.36679743224
Ant_Philo,0.6425702811240.357429718876
Ant_Pompey,0.6327380952380.367261904762
Ant_Proculeius,0.6317073170730.368292682927
Ant_SERVANTS,0.8571428571430.142857142857
Ant_SERVANTS.0.1,0.6940298507460.305970149254
Ant_SERVANTS.0.2,0.6517857142860.348214285714
Ant_SERVANTS.X.1,0.6666666666670.333333333333
Ant_SERVANTS.X.2,0.6666666666670.333333333333
Ant_SOLDIERS.ANTONY,0.6551724137930.344827586207
Ant_SOLDIERS.ANTONY.0.1,0.6258503401360.374149659864
Ant_SOLDIERS.ANTONY.0.2,0.6369426751590.363057324841
Ant_SOLDIERS.ANTONY.0.3,0.7017543859650.298245614035
Ant_SOLDIERS.ANTONY.0.4,0.650.35
Ant_SOLDIERS.ANTONY.X.1,0.6227544910180.377245508982
Ant_SOLDIERS.ANTONY.X.2,0.6060606060610.393939393939
Ant_SOLDIERS.ANTONY.X.3,0.643478260870.35652173913
Ant_SOLDIERS.CAESAR.X.1,0.6422018348620.357798165138
Ant_Scarus,0.6367112810710.363288718929
Ant_Seleucus,0.60.4
Ant_Silius,0.60.4
Ant_Soothsayer,0.6548913043480.345108695652
Ant_Taurus,1.00.0
Ant_Thidias,0.6393442622950.360655737705
Ant_Varrius,0.5333333333330.466666666667
Ant_Ventidius,0.6405867970660.359413202934
Ant_WATCHMEN.1,0.4893617021280.510638297872
Ant_WATCHMEN.2,0.43750.5625
Ant_WATCHMEN.Sentry,0.6329113924050.367088607595
Cor_AEDILES,0.01.0
Cor_AEDILES.X.2,0.7083333333330.291666666667
Cor_AEDILES.X.3,0.7012987012990.298701298701
Cor_Adrian,0.6521739130430.347826086957
Cor_Aufidius,0.6336297071130.366370292887
Cor_CITIZENS.ANTIUM.1,0.5526315789470.447368421053
Cor_CITIZENS.ROMAN,0.6062992125980.393700787402
Cor_CITIZENS.ROMAN.0.1,0.6176470588240.382352941176
Cor_CITIZENS.ROMAN.0.2,0.6187648456060.381235154394
Cor_CITIZENS.ROMAN.0.3,0.6234567901230.376543209877
Cor_CITIZENS.ROMAN.1,0.5444444444440.455555555556
Cor_CITIZENS.ROMAN.2,0.6405529953920.359447004608
Cor_CITIZENS.ROMAN.3,0.6290322580650.370967741935
Cor_CITIZENS.ROMAN.4,0.7210884353740.278911564626
Cor_CITIZENS.ROMAN.5,0.6666666666670.333333333333
Cor_CITIZENS.ROMAN.6,0.6708860759490.329113924051
Cor_CITIZENS.ROMAN.7,0.6847826086960.315217391304
Cor_CITIZENS.ROMAN.8,0.6792452830190.320754716981
Cor_CITIZENS.VOLSCIAN,0.5555555555560.444444444444
Cor_CONSPIRATORS,0.5263157894740.473684210526
Cor_CONSPIRATORS.0.1,0.6532258064520.346774193548
Cor_CONSPIRATORS.0.2,0.6388888888890.361111111111
Cor_CONSPIRATORS.0.3,0.608247422680.39175257732
Cor_Cominius,0.6521859435530.347814056447
Cor_Coriolanus,0.6638759946950.336124005305
Cor_Gentlewoman,0.8235294117650.176470588235
Cor_Herald,0.7636363636360.236363636364
Cor_LORDS.VOLSCIAN,0.6538461538460.346153846154
Cor_LORDS.VOLSCIAN.0.1,0.6581632653060.341836734694
Cor_LORDS.VOLSCIAN.0.2,0.5902777777780.409722222222
Cor_LORDS.VOLSCIAN.0.3,0.6170212765960.382978723404
Cor_Lartius,0.6237482117310.376251788269
Cor_MESSENGERS.TRIBUNES.1,0.6950672645740.304932735426
Cor_MESSENGERS.TRIBUNES.2,0.6720647773280.327935222672
Cor_MESSENGERS.X.1,0.9285714285710.0714285714286
Cor_MESSENGERS.X.2,0.6428571428570.357142857143
Cor_MESSENGERS.X.3,0.6476190476190.352380952381
Cor_MESSENGERS.X.4,0.6216216216220.378378378378
Cor_Menenius,0.6470809792840.352919020716
Cor_NOBLES.0.1,1.00.0
Cor_Nicanor,0.6780821917810.321917808219
Cor_OFFICERS.1,0.6607142857140.339285714286
Cor_OFFICERS.2,0.6371191135730.362880886427
Cor_SENATORS.ROMAN,0.5384615384620.461538461538
Cor_SENATORS.ROMAN.0.1,0.6445672191530.355432780847
Cor_SENATORS.ROMAN.0.2,0.5822784810130.417721518987
Cor_SENATORS.VOLSCIAN,0.6666666666670.333333333333
Cor_SENATORS.VOLSCIAN.0.1,0.6829268292680.317073170732
Cor_SENATORS.VOLSCIAN.0.2,0.6777777777780.322222222222
Cor_SERVANTS.1,0.6055045871560.394495412844
Cor_SERVANTS.2,0.6169265033410.383073496659
Cor_SERVANTS.3,0.6594516594520.340548340548
Cor_SOLDIERS.ROMAN,0.4705882352940.529411764706
Cor_SOLDIERS.ROMAN.0.1,0.5473684210530.452631578947
Cor_SOLDIERS.ROMAN.0.2,0.5652173913040.434782608696
Cor_SOLDIERS.ROMAN.0.3,0.4814814814810.518518518519
Cor_SOLDIERS.ROMAN.Lieutenant,0.4285714285710.571428571429
Cor_SOLDIERS.VOLSCIAN.0.1,0.7666666666670.233333333333
Cor_SOLDIERS.VOLSCIAN.Lieutenant,0.6304347826090.369565217391
Cor_TRIBUNES.Brutus,0.6230366492150.376963350785
Cor_TRIBUNES.Sicinius,0.6155067478170.384493252183
Cor_Valeria,0.6455284552850.354471544715
Cor_Virgilia,0.7074829931970.292517006803
Cor_Volumnia,0.6503193430660.349680656934
Cor_WATCHMEN.1,0.677350427350.32264957265
Cor_WATCHMEN.2,0.6390977443610.360902255639
Cor_YoungMartius,0.6923076923080.307692307692
Cym_ATTENDANTS.0.1,0.729729729730.27027027027
Cym_ATTENDANTS.0.2,0.7198067632850.280193236715
Cym_ATTENDANTS.1,0.6290491118080.370950888192
Cym_ATTENDANTS.2,0.6320.368
Cym_ATTENDANTS.3,0.80.2
Cym_ATTENDANTS.CLOTEN.1,0.6239554317550.376044568245
Cym_ATTENDANTS.CLOTEN.2,0.6380471380470.361952861953
Cym_Arviragus,0.6456223942820.354377605718
Cym_Belarius,0.6511927788520.348807221148
Cym_Cloten,0.6465446599290.353455340071
Cym_Cornelius,0.5885714285710.411428571429
Cym_Cymbeline,0.6427996781980.357200321802
Cym_Frenchman,0.6243243243240.375675675676
Cym_GHOSTS.BROTHERS.1,0.6143790849670.385620915033
Cym_GHOSTS.BROTHERS.2,0.5612244897960.438775510204
Cym_GHOSTS.Father,0.6326086956520.367391304348
Cym_GHOSTS.Mother,0.5798319327730.420168067227
Cym_Guiderius,0.6416416416420.358358358358
Cym_Iachimo,0.638884358180.36111564182
Cym_Imogen,0.6399594320490.360040567951
Cym_JAILERS.1,0.64591977870.3540802213
Cym_JAILERS.2,0.40.6
Cym_Jupiter,0.6186186186190.381381381381
Cym_LADIES.IMOGEN,0.6747967479670.325203252033
Cym_LADIES.QUEEN,0.6666666666670.333333333333
Cym_LADIES.QUEEN.0.1,0.7333333333330.266666666667
Cym_Lucius,0.6506704304870.349329569513
Cym_MESSENGERS.1,0.6818181818180.318181818182
Cym_MESSENGERS.2,0.6666666666670.333333333333
Cym_MUSICIANS,0.6741573033710.325842696629
Cym_Philario,0.6422338568940.357766143106
Cym_Pisanio,0.650.35
Cym_Posthumus,0.6574889867840.342511013216
Cym_Queen,0.6211512717540.378848728246
Cym_SENATORS.1,0.6881188118810.311881188119
Cym_SENATORS.2,00
Cym_SOLDIERS.BRITON.0.1,0.6666666666670.333333333333
Cym_SOLDIERS.BRITON.0.2,0.6704545454550.329545454545
Cym_SOLDIERS.ROMAN.0.1,0.6711409395970.328859060403
Cym_Soothsayer,0.636807817590.36319218241
Cym_TRIBUNES.0.1,0.781250.21875
Err_Abbess,0.6533333333330.346666666667
Err_Adriana,0.6333165322580.366683467742
Err_Angelo,0.6133928571430.386607142857
Err_AntipholusOfEphesus,0.6526965562050.347303443795
Err_AntipholusOfSyracuse,0.6558682952730.344131704727
Err_Balthasar,0.6489104116220.351089588378
Err_Courtesan,0.6410748560460.358925143954
Err_DromioOfEphesus,0.6422250316060.357774968394
Err_DromioOfSyracuse,0.6326074818540.367392518146
Err_Duke,0.6319115323850.368088467615
Err_Egeon,0.6457934990440.354206500956
Err_Luce,0.5353535353540.464646464646
Err_Luciana,0.6456140350880.354385964912
Err_Merchant1,0.6160714285710.383928571429
Err_Merchant2,0.6157024793390.384297520661
