play,character,x,y
AYL,DukeFrederick,-1.95622676,0.23723305
AYL,Adam,-0.30066964,1.14208194
AYL,Charles,0.32978862,-1.09791696
AYL,LORDS.FREDERICK.LeBeau,0.10797674,-1.59114642
AYL,LORDS.SENIOR.0.1,-1.45183504,-0.84231614
AYL,LORDS.SENIOR.Amiens,-1.89719655,1.01501794
AYL,SERVANTS.1,-0.60333599,-4.98689891
AYL,SERVANTS.2,-0.95314916,-6.20471501
AYL,Audrey,-1.16186698,-3.12079046
AYL,Hymen,-2.54858426,3.02480904
AYL,SecondBrother,0.6335059,0.95879387
AYL,LORDS.SENIOR.0.2,-2.61167264,-5.0092111
AYL,LORDS.FREDERICK.0.2,0.46946197,-1.82746768
AYL,William,5.69515783,22.63628588
AYL,LORDS.SENIOR,-6.88540059,-5.48362505
AYL,OliverMartext,-4.89069988,-7.57833521
AYL,LORDS.FREDERICK.0.1,-6.59809182,-5.7496477
AYL,Dennis,12.84213147,11.30126392
Err,Adriana,-0.59655404,0.62238477
Err,AntipholusOfSyracuse,-0.84394489,0.93067658
Err,DromioOfSyracuse,-1.20869406,0.58744071
Err,AntipholusOfEphesus,-0.95201578,0.69417435
Err,DromioOfEphesus,-0.61642138,1.36344169
Err,Egeon,-0.9059352,-0.34834576
Err,Luciana,-0.44632839,0.23177715
Err,Duke,-1.10252559,0.09852818
Err,Angelo,-1.86657767,1.46179621
Err,Abbess,-1.22657689,-1.28500897
Err,Courtesan,-0.27458162,2.04027531
Err,Merchant2,-1.76099293,1.11789602
Err,Balthasar,-2.90360359,-0.38840474
Err,Messenger,0.92738564,2.10481366
Err,Merchant1,-3.11373585,2.00516859
Err,Pinch,0.31774157,1.55718797
Err,OFFICERS.X,3.98570468,1.43106349
Err,Luce,-9.61084247,4.70298334
Err,OFFICERS.Jailer,38.69196795,-10.94257879
Cor,Coriolanus,-0.92586457,0.12620609
Cor,Menenius,-0.99214501,0.01598607
Cor,Volumnia,-0.97632554,0.16685156
Cor,Aufidius,-0.88728917,0.53470894
Cor,TRIBUNES.Sicinius,-1.19513439,0.58472255
Cor,Cominius,-0.45799498,0.03020235
Cor,TRIBUNES.Brutus,-1.31251297,0.59174119
Cor,CITIZENS.ROMAN.0.1,-1.27215577,1.7183135
Cor,CITIZENS.ROMAN.3,-1.76163372,1.60804611
Cor,CITIZENS.ROMAN.0.2,-1.54766465,0.74882198
Cor,SERVANTS.3,-2.11828556,-0.2567677
Cor,Lartius,0.25960165,-0.46361895
Cor,Valeria,-1.62595612,-0.46496217
Cor,SENATORS.ROMAN.0.1,-0.59150042,0.12899941
Cor,SERVANTS.2,-1.26866438,2.1102013
Cor,WATCHMEN.1,0.92771658,2.64098995
Cor,SERVANTS.1,-1.74468834,1.48858039
Cor,Virgilia,1.48618276,-0.03950773
Cor,Nicanor,-2.34541165,-0.86270274
Cor,CITIZENS.ROMAN.0.3,-2.27744062,3.82271403
Cor,OFFICERS.2,-3.61533857,-0.08744955
Cor,Adrian,-2.53260473,0.53653131
Cor,CITIZENS.ROMAN,-1.16180996,5.80406636
Cor,MESSENGERS.TRIBUNES.2,-2.15523957,-0.90528163
Cor,CITIZENS.ROMAN.2,-2.96854874,3.28043232
Cor,OFFICERS.1,0.04911758,-3.23492424
Cor,MESSENGERS.TRIBUNES.1,-0.37268662,-2.31407986
Cor,SENATORS.VOLSCIAN.0.1,1.70412949,2.38322367
Cor,LORDS.VOLSCIAN.0.1,3.15701476,1.11650559
Cor,CITIZENS.ROMAN.1,-4.33847698,0.64820672
Cor,CONSPIRATORS.0.3,4.83681073,-0.09789588
Cor,SOLDIERS.VOLSCIAN.Lieutenant,-0.38439083,4.19061978
Cor,WATCHMEN.2,-3.09470107,6.57392082
Cor,LORDS.VOLSCIAN.0.2,-4.624853,-4.59424563
Cor,MESSENGERS.X.4,-3.23605855,-2.53886748
Cor,CITIZENS.ROMAN.4,-6.87358953,4.3835386
Cor,CONSPIRATORS.0.1, 5.809965  -,0.1404001
Cor,MESSENGERS.X.3,0.33938907,2.22942409
Cor,SOLDIERS.ROMAN.0.1,-4.7016743,4.23741658
Cor,CONSPIRATORS.0.2,8.18236538,3.4026059
Cor,SENATORS.VOLSCIAN.0.2,8.64754036,0.13476911
Cor,CITIZENS.ROMAN.7,-10.77335538,-1.75462907
Cor,AEDILES.X.2,5.58427721,2.05824161
Cor,AEDILES.X.3,-0.75843004,-6.74252996
Cor,CITIZENS.ROMAN.5,-4.82862074,6.41020316
Cor,Herald,-11.45426421,3.56298259
Cor,CITIZENS.ROMAN.6,-15.93188585,3.53527946
Cor,SENATORS.ROMAN.0.2,-11.25328854,-4.67695101
Cor,CITIZENS.ROMAN.8,-18.55422914,4.76604351
Cor,LORDS.VOLSCIAN.0.3,18.55211587,-2.55716889
Cor,CITIZENS.VOLSCIAN,8.86890728,-2.63240881
Cor,SOLDIERS.ROMAN.0.3,-8.70523613,9.10602485
Cor,CITIZENS.ANTIUM.1,-10.92815159,5.08406523
Cor,SENATORS.ROMAN,14.73771708,10.07775064
Cor,SOLDIERS.ROMAN.0.2,-8.91709477,7.88530358
Cor,SOLDIERS.VOLSCIAN.0.1,-0.36217636,-16.01960763
Cor,YoungMartius,-12.63180056,7.08374727
Cor,MESSENGERS.X.2,-13.63953987,5.36376558
Cor,MESSENGERS.X.1,5.09285181,26.59354917
Cor,SOLDIERS.ROMAN,-12.27966963,9.81655029
Cor,CONSPIRATORS,25.42677932,-30.90333547
Cor,LORDS.VOLSCIAN,34.40215049,-16.08533315
Cor,Gentlewoman,-4.99800479,-20.08452211
Cor,SENATORS.VOLSCIAN,-8.44468682,-20.0866525
Cor,SOLDIERS.ROMAN.Lieutenant,1.22122707,33.73986796
Cor,NOBLES.0.1,-11.52994317,-36.08957742
Cor,AEDILES,9.89073466,55.09021012
Cym,Imogen,-0.55185423,0.42862147
Cym,Posthumus,-0.82097237,0.14759728
Cym,Iachimo,-1.01780808,-0.14918882
Cym,Belarius,-1.02925391,0.17391192
Cym,Cloten,-1.36278931,0.24886974
Cym,Cymbeline,-0.77435814,0.16600658
Cym,Pisanio,-0.31539901,0.32335161
Cym,Queen,-1.14387036,0.69292444
Cym,Guiderius,-1.00981638,0.39186433
Cym,Arviragus,-0.40845435,0.29990949
Cym,Lucius,-0.57832849,0.17826569
Cym,Cornelius,-0.93814884,-0.39901153
Cym,ATTENDANTS.1,-1.76901426,0.57861812
Cym,JAILERS.1,-1.90667133,-0.07443464
Cym,ATTENDANTS.CLOTEN.2,-0.67937121,-0.90572405
Cym,Soothsayer,-2.31329548,-1.01888031
Cym,Philario,-2.68574389,0.53541137
Cym,GHOSTS.Father,-0.23863438,0.32979262
Cym,ATTENDANTS.CLOTEN.1,-3.76663721,0.96371794
Cym,Frenchman,-2.45156427,-0.77022085
Cym,Jupiter,0.57443652,-0.37770055
Cym,ATTENDANTS.0.2,1.71545164,-2.06281746
Cym,SENATORS.1,-4.06142328,-2.2731255
Cym,GHOSTS.BROTHERS.1,-1.25731772,-2.20046653
Cym,ATTENDANTS.2,-2.445944  -,1.5843658
Cym,SOLDIERS.ROMAN.0.1,-3.2654015,-3.29006677
Cym,GHOSTS.Mother,-4.26231564,5.5373058
Cym,LADIES.IMOGEN,4.27812258,4.15734411
Cym,SOLDIERS.BRITON.0.2,-3.88202871,6.43963501
Cym,GHOSTS.BROTHERS.2,-6.63258628,1.51182807
Cym,MUSICIANS,1.87572811,11.15847128
Cym,ATTENDANTS.3,-0.81344836,14.40257346
Cym,SOLDIERS.BRITON.0.1,-8.48317165,-3.46244795
Cym,ATTENDANTS.0.1,-1.24816753,12.25797986
Cym,TRIBUNES.0.1,2.22565702,-12.43921208
Cym,MESSENGERS.1,-1.5002455,-19.00734047
Cym,MESSENGERS.2,10.81796572,-21.97910266
Cym,LADIES.QUEEN.0.1,18.65563206,-4.30895438
Cym,LADIES.QUEEN,21.42923473,6.73186759
Cym,JAILERS.2,-20.18225936,-22.72506667
Cym,SENATORS.2,-18.13839019,-67.96031237
Ham,Hamlet,-1.23880122,-0.29337525
Ham,Claudius,-1.17396073,-0.1172319
Ham,Polonius,-0.6779868,-0.00078557
Ham,Horatio,-0.47287813,-0.34515637
Ham,Laertes,-1.10293838,-0.48631871
Ham,Ophelia,0.86086171,-0.33888223
Ham,Gertrude,-0.35472092,-0.19642485
Ham,Gravedigger,-0.85361243,1.14635292
Ham,Rosencrantz,-0.71535642,-1.03370662
Ham,Ghost,-2.41957188,-0.47403211
Ham,Marcellus,-0.33117754,0.02885284
Ham,Osric,-0.0166641,-0.20128577
Ham,PLAYERS.1,-0.52195819,-1.38963143
Ham,PLAYERS.King,-1.26397201,-1.64645542
Ham,Guildenstern,0.49997106,-0.76499585
Ham,PLAYERS.Queen,-2.41840788,-1.21484761
Ham,Barnardo,-0.88752125,1.79641235
Ham,Fortinbras,-1.8340709,0.9085246
Ham,Voltemand,-1.48869313,2.36170825
Ham,ATTENDANTS.1,-2.88244608,4.07718431
Ham,GravediggersCompanion,-3.04382061,0.66149184
Ham,Doctor,-0.11350551,-4.82759843
Ham,SOLDIERS.FORTINBRAS.Captain,2.32835975,-2.71678192
Ham,MESSENGERS.1,-2.51127246,-2.66931124
Ham,ATTENDANTS.2,0.44106523,6.55545477
Ham,Reynaldo,16.99917977,-4.22542587
Ham,Francisco,0.54940259,5.44961877
Ham,AMBASSADORS,0.95681759,-5.52206611
Ham,PLAYERS.Lucianus,0.49021123,-3.96844152
Ham,SAILORS.0.1,4.51020556,10.55050523
Ham,MESSENGERS.2,8.19478329,5.06442204
Ham,PLAYERS.Prologue,10.91378207,8.79261027
Ham,PLAYERS.0.1,10.08062851,13.20620174
Ham,ATTENDANTS.0.1,-7.60338353,10.76072321
Ham,Cornelius,0.0986885,-21.34978988
Ham,FOLLOWERS.LAERTES,-14.59012258,-26.93063746
Ham,ATTENDANTS.GUARDS,13.66799974,-26.6273633
Ham,ATTENDANTS,-19.92440352,1.87183774
1H4,Falstaff,-1.080964,-0.40979583
1H4,HenryV,-0.84453102,-0.5609367
1H4,Hotspur,-0.97813028,-0.4740244
1H4,HenryIV,-1.11534969,-0.69415817
1H4,Worcester,-1.35820335,-0.71861066
1H4,Glendower,-0.67941491,-0.81639503
1H4,Poins,0.57983792,0.65547086
1H4,Vernon,-0.27822215,-1.42270341
1H4,Mortimer,-1.50093844,-0.39582483
1H4,LadyPercy,-1.62410553,0.19175289
1H4,MistressQuickly,1.44429851,1.39182323
1H4,Gadshill,-2.36970369,-0.26970562
1H4,Douglas,-0.87594336,-1.26427247
1H4,Blunt,-1.39911726,-0.78816701
1H4,Westmoreland,-1.0766077,-1.09861312
1H4,Archbishop,-1.53820834,-1.34114319
1H4,Bardolph,0.30408248,0.4301279
1H4,TRAVELERS.CARRIERS.1,-4.22389747,0.37254425
1H4,Northumberland,0.42724622,-0.65842459
1H4,Chamberlain,-1.11978391,-1.76281581
1H4,TRAVELERS.CARRIERS.2,-0.52288376,-2.76383531
1H4,Peto,-2.02720883,-3.67111202
1H4,DRAWERS.Francis,6.29086853,-0.13640322
1H4,Bedford,2.91411324,2.69521597
1H4,Sheriff,4.05172473,-1.14874523
1H4,SirMichael,6.68819032,-3.55242057
1H4,MESSENGERS.X,9.53287022,1.00372853
1H4,Vintner,0.01780647,-7.04099517
1H4,TRAVELERS.GENTLEMEN.0.1,-2.95034987,-14.62979878
1H4,SERVANTS.HOTSPUR.1,16.26679055,1.64211372
1H4,TRAVELERS.GENTLEMEN,-15.61584797,-15.79937712
1H4,MESSENGERS.2,16.30342922,-13.07334907
1H4,MESSENGERS.1,30.97826631,10.47214791
1H4,TRAVELERS.CARRIERS.X,-42.7815683,12.49983212
1H4,TRAVELERS.CARRIERS,-30.12190061,-23.52993735
2H4,Falstaff,-0.96978602,-0.37679229
2H4,HenryV,-0.82925213,-0.15590034
2H4,HenryIV,-0.95541518,-0.65056597
2H4,Shallow,0.23487564,0.09095637
2H4,MistressQuickly,-0.2313955,0.19320063
2H4,ChiefJustice,-1.15228884,-0.30123324
2H4,Archbishop,-0.74888231,-0.67346867
2H4,Westmoreland,0.25094231,-0.23005855
2H4,Northumberland,-1.14682573,-0.61388887
2H4,Bedford,-0.49239412,-0.36099362
2H4,LordBardolph,-1.11875738,-1.05671964
2H4,DollTearsheet,-1.03879168,-0.73811595
2H4,Morton,-0.05857496,-0.70216166
2H4,Warwick,-0.39734082,-0.26098933
2H4,Pistol,0.05371537,-1.02103525
2H4,Poins,-1.52902908,0.83043522
2H4,Mowbray,-1.27802423,-1.18286351
2H4,Hastings,-1.61740201,-0.89336071
2H4,LadyPercy,-0.94876498,-0.80672616
2H4,Epilogue,-1.8206818,1.05866332
2H4,Bardolph,0.42838755,-1.61836428
2H4,Chorus,-1.42125482,-1.51458251
2H4,Davy,-3.40740845,1.05975769
2H4,Silence,0.36269613,-3.04148087
2H4,SERVANTS.FALSTAFF.1,1.08386457,-0.56433577
2H4,Clarence,-0.22784816,-1.72982361
2H4,Gloucester,1.66624252,0.11340406
2H4,Travers,0.61653376,2.21475087
2H4,Bullcalf,5.44253153,2.51236791
2H4,Feeble,-1.7316956,6.56732901
2H4,Mouldy,1.65024497,4.79300244
2H4,SERVANTS.CHIEFJUSTICE.1,1.52045417,5.73550209
2H4,BEADLES.0.1,-3.94531607,-5.31765345
2H4,DRAWERS.1,-1.12998269,2.65933893
2H4,Colevile,5.52887715,5.72630224
2H4,Harcourt,-3.81880468,-3.6554342
2H4,DRAWERS.Francis,-5.33692125,3.52645483
2H4,MESSENGERS.Gower,3.94756571,-2.63744713
2H4,OFFICERS.Fang,-6.31563337,7.34359371
2H4,Peto,-6.430812,-0.51842742
2H4,LadyNorthumberland,-1.17272205,-5.5678712
2H4,DRAWERS.Will,-8.39465785,-0.98264877
2H4,MESSENGERS.1,0.40857401,-8.21097576
2H4,Porter,-0.66180054,6.40783975
2H4,OFFICERS.Snare,2.63922242,14.67782289
2H4,GROOMS.1,5.7354146,-17.88797948
2H4,DRAWERS.X,-16.29279818,-7.64454588
2H4,Shadow,-4.07580008,30.40994439
2H4,GROOMS.2,-19.04952817,-3.8814965
2H4,Wart,14.04413127,45.60688173
H5,HenryV,-0.93604425,-0.55370885
H5,Fluellen,-1.75491805,-1.43764075
H5,Chorus,-0.77017471,-1.24871077
H5,BishopOfCanterbury,-1.20661444,-1.33559024
H5,Pistol,0.02925814,-1.34814404
H5,Exeter,-0.71104892,-0.85830334
H5,Constable,-0.70283863,-0.45429451
H5,Dauphin,-0.81876062,-0.72945465
H5,KingOfFrance,-1.4753134,-1.32833649
H5,Boy,-1.07516442,-0.56776619
H5,SOLDIERS.ENGLISH.Williams,-1.36183638,-0.27330746
H5,Burgundy,-0.76695789,-0.90843819
H5,Gower,-2.61595721,-1.32268174
H5,Katherine,-2.62308156,10.84413131
H5,Montjoy,-0.31888039,-0.50982095
H5,Nym,-3.39776431,1.32397846
H5,MistressQuickly,-1.95031091,-1.86178244
H5,Orleans,-2.0368799,-1.25980254
H5,BishopOfEly,-1.32570666,-1.29681766
H5,Bardolph,-1.1498174,0.80912449
H5,MacMorris,-3.72831122,-2.94985557
H5,QueenOfFrance,0.35454366,-2.37501419
H5,SOLDIERS.ENGLISH.Bates,1.1429251,3.54402695
H5,Alice,-4.92705671,9.45262876
H5,Westmoreland,-0.75452718,-2.66474869
H5,Grandpre,1.58614923,-2.29927266
H5,AMBASSADORS.0.1,0.92755721,2.70876406
H5,Cambridge,-2.84262425,-1.4977535
H5,Jamy,5.24308665,-1.51183
H5,SOLDIERS.FRENCH.LeFer,1.65099113,12.53311788
H5,Scroop,2.04462239,2.02183443
H5,Grey,-2.38875825,1.24144744
H5,Bedford,1.21352081,-1.99652325
H5,Salisbury,4.56108536,-1.35516267
H5,Bourbon,-3.5742398,-4.30132482
H5,Rambures,2.54325992,2.03485895
H5,Brittany,-1.59355309,-3.12263882
H5,Governor,-2.39425483,5.40307539
H5,Erpingham,10.87621061,-1.78132118
H5,Gloucester,0.73205916,-11.42774255
H5,MESSENGERS.X.2,2.108769,-6.51317077
H5,York,8.07628101,-15.49368868
H5,MESSENGERS.X.1,2.34454435,-9.68866429
H5,SOLDIERS.ENGLISH.Court,-11.42357416,14.00030296
H5,HERALDS.1,-4.67842876,-11.88417341
H5,MESSENGERS.X.3,14.55874699,-11.91067787
H5,Warwick,-35.42067919,2.49618855
H5,ATTENDANTS.ENGLISH,-27.91139016,40.90704393
1H6,Talbot,-0.60896655,-0.31363384
1H6,Pucelle,-0.8283637,-0.51343384
1H6,Gloucester,-0.63453811,-0.07924375
1H6,York,-0.72766994,-0.22703628
1H6,HenryVI,-0.49912383,-0.95661448
1H6,Suffolk,-0.99468279,-0.34719465
1H6,Charles,-1.21822235,-0.34037369
1H6,CardinalBeaufort,-0.95435194,-0.38018744
1H6,Mortimer,-0.00808684,-0.35401663
1H6,Bedford,0.45139977,0.24963717
1H6,Lucy,-0.06762355,-1.61897954
1H6,Warwick,-1.20633659,-0.20889003
1H6,Somerset,-0.03629976,0.11146922
1H6,Exeter,0.46132571,-0.7665844
1H6,Reignier,-0.68248389,-0.07022801
1H6,JohnTalbot,-2.52330043,1.72256599
1H6,Alanson,0.75563938,-0.38677493
1H6,Countess,-1.09389184,0.94306767
1H6,MESSENGERS.ENGLISH.3,-1.10056413,-0.85327488
1H6,Burgundy,-0.11412585,0.1747179
1H6,QueenMargaret,-1.30288971,1.37669995
1H6,Vernon,-1.50642213,0.25974499
1H6,Bastard,0.14331008,-1.21085167
1H6,General,-2.35926,-2.53226401
1H6,Shepherd,-2.95563391,2.02095499
1H6,Basset,-0.17523976,-1.72073578
1H6,Mayor,-0.91359174,-1.52001571
1H6,MasterGunner,-4.15970834,0.6858642
1H6,MESSENGERS.ENGLISH.1,-1.85257715,-1.99450412
1H6,Salisbury,-1.91539331,3.05526409
1H6,MESSENGERS.FRENCH.1,5.29077236,-2.00760869
1H6,SERVANTS.GLOUCESTER.0.2,-2.58993766,-2.29038417
1H6,Fastolf,3.99559212,-3.47930756
1H6,MESSENGERS.ENGLISH.2,3.25248785,-6.63318709
1H6,MESSENGERS.ENGLISH.X.2,7.03252171,8.12492549
1H6,OFFICERS.0.1,3.35375426,-5.74437389
1H6,SERVANTS.GLOUCESTER.0.1,-6.11332338,-3.76705443
1H6,Woodville,-5.24427427,-1.13765099
1H6,SOLDIERS.ENGLISH.1,-1.12349335,4.67521706
1H6,MESSENGERS.ENGLISH.X.1,1.45496565,-6.65140721
1H6,Boy,-10.10501008,7.88462724
1H6,SOLDIERS.FRENCH.Scout,-7.89026414,-1.93200854
1H6,SOLDIERS.FRENCH.Sergeant,-5.77439187,-4.1166772
1H6,JAILERS.0.1,1.22819553,-4.15771183
1H6,Lawyer,-0.31154944,-8.08706282
1H6,SERVANTS.WINCHESTER.0.1,4.86587521,-11.00745244
1H6,WATCHMEN.1,-3.69053781,-8.89437679
1H6,SOLDIERS.ENGLISH.Captain,-2.64707439,-10.9565328
1H6,WARDERS.1,2.28554697,10.12921457
1H6,SOLDIERS.FRENCH.PUCELLE.0.1,8.93334048,6.70976951
1H6,Gargrave,11.95319952,3.72510775
1H6,SERVANTS.GLOUCESTER,-10.16104832,-2.69269852
1H6,SOLDIERS.ENGLISH.SOMERSET.0.1,17.7564886,11.85377931
1H6,SERVANTS.TALBOT.1,26.23454632,0.73116003
1H6,Watchman,-9.36862123,-13.13682378
1H6,Glansdale,-6.90387559,-17.98387001
1H6,SERVANTS.3,-7.87973777,-9.14844135
1H6,WARDERS.2,-14.3818122,29.36641918
1H6,Legate,2.02759647,-20.30794034
1H6,SOLDIERS.ENGLISH.0.1,21.46655425,-10.73688756
1H6,SERVANTS.1,-21.97590632,3.74603673
1H6,SERVANTS.2,-3.46976696,-26.9663945
1H6,Porter,16.33644589,-31.22109563
2H6,York,-0.34650722,-0.52742677
2H6,QueenMargaret,-0.51822909,-0.49059873
2H6,HenryVI,-0.45976146,-0.32343762
2H6,Gloucester,-0.56808972,-0.43603247
2H6,Suffolk,-0.56375204,-0.23971282
2H6,Cade,-0.82202253,-0.46132168
2H6,Warwick,-0.45551208,-0.89492731
2H6,DuchessOfGloucester,-0.2999297 -,0.4773573
2H6,CardinalBeaufort,-0.28934572,-0.983553
2H6,Salisbury,-0.50842753,-0.98411807
2H6,Buckingham,0.15194952,-0.93114793
2H6,Lieutenant,-0.13890335,-1.55021546
2H6,Clifford,-0.77107085,0.3821561
2H6,Iden,-0.94002834,1.34382872
2H6,Saye,-0.0553613,-0.04136414
2H6,YoungClifford,-0.95162004,-0.55118468
2H6,Dick,1.1824626,-1.51702211
2H6,Hume,0.03987179,-2.69169246
2H6,Thump,2.91243978,3.25909672
2H6,RichardIII,1.47183641,1.32348192
2H6,Holland,1.34633269,-0.2532003
2H6,Somerset,0.17646885,-1.3674375
2H6,Bolingbroke,-2.26346057,-1.15583343
2H6,Horner,-0.06525264,-0.90192046
2H6,Bevis,-0.58500822,-3.65572965
2H6,Simpcox,-2.10293447,5.64207983
2H6,Smith,1.33032238,2.59524695
2H6,Whitmore,1.58680809,-0.05689385
2H6,Stafford,0.3055771,-1.79762289
2H6,Vaux,-4.8224928,1.82967029
2H6,PETITIONERS.0.1,4.1481832,-2.33294803
2H6,MESSENGERS.1,2.51040067,-3.5053374
2H6,FOLLOWERS.CADE.0,5.64046859,-9.19443648
2H6,FOLLOWERS.CADE,6.62206355,-9.71454663
2H6,Scales,3.08465908,-2.10881068
2H6,Michael,11.41128763,-7.08096815
2H6,Spirit,-3.45816142,-5.9762745
2H6,Stanley,4.20464946,2.78450186
2H6,MESSENGERS.X.3,0.61809774,-5.48340935
2H6,GENTLEMEN.1,4.39959968,0.10846609
2H6,SimpcoxWife,3.8145368,2.27795199
2H6,WilliamStafford,2.890046,-5.40046236
2H6,MESSENGERS.Post,5.51339823,-5.12243807
2H6,PETITIONERS.0.2,-2.25449218,-6.42377762
2H6,CITIZENS.LONDON.0.1,4.89803633,-4.09542448
2H6,MESSENGERS.2,-5.63548189,-6.87100832
2H6,George,5.4807906,-20.33405695
2H6,Sheriff,-5.95837677,-0.74262212
2H6,MESSENGERS.X.2,1.30376506,-5.91541413
