character,A Midsummer Night's Dream,gender,numlines
ANTIPHOLUS OF EPHESUS,As You Like It,Male,212
MARTIUS,As You Like It,Male,212
MALCOLM,As You Like It,Male,211
NORFOLK,As You Like It,Male,211
SATURNINUS,As You Like It,Male,210
LAERTES,As You Like It,Male,210
KING PHILIP,As You Like It,Male,209
HORTENSIO,As You Like It,Male,208
PUCK,As You Like It,Male,206
FLORIZEL,As You Like It,Male,205
FLAVIUS,As You Like It,Male,205
HUBERT,As You Like It,Male,204
LAUNCE,As You Like It,Male,201
DUKE,As You Like It,Male,200
SPEED,As You Like It,Male,196
ARIEL,As You Like It,Male,196
SHALLOW,As You Like It,Male,195
AGAMEMNON,As You Like It,Male,195
CLOWN,As You Like It,Male,195
JOHN OF GAUNT,As You Like It,Male,192
BUCKINGHAM,As You Like It,Male,192
ACHILLES,As You Like It,Male,191
COSTARD,As You Like It,Male,190
ESCALUS,As You Like It,Male,189
LUCENTIO,As You Like It,Male,189
WORCESTER,As You Like It,Male,189
ANTONIO,As You Like It,Male,188
RICHARD,Coriolanus,Male,184
CLOWN,Coriolanus,Male,183
GLOUCESTER,Coriolanus,Male,183
LORENZO,Coriolanus,Male,180
MACDUFF,Coriolanus,Male,180
LUCIUS,Coriolanus,Male,179
KING,Coriolanus,Male,179
LYSANDER,Coriolanus,Male,179
CALIBAN,Coriolanus,Male,178
GRATIANO,Coriolanus,Male,177
DOGBERRY,Coriolanus,Male,176
SUFFOLK,Coriolanus,Male,174
BAPTISTA,Coriolanus,Male,174
FIRST LORD,Coriolanus,Male,173
YORK,Coriolanus,Male,173
STEPHANO,Coriolanus,Male,168
GRUMIO,Coriolanus,Male,168
GREMIO,Coriolanus,Male,167
PROVOST,Coriolanus,Male,166
GUIDERIUS,Coriolanus,Male,164
HOLOFERNES,Coriolanus,Male,164
CARDINAL PANDULPH,Coriolanus,Male,164
LAUNCELOT,Coriolanus,Male,163
CLARENCE,Coriolanus,Male,163
SIR ANDREW,Coriolanus,Male,162
PISTOL,Coriolanus,Male,162
GONZALO,Coriolanus,Male,161
BENVOLIO,Coriolanus,Male,161
LORD CHIEF JUSTICE,Coriolanus,Male,160
SALISBURY,Coriolanus,Male,159
ALBANY,Coriolanus,Male,159
ALCIBIADES,Coriolanus,Male,159
SIMONIDES,Coriolanus,Male,157
NESTOR,Coriolanus,Male,157
POMPEY,Coriolanus,Male,156
DROMIO OF EPHESUS,Coriolanus,Male,154
MOTE,Coriolanus,Male,154
CAESAR,Coriolanus,Male,151
ANTONIO,Coriolanus,Male,151
LORD CHAMBERLAIN,Coriolanus,Male,150
PAGE,Coriolanus,Male,149
OLIVER,Coriolanus,Male,148
ARCHBISHOP,Coriolanus,Male,148
LORD,Coriolanus,Male,146
AENEAS,Coriolanus,Male,143
EGEON,Coriolanus,Male,143
NORTHUMBERLAND,Coriolanus,Male,143
SLENDER,Coriolanus,Male,143
HASTINGS,Coriolanus,Male,140
CLIFFORD,Coriolanus,Male,140
BRABANTIO,Coriolanus,Male,139
FERDINAND,Coriolanus,Male,139
ARVIRAGUS,Coriolanus,Male,138
SHEPHERD,Coriolanus,Male,137
LEWIS THE DAUPHIN,Coriolanus,Male,137
RICHMOND,Coriolanus,Male,137
POMPEY,Coriolanus,Male,136
DEMETRIUS,Coriolanus,Male,136
CHARLES,Coriolanus,Male,135
MOWBRAY,Coriolanus,Male,135
ROSS,Coriolanus,Male,135
CRANMER,Coriolanus,Male,135
WARWICK,Coriolanus,Male,131
CASCA,Coriolanus,Male,130
EXETER,Coriolanus,Male,129
SHALLOW,Coriolanus,Male,125
SEBASTIAN,Coriolanus,Male,125
SEBASTIAN,Coriolanus,Male,124
PIRITHOUS,Coriolanus,Male,124
CONSTABLE,Coriolanus,Male,123
BORACHIO,Coriolanus,Male,123
WARWICK,Coriolanus,Male,121
QUINCE,Coriolanus,Male,121
HELICANUS,Cymbeline,Male,121
ARTHUR,Cymbeline,Male,120
RODERIGO,Cymbeline,Male,119
SECOND LORD,Cymbeline,Male,119
GAOLER,Cymbeline,Male,118
DAUPHIN,Cymbeline,Male,115
SALERIO,Cymbeline,Male,115
CLAUDIO,Cymbeline,Male,113
FABIAN,Cymbeline,Male,113
BANQUO,Cymbeline,Male,113
ANTIGONUS,Cymbeline,Male,111
CLEON,Cymbeline,Male,111
CERIMON,Cymbeline,Male,110
HOST,Cymbeline,Male,110
DON JOHN,Cymbeline,Male,109
ALONSO,Cymbeline,Male,109
DUKE,Cymbeline,Male,109
WESTMORLAND,Cymbeline,Male,109
CORNWALL,Cymbeline,Male,109
PRINCE JOHN,Cymbeline,Male,108
DERBY,Cymbeline,Male,108
LYSIMACHUS,Cymbeline,Male,107
FIRST GENTLEMAN,Cymbeline,Male,107
SCHOOLMASTER,Cymbeline,Male,107
BIONDELLO,Cymbeline,Male,106
NORTHUMBERLAND,Cymbeline,Male,106
ANTONIO,Cymbeline,Male,106
GEORGE,Cymbeline,Male,105
WOOER,Cymbeline,Male,105
DIOMEDES,Cymbeline,Male,104
LUCIUS,Cymbeline,Male,104
POET,Cymbeline,Male,104
MOROCCO,Cymbeline,Male,103
CARDINAL,Cymbeline,Male,103
TRINCULO,Cymbeline,Male,102
ROSENCRANTZ,Cymbeline,Male,100
CAIUS,Cymbeline,Male,97
PARIS,Cymbeline,Male,97
AUDLEY,Cymbeline,Male,97
FENTON,Cymbeline,Male,96
WINCHESTER,Cymbeline,Male,96
FIRST PLAYER,Cymbeline,Male,96
GHOST,Cymbeline,Male,95
FIRST CLOWN,Cymbeline,Male,94
DEMETRIUS,Hamlet,Male,94
SALISBURY,Hamlet,Male,94
FRENCH KING,Hamlet,Male,94
SUFFOLK,Hamlet,Male,93
SALISBURY,Hamlet,Male,92
DUKE,Hamlet,Male,91
GARDINER,Hamlet,Male,91
FIRST CITIZEN,Hamlet,Male,89
DUMAINE,Hamlet,Male,89
FIRST SENATOR,Hamlet,Male,89
DOCTOR,Hamlet,Male,88
MORTIMER,Hamlet,Male,88
KING HENRY,Hamlet,Male,88
SECOND GENTLEMAN,Hamlet,Male,87
LORD BARDOLPH,Hamlet,Male,87
AJAX,Hamlet,Male,86
CHARLES,Hamlet,Male,85
AUMERLE,Hamlet,Male,85
FRIAR,Hamlet,Male,82
FIRST SOLDIER,Hamlet,Male,82
GENTLEMAN,Hamlet,Male,82
BOULT,Hamlet,Male,82
SURREY,Hamlet,Male,81
PISTOL,Hamlet,Male,80
MORTON,Hamlet,Male,79
POINS,Hamlet,Male,79
OSWALD,Hamlet,Male,78
PEMBROKE,Hamlet,Male,78
LODOVICO,Hamlet,Male,77
WARWICK,Hamlet,Male,77
GLENDOWER,Hamlet,Male,77
LUCY,Hamlet,Male,77
ANGELO,Hamlet,Male,77
BEDFORD,Hamlet,Male,76
SILVIUS,Hamlet,Male,75
PRINCE,Hamlet,Male,75
BUCKINGHAM,Hamlet,Male,74
CORNELIUS,Hamlet,Male,73
LONGAVILLE,Hamlet,Male,72
WARWICK,Henry IV Part 1,Male,72
CORIN,Henry IV Part 1,Male,71
DUKE,Henry IV Part 1,Male,71
ELBOW,Henry IV Part 1,Male,71
WILLIAMS,Henry IV Part 1,Male,70
SOLANIO,Henry IV Part 1,Male,70
KING,Henry IV Part 1,Male,70
LENNOX,Henry IV Part 1,Male,70
PARIS,Henry IV Part 1,Male,69
PATROCLUS,Henry IV Part 1,Male,69
BOY,Henry IV Part 1,Male,69
DUKE FREDERICK,Henry IV Part 1,Male,68
LOVELL,Henry IV Part 1,Male,68
ANTIOCHUS,Henry IV Part 1,Male,68
BURGUNDY,Henry IV Part 1,Male,67
LEPIDUS,Henry IV Part 1,Male,67
LEWIS,Henry IV Part 1,Male,67
MARINER,Henry IV Part 1,Male,66
ARRAGON,Henry IV Part 1,Male,66
FIRST GENTLEMAN,Henry IV Part 1,Male,66
VERNON,Henry IV Part 1,Male,66
LUCIUS,Henry IV Part 1,Male,66
PAINTER,Henry IV Part 1,Male,65
KING EDWARD,Henry IV Part 1,Male,65
FIRST MURDERER,Henry IV Part 1,Male,65
ADAM,Henry IV Part 1,Male,65
LIEUTENANT,Henry IV Part 1,Male,65
SOMERSET,Henry IV Part 1,Male,64
GOWER,Henry IV Part 1,Male,64
BISHOP OF CARLISLE,Henry IV Part 1,Male,63
BASSIANUS,Henry IV Part 1,Male,63
THIRD GENTLEMAN,Henry IV Part 1,Male,63
MONTANO,Henry IV Part 1,Male,62
MENAS,Henry IV Part 1,Male,62
SLY,Henry IV Part 1,Male,61
SURVEYOR,Henry IV Part 2,Male,61
SECOND MURDERER,Henry IV Part 2,Male,61
MARCELLUS,Henry IV Part 2,Male,61
SECOND SENATOR,Henry IV Part 2,Male,61
POINS,Henry IV Part 2,Male,60
MORTIMER,Henry IV Part 2,Male,60
LARTIUS,Henry IV Part 2,Male,60
LORD,Henry IV Part 2,Male,60
AGRIPPA,Henry IV Part 2,Male,60
EXETER,Henry IV Part 2,Male,59
GRIFFITH,Henry IV Part 2,Male,59
REIGNIER,Henry IV Part 2,Male,59
LUCULLUS,Henry IV Part 2,Male,59
CATESBY,Henry IV Part 2,Male,58
THIRD GENTLEMAN,Henry IV Part 2,Male,57
HASTINGS,Henry IV Part 2,Male,57
FLUTE,Henry IV Part 2,Male,57
DUKE,Henry IV Part 2,Male,57
ARTOIS,Henry IV Part 2,Male,57
MOWBRAY,Henry IV Part 2,Male,56
CLIFFORD,Henry IV Part 2,Male,56
THURIO,Henry IV Part 2,Male,55
ANTONIO,Henry IV Part 2,Male,55
NATHANIEL,Henry IV Part 2,Male,55
THIRD CITIZEN,Henry IV Part 2,Male,53
CAMPEIUS,Henry IV Part 2,Male,53
CHIRON,Henry IV Part 2,Male,53
GUILDENSTERN,Henry IV Part 2,Male,53
GARDENER,Henry IV Part 2,Male,52
THIRD SERVINGMAN,Henry IV Part 2,Male,52
MONTJOY,Henry IV Part 2,Male,52
SPEAKER,Henry IV Part 2,Male,52
PEDANT,Henry IV Part 2,Male,51
IDEN,Henry IV Part 2,Male,51
PISTOL,Henry IV Part 2,Male,51
SIMPLE,Henry IV Part 2,Male,49
CROMWELL,Henry IV Part 2,Male,49
ALENÇON,Henry IV Part 2,Male,49
MESSENGER,Henry IV Part 2,Male,49
OSRICK,Henry IV Part 2,Male,49
RIVERS,Henry IV Part 2,Male,48
SAY,Henry IV Part 2,Male,48
VINCENTIO,Henry IV Part 2,Male,48
SANDS,Henry IV Part 2,Male,48
ENGLISH DOCTOR,Henry IV Part 2,Male,48
LE BEAU,Henry IV Part 2,Male,48
BARDOLPH,Henry IV Part 2,Male,47
JOHN,Henry IV Part 2,Male,47
OCTAVIUS,Henry IV Part 2,Male,47
DOLABELLA,Henry IV Part 2,Male,47
EROS,Henry IV Part 2,Male,47
LODOWICK,Henry IV Part 2,Male,46
SECOND LORD,Henry V,Male,46
YOUNG CLIFFORD,Henry V,Male,46
PRINCE,Henry V,Male,46
PERCY,Henry V,Male,46
SPEAKER,Henry V,Male,46
BOATSWAIN,Henry V,Male,46
THIRD MESSENGER,Henry V,Male,45
GADSHILL,Henry V,Male,45
DOUGLAS,Henry V,Male,45
SILENCE,Henry V,Male,45
FIRST GAOLER,Henry V,Male,45
ORLEANS,Henry V,Male,45
DERBY,Henry V,Male,44
YOUNG LUCIUS,Henry V,Male,44
NYM,Henry V,Male,44
DECIUS,Henry V,Male,44
PANTHINO,Henry V,Male,44
BURGUNDY,Henry V,Male,43
PHILARIO,Henry V,Male,43
SOOTHSAYER,Henry V,Male,43
PRINCE EDWARD,Henry V,Male,43
FIRST LORD,Henry V,Male,42
MESSENGER TO CLEOPATRA,Henry V,Male,42
STEWARD,Henry V,Male,42
WESTMORLAND,Henry V,Male,42
AMIENS,Henry V,Male,42
FIRST LORD,Henry V,Male,42
BALTHASAR,Henry V,Male,42
FIRST SENATOR,Henry V,Male,42
CHATILLON,Henry V,Male,41
MONTAGUE,Henry V,Male,41
BLUNT,Henry V,Male,41
EGEUS,Henry V,Male,41
FIRST FISHERMAN,Henry V,Male,41
SCARUS,Henry V,Male,40
SICILIUS,Henry V,Male,40
RUMOUR,Henry V,Male,40
CHARLES,Henry V,Male,40
MELUN,Henry V,Male,39
BUSHY,Henry V,Male,39
LORRAINE,Henry V,Male,39
YORK,Henry V,Male,39
MESSALA,Henry V,Male,38
GOBBO,Henry V,Male,38
HOST,Henry V,Male,38
MAN,Henry V,Male,38
MESSENGER,Henry V,Male,38
SECOND SERVINGMAN,Henry V,Male,37
SCROOP,Henry VI Part 1,Male,37
TYRREL,Henry VI Part 1,Male,37
SEMPRONIUS,Henry VI Part 1,Male,36
DICK,Henry VI Part 1,Male,36
CAPTAIN,Henry VI Part 1,Male,36
TYBALT,Henry VI Part 1,Male,36
AUSTRIA,Henry VI Part 1,Male,36
FIRST SERVINGMAN,Henry VI Part 1,Male,36
CONRADE,Henry VI Part 1,Male,36
MESSENGER,Henry VI Part 1,Male,36
MAECENAS,Henry VI Part 1,Male,36
FRIAR PETER,Henry VI Part 1,Male,36
OXFORD,Henry VI Part 1,Male,35
SAMPSON,Henry VI Part 1,Male,35
SHEPHERD'S SERVANT,Henry VI Part 1,Male,35
ANTONIO,Henry VI Part 1,Male,35
SENATOR,Henry VI Part 1,Male,35
BARNARDO,Henry VI Part 1,Male,34
PORTER,Henry VI Part 1,Male,34
ARCHBISHOP,Henry VI Part 1,Male,34
ALEXANDER,Henry VI Part 1,Male,34
SECOND MERCHANT,Henry VI Part 1,Male,34
LUCIUS,Henry VI Part 1,Male,33
SOMERSET,Henry VI Part 1,Male,33
KING DAVID,Henry VI Part 1,Male,33
DAVY,Henry VI Part 1,Male,33
PORTER,Henry VI Part 1,Male,33
PETER,Henry VI Part 1,Male,33
BALTHASAR,Henry VI Part 1,Male,32
TIME,Henry VI Part 1,Male,32
MESSENGER,Henry VI Part 1,Male,32
LORD CHANCELLOR,Henry VI Part 1,Male,32
EPILOGUE,Henry VI Part 1,Male,32
MARTIUS,Henry VI Part 1,Male,32
ALEXAS,Henry VI Part 1,Male,32
FRANCE,Henry VI Part 1,Male,32
BARDOLPH,Henry VI Part 1,Male,32
PHILIP,Henry VI Part 1,Male,32
PROCULEIUS,Henry VI Part 1,Male,32
RATCLIFFE,Henry VI Part 1,Male,32
CAPTAIN,Henry VI Part 1,Male,32
BRAKENBURY,Henry VI Part 1,Male,32
LUCIUS'S SERVANT,Henry VI Part 1,Male,32
FIRST STRANGER,Henry VI Part 1,Male,31
SECOND PLAYER,Henry VI Part 1,Male,31
SECOND FISHERMAN,Henry VI Part 1,Male,31
THIRD FRENCHMAN,Henry VI Part 1,Male,31
VILLIERS,Henry VI Part 1,Male,31
SOOTHSAYER,Henry VI Part 1,Male,31
THIDIAS,Henry VI Part 1,Male,31
SECOND COUNTRYMAN,Henry VI Part 1,Male,31
MARULLUS,Henry VI Part 1,Male,31
TITINIUS,Henry VI Part 1,Male,31
CALCHAS,Henry VI Part 1,Male,31
PROLOGUE,Henry VI Part 1,Male,31
PAGE,Henry VI Part 1,Male,31
GREEN,Henry VI Part 1,Male,31
HUME,Henry VI Part 1,Male,31
FIRST WATCH,Henry VI Part 2,Male,31
HYMEN,Henry VI Part 2,Male,31
SECOND CITIZEN,Henry VI Part 2,Male,30
GRATIANO,Henry VI Part 2,Male,30
SEYWARD,Henry VI Part 2,Male,30
LUCILIUS,Henry VI Part 2,Male,30
NORTHUMBERLAND,Henry VI Part 2,Male,30
VENTIDIUS,Henry VI Part 2,Male,30
DULL,Henry VI Part 2,Male,30
SOLDIER,Henry VI Part 2,Male,29
POST,Henry VI Part 2,Male,29
BASTARD,Henry VI Part 2,Male,29
VERNON,Henry VI Part 2,Male,29
BARDOLPH,Henry VI Part 2,Male,29
PRINCE HENRY,Henry VI Part 2,Male,29
NYM,Henry VI Part 2,Male,29
FLAMINIUS,Henry VI Part 2,Male,29
OLD ATHENIAN,Henry VI Part 2,Male,29
PANDAR,Henry VI Part 2,Male,28
THIRD CITIZEN,Henry VI Part 2,Male,28
CLOWN,Henry VI Part 2,Male,28
VERGES,Henry VI Part 2,Male,28
CHORUS,Henry VI Part 2,Male,28
FIRST GENTLEMAN,Henry VI Part 2,Male,28
EGLAMOUR,Henry VI Part 2,Male,28
FAIRY,Henry VI Part 2,Male,28
CURTIS,Henry VI Part 2,Male,28
FIRST GENTLEMAN,Henry VI Part 2,Male,28
ELY,Henry VI Part 2,Male,27
WESTMORLAND,Henry VI Part 2,Male,27
FIRST FRIEND,Henry VI Part 2,Male,27
CLOWN,Henry VI Part 2,Male,27
GENERAL,Henry VI Part 2,Male,27
FLAVIUS,Henry VI Part 2,Male,27
FITZWATER,Henry VI Part 2,Male,27
DION,Henry VI Part 2,Male,27
ROMAN,Henry VI Part 2,Male,27
FORTINBRAS,Henry VI Part 2,Male,27
SERVANT,Henry VI Part 2,Male,27
FATHER,Henry VI Part 2,Male,27
THALIARD,Henry VI Part 2,Male,26
NORTHUMBERLAND,Henry VI Part 2,Male,26
BALTHASAR,Henry VI Part 2,Male,26
CANIDIUS,Henry VI Part 2,Male,25
PETER,Henry VI Part 2,Male,25
QUINTUS,Henry VI Part 2,Male,25
SECOND PLEBEIAN,Henry VI Part 2,Male,25
BASSET,Henry VI Part 2,Male,25
SIMPCOX,Henry VI Part 2,Male,25
SOMERSET,Henry VI Part 2,Male,25
THIRD COUNTRYMAN,Henry VI Part 2,Male,25
LORD MARSHAL,Henry VI Part 2,Male,25
THIRD OUTLAW,Henry VI Part 2,Male,25
FIRST MURDERER,Henry VI Part 2,Male,25
OFFICER,Henry VI Part 2,Male,25
PAGES,Henry VI Part 2,Male,25
FIRST SENATOR,Henry VI Part 2,Male,25
BARDOLPH,Henry VI Part 2,Male,25
MESSENGER,Henry VI Part 2,Male,25
LEONINE,Henry VI Part 2,Male,24
SHEPHERD,Henry VI Part 2,Male,24
RUTLAND,Henry VI Part 2,Male,24
MESSENGER,Henry VI Part 2,Male,24
PHILOSTRATE,Henry VI Part 2,Male,24
RICHARD,Henry VI Part 2,Male,24
BOY,Henry VI Part 2,Male,24
THIRD PLEBEIAN,Henry VI Part 2,Male,23
BAGOT,Henry VI Part 2,Male,23
FIRST CARRIER,Henry VI Part 3,Male,23
CLOWN,Henry VI Part 3,Male,23
CLEOMENES,Henry VI Part 3,Male,23
MAMILLIUS,Henry VI Part 3,Male,22
GREGORY,Henry VI Part 3,Male,22
SERVANT,Henry VI Part 3,Male,22
ROBERT FAULCONBRIDGE,Henry VI Part 3,Male,22
MESSENGER,Henry VI Part 3,Male,22
ROSS,Henry VI Part 3,Male,22
FOURTH PLEBEIAN,Henry VI Part 3,Male,22
SNOUT,Henry VI Part 3,Male,22
SON,Henry VI Part 3,Male,22
SECOND FRIEND,Henry VI Part 3,Male,22
FRENCHMAN,Henry VI Part 3,Male,22
FOOL,Henry VI Part 3,Male,22
FIRST LORD,Henry VI Part 3,Male,21
VOLTEMAND,Henry VI Part 3,Male,21
JUPITER,Henry VI Part 3,Male,21
ABHORSON,Henry VI Part 3,Male,21
DECRETAS,Henry VI Part 3,Male,21
FIRST CITIZEN,Henry VI Part 3,Male,21
GENTLEMAN,Henry VI Part 3,Male,21
FIRST PLEBEIAN,Henry VI Part 3,Male,21
MAYOR,Henry VI Part 3,Male,21
CLARENCE,Henry VI Part 3,Male,21
BOLINGBROKE,Henry VI Part 3,Male,21
EXTON,Henry VI Part 3,Male,21
LORD,Henry VI Part 3,Male,21
ANGUS,Henry VI Part 3,Male,21
FIRST OUTLAW,Henry VI Part 3,Male,21
FIRST WATCHMAN,Henry VI Part 3,Male,21
ARCHIDAMUS,Henry VI Part 3,Male,21
SECOND OFFICER,Henry VI Part 3,Male,20
VOLSCE,Henry VI Part 3,Male,20
SECOND WATCHMAN,Henry VI Part 3,Male,20
SON,Henry VI Part 3,Male,20
MESSENGER,Henry VI Part 3,Male,20
SALISBURY,Henry VI Part 3,Male,20
SERVANT OF ANTONY,Henry VI Part 3,Male,20
PRIAM,Henry VI Part 3,Male,20
SERVANT,Henry VI Part 3,Male,20
HASTINGS,Henry VI Part 3,Male,20
SECOND GOTH,Henry VI Part 3,Male,20
MESSENGER,Henry VIII,Male,20
CAPHIS,Henry VIII,Male,20
MESSENGER,Henry VIII,Male,20
BOY,Henry VIII,Male,19
DIOMEDES,Henry VIII,Male,19
MARDIAN,Henry VIII,Male,19
MACMORRIS,Henry VIII,Male,19
ARTEMIDORUS,Henry VIII,Male,19
DUKE,Henry VIII,Male,19
CHAMBERLAIN,Henry VIII,Male,19
HORNER,Henry VIII,Male,19
SECOND MESSENGER,Henry VIII,Male,19
FIRST WATCHMAN,Henry VIII,Male,18
GENTLEMAN,Henry VIII,Male,18
HOLLAND,Henry VIII,Male,18
SECOND CARRIER,Henry VIII,Male,18
AEMILIUS,Henry VIII,Male,18
ABERGAVENNY,Henry VIII,Male,18
SOOTHSAYER,Henry VIII,Male,18
CINNA,Henry VIII,Male,18
MASTER GUNNER,Henry VIII,Male,18
FIRST MESSENGER,Henry VIII,Male,18
DOCTOR,Henry VIII,Male,18
WHITMORE,Henry VIII,Male,18
PERCY,Henry VIII,Male,18
FRENCH SOLDIER,Henry VIII,Male,18
GRANDPRÉ,Henry VIII,Male,18
BATES,Henry VIII,Male,18
MESSENGER TO CAESAR,Henry VIII,Male,18
FOURTH COUNTRYMAN,Henry VIII,Male,18
HIEMS,Henry VIII,Male,18
VER,Henry VIII,Male,18
FIRST LORD,Henry VIII,Male,18
THIRD FISHERMAN,Henry VIII,Male,18
SECOND CLOWN,Henry VIII,Male,18
SERVILIUS,Henry VIII,Male,18
FIRST KEEPER,Henry VIII,Male,17
SECOND LORD,Henry VIII,Male,17
EXETER,Henry VIII,Male,17
FIRST GENTLEMAN,Henry VIII,Male,17
COPLAND,Henry VIII,Male,17
PHILO,Henry VIII,Male,17
AMBASSADOR,Henry VIII,Male,17
METELLUS,Henry VIII,Male,17
PINDARUS,Henry VIII,Male,17
BEVIS,Henry VIII,Male,17
THIRD GENTLEMAN,Henry VIII,Male,17
JAQUES DE BOYS,Henry VIII,Male,17
SECOND GENTLEMAN,Julius Caesar,Male,16
PLEBEIANS,Julius Caesar,Male,16
