o,'OW',s,''
is,'IH Z',s,'IH'
so,'S OW',s,''
a,'AH',s,''
faith,'F EY TH',s,'EY'
to,'T UW',s,'UW'
conceal,'K AH N S IY L',s,'IY'
it,'IH T',s,'IH'
i,'AY',s,'AY'
am,'AE M',s,'AE'
confident,'K AA N F AH D AH N T',s,'AA'
you,'Y UW',s,'UW'
shall,'SH AE L',s,'AE'
did,'D IH D',s,'IH'
you,'Y UW',s,'UW'
not,'N AA T',s,'AA'
of,'AH V',s,''
a,'AH',s,''
of,'AH V',s,''
a,'AH',s,''
between,'B IH T W IY N',s,'IH IY'
the,'DH AH',s,''
and,'AH N D',s,''
katherne,'K AE TH ER IH N',s,'AE IH'
but,'B AH T',s,''
that,'DH AE T',s,'AE'
slander,'S L AO N D ǝ R',s,'AO'
is,'IH Z',s,'IH'
a,'AH',s,''
truth,'T R UW TH',s,'UW'
for,'F AO R',s,'AO'
it,'IH T',s,'IH'
again,'ǝ ɡ EH N',s,''
than,'DH AE N',s,'AE'
it,'IH T',s,'IH'
was,'W AA Z',s,'AA'
and,'AH N D',s,''
held,'HH EH L D',s,''
for,'F AO R',s,'AO'
certain,'S ɐ R T ǝ N',s,''
the,'DH AH',s,''
will,'W IH L',s,'IH'
at,'AE T',s,'AE'
it,'IH T',s,'IH'
either,'EH DH ǝ R',s,''
the,'DH AH',s,''
cardinal,'K AA R D AH N AH L',s,'AA'
or,'AO R',s,'AO'
him,'HH IH M',s,'IH'
near,'N IY R',s,'IY'
out,'AW T',s,''
of,'AH V',s,''
to,'T UW',s,'UW'
the,'DH AH',s,''
good,'G UH D',s,'UH'
him,'HH IH M',s,'IH'
with,'W IH DH',s,'IH'
a,'AH',s,''
that,'DH AE T',s,'AE'
will,'W IH L',s,'IH'
undo,'AH N D UW',s,'UW'
to,'T UW',s,'UW'
this,'DH IH S',s,'IH'
too,'T UW',s,'UW'
cardinal,'K AA R D AH N AH L',s,'AA'
is,'IH Z',s,'IH'
and,'AH N D',s,''
lately,'L EH T L ǝ IH',s,'IH'
as,'AE Z',s,'AE'
all,'AA L',s,'AA'
think,'TH IH NG K',s,'IH'
for,'F AO R',s,'AO'
this,'DH IH S',s,'IH'
i,'AY',s,'AY'
think,'TH IH NG K',s,'IH'
you,'Y UW',s,'UW'
the,'DH AH',s,''
mark,'M AA R K',s,'AA'
but,'B AH T',s,''
is,'IH Z',s,'IH'
not,'N AA T',s,'AA'
that,'DH AE T',s,'AE'
she,'SH IY',s,'IY'
feel,'F IY L',s,'IY'
the,'DH AH',s,''
smart,'S M AA R T',s,'AA'
of,'AH V',s,''
this,'DH IH S',s,'IH'
the,'DH AH',s,''
cardinal,'K AA R D AH N AH L',s,'AA'
will,'W IH L',s,'IH'
his,'HH IH Z',s,'IH'
will,'W IH L',s,'IH'
and,'AH N D',s,''
she,'SH IY',s,'IY'
must,'M AH S T',s,''
fall,'F AA L',s,'AA'
so,'S OW',s,''
you,'Y UW',s,'UW'
all,'AA L',s,'AA'
my,'M AY',s,'AY'
at,'AE T',s,'AE'
our,'OW R',s,''
last,'L AE S T',s,'AE'
the,'DH AH',s,''
of,'AH V',s,''
from,'F R AH M',s,''
his,'HH IH Z',s,'IH'
well,'W EH L',s,''
the,'DH AH',s,''
citizens,'S IH T AH Z AH N Z',s,'IH'
i,'AY',s,'AY'
am,'AE M',s,'AE'
at,'AE T',s,'AE'
full,'F UH L',s,'UH'
their,'DH EH R',s,''
as,'AE Z',s,'AE'
let,'L EH T',s,''
their,'DH EH R',s,''
in,'IH N',s,'IH'
of,'AH V',s,''
this,'DH IH S',s,'IH'
with,'W IH DH',s,'IH'
pageants,'P AE JH AH N T S',s,'AE'
and,'AH N D',s,''
of,'AH V',s,''
i,'AY',s,'AY'
be,'B IY',s,'IY'
bold,'B OW L D',s,''
to,'T UW',s,'UW'
ask,'AW S K',s,''
what,'W AH T',s,''
that,'DH AE T',s,'AE'
contains,'K AH N T EY N Z',s,'EY'
that,'DH AE T',s,'AE'
paper,'P EH P ǝ R',s,''
in,'IH N',s,'IH'
your,'Y AO R',s,'AO'
i,'AY',s,'AY'
thank,'TH AE NG K',s,'AE'
you,'Y UW',s,'UW'
had,'HH AE D',s,'AE'
i,'AY',s,'AY'
not,'N AA T',s,'AA'
customs,'K AH S T AH M Z',s,''
i,'AY',s,'AY'
been,'B IH N',s,'IH'
to,'T UW',s,'UW'
your,'Y AO R',s,'AO'
paper,'P EH P ǝ R',s,''
but,'B AH T',s,''
i,'AY',s,'AY'
beseech,'B IY S IY CH',s,'IY IY'
you,'Y UW',s,'UW'
of,'AH V',s,''
katherne,'K AE TH ER IH N',s,'AE IH'
the,'DH AH',s,''
princess,'P R IH N S EH S',s,'IH'
goes,'G OW Z',s,''
alas,'AH L AE S',s,'AE'
good,'G UH D',s,'UH'
lady,'L EY D IY',s,'EY IY'
the,'DH AH',s,''
trumpets,'T R AH M P AH T S',s,''
stand,'S T AE N D',s,'AE'
the,'DH AH',s,''
is,'IH Z',s,'IH'
a,'AH',s,''
train,'T r EH N',s,''
me,'M IY',s,'IY'
i,'AY',s,'AY'
that,'DH AE T',s,'AE'
that,'DH AE T',s,'AE'
bears,'B EH R Z',s,''
the,'DH AH',s,''
a,'AH',s,''
bold,'B OW L D',s,''
gentleman,'JH EH N T AH L M AH N',s,''
that,'DH AE T',s,'AE'
be,'B IY',s,'IY'
the,'DH AH',s,''
of,'AH V',s,''
and,'AH N D',s,''
that,'DH AE T',s,'AE'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
of,'AH V',s,''
heaven,'HH EH V AH N',s,''
bless,'B L EH S',s,''
thee,'DH IY',s,'IY'
thou,'DH AW',s,''
hast,'HH AE S T',s,'AE'
the,'DH AH',s,''
sweetest,'S W IY T AH S T',s,'IY'
i,'AY',s,'AY'
on,'AA N',s,'AA'
as,'AE Z',s,'AE'
i,'AY',s,'AY'
a,'AH',s,''
soul,'S OW L',s,''
she,'SH IY',s,'IY'
is,'IH Z',s,'IH'
an,'AE N',s,'AE'
angel,'EY N JH AH L',s,'EY'
our,'OW R',s,''
all,'AA L',s,'AA'
the,'DH AH',s,''
indies,'IH N D IY Z',s,'IH IY'
in,'IH N',s,'IH'
his,'HH IH Z',s,'IH'
arms,'AA R M Z',s,'AA'
and,'AH N D',s,''
and,'AH N D',s,''
when,'ʍ e N',s,''
he,'HH IY',s,'IY'
that,'DH AE T',s,'AE'
lady,'L EY D IY',s,'EY IY'
i,'AY',s,'AY'
cannot,'K AE N AA T',s,'AE AA'
his,'HH IH Z',s,'IH'
men,'M EH N',s,''
and,'AH N D',s,''
so,'S OW',s,''
all,'AA L',s,'AA'
near,'N IY R',s,'IY'
i,'AY',s,'AY'
it,'IH T',s,'IH'
she,'SH IY',s,'IY'
that,'DH AE T',s,'AE'
up,'AH P',s,''
the,'DH AH',s,''
train,'T r EH N',s,''
is,'IH Z',s,'IH'
that,'DH AE T',s,'AE'
old,'OW L D',s,''
lady,'L EY D IY',s,'EY IY'
duchess,'D AH CH AH S',s,''
of,'AH V',s,''
their,'DH EH R',s,''
coronets,'K AO R AH N EH T S',s,'AO'
so,'S OW',s,''
stars,'S T AA R Z',s,'AA'
indeed,'IH N D IY D',s,'IH IY'
no,'N OW',s,''
of,'AH V',s,''
that,'DH AE T',s,'AE'
you,'Y UW',s,'UW'
the,'DH AH',s,''
good,'G UH D',s,'UH'
speak,'S P IY K',s,'IY'
it,'IH T',s,'IH'
to,'T UW',s,'UW'
us,'AH S',s,''
but,'B AH T',s,''
what,'W AH T',s,''
what,'W AH T',s,''
bishops,'B IH SH AH P S',s,'IH'
wre,'W ER',s,''
that,'DH AE T',s,'AE'
went,'W EH N T',s,''
on,'AA N',s,'AA'
each,'IY CH',s,'IY'
of,'AH V',s,''
the,'DH AH',s,''
he,'HH IY',s,'IY'
of,'AH V',s,''
is,'IH Z',s,'IH'
held,'HH EH L D',s,''
no,'N OW',s,''
great,'G r e T',s,''
good,'G UH D',s,'UH'
of,'AH V',s,''
the,'DH AH',s,''
the,'DH AH',s,''
virtuous,'V ER CH UW AH S',s,'UW'
who,'HH UW',s,'UW'
that,'DH AE T',s,'AE'
be,'B IY',s,'IY'
i,'AY',s,'AY'
you,'Y UW',s,'UW'
he,'HH IY',s,'IY'
will,'W IH L',s,'IH'
you,'Y UW',s,'UW'
command,'K ǝ M AW N D',s,''
us,'AH S',s,''
